Date,Estimate,Actual
2022-05-02,None,None
2022-02-07,None,None
2021-11-01,None,None
2021-08-03,0.18,None
2021-05-04,0.09,0.27
2021-02-09,0.04,0.27
2020-11-02,0.01,-0.12
2020-08-04,0.05,0.09
2020-05-05,0.1,0.54
2020-02-11,0.08,0.09
2019-10-30,0.05,-0.09
2019-07-31,0.13,-0.03
2019-05-01,0.13,0.13
2019-02-13,0.21,1.73
2018-10-31,0.11,0.21
2018-08-02,0.15,0.19
2018-05-03,0.15,0.08
2018-02-13,0.17,-0.13
2017-11-02,0.15,-0.02
2017-08-01,0.16,0.04
2017-05-02,0.31,0.97
2017-02-13,0.26,0.19
2016-11-01,0.36,0.32
2016-08-09,0.38,0.64
2016-05-09,0.41,0.25
2016-02-09,0.45,-1.29
2015-11-03,0.51,0.25
2015-08-04,0.45,0.36
2015-05-05,0.51,-0.52
2015-02-10,0.48,0.43
2014-11-04,0.5,0.54
2014-08-05,0.52,0.48
2014-05-06,0.5,0.5
2014-02-11,0.48,0.52
2013-10-29,0.5,0.52
2013-07-30,0.48,0.49
2013-04-30,0.48,0.51
2013-02-12,0.47,0.53
2012-10-30,0.46,0.47
2012-07-31,0.46,0.48
2012-05-01,0.43,0.43
2012-02-14,0.41,0.14
2011-10-31,0.42,0.41
2011-08-02,0.46,0.55
2011-05-03,0.21,0.17
2011-02-15,0.35,0.42
2010-11-02,0.28,0.05
2010-08-03,0.25,0.27
2010-04-27,0.24,0.25
2010-02-12,0.09,0.09
2009-11-03,0.23,-0.18
2009-08-04,0.23,0.35
2009-04-28,0.23,0.17
2009-02-10,0.22,0.14
2008-11-04,0.43,0.49
2008-08-04,0.19,0.96
2008-04-28,0.24,0.21
2008-02-11,0.17,0.16
2007-10-29,0.3,0.13
2007-07-30,0.25,0.25
2007-02-12,-0.01,0.05
2006-10-30,0.06,0.24
2006-07-31,0.26,0.24
2006-05-01,0.24,0.32
2006-02-13,0.26,0.25
2005-10-31,0.26,0.29
2005-08-01,0.26,0.25
2004-05-06,0.24,0.23
2004-01-27,0.28,0.28
2003-11-03,0.43,None
2003-07-22,0.28,0.26
2003-04-22,0.24,0.18
2003-01-21,0.28,0.2
