Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,71.7472,72.1,69.05,70.76,3025628,0.0
2020-12-07,71.2358,73.12,70.72,72.31,1816466,0.0
2020-12-08,72,79.74,71.4,78.77,7290664,0.0
2020-12-09,78.28,80.87,74.11,74.68,6201116,0.0
2020-12-10,73.4,76.6499,72.09,75.51,2242865,0.0
2020-12-11,75.3746,78.3399,72.98,74.42,2952199,0.0
2020-12-14,76,84.49,75.54,78.98,8861667,0.0
2020-12-15,79.53,83.14,77.0452,83.09,4139980,0.0
2020-12-16,82.71,89.1,81.65,88.73,5728482,0.0
2020-12-17,88.8,91.85,86.94,91.54,5769519,0.0
2020-12-18,92.3751,95.58,90.0301,91.9,8713486,0.0
2020-12-21,89.3135,93.72,88.59,92.72,2983753,0.0
2020-12-22,92.93,96.59,90.0071,95.7,3350160,0.0
2020-12-23,97.3188,99.2415,95.59,96.08,4271874,0.0
2020-12-24,96.13,97.86,94.11,94.6,1838643,0.0
2020-12-28,96.34,96.4899,88.59,88.705,3613237,0.0
2020-12-29,89.1787,90.28,86.1005,88.26,2518678,0.0
2020-12-30,88.5,88.82,86.71,86.97,1602591,0.0
2020-12-31,87.21,88.44,85.2901,86.38,1906947,0.0
2021-01-04,85.26,87,80.15,80.98,3932213,0.0
2021-01-05,80.26,87.29,80.17,86.98,3072287,0.0
2021-01-06,91.76,94.49,86.4139,89.21,9237254,0.0
2021-01-07,89.3,92.19,87,87.48,3349783,0.0
2021-01-08,87.95,94.75,87.27,93.71,4609433,0.0
2021-01-11,90.59,102.59,90,100.38,6956348,0.0
2021-01-12,100.44,106.39,98.17,106,4646969,0.0
2021-01-13,104.88,106.8,101.851,104.13,2637158,0.0
2021-01-14,102.1058,107.34,101.9,106.38,4163520,0.0
2021-01-15,103.9551,106.14,98.91,98.99,4143479,0.0
2021-01-19,101.11,102.5627,95.42,100.4,4814002,0.0
2021-01-20,104.55,107.79,102.31,105.96,2982618,0.0
2021-01-21,106.31,108.889,103.25,107.13,2597925,0.0
2021-01-22,106,110.89,104.76,109.4,3434718,0.0
2021-01-25,110.02,111.02,101.5,104.04,3833943,0.0
2021-01-26,106.2,106.32,98.94,99.51,3919728,0.0
2021-01-27,97.2,106.25,93.13,97.71,6237038,0.0
2021-01-28,100.8889,110.85,99.74,107.01,5278558,0.0
2021-01-29,107.38,107.38,101.48,103.78,3827372,0.0
2021-02-01,104.45,107.25,102.56,103.98,2361603,0.0
2021-02-02,107.825,111.45,105.57,110.56,3347110,0.0
2021-02-03,110.15,113.17,107,109.25,3126679,0.0
2021-02-04,115.44,118.89,110.82,118.35,5515937,0.0
2021-02-05,121.74,129,121.55,128.889,5352992,0.0
2021-02-08,125.99,127.99,116.46,121.22,9157140,0.0
2021-02-09,120.45,123.7,115.64,116.72,4104272,0.0
2021-02-10,119.1,119.3899,112.45,113.58,3658282,0.0
2021-02-11,115.52,117,110.0104,112.59,3608042,0.0
2021-02-12,111.8105,119.43,111,118.85,3943263,0.0
2021-02-16,119.0904,120.55,115.13,115.18,3515438,0.0
2021-02-17,114.005,118.65,110.64,117.58,3261120,0.0
2021-02-18,115.93,117.555,113,115.66,2381275,0.0
2021-02-19,117.47,122.2999,115.75,120.41,3438794,0.0
2021-02-22,120.86,124.07,117.02,117.84,3270933,0.0
2021-02-23,114.25,120.4268,106.96,119.58,6403933,0.0
2021-02-24,119.1,121.02,114.09,120.33,2506449,0.0
2021-02-25,119.96,119.9999,109.1042,109.69,3855278,0.0
2021-02-26,115.25,118.415,110.6,115.78,5554461,0.0
2021-03-01,119.2,127.41,116.06,126.17,5225130,0.0
2021-03-02,126.5,128.99,123.1,125.14,2746004,0.0
2021-03-03,126.28,128.58,117.11,117.71,4155235,0.0
2021-03-04,116.5,120.13,104.1327,108.885,5954749,0.0
2021-03-05,112.48,112.69,95.38,108.2,5968823,0.0
2021-03-08,109.95,115.5,108.7801,109.28,3694899,0.0
2021-03-09,114.89,117.5,112.59,115.65,2640348,0.0
2021-03-10,118.3,124.5,117.5,123.33,3844626,0.0
2021-03-11,126,131.4,124,130.98,3503070,0.0
2021-03-12,127.78,132.76,127,130.47,2348724,0.0
2021-03-15,138.81,142,132.85,136.48,7587184,0.0
2021-03-16,137.07,137.1262,123.13,124.54,6459664,0.0
2021-03-17,122.28,125.48,117.18,124.6117,5955677,0.0
2021-03-18,121.55,122.17,111.59,111.9301,7882967,0.0
2021-03-19,114.31,119.97,112.49,117.35,7855133,0.0
2021-03-22,118.67,118.67,111.4,113.1,5928836,0.0
2021-03-23,115.04,117,110.16,111.86,4512449,0.0
2021-03-24,114.39,114.38,103.34,104.06,4790885,0.0
2021-03-25,99.6,109.07,98.5,108.75,4759214,0.0
2021-03-26,109.63,110.2399,101.91,106.58,3016834,0.0
2021-03-29,105.25,106.73,96.77,98.17,5034309,0.0
2021-03-30,97.35,103.46,96.861,102.82,4205606,0.0
2021-03-31,105.75,106.13,102.15,104.73,2648426,0.0
2021-04-01,106.46,108.9716,105.3,107.55,2726107,0.0
2021-04-05,110.1664,110.1664,105.52,106.84,2359154,0.0
2021-04-06,106.45,109.33,100.02,104.08,13798648,0.0
2021-04-07,104,105.7149,102.27,102.31,3683665,0.0
2021-04-08,102.91,106.77,101.55,106.66,2843394,0.0
2021-04-09,105.7,106.2218,102.11,104.12,2715084,0.0
2021-04-12,103.77,104.12,99.07,101.83,3615024,0.0
2021-04-13,101.2634,102.83,97.81,102.57,3116536,0.0
2021-04-14,102.12,104.91,99.8,100.62,2506772,0.0
2021-04-15,102.02,102,98.75,100.72,2496002,0.0
2021-04-16,99.73,102.32,99.72,99.93,2265051,0.0
2021-04-19,99.52,99.71,92.57,93,5083109,0.0
2021-04-20,91.1,93.35,85.94,88.93,8603692,0.0
2021-04-21,89.23,92.59,87.4201,92.56,4725800,0.0
2021-04-22,92.52,93.5117,88.52,89.67,3150808,0.0
2021-04-23,90.8,90.9378,88.76,89.75,3032793,0.0
2021-04-26,90.25,91.83,89.56,90.27,2519634,0.0
2021-04-27,93.87,96.2425,92.09,92.65,4745268,0.0
2021-04-28,94.76,95.45,91.68,92.87,3173205,0.0
2021-04-29,93.1,93.9,89.4,91.29,2554830,0.0
2021-04-30,89.79,91.7115,88.59,89.12,2487197,0.0
2021-05-03,90.77,92.92,89.51,90.53,3887395,0.0
2021-05-04,89.13,90.02,85.13,89.71,4852430,0.0
2021-05-05,92.3,93.02,89.71,91.41,4228878,0.0
2021-05-06,87.84,88,80.2501,83.93,10060606,0.0
2021-05-07,86.31,86.98,83.15,86.61,4374839,0.0
2021-05-10,85.35,85.94,80.92,81.06,4604935,0.0
2021-05-11,75.5732,83.81,74.2377,83.09,6347712,0.0
2021-05-12,80.9892,82.02,75.69,76.12,5544946,0.0
2021-05-13,77.05,80.4,73.43,76.09,6668236,0.0
2021-05-14,77,81.3,77.09,80.79,3857672,0.0
2021-05-17,80.25,81.01,77.25,80.9,3481176,0.0
2021-05-18,81.28,83.33,79.65,80.03,3541658,0.0
2021-05-19,77.6288,78.78,76.34,78.28,3690201,0.0
2021-05-20,78.54,79.144,76.69,78.07,3001384,0.0
2021-05-21,79.1244,80.0632,77.11,77.56,2810388,0.0
2021-05-24,77.77,81.37,77.15,80.18,3088977,0.0
2021-05-25,81.55,82.49,79.0633,79.69,2758936,0.0
2021-05-26,80.24,83.63,79.67,83.5,3448495,0.0
2021-05-27,85.27,85.37,81.82,83.29,3786720,0.0
2021-05-28,83.34,83.46,81.73,81.98,2679067,0.0
2021-06-01,82.73,83.54,80.42,81.19,2732174,0.0
2021-06-02,81.23,81.317,78.27,80.49,3526387,0.0
2021-06-03,79.05,80.99,77.395,79.69,3209974,0.0
2021-06-04,80.27,81.43,79.86,80.56,2161125,0.0
2021-06-07,80.51,84.8,80.46,84.19,3595149,0.0
2021-06-08,84.64,85.69,82.62,84.06,3356574,0.0
2021-06-09,84.26,84.97,82.0281,82.38,2547943,0.0
2021-06-10,82.72,82.84,79.95,81.7601,2762348,0.0
2021-06-11,82.0936,84.01,82.0936,83.81,2321922,0.0
2021-06-14,84,84.21,80.2,80.65,3502573,0.0
2021-06-15,79.06,81.38,77.92,78.55,4323964,0.0
2021-06-16,78.12,79.17,76.58,77.81,3402781,0.0
2021-06-17,77.29,79.03,75.425,76.16,3934981,0.0
2021-06-18,74.79,75.57,73.2,73.78,4189451,0.0
2021-06-21,74.15,76.92,72.9,76,3403328,0.0
2021-06-22,75.88,77.1,74.4101,76.64,2336974,0.0
2021-06-23,76.97,78.15,75.76,76.8,2403920,0.0
2021-06-24,79.6,79.72,76.35,76.46,4448544,0.0
2021-06-25,76.54,77.54,74.63,76.07,5680257,0.0
2021-06-28,75.9,76.36,74.298,75.61,3248303,0.0
2021-06-29,75.94,78.2,75.4,76.24,2973457,0.0
2021-06-30,76.135,76.91,75.145,76.5,1940246,0.0
2021-07-01,77.51,79.1999,75.67,76.4,3144356,0.0
2021-07-02,76.66,76.71,74.6,74.7,2889084,0.0
2021-07-06,74.69,75.12,73.09,74.42,2828082,0.0
2021-07-07,74.26,75.11,71.05,71.17,3490991,0.0
2021-07-08,69.69,73.05,68.82,71.96,3635240,0.0
2021-07-09,72.9,74.21,71.34,73.29,2923274,0.0
2021-07-12,73.16,74.08,72.83,73.05,1718765,0.0
2021-07-13,72.5,73.03,70.68,70.75,3014807,0.0
2021-07-14,71.19,71.6,67.72,68.25,6004726,0.0
