Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,329.52,329.52,318.89,324.04,410284,0.0
2020-12-07,325.28,335.02,324.42,332.58,279170,0.0
2020-12-08,334.59,339.49,330.04,339.12,203158,0.0
2020-12-09,337.97,342.29,334.18,334.5,263027,0.0
2020-12-10,333.98,336.5,330.106,331.38,257627,0.0
2020-12-11,331.37,339.5161,330.28,337.79,213887,0.0
2020-12-14,339.46,348.22,338.31,346.55,275506,0.0
2020-12-15,347,353.19,345.92,348.67,217784,0.0
2020-12-16,348.09,355.55,347.19,353.19,208035,0.0
2020-12-17,352.63,357.26,350.345,356.16,209969,0.0
2020-12-18,358.2,366.35,356.6078,363.89,264988,0.0
2020-12-21,360.43,365,352.79,361.82,196741,0.0
2020-12-22,362.01,370.88,362,369.73,154509,0.0
2020-12-23,371.46,371.685,363.02,365.77,103841,0.0
2020-12-24,364.95,366.87,361.19,364.52,67326,0.0
2020-12-28,368.75,369.95,360.92,362.3,122005,0.0
2020-12-29,363.91,367.35,357.6,364.24,142144,0.0
2020-12-30,366.16,369.07,362.825,367.62,112533,0.0
2020-12-31,368.47,373.07,364.67,372.76,150410,0.0
2021-01-04,373.82,378.67,353.61,356.75,232063,0.0
2021-01-05,356.53,360.025,353.79,357.31,159486,0.0
2021-01-06,352.2,370.91,349.19,370.37,285623,0.0
2021-01-07,374.58,401.29,371.1,385.95,322092,0.0
2021-01-08,388.81,399.47,387.5246,390.66,282401,0.0
2021-01-11,389.74,392.845,384.32,385.17,251765,0.0
2021-01-12,387.75,387.75,382.32,385.18,179085,0.0
2021-01-13,385,386.63,373.23,373.68,245564,0.0
2021-01-14,374.38,374.595,365.81,366.79,217800,0.0
2021-01-15,365.005,365.8,357.01,358.87,236382,0.0
2021-01-19,359.62,364.69,355.89,360.44,244728,0.0
2021-01-20,360.91,368.365,357.78,366.05,311729,0.0
2021-01-21,365.37,372.315,363,366.9,199455,0.0
2021-01-22,361.47,371.345,361.47,369.49,156244,0.0
2021-01-25,371.48,373.805,364.941,369.44,145226,0.0
2021-01-26,370.03,370.88,363.52,363.71,173790,0.0
2021-01-27,360,364.265,348.0101,354.67,332757,0.0
2021-01-28,356.76,365.09,352.51,362.89,253907,0.0
2021-01-29,360.79,364.04,353.77,353.89,213232,0.0
2021-02-01,356.17,360.955,353.955,359.75,170288,0.0
2021-02-02,363.94,363.94,357.3,357.3,354895,0.0
2021-02-03,360.19,361.01,352.88,354.57,276154,0.0
2021-02-04,356.56,363.12,354.5,358.95,275876,0.0
2021-02-05,359,362.105,356.73,359.22,209950,0.0
2021-02-08,360.84,362.91,359.04,359.2,352145,0.0
2021-02-09,361.07,364.4299,357.96,360.43,511276,0.0
2021-02-10,361.01,362.79,349.205,351.16,408586,0.0
2021-02-11,351.11,359.99,328.81,329.87,867621,0.0
2021-02-12,331.75,344.86,331.75,338.31,806639,0.0
2021-02-16,341.2,344.1,330.3032,333.33,521621,0.0
2021-02-17,331.48,335.78,326.4272,330.38,342476,0.0
2021-02-18,328.33,330.85,328,329.9,225546,0.0
2021-02-19,329.96,332.54,325.42,326.08,302792,0.0
2021-02-22,325.07,326.02,311.57,314.42,497981,0.0
2021-02-23,310.75,319.91,305.47,318.62,498093,0.0
2021-02-24,318.91,329.67,314.92,328.33,615110,0.0
2021-02-25,326.59,328.1,320.71,323,410486,0.0
2021-02-26,327.77,338.715,325.74,334.57,568181,0.0
2021-03-01,335.01,340.47,332.77,334.26,544420,0.0
2021-03-02,332.17,334.63,327.075,330.71,365182,0.0
2021-03-03,330.29,335.355,328.37,331.02,256262,0.0
2021-03-04,331.66,333.52,319.055,323.54,355359,0.0
2021-03-05,324.7525,330.83,313.92,330.22,258796,0.0
2021-03-08,328.84,334.67,326.8,328.35,190638,0.0
2021-03-09,332.94,341.115,330.2,336.51,309903,0.0
2021-03-10,341.83,344.8003,338.5,342.92,251223,0.0
2021-03-11,342.49,348.46,336.95,347.14,177081,0.0
2021-03-12,342.81,344.56,339.02,342.26,174932,0.0
2021-03-15,342.31,348,340.58,348,217496,0.0
2021-03-16,350,351.88,342.56,344.15,185667,0.0
2021-03-17,343.7,344.16,336.69,339.34,222299,0.0
2021-03-18,336.29,340.89,332.26,336.6,233147,0.0
2021-03-19,339.37,348.35,337.83,340.69,402614,0.0
2021-03-22,340.61,340.61,331.6,336.22,223110,0.0
2021-03-23,334.43,342.43,333.89,341.14,223181,0.0
2021-03-24,340.09,344.76,335.4,340.52,175953,0.0
2021-03-25,337,338.155,332.695,335.43,249828,0.0
2021-03-26,335.52,342.11,333.54,342.025,340479,0.0
2021-03-29,342.96,350.5,338.865,343.43,301063,0.0
2021-03-30,339.89,343.8671,335.24,342.17,234368,0.0
2021-03-31,343.48,349.01,343.48,345.05,104404,0.0
2021-04-01,345.74,352.19,345.43,351.93,134985,0.0
2021-04-05,352.65,359.22,351.87,357.08,224631,0.0
2021-04-06,358,361.15,353.1,357.72,255578,0.0
2021-04-07,358.08,360.85,354.78,356.33,127278,0.0
2021-04-08,358.6,361.07,354.53,361.07,175722,0.0
2021-04-09,361.88,370.45,361.88,369.53,176676,0.0
2021-04-12,370.42,371.88,368.07,371.37,112955,0.0
2021-04-13,372.89,374.44,370.245,370.53,139582,0.0
2021-04-14,369.97,372.29,366.23,367.98,103662,0.0
2021-04-15,370.67,376.98,367.705,374.36,234161,0.0
2021-04-16,376.03,384.14,373.895,382.32,220252,0.0
2021-04-19,382,385.68,380.69,383.22,172805,0.0
2021-04-20,384.19,388.59,383.24,386.06,192064,0.0
2021-04-21,384.05,392.13,384.05,385.9,199092,0.0
2021-04-22,413.09,426.7,409.38,410.44,765031,0.0
2021-04-23,411.28,424.56,411.28,419.535,305058,0.0
2021-04-26,420.63,420.63,409,413.26,263002,0.0
2021-04-27,416.35,425,413.56,421.69,248026,0.0
2021-04-28,416.11,423.07,413.91,415.06,166140,0.0
2021-04-29,423.9015,423.9015,416.01,421.52,165622,0.0
2021-04-30,421,424.44,419.14,422.46,147443,0.0
2021-05-03,425,431.465,423.52,428.86,206775,0.0
2021-05-04,428,431.23,424.495,431.22,183782,0.0
2021-05-05,436.39,442.9,432.52,441.12,291847,0.0
2021-05-06,440.68,441.8947,428.91,434.83,180815,0.0
2021-05-07,435.33,445.21,435.33,443.66,105618,0.0
2021-05-10,446.08,449.44,442.906,445.14,136184,0.0
2021-05-11,438.71,442.05,433.835,438.43,204042,0.0
2021-05-12,435.12,437.35,418.83,419.73,214041,0.0
2021-05-13,422.49,437.4872,422.49,435,178366,0.0
2021-05-14,435.01,438.87,433.28,437.59,139246,0.0
2021-05-17,437.47,439.98,431.165,435.69,162245,0.0
2021-05-18,440,443.85,426.92,426.94,231952,0.0
2021-05-19,423.89,437.77,419.7914,427.82,192808,0.0
2021-05-20,428.74,431.91,425.31,429.73,190700,0.0
2021-05-21,432.58,437.4999,428.63,429.69,166923,0.0
2021-05-24,431.59,433.995,429.25,430.52,116157,0.0
2021-05-25,429.71,431.76,426.87,429.66,156998,0.0
2021-05-26,430.38,433.9364,426.005,429.6,138370,0.0
2021-05-27,429.66,433.19,426.91,431.43,289832,0.0
2021-05-28,430.36,438.57,430.36,436.54,212340,0.0
2021-06-01,440.46,441.85,435.53,438.98,162730,0.0
2021-06-02,439.84,443.1,437.04,440.81,235482,0.0
2021-06-03,437.3,441.64,435.7,438.525,159062,0.0
2021-06-04,441.98,444.43,430.58,438.04,149847,0.0
2021-06-07,438.54,440.75,431.645,435.45,124027,0.0
2021-06-08,435.55,440.4325,430.39,440.14,123444,0.0
2021-06-09,439.63,440.85,432.24,433.67,107613,0.0
2021-06-10,434.57,435.92,427.915,428.96,136545,0.0
2021-06-11,429.06,432.85,426.0694,431.26,120662,0.0
2021-06-14,437.26,437.26,427.425,430.95,133964,0.0
2021-06-15,429.52,434.765,426.54,434.41,116548,0.0
2021-06-16,434.68,437.03,430.09,432.52,167029,0.0
2021-06-17,431.44,438.02,428.15,436.39,165849,0.0
2021-06-18,433.8,444.64,430.2,442.03,248113,0.0
2021-06-21,442.68,464.03,442.4,452.89,400815,0.0
2021-06-22,456.64,463,450.32,459.99,226238,0.0
2021-06-23,460.97,462.43,454.02,454.81,152742,0.0
2021-06-24,456.95,460.39,453.835,459.03,141588,0.0
2021-06-25,460.74,462.47,453.96,455.78,168219,0.0
2021-06-28,458.11,459.12,454.71,456.405,181138,0.0
2021-06-29,455.7,470.15,455.7,465.22,328771,0.0
2021-06-30,465.5,467.55,451.84,458.67,272677,0.0
2021-07-01,458.67,462.48,457.13,462.06,137929,0.0
2021-07-02,463.65,468.82,462.6601,466.83,151936,0.0
2021-07-06,466.88,468.3238,455.2859,464.49,153020,0.0
2021-07-07,465.33,472.33,464.07,469.82,248682,0.0
2021-07-08,465.46,474.26,462.4301,468.5,290199,0.0
2021-07-09,470.48,476.69,469.66,475.97,203147,0.0
2021-07-12,474.25,478.67,472.145,475.9,206372,0.0
2021-07-13,474.11,477.05,469.69,470.61,203001,0.0
2021-07-14,472.01,473.07,465.4827,469.01,190327,0.0
2021-07-15,467,468.27,457.55,459.73,214853,0.0
2021-07-16,461.82,464.84,457.875,458.79,189988,0.0
2021-07-19,453.62,456.55,442.71,453.2,296509,0.0
2021-07-20,454.41,458.28,450.67,452.36,283984,0.0
2021-07-21,455.37,457.69,452.62,457.47,209936,0.0
2021-07-22,450,456.1548,442.8901,450.56,567105,0.0
2021-07-23,454.11,463.45,447.02,462.77,287826,0.0
2021-07-26,462.99,476.12,462.99,467.25,271773,0.0
2021-07-27,466.3,472.785,462,471.89,196419,0.0
2021-07-28,471.89,473.8,464.92,467.48,124995,0.0
2021-07-29,469.86,478.565,468.18,477.93,129647,0.0
2021-07-30,472.91,484.415,472.19,477.97,208372,0.0
2021-08-02,478.6,482.24,472.01,476.5,157611,0.0
2021-08-03,478.89,485.61,476.6163,480.74,149938,0.0
2021-08-04,480.07,489.31,480.07,486.73,180674,0.0
2021-08-05,486.95,495.22,484.27,486.8,152694,0.0
2021-08-06,487.33,490.23,480.12,481.01,109426,0.0
2021-08-09,480.91,486.3443,479.13,485.15,110983,0.0
2021-08-10,485.16,490.47,482.0201,484.17,128836,0.0
2021-08-11,485.25,487.19,479.32,483.45,115505,0.0
2021-08-12,483.73,486.88,481.85,484.64,131339,0.0
2021-08-13,483.81,486.77,482.8252,484.92,66485,0.0
2021-08-16,483.79,493.91,479.1926,493.15,140539,0.0
2021-08-17,488.34,488.6258,477.93,480,263584,0.0
2021-08-18,479.99,485.4314,474.39,476.82,136574,0.0
2021-08-19,475.55,487.63,472.955,484.06,136246,0.0
2021-08-20,486.03,491.75,484.23,486.11,167608,0.0
2021-08-23,486.51,486.84,474.82,474.85,145820,0.0
2021-08-24,476.67,477.95,472.39,477.8,188994,0.0
2021-08-25,478.24,486.66,478.21,484.73,85381,0.0
2021-08-26,484.78,484.78,476.6,477.42,92378,0.0
2021-08-27,477.33,482.679,473.81,480.91,91419,0.0
2021-08-30,482.39,493.71,482.04,491.73,97884,0.0
2021-08-31,491.75,496.51,486.95,494.31,210574,0.0
2021-09-01,494.3,494.3,480.49,491.54,146443,0.0
2021-09-02,494.47,498.95,491.89,497.11,116057,0.0
2021-09-03,496.07,498.33,488.92,496.95,72331,0.0
2021-09-07,497.55,497.655,489.88,490.96,93769,0.0
2021-09-08,490.31,500.85,487.04,496.87,125960,0.0
2021-09-09,496.22,496.22,485.55,491.47,159856,0.0
2021-09-10,491.66,498.77,491.27,493.68,124919,0.0
2021-09-13,495.56,495.83,475.46,478.92,227551,0.0
2021-09-14,482.03,484.43,470.8,474.9,172981,0.0
2021-09-15,473.27,480.79,471.37,477.16,149346,0.0
2021-09-16,478.81,478.81,464.21,471.1,204470,0.0
2021-09-17,469.1,471.35,461.89,463.6,191218,0.0
2021-09-20,458.97,465.3501,452.4101,462.69,137077,0.0
2021-09-21,466.07,466.7506,456.61,459.54,193739,0.0
2021-09-22,462.16,465.839,455,455.96,171577,0.0
2021-09-23,455.17,469,455.055,466.3,171352,0.0
2021-09-24,466.07,466.7,463.02,465.56,79504,0.0
2021-09-27,463.91,464.47,446.75,456.18,198803,0.0
2021-09-28,452.01,452.01,439.2,444.32,158725,0.0
2021-09-29,445.83,449.68,444.84,447.03,110745,0.0
2021-09-30,448.84,449.95,433.73,434.24,200482,0.0
2021-10-01,434.41,440.3338,425.7,437.61,211798,0.0
2021-10-04,436.93,438.95,427.18,436.05,206087,0.0
2021-10-05,438.56,445.57,436.9764,440.46,186026,0.0
2021-10-06,439.75,444.05,436.39,440.87,171485,0.0
2021-10-07,443.25,456.53,443.83,452.52,161305,0.0
2021-10-08,453.64,456.64,444.77,446.71,91008,0.0
2021-10-11,446.99,452.06,445.07,445.58,52904,0.0
2021-10-12,449.02,451.1,439.239,440.46,145237,0.0
2021-10-13,443.23,446.57,439.35,440.84,124020,0.0
2021-10-14,441.93,453.28,439.22,453.21,218179,0.0
2021-10-15,453.69,460.21,452.16,452.78,119011,0.0
2021-10-18,451,461.04,450.02,460.96,102910,0.0
2021-10-19,463.99,467.38,460.47,464.44,111001,0.0
2021-10-20,467.45,469.42,460.91,463.62,162602,0.0
2021-10-21,462.6,500.205,461.51,499.97,336953,0.0
2021-10-22,501.3,514.96,497.42,502.84,264941,0.0
2021-10-25,503.23,517.0169,502.12,509.16,146089,0.0
2021-10-26,509.81,510.2699,499.25,503.66,147351,0.0
2021-10-27,503.33,508.93,499.06,499.79,112323,0.0
2021-10-28,501,514.12,501,506.64,94429,0.0
2021-10-29,505.2,519.01,505.2,514.79,105604,0.0
2021-11-01,516.01,520.11,510.06,514.63,139523,0.0
2021-11-02,517.89,521.51,512.145,515.345,167672,0.0
2021-11-03,516.94,519,509.23,516.4,169686,0.0
2021-11-04,519.98,524.2679,518.09,522.17,126120,0.0
2021-11-05,524.15,528.75,516.81,517.67,137580,0.0
2021-11-08,521.63,521.63,515.035,520.63,140328,0.0
2021-11-09,519.96,528.18,515.89,526.31,152712,0.0
2021-11-10,524.34,529.09,519.57,526.96,208745,0.0
2021-11-11,532.73,554.89,532.73,554.33,324641,0.0
2021-11-12,554.55,572.31,550.64,571.09,218123,0.0
2021-11-15,568.52,577.66,567.51,570.06,167464,0.0
2021-11-16,568.27,581.75,568.27,574.07,162253,0.0
2021-11-17,575.37,578.93,567.24,572.99,153987,0.0
2021-11-18,573.91,580.02,573,577.31,117184,0.0
2021-11-19,581.82,582.265,576.375,576.98,154453,0.0
2021-11-22,577,579.13,557.535,559.16,161108,0.0
2021-11-23,557.31,563.21,554.41,562.39,152685,0.0
2021-11-24,559.26,570.13,557.87,568.89,89232,0.0
2021-11-26,566.38,570,557.39,560.41,62307,0.0
2021-11-29,564.38,569.57,555.97,560.03,115342,0.0
2021-11-30,556.98,562.33,545.96,554.16,244748,0.0
2021-12-01,560.01,572.7587,551.64,551.64,238247,0.0
2021-12-02,553.18,559.95,550.99,556.01,139721,0.0
2021-12-03,557.73,557.73,538.41,544.03,144584,0.0
2021-12-06,549.02,549.625,537.5,547.21,183456,0.0
2021-12-07,555.15,564.17,550.88,562.67,125326,0.0
2021-12-08,563.5,566.04,552.525,564.77,98467,0.0
2021-12-09,564.77,566.06,547.64,549.91,103542,0.0
2021-12-10,552.96,567.745,552.585,563.22,151814,0.0
2021-12-13,561.77,566.155,556.04,562.2,88480,0.0
2021-12-14,556.98,561.4,553,558.995,234531,0.0
2021-12-15,559.08,568.41,550.5895,567.77,193670,0.0
2021-12-16,570.11,571.45,542.015,551.32,132802,0.0
2021-12-17,553.84,553.84,536.25,540.16,209101,0.0
2021-12-20,536.16,540.68,522.46,538.29,208339,0.0
2021-12-21,543.74,547.21,529.865,541.47,182009,0.0
2021-12-22,543.8,549.59,539.04,548.78,188849,0.0
2021-12-23,546.49,558.15,546.49,549.65,157595,0.0
2021-12-27,553,561.51,547.955,561.49,224540,0.0
2021-12-28,562.51,565.58,550.11,561.75,228991,0.0
2021-12-29,564.2,569,558.79,567.23,135105,0.0
2021-12-30,566.64,569.46,552.87,561.01,174125,0.0
2021-12-31,560.81,569.21,557.48,566,75205,0.0
2022-01-03,566,566,540.24,550.25,220777,0.0
2022-01-04,552.14,555.64,546.81,549.89,138322,0.0
2022-01-05,546.03,551.76,528.21,528.9,213029,0.0
2022-01-06,524.42,532.755,510.76,520.04,233698,0.0
2022-01-07,517.82,519.465,502.194,503.1,263156,0.0
2022-01-10,496.81,497.25,485.29,496.25,478928,0.0
2022-01-11,496.31,505.82,488.435,502.32,336502,0.0
2022-01-12,505,520.6,505,512.81,405941,0.0
2022-01-13,513.47,514.77,502.57,507.77,371872,0.0
2022-01-14,501.12,503.83,483,494.34,287355,0.0
2022-01-18,484.49,497.58,477.13,494.27,260856,0.0
2022-01-19,497.36,504.3499,490.375,491.2,170259,0.0
2022-01-20,493.8,502.7,475.93,475.97,218976,0.0
2022-01-21,476.46,484.245,469.015,470.4,295965,0.0
2022-01-24,465,479.8,449.56,477.56,501170,0.0
2022-01-25,468.5,474.74,455.38,460.04,274517,0.0
2022-01-26,465.46,473.1413,447.78,451.12,243331,0.0
2022-01-27,458.61,462.78,449.95,452.15,259306,0.0
2022-01-28,452.82,459.76,441.15,459.76,220325,0.0
2022-01-31,458.97,477.1,458.05,476.25,242670,0.0
2022-02-01,475.78,482.75,465.47,473.5,272160,0.0
2022-02-02,474.8,479.555,469.26,471.14,176285,0.0
2022-02-03,463.62,469.29,457.1,458.44,250292,0.0
2022-02-04,455.93,457.71,447.47,448.71,269751,0.0
2022-02-07,451.77,455.6,445.235,448.96,265800,0.0
2022-02-08,448.42,456.0199,441.75,452.02,180349,0.0
2022-02-09,461.13,470.55,459.145,465.03,175031,0.0
2022-02-10,455.02,465.03,450.7,453.68,126761,0.0
2022-02-11,454.6,458.84,440.55,446.72,184486,0.0
