Date,Estimate,Actual
2022-05-04,None,None
2022-02-16,None,None
2021-11-03,None,None
2021-08-05,0.24,None
2021-05-06,0.64,0.28
2021-02-18,0.61,0.59
2020-11-05,0.62,0.58
2020-08-10,0.55,0.55
2020-05-08,0.71,0.67
2020-02-14,0.53,0.57
2019-11-05,0.62,0.61
2019-08-06,0.56,0.58
2019-05-02,0.73,0.7
2019-02-14,0.49,0.52
2018-11-01,0.56,0.59
2018-08-07,0.54,0.55
2018-05-03,0.66,0.74
2018-02-22,0.48,0.55
2017-11-01,0.53,0.56
2017-08-03,0.5,0.52
2017-05-04,0.61,0.62
2017-02-01,0.5,0.6
2016-11-01,0.58,0.63
2016-08-09,0.53,0.56
2016-04-28,0.74,0.67
2016-02-04,0.44,0.43
2015-10-29,0.5,0.51
2015-08-03,0.47,0.49
2015-05-07,0.7,0.77
2015-02-05,0.51,0.58
2014-11-04,0.53,0.54
2014-07-31,0.45,0.53
2014-05-01,0.71,0.8
2014-02-06,0.5,0.6
2013-10-31,0.68,0.66
2013-08-01,0.46,0.49
2013-05-02,0.7,0.71
2013-02-14,0.47,0.49
2012-11-08,0.68,0.72
2012-08-08,0.41,0.51
2012-05-04,0.66,0.7
2012-02-10,0.62,0.7
2011-11-03,0.7,0.76
2011-08-05,0.45,0.45
2011-05-05,0.73,0.84
2011-02-04,0.58,0.83
2010-10-28,0.7,0.74
2010-08-05,0.67,0.62
2010-05-06,0.9,0.94
2010-02-05,0.36,0.52
2009-10-29,0.45,0.52
2009-08-04,0.4,0.32
2009-05-01,0.46,0.6
2009-02-04,0.46,0.46
2008-11-04,0.6,0.45
2008-08-01,0.55,0.5
2008-05-02,0.62,0.61
2008-01-31,0.55,0.6
2007-10-31,0.62,0.72
2007-08-02,0.51,0.63
2007-05-03,0.7,0.65
2007-02-01,0.49,0.47
2006-10-31,0.6,0.55
2006-08-03,0.48,0.51
2006-05-04,0.58,0.7
2006-02-01,0.5,0.52
2005-11-01,0.6,0.56
2005-08-02,0.4,0.46
2005-05-05,0.54,0.53
2005-02-02,0.46,0.47
2004-10-20,0.5,0.52
2004-07-28,0.34,0.36
2004-04-28,0.54,0.52
2004-01-28,0.42,0.49
2003-10-23,0.51,0.5
2003-07-29,0.36,0.34
2003-04-29,0.5,0.53
2003-01-22,0.35,0.41
2002-10-17,0.45,0.48
2002-07-23,0.3,0.38
2002-04-24,0.55,0.52
2002-01-29,0.41,0.44
2001-10-24,0.45,0.52
2001-07-24,0.36,0.36
2001-04-24,0.56,0.76
2001-01-24,0.32,0.44
2000-10-25,0.33,0.41
2000-07-26,0.23,0.32
2000-04-26,0.44,0.5
2000-01-26,0.31,0.32
1999-10-27,0.27,0.28
1999-07-28,0.19,0.2
1999-04-28,0.34,0.37
1999-01-27,0.24,0.24
1998-10-28,0.25,0.27
1998-08-19,0.2,0.18
1998-04-24,0.34,0.3
1998-01-23,0.23,0.22
1997-10-22,0.26,0.24
1997-07-23,0.2,0.2
