Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,48.34,49.9,48.34,49.89,654673,0.0
2020-12-07,49.69,49.69,48.46,48.73,587112,0.0
2020-12-08,48.5,49.17,48.195,48.73,936769,0.0
2020-12-09,49.04,49.1,48.11,48.48,781396,0.0
2020-12-10,48.36,48.81,48.26,48.76,620442,0.0
2020-12-11,48.46,48.72,47.45,47.81,696350,0.0
2020-12-14,48.03,48.17,46.62,46.63,625801,0.0
2020-12-15,47.08,48.42,46.65,48.37,626226,0.0
2020-12-16,48.25,48.29,47.39,47.44,382889,0.0
2020-12-17,47.38,47.44,46.82,46.96,638728,0.0
2020-12-18,46.84,46.84,45.59,46.1,891457,0.0
2020-12-21,45.07,45.08,44.16,44.81,913314,0.0
2020-12-22,44.76,44.81,43.66,43.89,912178,0.0
2020-12-23,43.87,44.25,43.46,43.67,757369,0.0
2020-12-24,43.8,44.08,43.61,44.04,338427,0.0
2020-12-28,44.45,45.25,44.1,44.68,629714,0.0
2020-12-29,44.95,45.07,44.04,44.54,536321,0.0
2020-12-30,44.67,45.17,44.28,44.5,442480,0.0
2020-12-31,44.63,44.87,44.15,44.72,503958,0.0
2021-01-04,44.95,45,43.74,44.63,866490,0.0
2021-01-05,44.77,44.8,43.97,44.27,676306,0.0
2021-01-06,43.48,45.32,43.48,44.83,1421100,0.0
2021-01-07,45.2,46.18,45.01,46,1222647,0.0
2021-01-08,46.06,46.19,44.28,44.65,936280,0.0
2021-01-11,44.4,45.165,44.0621,44.6,955677,0.0
2021-01-12,44.65,46.26,44.47,45.67,1978815,0.0
2021-01-13,45.84,46.57,45.62,46.12,1786306,0.0
2021-01-14,45.94,46.13,44.18,44.66,2273853,0.0
2021-01-15,44.72,45.2,43.5,43.69,2246941,0.0
2021-01-19,43.92,44.08,43.35,43.47,1067699,0.0
2021-01-20,43.32,43.82,43.1,43.275,1081678,0.0
2021-01-21,43.35,43.705,42.94,43.43,1207235,0.0
2021-01-22,43.03,43.42,42.62,43.28,929139,0.0
2021-01-25,43.18,44.75,42.76,44.5,1361219,0.0
2021-01-26,44.78,44.83,44.16,44.5,866844,0.0
