Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,79.85,81.515,79.68,81.29,1792535,0.0
2020-12-07,80.53,80.61,79.27,79.98,1532337,0.0
2020-12-08,79.27,80.59,79.19,80.25,1324383,0.0
2020-12-09,81.35,81.64,79.72,80.25,1131126,0.0
2020-12-10,79.03,80.165,78.87,79.96,1006862,0.0
2020-12-11,78.47,79.36,77.98,78.58,1240434,0.0
2020-12-14,80,80.03,76.54,76.59,1722365,0.0
2020-12-15,77.66,78.09,76.15,77.8,1212834,0.0
2020-12-16,77.85,78.47,77.27,77.96,1208279,0.0
2020-12-17,78.45,78.625,76.655,77.65,1766734,0.0
2020-12-18,77.66,77.98,75.75,76.53,2859651,0.0
2020-12-21,76.11,76.37,74.58,76.21,1648003,0.0
2020-12-22,76.36,76.46,74.99,75,1349919,0.0
2020-12-23,75.96,77.303,75.96,76.79,1345011,0.0
2020-12-24,76.8,77.02,75.87,76.75,408253,0.0
2020-12-28,77.16,78.62,76.7,76.91,1225938,0.0
2020-12-29,77.21,77.58,76.14,76.34,1076840,0.0
2020-12-30,76.55,77.68,76.4401,77.45,1216626,0.0
2020-12-31,77.31,78.23,76.91,78.08,933589,0.0
2021-01-04,78.4,78.4,75.71,76.41,1902048,0.0
2021-01-05,76.28,77.96,76.04,77.14,1265954,0.0
2021-01-06,79.1,82.845,78.94,81.7,2833824,0.0
2021-01-07,82.62,82.94,81.23,81.34,1799054,0.0
2021-01-08,81.46,81.6,79.322,80.7,1301207,0.0
2021-01-11,79.68,81.18,79.2244,80.78,873680,0.0
2021-01-12,81.38,82.79,81.05,82.3,2760537,0.0
2021-01-13,81.86,82.47,81.2,82.21,2303784,0.0
2021-01-14,82.65,84.56,82.33,83.92,1438822,0.0
2021-01-15,83.57,84.03,82.17,83.63,2072909,0.0
2021-01-19,84.16,85.645,83.64,84.86,1670686,0.0
2021-01-20,84.77,84.85,83.61,83.98,1112547,0.0
2021-01-21,83.82,84.36,82.82,82.85,1170898,0.0
2021-01-22,82,82.88,81.45,82.64,1103492,0.0
2021-01-25,81.42,82.22,80.59,81.96,1505527,0.0
2021-01-26,82.37,82.58,81.1,81.21,1229399,0.0
2021-01-27,80,80.21,78.96,79.32,2731081,0.0
2021-01-28,80.1,82.23,79.92,81.19,1691572,0.0
2021-01-29,80.66,80.92,77.72,78.265,2569275,0.0
2021-02-01,78.86,79.1,77.27,78.91,1449793,0.0
2021-02-02,80,81.21,79.4,80.17,1601477,0.0
2021-02-03,80,81.15,79.83,80.95,1245376,0.0
2021-02-04,81.25,83.17,80.94,82.78,2163538,0.0
2021-02-05,83.81,83.81,79.55,80.18,3815827,0.0
2021-02-08,80.4,80.94,79.3245,80.92,2438797,0.0
2021-02-09,80.78,82,80.44,81.44,2552620,0.0
2021-02-10,81.61,82.5,81.14,82.11,2103383,0.0
2021-02-11,82.25,82.69,80.75,81.32,1976076,0.0
2021-02-12,80.01,82.165,80,80.86,2109703,0.0
2021-02-16,81.69,83.68,81.3116,82.76,2449526,0.0
2021-02-17,82.44,84.27,82.31,83.42,1835944,0.0
2021-02-18,82.79,83.49,81.11,81.91,1996119,0.0
2021-02-19,82.62,84.37,82.58,84.11,2377528,0.0
2021-02-22,83.72,87.005,83.72,86.11,2596321,0.0
2021-02-23,87.02,87.2,85.12,85.37,2094786,0.0
2021-02-24,86.12,90.59,85.82,89.9,4498830,0.0
2021-02-25,90.32,91.605,87.72,87.9,2838271,0.0
2021-02-26,87.43,88.26,85.47,86.72,2089676,0.0
2021-03-01,88.52,89.55,88.08,88.63,1967383,0.0
2021-03-02,89.06,89.74,88.84,89.02,1788578,0.0
2021-03-03,88.38,90.98,88.38,89.39,2333434,0.0
2021-03-04,89.35,89.83,86.41,88.58,2413831,0.0
2021-03-05,90,91.03,87.32,90.65,1877275,0.0
2021-03-08,91.59,94.53,91.41,92.71,2766846,0.0
2021-03-09,91.64,93.37,90.27,91.36,2430533,0.0
2021-03-10,91.3,93.33,91.15,92.8,2018622,0.0
2021-03-11,92.34,93.99,91.72,92.39,2217154,0.0
2021-03-12,93.56,94.85,93.111,93.88,1948018,0.0
2021-03-15,94.02,94.45,91.95,93.8,1923035,0.0
2021-03-16,92.61,93.03,90.81,91.39,2290523,0.0
2021-03-17,92.41,93.4,91.835,93.18,1799720,0.0
2021-03-18,94.08,95.49,92.89,93.11,2816912,0.0
2021-03-19,92,93.19,90.73,91.88,3031675,0.0
2021-03-22,91.1,91.72,90.32,90.85,1762655,0.0
2021-03-23,90.3,90.73,88.03,88.43,1829697,0.0
2021-03-24,89.45,90.95,88.78,88.79,2043941,0.0
2021-03-25,88.68,91.23,87.84,90.93,1692489,0.0
2021-03-26,92,92.27,90.62,91.95,1320084,0.0
2021-03-29,90.63,91.84,90.1,90.63,1589008,0.0
2021-03-30,91.3,92.5812,91.03,92.03,1495136,0.0
2021-03-31,91.41,92.2,91.06,91.12,2138220,0.0
2021-04-01,90.69,92.71,90.81,92.71,1470086,0.0
2021-04-05,93.8,94.2,92.54,92.75,1254256,0.0
2021-04-06,92.79,93.7,92.46,93.07,1295934,0.0
2021-04-07,93.05,94.16,93.05,93.95,1260647,0.0
2021-04-08,93.2,93.34,92.179,92.99,980711,0.0
2021-04-09,93.89,94.42,93.48,94.35,1889994,0.0
2021-04-12,95,95.75,94.51,95.59,1401841,0.0
2021-04-13,95.2,95.89,94.2,95.26,2489902,0.0
2021-04-14,95.48,97.85,95.39,97.33,2910236,0.0
2021-04-15,97.24,97.95,96.74,97.29,2483605,0.0
2021-04-16,98,99.53,97.85,98.9,1801136,0.0
2021-04-19,99.27,99.87,98.34,98.55,1418592,0.0
2021-04-20,97.58,98,95.27,96.02,1697117,0.0
2021-04-21,95.66,98.06,95.41,97.94,1497961,0.0
2021-04-22,97.45,97.76,96.3,96.74,1454132,0.0
2021-04-23,96.65,98.86,96.53,98.49,1377890,0.0
2021-04-26,98.97,100.21,98.35,98.54,1294461,0.0
2021-04-27,98.53,99.3799,98.53,99.3,992881,0.0
2021-04-28,100.14,100.77,99.661,99.8,1134767,0.0
2021-04-29,100.77,101.545,100.065,101.22,1406166,0.0
2021-04-30,101,101.36,99.95,100.37,1137484,0.0
2021-05-03,101.35,102.3899,100.58,101.45,1361362,0.0
2021-05-04,101.41,102.25,100.18,101.67,1672806,0.0
2021-05-05,102.75,104.61,101.6287,104.19,2387158,0.0
2021-05-06,104.61,105.68,103.42,105.63,1915670,0.0
2021-05-07,103.99,105.98,103.8501,105.95,1700838,0.0
2021-05-10,106.7,108.56,105.88,106.73,2581187,0.0
2021-05-11,106.25,106.48,103.9505,104.9,2603808,0.0
2021-05-12,105.64,106.25,102.93,103.18,1858843,0.0
2021-05-13,103.19,106.65,102.68,105.8,1974224,0.0
2021-05-14,106.14,107.89,106.01,107.68,1503629,0.0
2021-05-17,107.06,108.21,106.675,107.96,1370020,0.0
2021-05-18,107.5,107.89,106.51,106.57,1844197,0.0
2021-05-19,105.32,106.51,103.64,106.43,1970750,0.0
2021-05-20,106.44,106.85,104.84,105.71,1687163,0.0
2021-05-21,106.06,107.42,106.06,106.91,1748652,0.0
2021-05-24,105.95,106.87,105.5,106.34,1477867,0.0
2021-05-25,106.4,107.38,104.2,104.38,1695376,0.0
2021-05-26,104.99,105.26,103.61,105.03,1587673,0.0
2021-05-27,106.54,107.02,105.6,106.69,2064909,0.0
2021-05-28,107.1,107.21,104.92,106.98,1811019,0.0
2021-06-01,107.91,108.64,107.3675,108.51,1493970,0.0
2021-06-02,108.75,109.17,107.62,108.03,1513168,0.0
2021-06-03,107.57,109.085,107.272,108.24,1548404,0.0
2021-06-04,108.04,108.525,107.32,108.46,1080868,0.0
2021-06-07,108.65,108.9,107.73,108.07,1058567,0.0
2021-06-08,107.23,108.46,106.09,108.07,1090890,0.0
2021-06-09,107.41,107.55,106.08,106.09,1318599,0.0
2021-06-10,106.97,107.9,104.88,104.92,1255129,0.0
2021-06-11,105.43,106.28,105.05,105.53,1395924,0.0
2021-06-14,105.3,105.82,103.66,104.42,1300490,0.0
2021-06-15,104.48,105.545,104.02,104.92,1441723,0.0
2021-06-16,104.51,105.94,103.32,105.16,1461964,0.0
2021-06-17,105.53,105.83,99.97,100.64,2463077,0.0
2021-06-18,98.57,99.64,97.38,97.62,3711988,0.0
2021-06-21,98.58,100.77,98.57,100.77,1568302,0.0
2021-06-22,100.82,100.96,99.3661,100.42,1113444,0.0
2021-06-23,100.7,101.66,100.25,101.04,1208293,0.0
2021-06-24,101.25,102.88,100.63,102.5,1252964,0.0
2021-06-25,102.99,104.57,102.53,104.33,1319511,0.0
2021-06-28,103.91,103.91,101.88,102.2,1297419,0.0
2021-06-29,102.89,103.68,101.37,101.73,1064558,0.0
2021-06-30,101.48,102.6,101.211,102.47,973084,0.0
2021-07-01,103.29,103.63,102.61,103.3,1042615,0.0
2021-07-02,103.02,103.49,102.54,103.09,844695,0.0
2021-07-06,102.58,102.87,99.48,100.15,1718154,0.0
2021-07-07,99.29,100.66,99.03,100.42,1256139,0.0
2021-07-08,98.49,98.92,96.585,97.17,2073074,0.0
2021-07-09,99.18,100.845,98.54,100.58,1702012,0.0
2021-07-12,99.8,101.78,98.9,101.63,1345631,0.0
2021-07-13,101.62,101.78,99.87,100.15,1306560,0.0
2021-07-14,100.37,101.61,98.87,99.69,1213700,0.0
2021-07-15,99.04,100.97,98.6782,100.3,1181240,0.0
2021-07-16,101,101.16,98.43,98.75,1149245,0.0
2021-07-19,96.22,96.81,94.51,95.71,2336697,0.0
2021-07-20,95.59,99.94,95.1347,99.06,1888166,0.0
2021-07-21,99.93,102.43,99.83,101.21,1748905,0.0
2021-07-22,101,101,99.045,99.46,1275369,0.0
2021-07-23,100.33,100.75,99.09,99.5,1046994,0.0
2021-07-26,99.62,101.225,99.62,100.75,1167478,0.0
2021-07-27,99.92,101.13,98.89,100.54,1190352,0.0
2021-07-28,100.63,101.425,99.3,100.58,1245575,0.0
2021-07-29,101.84,102.55,100.94,101.43,1342169,0.0
2021-07-30,100.96,102.19,100.05,100.28,1240532,0.0
2021-08-02,101,102.92,99.96,100.2,1304867,0.0
2021-08-03,101.03,102.36,98.74,102.25,1743673,0.0
2021-08-04,99.8,102.06,99.09,99.9,2308650,0.0
2021-08-05,101.25,102.29,101.08,102.08,1350041,0.0
2021-08-06,103.46,105.46,103.49,104.76,1599140,0.0
2021-08-09,104.33,105.48,103.54,104.81,1539483,0.0
2021-08-10,104.69,106.72,104.441,106.09,1715314,0.0
2021-08-11,106.57,107.61,105.59,107.55,1749817,0.0
2021-08-12,108,108.48,107.24,107.95,1482627,0.0
2021-08-13,108.32,108.54,107.57,108.02,1376120,0.0
2021-08-16,107.43,107.81,105.66,107.315,1532027,0.0
2021-08-17,106.25,107.22,105.27,106.55,1758817,0.0
2021-08-18,106,107.2383,104.97,105.06,1496929,0.0
2021-08-19,103.82,105.05,102.92,103.81,1590373,0.0
2021-08-20,103.69,104.56,103.37,104.33,1551171,0.0
2021-08-23,104.02,105.29,104,104.51,1347174,0.0
2021-08-24,104.6,105.74,104.45,105.52,1220013,0.0
2021-08-25,105.92,107.87,105.55,106.82,1148050,0.0
2021-08-26,107.37,107.13,105.31,105.55,1240318,0.0
2021-08-27,105.92,107.63,105.675,107.36,1334247,0.0
2021-08-30,107.3,107.4,105.38,105.83,1132330,0.0
2021-08-31,105.56,106.9,105.28,105.87,1975617,0.0
2021-09-01,106.11,106.33,104.57,104.75,1166540,0.0
2021-09-02,105,105.4,104.43,105.03,1343384,0.0
2021-09-03,105.46,105.81,104.32,104.89,1106024,0.0
2021-09-07,104.8,105.77,104.51,104.83,1577999,0.0
2021-09-08,104.7,105.3,103.98,104.64,1155270,0.0
2021-09-09,104.38,106.17,104.07,104.54,1281521,0.0
2021-09-10,105.42,105.56,103.7,103.74,1114746,0.0
2021-09-13,104.99,105.68,104.11,105.41,1238449,0.0
2021-09-14,106,106.17,103.31,103.71,1410162,0.0
2021-09-15,104.13,105.34,103.8,104.35,1672958,0.0
2021-09-16,104.64,105.39,103.395,103.62,1686507,0.0
2021-09-17,103.07,104.82,102.77,103.13,2288461,0.0
2021-09-20,100.35,100.655,97.05,98.88,3172741,0.0
2021-09-21,99.53,99.89,97.28,97.9,2162725,0.0
2021-09-22,99.49,100.89,99.37,100.07,1523811,0.0
2021-09-23,101.26,104.27,101.12,103.2,1415256,0.0
2021-09-24,103.24,104.81,103.15,103.76,1078559,0.0
2021-09-27,104.8,107.54,104.595,106.61,1510098,0.0
2021-09-28,106.97,107.87,105.5,105.58,1506235,0.0
2021-09-29,105.95,106.37,105.14,105.9,1188126,0.0
2021-09-30,106.5,107,104.62,105.2,1955154,0.0
2021-10-01,105.5,106.89,104.55,106.22,954687,0.0
2021-10-04,105.98,108.09,105.39,105.74,1432882,0.0
2021-10-05,106.4,108.49,105.35,108.15,1567834,0.0
2021-10-06,107.08,108,105.68,107.95,1132207,0.0
2021-10-07,108.93,109.61,108.31,108.5,1228032,0.0
2021-10-08,108.78,110.12,108.52,109.73,1113245,0.0
2021-10-11,110.03,111.91,109.81,110.08,1583751,0.0
2021-10-12,109.97,110.73,108.67,108.97,1259974,0.0
2021-10-13,108.5,108.665,105.47,107.46,1348310,0.0
2021-10-14,108.65,109.87,108.1,109.77,1159993,0.0
2021-10-15,110.8,111.49,110.31,110.59,1164072,0.0
2021-10-18,110.32,111.26,109.811,110.5,863312,0.0
2021-10-19,111.58,112.13,110.95,111.93,959932,0.0
2021-10-20,111.69,114.06,111.262,114.02,1075006,0.0
2021-10-21,113.5,114.63,112.281,113.25,927280,0.0
2021-10-22,113.58,114.535,112.95,114,839228,0.0
2021-10-25,114.33,114.6832,113.65,113.82,928436,0.0
2021-10-26,114.32,114.74,113.52,113.63,801402,0.0
2021-10-27,113.15,114.31,111.67,111.76,994908,0.0
2021-10-28,111.98,113.08,111.79,112.59,949169,0.0
2021-10-29,112.49,112.83,109.52,110.06,1720114,0.0
2021-11-01,111.05,111.47,109.91,111.34,1089816,0.0
2021-11-02,111.17,112.065,110.57,111.11,1576267,0.0
2021-11-03,109,115.52,108.4,113.95,2521734,0.0
2021-11-04,113.35,113.72,110.06,111.81,2005478,0.0
2021-11-05,112.89,113.44,110.3,110.93,1400145,0.0
2021-11-08,111.75,112.79,110.66,111.07,912209,0.0
2021-11-09,110.13,110.61,108.25,109.16,1493698,0.0
2021-11-10,110.11,110.9315,108.08,109.58,1921575,0.0
2021-11-11,109.58,110.7429,109.02,110.27,891464,0.0
2021-11-12,110.03,110.79,109.47,110.73,871457,0.0
2021-11-15,110.93,111.45,110.43,110.87,1061288,0.0
2021-11-16,111.13,112.48,110.63,111.29,1641162,0.0
2021-11-17,111,111.43,110.03,110.28,1134113,0.0
2021-11-18,110.13,110.84,108.5057,109.26,1101906,0.0
2021-11-19,107.56,107.689,105.67,106.53,1940087,0.0
2021-11-22,106.27,108.75,105.75,107.47,1631561,0.0
2021-11-23,108.36,110.45,108.2,110.18,1678008,0.0
2021-11-24,110.04,110.48,108.75,109.32,1168619,0.0
2021-11-26,104.5,105.66,102.2181,105.11,1512556,0.0
2021-11-29,106.72,106.82,103.97,104.98,1562493,0.0
2021-11-30,103.47,103.76,101.55,102.25,2083382,0.0
2021-12-01,104.54,104.87,100.01,100.01,1888763,0.0
2021-12-02,101,104.39,100.4,103.47,1650977,0.0
2021-12-03,103.32,104.31,101.7,102.75,1870159,0.0
2021-12-06,104.06,105.85,103.81,104.24,1476858,0.0
2021-12-07,105,106.3,104.3,105.77,1272367,0.0
2021-12-08,106.06,107,105.68,105.71,1023429,0.0
2021-12-09,105.51,107.075,104.77,106.52,963037,0.0
2021-12-10,107.39,107.85,106.33,107.06,1227383,0.0
2021-12-13,106.37,106.51,104.72,105.28,689538,0.0
2021-12-14,105.14,108.06,105.12,107.08,1679510,0.0
2021-12-15,107.08,107.67,104.83,106.9,1498398,0.0
2021-12-16,108.22,109.12,107.36,108.04,1526076,0.0
2021-12-17,107.78,108,105.28,105.38,2296295,0.0
2021-12-20,103.7,103.9,100.2,101.61,2108947,0.0
2021-12-21,102.99,106.51,102.99,105.98,1672136,0.0
2021-12-22,105.83,107.23,105.675,106.92,1250740,0.0
2021-12-23,107.59,109.07,107.59,108.25,896627,0.0
2021-12-27,108.42,108.86,107.5643,108.84,894019,0.0
2021-12-28,108.52,110.1,108.33,109.06,948267,0.0
2021-12-29,109.77,110.05,109,109.09,660972,0.0
2021-12-30,109.43,110.04,108.53,108.65,692550,0.0
2021-12-31,108.32,109.11,108.06,108.25,751722,0.0
2022-01-03,108.82,110.83,108.82,109.92,1240950,0.0
2022-01-04,111.18,114.44,111.06,113.72,1791126,0.0
