Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,94.6,95.72,93.5625,93.89,491809,9394,94.377279
2021-01-04,97.34,97.48,93.7,96.5,2440304,29895,96.012646
2021-01-05,95.36,97.88,95.36,96.62,1089402,16171,96.657214
2021-01-06,97.59,104.12,97.54,102.77,1292620,17669,102.076392
2021-01-07,102.68,107.87,102.22,105.5,1398800,19027,105.946684
2021-01-08,105.93,106.106,102.73,103.97,873405,13816,104.334666
2021-01-11,101.83,105.21,101.24,104.58,603061,9974,104.375674
2021-01-12,105.2,108.84,104.77,108.79,738326,11730,107.847502
2021-01-13,107.4,108.23,104.63,104.84,719747,9506,105.865544
2021-01-14,105.28,105.98,100.86,101.23,917684,13145,102.469807
2021-01-15,100.05,101.65,98.25,100.28,785776,11404,100.35581
2021-01-19,100.5,101.82,96.605,97.32,751383,10856,98.091964
2021-01-20,97.69,100.73,97.69,99.23,701973,9281,99.313408
2021-01-21,99.64,100.27,98.51,99.38,692022,8676,99.364996
2021-01-22,97.81,99.69,96.83,97.79,692750,9815,97.932388
2021-01-25,96.87,97.82,92.8797,95.85,986791,14299,95.560644
2021-01-26,96.92,96.92,91.2053,91.52,960922,14060,92.556357
2021-01-27,89.37,89.765,84.56,85.11,1549981,20179,86.276774
2021-01-28,86.85,90.6,86.0,88.72,1110749,14119,88.637887
2021-01-29,88.09,88.83,84.4097,85.26,880508,12289,85.840954
2021-02-01,82.67,84.99,78.76,82.45,3213290,34202,81.592335
2021-02-02,84.35,87.035,83.54,85.61,2040281,19110,85.466975
2021-02-03,86.44,88.5,85.43,87.6,860930,13149,87.408916
2021-02-04,88.36,93.045,88.1,92.61,1283795,16951,91.709314
2021-02-05,94.03,95.32,93.4,95.19,774062,11306,94.592298
2021-02-08,95.93,96.47,94.34,95.24,919962,11886,95.135591
2021-02-09,94.51,95.19,93.5801,93.79,763246,9499,94.206977
2021-02-10,94.84,97.02,93.14,95.86,623157,10477,95.457176
2021-02-11,95.49,97.76,94.52,97.72,673818,13170,96.69571
2021-02-12,96.84,97.28,95.37,96.15,539776,8591,96.375515
2021-02-16,96.64,97.88,95.76,97.58,839615,8335,96.921764
2021-02-17,97.0,97.09,93.03,93.45,1108263,14882,94.1724
2021-02-18,92.64,92.9,89.33,91.09,746669,11440,90.92534
2021-02-19,91.41,94.21,91.34,93.98,1084159,13835,92.920044
2021-02-22,94.6,98.2,93.42,97.48,775885,10987,97.043414
2021-02-23,97.28,97.89,93.9,97.06,721938,12783,96.57656
2021-02-24,97.72,102.53,97.18,102.29,1277472,17142,100.819966
2021-02-25,102.82,104.29,99.585,99.92,749593,13728,101.389686
2021-02-26,100.02,101.06,96.48,99.96,818204,12585,99.533471
2021-03-01,102.27,102.6309,100.0,100.21,1109346,14324,100.893634
2021-03-02,99.8,102.84,99.57,102.11,596442,10570,102.00902
2021-03-03,102.54,106.33,101.71,104.25,1000851,11794,104.910158
2021-03-04,103.98,104.74,96.675,99.55,1117292,16457,100.082805
2021-03-05,100.65,105.03,97.44,104.39,1089896,13393,102.823425
2021-03-08,105.52,110.89,105.295,106.75,1228254,17903,107.961694
2021-03-09,106.44,107.9599,103.94,104.13,673866,10661,105.266981
2021-03-10,104.63,106.49,103.28,105.36,776056,11236,104.988156
2021-03-11,105.74,106.79,103.92,104.98,653005,10593,104.970248
2021-03-12,106.0,108.8,105.82,107.3,690294,9535,107.398432
2021-03-15,106.95,108.6899,105.84,108.44,661642,10632,107.760858
2021-03-16,107.99,109.0,104.21,106.0,898604,12796,106.183695
2021-03-17,106.23,106.8,102.2,105.0,827017,12086,104.627099
2021-03-18,106.24,110.56,104.9,105.4,851177,14078,107.422879
2021-03-19,104.11,107.75,102.445,105.78,973143,13043,105.910072
2021-03-22,105.53,105.62,101.8,103.47,700171,12403,103.604766
2021-03-23,101.25,101.654,93.7629,94.94,1696273,23243,96.586687
2021-03-24,96.71,99.79,95.6,95.69,1326744,21016,97.524787
2021-03-25,93.97,98.69,91.49,98.25,1093877,17120,95.855375
2021-03-26,99.75,102.75,99.0,101.9,929843,14497,100.758115
2021-03-29,101.14,102.34,97.44,97.96,1102648,15778,98.695796
2021-03-30,97.5,100.86,97.3501,100.12,1119425,14645,99.458776
2021-03-31,100.59,107.45,100.1,105.7,1509155,20018,105.472128
2021-04-01,105.0,105.933,99.68,100.98,1397394,22079,101.939356
2021-04-05,102.41,105.06,100.99,104.3,1172085,19935,103.586039
2021-04-06,103.63,105.66,103.27,104.08,1037718,16319,104.240528
2021-04-07,104.87,105.6594,102.5602,102.95,609593,10466,103.458708
2021-04-08,102.48,104.74,101.17,104.56,635204,9819,103.826784
2021-04-09,105.1,110.64,104.485,110.5,1706655,19829,109.29372
2021-04-12,110.12,114.18,110.02,113.1,1610709,23911,112.614901
2021-04-13,112.11,112.31,107.26,108.29,1810183,22851,109.040236
2021-04-14,107.8,109.98,107.01,107.74,764905,12859,108.48681
2021-04-15,109.15,109.15,106.38,107.19,665325,11064,107.459073
2021-04-16,108.51,109.0,105.35,106.17,963690,13206,106.337528
2021-04-19,105.33,106.75,103.34,103.93,973200,12153,104.266977
2021-04-20,102.93,103.27,99.57,101.9,1565289,19076,101.020542
2021-04-21,101.65,107.9,101.29,107.55,1563208,18930,106.588758
2021-04-22,108.26,109.95,106.72,107.01,985719,15989,107.956186
2021-04-23,108.32,109.9,106.26,109.44,721803,12534,108.362374
2021-04-26,110.0,112.35,107.49,108.49,737712,11053,109.229887
2021-04-27,108.49,111.81,107.8592,111.44,541222,9280,111.057814
2021-04-28,111.28,114.24,110.69,113.5,1278755,16433,113.307006
2021-04-29,114.99,116.0,113.38,114.05,920539,14339,114.491918
2021-04-30,113.56,114.39,111.87,113.18,775947,12268,113.285528
2021-05-03,114.32,117.2,113.66,116.64,695430,10615,116.138027
2021-05-04,116.57,116.99,114.46,116.24,507013,11016,115.703831
2021-05-05,117.14,118.65,116.48,117.39,555427,10358,117.568132
2021-05-06,118.32,118.5,114.75,115.78,610870,13681,115.69652
2021-05-07,114.79,119.79,114.575,118.67,751855,11072,118.323124
2021-05-10,118.78,121.175,114.82,115.15,880492,15378,118.242272
2021-05-11,112.84,114.03,110.04,111.79,902515,17056,111.688425
2021-05-12,111.28,112.48,105.44,105.95,785638,14530,107.845601
2021-05-13,106.64,109.66,105.87,107.64,461348,9585,108.042318
2021-05-14,108.46,113.78,108.46,113.36,962785,13026,112.067737
2021-05-17,113.38,116.89,111.79,116.48,624696,12094,115.533723
2021-05-18,116.72,117.98,115.46,116.67,1530782,19458,117.028171
2021-05-19,114.15,114.15,110.59,112.66,808936,12709,112.350083
2021-05-20,112.2,113.02,106.34,110.03,1240573,17550,108.815111
2021-05-21,110.59,111.12,108.59,109.25,789920,12809,109.733352
2021-05-24,109.84,110.95,108.05,110.11,570159,11054,109.957351
2021-05-25,111.12,112.85,110.025,110.26,595456,10984,110.933956
2021-05-26,111.35,114.71,110.425,114.37,543467,10930,114.089115
2021-05-27,116.15,116.98,114.8,116.63,550904,11503,116.260834
2021-05-28,117.56,117.56,112.77,114.82,815844,14411,114.518388
2021-06-01,115.75,116.45,113.21,114.11,1339133,18984,114.238818
2021-06-02,114.2,114.36,108.64,109.41,2081570,29903,109.912113
2021-06-03,110.86,112.16,107.3,110.59,2079251,27950,110.387451
2021-06-04,111.21,111.34,106.67,110.04,973834,19947,109.275803
2021-06-07,111.58,113.22,110.56,110.66,777439,14803,111.384463
2021-06-08,110.42,113.53,109.59,112.92,472877,11322,112.147885
2021-06-09,112.87,113.105,110.58,110.85,561555,10857,111.196741
2021-06-10,111.49,112.26,108.525,108.72,608391,11684,109.140517
2021-06-11,109.48,113.09,109.265,113.04,665646,12075,111.947956
2021-06-14,112.9991,113.22,108.43,108.98,940667,14336,109.343218
2021-06-15,109.04,109.47,106.8,108.98,490257,10644,108.473584
2021-06-16,108.34,109.23,106.11,108.58,450153,11476,108.04902
2021-06-17,108.55,108.82,103.18,105.24,929185,13938,105.298154
2021-06-18,102.77,104.94,101.45,101.71,1654026,18427,102.47761
2021-06-21,103.16,104.82,102.37,103.88,944876,15310,103.701832
2021-06-22,103.16,105.19,101.62,104.73,463664,9516,104.224534
2021-06-23,105.51,109.78,105.5,107.77,1457030,17693,108.229944
2021-06-24,107.73,109.62,106.5,108.31,867033,12751,108.278668
2021-06-25,108.5,111.24,108.5,110.91,1712958,15199,110.466801
2021-06-28,110.55,110.66,106.13,106.27,1124944,16429,107.454756
2021-06-29,106.51,107.7,104.83,105.0,740759,12959,105.989159
2021-06-30,105.03,107.745,104.3001,107.59,676919,10274,106.881881
2021-07-01,108.82,110.6499,108.09,109.9,701670,12880,109.539543
2021-07-02,110.0,110.0,108.34,109.34,482148,10047,109.281516
2021-07-06,108.71,108.72,104.77,106.8,829356,12872,106.42805
2021-07-07,105.67,107.13,102.2,103.74,826885,14010,103.576187
2021-07-08,101.34,103.01,98.83,102.96,1388365,17674,101.962701
2021-07-09,105.68,108.67,104.99,108.05,861817,14023,107.515225
2021-07-12,106.01,108.23,104.76,107.73,549429,10071,107.288803
2021-07-13,106.81,107.07,103.69,104.67,732881,12670,104.811195
2021-07-14,106.36,107.39,103.12,103.35,730767,13591,104.121249
2021-07-15,101.8,102.56,99.14,100.85,1059955,14835,100.721877
2021-07-16,101.61,102.04,96.71,98.0,2105341,21556,97.780795
2021-07-19,94.39,96.07,92.465,93.8,1566747,21720,93.995001
2021-07-20,93.73,100.39,92.79,99.8,1142370,18485,98.773232
2021-07-21,100.7,104.43,100.63,101.8,677251,11749,102.197439
2021-07-22,101.79,101.96,100.1,101.36,798094,11256,101.014746
2021-07-23,102.79,103.68,100.98,101.9,587070,10310,101.938487
2021-07-26,102.04,104.04,101.78,103.8,446538,12124,103.287468
2021-07-27,102.87,103.59,101.15,102.25,441860,9637,102.17468
2021-07-28,103.05,104.35,99.98,101.64,442306,9465,101.967528
2021-07-29,103.47,104.67,102.91,103.45,490958,10136,103.689204
2021-07-30,103.43,107.4,102.98,104.62,1037107,17566,105.211039
2021-08-02,105.92,109.52,104.165,104.29,691417,13974,105.52286
2021-08-03,106.02,110.65,104.17,109.36,1218315,16921,108.869823
2021-08-04,107.84,109.5597,105.65,105.78,740308,12227,106.918613
2021-08-05,106.42,108.97,105.95,108.93,627412,11760,108.189389
2021-08-06,110.81,111.85,109.73,110.24,574035,11416,110.481831
2021-08-09,109.11,109.61,107.595,108.06,550648,10936,108.572527
2021-08-10,107.6,112.83,107.52,110.98,642388,11015,111.31236
2021-08-11,110.92,114.37,109.99,113.85,626251,9059,112.956516
2021-08-12,114.24,114.76,112.58,114.27,452453,8408,113.933877
2021-08-13,113.89,116.69,113.18,116.62,676762,11337,115.582116
2021-08-16,114.9,115.13,112.62,112.8,656622,12437,113.432908
2021-08-17,110.48,110.84,105.42,106.7,967432,14484,106.989442
2021-08-18,105.79,108.465,104.6,106.13,907559,16463,107.072051
2021-08-19,102.98,107.095,102.95,105.39,956326,15997,105.324096
2021-08-20,105.83,106.945,102.35,104.55,1925169,23565,103.899593
2021-08-23,106.65,108.94,104.3101,107.12,1736427,22693,106.428641
2021-08-24,107.55,112.29,107.55,110.62,1569740,21365,110.664668
2021-08-25,110.46,111.31,107.85,110.45,1712964,23242,109.899257
2021-08-26,111.1,111.1,104.3927,105.78,1089784,17396,105.969016
2021-08-27,105.89,109.605,105.6,108.87,905950,17073,108.397705
2021-08-30,109.57,109.745,106.53,106.7,1047572,16135,107.743359
2021-08-31,106.06,107.2443,103.6,104.79,1344328,21395,105.343215
2021-09-01,119.0,121.56,117.46,120.58,3710143,44143,119.854262
2021-09-02,121.37,121.94,118.37,119.74,1999028,29045,119.966185
2021-09-03,119.29,120.12,114.37,115.18,1158393,18692,115.638528
2021-09-07,114.91,115.05,111.73,112.7,956719,17281,112.953894
2021-09-08,111.62,112.17,107.22,108.57,1713138,20944,108.257993
2021-09-09,109.03,111.6,107.9222,110.78,905104,14044,110.466895
2021-09-10,112.36,113.98,109.09,109.13,886718,13888,110.412233
2021-09-13,110.5,112.34,109.03,111.24,843719,14602,111.063101
2021-09-14,111.69,111.69,107.32,109.09,783184,10862,108.910728
2021-09-15,108.64,110.21,107.17,109.97,600196,9967,109.530861
2021-09-16,110.0,112.0,110.0,110.19,814793,13187,110.906674
2021-09-17,109.39,111.8,108.77,109.98,1097488,13635,109.757945
2021-09-20,106.74,107.83,104.325,106.42,936611,16266,105.779372
2021-09-21,108.17,108.73,104.79,105.49,745178,11285,105.819153
2021-09-22,107.14,109.43,106.645,107.56,688493,11118,107.949428
2021-09-23,109.37,113.72,108.99,111.7,896265,13613,112.184629
2021-09-24,110.0,111.65,108.82,110.48,794507,13812,110.63656
