Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,113.4,114.81,112.4,113.89,1466718,18136,113.805253
2021-01-04,115.02,116.37,111.815,113.48,1631321,23971,113.824483
2021-01-05,115.17,124.5,114.98,121.35,3046131,41864,121.430645
2021-01-06,122.39,128.46,121.3,126.36,3447487,46994,126.040915
2021-01-07,128.38,133.4107,127.28,131.99,2931479,39199,131.434488
2021-01-08,133.78,133.78,130.12,131.24,3147813,37180,131.535567
2021-01-11,127.13,131.77,126.17,131.42,2467437,35945,130.33541
2021-01-12,133.25,138.4199,132.74,135.12,13487262,64080,135.572708
2021-01-13,133.68,134.51,129.51,130.93,3363576,40002,131.209809
2021-01-14,130.99,134.09,129.8901,132.38,3052440,36517,131.895941
2021-01-15,130.9,130.96,126.31,127.38,2783821,33637,128.223008
2021-01-19,128.72,132.97,128.27,132.04,2796967,28982,131.690576
2021-01-20,133.93,134.53,130.92,132.13,2291449,27822,132.688895
2021-01-21,131.68,132.18,126.93,130.0,3598932,39538,129.501905
2021-01-22,126.94,131.74,125.76,131.16,2528110,34571,130.215322
2021-01-25,129.38,130.47,125.68,129.33,1712525,24813,128.219007
2021-01-26,130.71,132.39,123.57,123.64,2102643,30195,125.940203
2021-01-27,121.8,123.9,117.06,117.63,3793742,45125,120.105975
2021-01-28,118.48,123.65,115.145,122.6,4512114,50580,120.081037
2021-01-29,121.35,124.285,119.84,120.9,2748085,36529,121.513719
2021-02-01,122.17,122.99,119.065,120.26,1830792,28268,120.581125
2021-02-02,124.34,124.67,119.39,119.58,2052231,27651,121.3263
2021-02-03,119.53,127.34,119.25,126.64,2140087,30420,125.27209
2021-02-04,127.03,127.58,123.28,126.6,1532300,22285,125.732993
2021-02-05,130.33,130.33,126.86,128.24,2001005,26455,128.291236
2021-02-08,129.0,133.9392,128.45,133.05,2027779,25084,132.175615
2021-02-09,132.8,132.8,128.6,129.04,2903216,33243,129.760323
2021-02-10,129.51,134.33,129.28,132.35,2684804,30886,132.111993
2021-02-11,131.74,132.63,127.13,129.87,1881824,25576,129.274173
2021-02-12,129.0,132.89,127.81,132.29,2138897,27971,130.909652
2021-02-16,136.11,138.96,135.145,136.16,3950623,35125,136.449683
2021-02-17,136.72,137.865,134.35,136.2,2711321,31101,135.893396
2021-02-18,135.76,136.49,131.76,133.01,2637811,31210,133.521897
2021-02-19,133.81,134.72,131.81,133.94,2257083,25588,133.54848
2021-02-22,135.1,144.23,134.64,139.47,3658351,44466,140.782089
2021-02-23,142.01,145.56,133.4,145.24,4105659,49030,142.20824
2021-02-24,143.98,151.06,142.63,150.06,3231270,40999,149.263297
2021-02-25,152.0,153.2134,148.14,149.05,2749448,33633,150.49518
2021-02-26,147.67,150.26,141.28,148.57,3139527,40674,147.211646
2021-03-01,148.88,150.22,146.83,148.47,2248353,28819,148.618847
2021-03-02,148.82,150.41,147.32,149.75,2019738,28403,149.15633
2021-03-03,151.44,158.36,151.24,154.16,3008156,40942,155.294992
2021-03-04,155.34,160.0,152.72,158.57,3304668,43557,157.103016
2021-03-05,163.0,165.54,159.61,163.59,3505219,50346,163.080673
2021-03-08,165.16,165.575,160.51,162.09,2650986,37478,163.273151
2021-03-09,159.69,165.17,156.83,156.93,3187399,36351,159.608843
2021-03-10,156.71,158.98,152.03,158.5,4864962,46402,156.343783
2021-03-11,160.13,165.85,159.45,164.58,2866854,35300,163.792032
2021-03-12,165.91,166.82,164.0,165.63,1933608,26977,165.571984
2021-03-15,165.62,166.26,163.72,165.76,1993996,24156,165.435148
2021-03-16,163.97,165.45,161.66,163.03,2506038,30635,163.345041
2021-03-17,163.35,169.49,162.4,169.27,3077435,37511,167.270228
2021-03-18,168.25,168.76,160.63,161.88,3482313,45790,164.346254
2021-03-19,162.3,164.77,157.9,163.48,4280927,32560,163.116658
2021-03-22,162.66,162.95,158.18,158.66,1943480,25118,159.486395
2021-03-23,155.0,162.64,153.1215,157.34,2857201,35289,158.304865
2021-03-24,160.18,164.3,160.08,161.3,1961354,26244,161.756106
2021-03-25,157.71,161.8,155.82,161.31,1744083,26887,159.579643
2021-03-26,164.22,165.49,161.2,164.81,2010042,27807,163.509666
2021-03-29,163.83,163.99,158.91,162.28,1347544,21934,161.808061
2021-03-30,159.88,161.45,158.28,160.62,1169440,17850,160.271974
2021-03-31,159.89,160.5179,157.82,158.82,2030222,24645,159.032247
2021-04-01,159.68,164.78,158.5,164.6,2200373,25843,163.131351
2021-04-05,155.43,157.26,151.5,152.18,4957374,58050,154.058077
2021-04-06,153.44,156.54,150.5768,151.38,3355156,38940,152.177507
2021-04-07,151.88,154.85,151.28,153.53,1898612,25975,153.171888
2021-04-08,151.07,151.89,148.755,149.49,2587692,32755,149.674328
2021-04-09,149.83,150.6088,145.52,147.19,1901500,27516,147.570758
2021-04-12,148.89,149.0,143.95,145.02,1604140,28053,145.905976
2021-04-13,145.66,147.74,145.1,145.68,1583404,23656,146.309263
2021-04-14,146.5,153.85,146.5,153.1,2705956,38438,152.34294
2021-04-15,151.2,153.164,150.22,152.22,1951844,25250,151.755415
2021-04-16,153.0,153.0,148.01,148.41,1541324,24511,149.50891
2021-04-19,149.21,151.3906,147.555,148.58,1141837,18099,148.89295
2021-04-20,147.53,147.65,143.37,145.92,1900049,28133,145.24353
2021-04-21,142.53,147.669,141.35,147.1,1507678,22177,146.357808
2021-04-22,148.26,148.26,145.25,146.28,1145164,18377,146.509612
2021-04-23,144.65,147.61,144.3701,146.45,1335943,17101,146.39209
2021-04-26,146.97,149.66,146.01,148.98,1080275,16765,148.685408
2021-04-27,148.9,151.61,148.1592,151.07,1124039,18449,150.269921
2021-04-28,152.46,158.44,152.39,157.22,2041561,27795,156.589171
2021-04-29,159.09,161.67,156.61,159.57,1576402,29960,159.317137
2021-04-30,158.0,159.27,153.53,153.83,1597260,21567,155.174166
2021-05-03,155.96,159.33,155.54,158.66,1202377,18357,158.020789
2021-05-04,158.34,160.58,155.73,158.45,1779043,28408,158.653943
2021-05-05,160.72,166.67,156.66,164.34,2721719,37710,163.612514
2021-05-06,162.61,165.09,159.33,164.94,1957344,29974,163.416066
2021-05-07,163.04,168.535,161.33,167.83,2027939,31701,166.194031
2021-05-10,170.0,175.37,167.45,167.41,2182112,33529,169.938589
2021-05-11,157.1,158.7566,152.71,157.7,6403068,75893,156.944466
2021-05-12,159.29,160.53,155.06,156.17,3223421,42761,158.183748
2021-05-13,155.9,157.49,149.64,151.87,3147130,41057,153.122451
2021-05-14,154.15,157.24,153.883,156.96,1802002,31678,156.296908
2021-05-17,157.0,161.21,154.8,161.03,3041235,35930,159.20762
2021-05-18,161.92,162.11,157.415,158.37,2238272,31794,158.947408
2021-05-19,154.72,156.275,150.95,153.09,2876127,38366,152.852746
2021-05-20,152.0,152.44,148.0,150.65,4580849,50484,150.327008
2021-05-21,153.01,156.21,150.69,150.72,2354588,32560,152.395117
2021-05-24,152.08,152.63,150.14,151.64,2156804,28314,151.617882
2021-05-25,151.36,151.93,147.8,148.32,2144424,31215,149.035754
2021-05-26,148.66,150.89,148.0,150.29,2542965,30634,149.903617
2021-05-27,151.24,152.16,149.07,151.94,3064950,33910,151.234907
2021-05-28,152.42,153.3,151.055,152.19,1546445,23291,152.227595
2021-06-01,155.0,162.17,154.755,161.44,2887356,39801,160.414744
2021-06-02,162.08,168.76,159.82,166.58,2998202,43036,166.000772
2021-06-03,165.62,171.43,164.79,170.1,2627472,34742,169.729263
2021-06-04,171.22,172.94,168.18,170.3,1889115,22340,170.01664
2021-06-07,170.91,171.99,169.3,170.71,1298468,20437,170.61696
2021-06-08,169.72,171.65,167.04,169.44,1965509,27300,169.580036
2021-06-09,169.85,170.71,166.5,167.75,2879817,36938,168.56979
2021-06-10,167.0,167.0,161.91,163.13,5431523,43853,164.273253
2021-06-11,164.14,164.875,162.45,162.9,2658102,31127,162.987397
2021-06-14,165.0,165.58,161.85,162.13,2780462,33316,163.132794
2021-06-15,162.67,163.85,161.19,162.09,3761068,43983,162.417456
2021-06-16,162.64,163.23,160.07,161.41,2849616,36945,161.662644
2021-06-17,160.85,163.625,155.397,157.5,3556246,45454,158.105222
2021-06-18,155.0,157.06,153.42,154.84,9582936,59563,154.973544
2021-06-21,157.53,162.01,157.17,161.09,3989674,52794,160.09609
2021-06-22,161.22,163.185,159.31,162.22,2308368,29050,161.937122
2021-06-23,163.6,167.98,163.3,164.25,2249962,35367,165.356089
2021-06-24,164.13,165.11,162.53,164.11,1765556,26352,164.047284
2021-06-25,165.21,166.81,164.01,165.17,4570256,31351,165.42294
2021-06-28,164.11,164.11,159.1,160.24,2410745,34820,160.365579
2021-06-29,160.8,161.7262,158.11,158.66,1007078,19715,159.239555
2021-06-30,159.96,163.48,159.96,162.52,1849524,26349,162.374763
2021-07-01,167.3,168.69,165.51,167.4,2262041,29742,167.482012
2021-07-02,166.35,167.54,164.49,166.74,1326980,20917,166.666492
2021-07-06,166.69,166.69,160.5,160.96,1708526,26877,161.959982
2021-07-07,161.37,162.52,156.47,157.19,1684238,28102,157.904704
2021-07-08,154.63,159.54,154.63,157.24,1991652,28032,157.42009
2021-07-09,159.67,159.67,157.45,158.0,1879987,25886,158.104674
2021-07-12,155.44,158.26,154.07,157.06,1827415,27948,157.02575
2021-07-13,156.95,158.48,155.86,157.19,1603338,25369,157.54332
2021-07-14,158.32,159.73,151.56,151.86,1938755,28690,153.553907
2021-07-15,149.38,151.8,146.29,147.29,2049602,32301,148.319023
2021-07-16,148.29,149.5,140.44,140.94,3226122,48606,143.034412
2021-07-19,135.5,138.375,133.73,136.66,3838333,51263,136.222007
2021-07-20,136.69,139.92,135.0,138.95,2368936,36434,138.422524
2021-07-21,141.78,145.8,141.0,145.09,3120250,39337,144.237994
2021-07-22,145.04,145.25,141.9,143.85,1526831,20382,143.652683
2021-07-23,144.21,144.21,140.3301,141.95,1109481,19270,141.848318
2021-07-26,142.22,146.22,141.745,144.66,1127941,18732,144.419555
2021-07-27,143.19,143.81,141.03,142.68,1281005,21203,142.311003
2021-07-28,143.56,146.09,141.43,144.98,1385588,22310,144.172824
2021-07-29,147.23,148.42,145.0,147.07,1641435,26374,147.168269
