Date,Estimate,Actual
2022-02-21,None,None
2021-11-02,None,None
2021-08-02,2.65,None
2021-05-04,1.45,1.77
2021-02-23,0.7,1.07
2020-11-04,0.25,0.17
2020-08-04,-0.35,-0.32
2020-05-06,1.11,1.15
2020-02-19,2.1,2.36
2019-11-04,1.99,1.99
2019-08-06,1.95,2.01
2019-05-06,1.61,1.83
2019-02-13,1.52,1.18
2018-11-06,1.68,2.07
2018-08-07,1.49,1.41
2018-05-02,1.49,1.66
2018-02-06,0.8,1.22
2017-11-01,0.3,0.48
2017-08-01,0.1,0.21
2017-05-03,0.16,0.25
2017-02-07,0.33,0.49
2016-11-01,0.16,0.13
2016-07-27,-0.34,-0.22
2016-04-25,-0.77,-0.64
2016-02-10,-0.29,-0.18
2015-11-02,-0.04,-0.01
2015-08-04,0.05,0.1
2015-05-05,0.08,-0.03
2015-02-10,0.92,0.8
2014-11-04,1.26,1.35
2014-08-04,1.28,1.35
2014-05-06,1.06,1.26
2014-02-10,0.99,1
2013-11-04,1.35,1.26
2013-07-31,1.11,1.1
2013-05-01,0.98,1.02
2013-02-13,0.87,0.83
2012-10-31,0.99,0.82
2012-07-31,0.97,0.78
2012-05-02,1.21,1.23
2012-02-06,1.03,1.17
2011-11-01,0.87,1.14
2011-08-03,0.83,0.94
2011-05-03,0.51,0.68
2011-02-07,0.42,0.51
2010-10-26,0.37,0.35
2010-07-28,0.42,0.43
2010-05-04,0.43,0.48
2010-02-02,0.05,0.18
2009-11-03,0.07,0.02
2009-08-04,-0.2,-0.1
2009-05-05,-0.26,-0.15
2009-02-03,0.06,-0.15
2008-11-04,1.21,0.91
2008-08-04,1.36,1.31
2008-05-07,0.84,1.01
2008-02-06,0.76,0.99
2007-11-06,0.57,0.62
2007-08-07,0.53,0.52
2007-05-03,0.42,0.32
2007-02-06,0.19,0.22
2006-11-01,0.61,0.64
2006-08-03,0.59,0.59
2006-05-09,0.48,-0.01
2006-02-08,0.97,1.07
2005-11-03,0.72,0.74
2005-08-02,0.66,0.72
2005-05-03,0.51,0.58
2005-02-08,0.64,0.69
2004-10-28,0.64,0.75
2004-08-02,0.72,0.58
2004-05-07,0.49,0.5
2004-02-02,0.54,0.48
2003-10-30,0.55,0.74
2003-07-30,0.69,0.65
2003-04-29,0.59,0.58
2003-01-30,0.18,0.16
2002-10-24,0.13,0.13
2002-07-24,0.13,0.13
2002-04-24,0.02,0.03
2002-02-05,-0.03,-0.01
2001-10-23,0.15,0.24
2001-07-27,0.39,0.18
2001-04-26,0.68,0.7
2001-01-30,0.65,0.82
2000-10-24,0.23,0.59
2000-07-25,0.23,0.3
2000-04-26,0.16,0.2
2000-01-27,0.12,0.11
1999-10-21,0.07,0.12
1999-07-27,-0.05,-0.03
1999-04-28,-0.42,-0.39
1999-02-02,-0.37,-0.51
1998-10-27,-0.34,-0.44
1998-07-29,-0.24,-0.29
1998-04-30,-0.11,-0.16
1998-02-10,-0.03,-0.37
1997-10-30,0.26,-0.1
1997-07-29,0.31,0.21
1997-05-12,0.65,0.53
