Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,73.5,75.75,71.2,74.69,6275483,52547,74.152845
2021-01-04,74.74,75.24,69.89,70.72,5732837,59831,71.414246
2021-01-05,70.5,73.27,70.425,72.55,4029519,39865,72.079639
2021-01-06,72.7,74.07,71.14,72.2,3612539,38924,72.561549
2021-01-07,72.64,75.44,72.64,73.98,3993719,40651,74.520807
2021-01-08,74.91,75.49,71.96,72.97,3104153,33033,73.178812
2021-01-11,71.3,73.1,70.85,72.12,2725005,28741,72.02855
2021-01-12,72.14,72.71,70.81,72.47,2763055,31802,71.924504
2021-01-13,71.78,72.51,70.7737,72.25,2772261,29338,71.759139
2021-01-14,73.41,76.53,73.37,75.84,5250621,49879,75.701323
2021-01-15,75.04,76.29,72.87,72.92,3124955,35960,74.084635
2021-01-19,74.0,74.67,72.46,73.48,2505602,28858,73.76204
2021-01-20,74.04,75.16,72.27,72.82,2470616,26605,73.059167
2021-01-21,72.54,73.51,71.02,72.66,3100060,30013,72.51826
2021-01-22,71.67,72.28,70.66,71.96,2636594,32646,71.749718
2021-01-25,70.73,70.86,66.91,68.42,7703146,79399,68.522786
2021-01-26,69.0,69.09,66.48,66.5,4754611,48052,67.144681
2021-01-27,65.43,68.525,64.34,66.18,4557649,62023,66.66389
2021-01-28,69.15,70.58,67.45,69.05,5089903,63802,69.223062
2021-01-29,68.65,69.33,64.2601,65.0,5966862,68699,65.804478
2021-02-01,65.95,66.55,64.66,65.75,3625853,39366,65.551832
2021-02-02,67.0,68.91,65.84,68.68,3844007,43120,68.063994
2021-02-03,69.0,70.03,68.31,69.42,2907661,34183,69.407552
2021-02-04,70.4,71.87,69.88,70.84,3588820,37842,70.992233
2021-02-05,71.67,72.99,71.03,71.58,3131280,35394,71.77578
2021-02-08,72.5,72.5,70.5801,70.7,2701409,33895,71.097622
2021-02-09,70.75,70.75,68.31,68.89,3017027,35354,69.133651
2021-02-10,69.21,70.69,68.535,68.77,4418339,44604,69.44535
2021-02-11,68.77,69.83,67.41,67.99,3277669,36967,68.419755
2021-02-12,66.81,68.3,66.65,67.63,3173455,33784,67.543805
2021-02-16,69.0,74.76,68.38,74.2,9398943,82487,72.583682
2021-02-17,73.36,76.65,72.49,75.11,5982192,57944,75.136966
2021-02-18,74.31,75.98,72.9,75.12,3585893,38435,74.787939
2021-02-19,76.62,79.73,76.5,78.87,5659936,56497,78.810202
2021-02-22,79.64,88.75,79.01,86.23,15159252,143975,86.322376
2021-02-23,87.31,90.47,82.77,90.05,10249760,110453,87.628907
2021-02-24,92.55,97.08,91.62,96.66,9811090,104232,95.15221
2021-02-25,98.01,99.24,88.51,91.63,10355755,117090,92.374587
2021-02-26,91.0,94.23,89.27,93.27,5564447,67074,92.359033
2021-03-01,92.48,93.119,89.71,91.35,14470206,135945,91.588118
2021-03-02,92.7,95.5,91.99,93.62,19569947,134208,94.004765
2021-03-03,94.41,97.3591,93.93,94.48,8771629,81750,95.519645
2021-03-04,95.99,96.38,87.89,91.61,6512050,78669,91.858803
2021-03-05,89.91,90.55,80.55,86.51,9546066,121450,85.422342
2021-03-08,87.99,89.61,85.24,87.91,4828454,63010,87.885429
2021-03-09,89.0,90.25,85.4,89.56,3774773,48460,88.431452
2021-03-10,90.0,92.0944,86.46,87.32,5553673,58694,88.184521
2021-03-11,88.56,89.67,86.3,87.99,4751600,52474,88.385553
2021-03-12,87.73,90.32,87.65,90.22,3922634,44405,89.118406
2021-03-15,92.44,96.9,92.0,94.55,8007750,80101,94.499849
2021-03-16,93.51,94.0,88.34,89.52,5421054,63922,90.322655
2021-03-17,89.56,91.45,87.92,91.45,3985838,45113,89.984874
2021-03-18,91.63,92.1584,88.22,88.41,4037288,52025,90.113822
2021-03-19,88.57,91.04,86.53,90.72,6080452,54351,89.5909
2021-03-22,89.46,90.26,87.85,88.9,3828021,45372,89.338096
2021-03-23,87.39,88.06,83.04,83.9,6076398,76569,84.432989
2021-03-24,86.0,89.1,80.56,81.58,8644484,100618,84.280475
2021-03-25,80.0,84.25,78.86,83.45,4902808,62131,81.447024
2021-03-26,84.96,86.3299,81.68,84.56,3321414,47602,83.782839
2021-03-29,84.65,85.2,81.6,82.87,2538824,33135,83.053555
2021-03-30,83.14,85.97,83.06,85.35,2715705,33800,84.826997
2021-03-31,85.13,86.84,84.44,85.61,3192225,34552,85.697487
2021-04-01,86.5,87.82,85.48,86.67,2392561,34285,86.474949
2021-04-05,89.21,91.3,88.72,89.15,4770069,54130,89.966622
2021-04-06,89.23,92.3,88.576,90.76,3560965,41818,90.894981
2021-04-07,93.0,95.3,90.9,91.04,5526084,60639,92.761179
2021-04-08,90.93,90.93,87.43,89.79,4793640,44924,89.30181
2021-04-09,89.38,90.47,88.67,89.88,2345338,32564,89.705006
2021-04-12,88.77,89.03,85.73,87.06,3528696,48111,86.834693
2021-04-13,84.82,86.85,83.6,86.53,3922908,41014,85.814824
2021-04-14,86.75,88.73,86.36,86.53,2256652,32352,87.473559
2021-04-15,87.07,87.08,83.85,84.5,3422376,44964,84.85573
2021-04-16,85.23,86.82,84.7,85.39,2414017,32720,85.463486
2021-04-19,85.15,85.74,83.41,83.78,2548464,31131,84.487124
2021-04-20,83.0,83.01,79.0265,81.07,4636998,56889,80.702814
2021-04-21,81.15,84.72,80.05,84.69,3260697,43947,83.478516
2021-04-22,84.35,86.55,83.611,84.18,2977850,41598,85.195993
2021-04-23,84.65,85.96,83.28,85.81,2550387,32497,85.226719
2021-04-26,87.4,88.84,86.665,86.94,2226526,29620,87.247028
2021-04-27,87.01,88.22,85.823,87.63,2107346,28135,87.460766
2021-04-28,87.26,88.43,86.59,87.47,1933101,30179,87.441983
2021-04-29,90.06,92.45,84.715,84.9,6474040,68604,87.384631
2021-04-30,84.15,87.47,83.81,86.95,3728675,44317,86.165926
2021-05-03,87.46,88.6922,86.6901,87.91,2745142,33516,87.644442
2021-05-04,87.0,87.1,82.9305,83.99,4668717,62012,84.320585
2021-05-05,84.08,84.8,82.4,83.0,3105107,42133,83.471376
2021-05-06,83.11,83.87,79.02,80.7,5452152,66735,80.382908
2021-05-07,81.5,84.5599,80.45,84.29,3667409,46721,83.696669
2021-05-10,83.9,84.86,83.03,83.93,3574490,41087,84.064217
2021-05-11,81.38,82.97,79.825,81.28,3622948,49551,81.192206
2021-05-12,80.12,81.0,77.8,78.05,3676845,49421,79.212305
2021-05-13,78.61,79.99,76.1339,78.46,3744020,49877,78.214389
2021-05-14,79.71,84.49,79.55,84.27,4391942,55503,83.155703
2021-05-17,84.02,84.76,82.71,84.54,2397627,34134,83.941865
2021-05-18,84.86,87.27,83.95,84.98,3451583,40621,85.885805
2021-05-19,82.56,84.05,81.56,83.99,2824475,38248,83.21678
2021-05-20,84.75,84.97,82.93,84.66,3146103,40483,84.031712
2021-05-21,85.4,85.88,82.68,82.82,3707247,46842,83.688312
2021-05-24,83.47,86.11,82.25,85.87,4098154,46882,85.373306
2021-05-25,87.0,90.64,86.99,89.0,7172012,70616,89.017737
2021-05-26,89.75,92.56,89.56,92.49,5894002,63979,91.70111
2021-05-27,92.88,95.13,92.71,94.76,5393365,54347,94.293031
2021-05-28,94.73,94.73,92.13,93.27,3793012,50653,93.486351
2021-06-01,94.95,97.535,94.905,96.25,3903489,52669,96.236448
2021-06-02,96.5,97.72,95.35,96.98,3576361,51332,97.05108
2021-06-03,96.0,96.11,93.92,94.72,3449849,46381,94.812583
2021-06-04,95.75,95.83,93.3,94.07,2721385,39729,94.540335
2021-06-07,95.05,96.17,94.24,94.48,3017158,42548,95.082586
2021-06-08,94.95,95.98,93.94,94.95,3253263,45115,95.114561
2021-06-09,95.32,95.47,92.56,92.79,2573259,35808,93.611147
2021-06-10,93.0,93.005,89.59,90.63,4140200,58166,90.886123
2021-06-11,88.59,90.73,88.14,90.09,3896099,51055,89.710249
2021-06-14,90.0,90.36,87.39,87.95,3046866,43870,88.279542
2021-06-15,88.42,88.9571,86.685,86.93,2432512,35389,87.292207
2021-06-16,87.79,89.05,86.95,88.52,3326964,39539,88.127899
2021-06-17,88.27,89.82,85.97,86.41,3470867,49341,87.268367
2021-06-18,85.41,86.63,84.5,85.64,4081523,42747,85.706518
2021-06-21,86.21,87.53,84.96,87.4,2814996,36088,86.356576
2021-06-22,86.8,86.94,84.52,85.66,3139996,41416,85.581096
2021-06-23,85.71,86.83,85.71,86.16,1933724,25502,86.292448
2021-06-24,86.99,88.07,85.97,86.97,3579975,39543,86.90497
2021-06-25,87.3,89.89,86.74,89.22,5340294,51203,88.595283
2021-06-28,88.0,88.36,82.85,83.45,9623066,102987,84.058621
2021-06-29,83.5,84.77,82.4301,83.0,5369724,60105,83.358456
2021-06-30,83.43,85.39,82.8,85.28,3729797,43466,84.905984
2021-07-01,85.76,87.1,85.33,85.89,2577065,35474,86.077374
2021-07-02,86.36,86.36,84.97,86.04,2257189,29528,85.732436
2021-07-06,87.5,87.82,82.58,82.97,4848557,55575,84.034973
2021-07-07,82.4,83.43,80.3,80.46,5200391,61160,81.099634
2021-07-08,78.45,80.52,77.115,79.45,4496451,52245,79.129819
2021-07-09,80.37,82.54,79.79,82.33,2870681,35903,81.794161
2021-07-12,81.23,81.99,80.02,81.54,2414543,27911,81.384777
2021-07-13,80.49,80.63,78.43,78.51,2882796,36678,79.341759
2021-07-14,79.0,79.9,75.97,76.2,4168366,52068,77.27809
2021-07-15,75.1,75.62,72.38,74.21,6550769,77495,74.07375
2021-07-16,75.89,76.48,72.015,72.39,5110317,56423,73.494106
2021-07-19,69.01,70.83,66.9,69.51,10432477,113344,68.987825
2021-07-20,69.69,75.31,69.35,74.89,7750601,73372,73.096505
2021-07-21,75.63,79.16,75.63,78.9,7358137,73767,78.050333
2021-07-22,78.0,78.355,76.3,77.76,4789381,49499,77.418245
2021-07-23,78.04,78.86,76.96,77.72,4573098,41206,77.749966
2021-07-26,77.43,80.89,77.0871,80.88,4648534,45461,79.755681
2021-07-27,79.96,80.92,78.99,80.56,3945029,42093,80.001697
2021-07-28,81.13,81.77,78.07,80.09,2927716,33375,79.804446
2021-07-29,80.98,82.12,79.93,80.02,3352125,36136,80.948256
2021-07-30,78.73,79.47,76.405,76.87,5980453,53433,77.194742
2021-08-02,76.97,79.33,75.08,75.48,5206899,52487,76.775986
2021-08-03,75.1,75.17,71.79,74.49,6006327,60678,73.401057
2021-08-04,73.2,74.2304,70.74,72.65,7716803,76593,72.195091
2021-08-05,72.6,78.43,72.5723,78.1,6754944,71376,76.716169
2021-08-06,78.76,79.08,76.52,78.92,4234186,45088,77.941352
2021-08-09,78.36,78.46,75.79,77.39,3297770,34447,77.110147
2021-08-10,77.64,81.35,77.22,80.75,3797117,48396,80.071937
2021-08-11,79.85,82.0,78.6101,81.79,4310358,45057,80.946002
2021-08-12,81.48,81.6494,78.85,80.34,2604360,31724,79.923806
2021-08-13,79.98,80.39,78.22,78.89,2997500,37462,79.219059
2021-08-16,77.96,78.74,76.05,78.43,2677901,34811,77.934227
2021-08-17,77.05,77.39,75.19,76.02,2841156,40782,76.195129
2021-08-18,75.75,78.59,74.4,77.21,3808555,46601,77.220563
2021-08-19,76.0,76.78,73.51,76.5,5500717,53233,75.502041
2021-08-20,76.5,78.375,76.01,78.21,3808651,46616,77.463446
2021-08-23,79.17,80.97,78.85,80.25,4640412,51264,79.87343
2021-08-24,81.0,83.54,81.0,82.86,5131048,51634,82.743789
2021-08-25,82.95,84.225,81.2,83.41,3811254,43354,83.328701
2021-08-26,82.72,83.3,80.18,80.82,3307868,40568,81.494282
2021-08-27,81.04,83.7,80.77,83.26,3199839,37993,82.992082
2021-08-30,83.71,83.7999,81.19,81.89,2962020,35130,82.145655
2021-08-31,81.6,83.42,81.45,82.73,2920889,34993,82.663272
2021-09-01,83.44,83.79,81.89,82.24,3509559,43616,82.629791
2021-09-02,82.61,83.95,80.77,82.93,4047492,49525,82.753329
2021-09-03,82.51,82.89,78.685,79.43,5111121,62246,79.91356
2021-09-07,78.0,81.71,77.42,81.45,4218470,42959,80.292455
2021-09-08,81.66,82.68,79.7716,80.29,2420104,32790,80.738993
2021-09-09,80.15,82.94,79.88,81.65,2797994,38920,81.89469
2021-09-10,82.38,83.29,81.47,81.56,3079242,41942,82.238699
2021-09-13,82.35,84.69,80.13,83.84,4014833,52877,83.238731
2021-09-14,83.54,84.92,81.97,82.42,2534944,37747,82.942105
2021-09-15,82.0,83.55,80.73,83.26,2189972,33311,82.537431
2021-09-16,83.06,83.749,82.29,82.54,2281161,30444,82.929508
2021-09-17,82.52,84.96,82.52,83.79,5449771,48003,83.917619
2021-09-20,81.69,83.38,80.75,82.96,3447859,47755,82.28506
2021-09-21,83.82,84.89,82.225,82.92,2973955,39054,83.135633
2021-09-22,83.47,86.19,83.3,85.33,4807812,59335,85.422722
2021-09-23,86.63,89.23,86.27,88.16,5081633,65006,88.319417
2021-09-24,88.16,91.32,87.795,90.69,5979344,70280,90.365354
2021-09-27,91.96,95.23,91.84,92.41,6253142,83589,93.712023
2021-09-28,92.08,94.62,91.68,91.97,4008738,53859,92.610614
2021-09-29,92.45,92.9321,90.1526,90.67,3230520,49851,91.333846
2021-09-30,90.32,90.52,88.27,88.95,3173344,51690,89.109455
2021-10-01,93.0,93.92,91.425,92.33,5103958,74962,92.39249
2021-10-04,92.03,93.19,90.39,91.06,3271363,45633,91.528433
2021-10-05,91.75,92.55,90.41,91.01,2245859,32147,91.318251
2021-10-06,89.69,90.72,88.43,90.07,2402334,36895,89.662329
2021-10-07,90.89,90.89,88.53,88.79,2997642,39153,89.44452
2021-10-08,89.17,90.05,87.591,87.73,2555415,31712,88.497343
2021-10-11,87.5,88.72,86.5,87.32,2246708,32575,87.76164
2021-10-12,87.45,89.24,87.027,88.67,2986698,38591,88.534939
2021-10-13,88.5,88.6,86.44,86.73,2736117,39680,87.079899
2021-10-14,87.33,88.14,86.74,86.9,2067498,27154,87.241226
2021-10-15,87.56,88.6,86.27,86.32,3253138,32396,87.156339
2021-10-18,86.19,86.6199,84.59,85.88,2490616,31090,85.709529
2021-10-19,85.98,85.98,84.1,84.47,2902428,37628,84.614549
2021-10-20,84.5,85.42,83.62,83.91,2352806,33211,84.234638
2021-10-21,84.11,84.92,83.2112,83.73,1782982,26744,83.938865
2021-10-22,83.07,84.87,82.86,84.63,2283736,33860,84.184588
2021-10-25,84.58,85.6,84.04,84.91,1883401,30099,84.875958
2021-10-26,86.27,86.75,84.38,84.42,2215921,29308,85.26796
2021-10-27,84.7,85.13,83.41,83.49,1972606,29212,84.200542
2021-10-28,83.41,84.77,82.52,84.25,1886852,29149,83.879626
2021-10-29,85.48,86.31,83.53,84.43,3346886,40597,84.388148
2021-11-01,84.43,88.42,83.95,88.28,3301790,43494,87.348623
2021-11-02,87.74,88.56,86.4,87.78,2176592,37822,87.40281
2021-11-03,87.17,90.34,86.75,89.77,2827109,43885,89.49541
2021-11-04,90.26,90.88,88.2,88.73,1782635,28977,89.024804
2021-11-05,93.82,98.05,93.39,96.67,10280423,117714,96.184235
2021-11-08,97.2,98.27,93.23,93.71,4916770,62276,95.40075
2021-11-09,92.38,93.0,90.435,91.35,3735477,54709,91.471769
2021-11-10,90.06,91.5,87.85,88.75,2737504,39056,89.478605
2021-11-11,88.78,89.068,86.17,86.3,2759384,36574,87.142319
2021-11-12,86.34,86.64,83.47,84.57,3908571,48122,84.570488
2021-11-15,85.2,86.93,85.01,85.26,3019392,37785,85.757342
2021-11-16,85.0,85.06,82.8,83.34,3513680,45433,83.437877
2021-11-17,83.0,84.0,82.02,83.27,2414747,34705,83.128084
2021-11-18,83.75,83.9569,82.08,82.94,2288945,35154,82.911492
2021-11-19,82.0,82.02,78.7,80.47,4431082,55456,80.520835
2021-11-22,81.0,81.82,78.9,79.27,3098108,40854,79.897786
2021-11-23,79.96,80.475,78.245,78.84,2262140,31016,79.055449
2021-11-24,78.18,79.95,77.1,78.34,2138630,29883,78.678314
2021-11-26,71.31,71.53,67.92,67.98,10720787,107861,69.317409
2021-11-29,72.43,72.52,68.06,69.89,7839220,95485,69.958895
2021-11-30,68.8,70.16,66.88,69.82,8615680,88437,68.960932
2021-12-01,71.49,72.38,64.2,64.27,9693522,102608,68.099513
2021-12-02,65.5,69.3,64.25,68.88,7040577,77736,67.58227
2021-12-03,68.0,69.11,66.17,66.76,4659758,54999,67.000602
2021-12-06,68.7,74.43,67.7218,72.25,8170874,80850,72.238142
2021-12-07,73.01,74.45,71.0602,71.64,5289795,59275,72.733887
2021-12-08,73.21,77.5,72.6501,75.37,6853821,72650,75.73255
2021-12-09,73.48,75.42,73.24,74.7,2737755,34524,74.605254
2021-12-10,75.7,75.99,73.48,75.5,3500943,38827,75.032158
2021-12-13,73.61,74.0955,70.89,72.15,4252539,51903,72.05206
