Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-22,9.98,10.14,9.76,9.94,12965724,0.0
2020-05-26,10.49,11.19,10.4231,10.96,24996780,0.0
2020-05-27,11.61,11.995,11.345,11.98,30129000,0.0
2020-05-28,12.16,12.22,11.45,11.51,22968696,0.0
2020-05-29,11.2,11.5,11.08,11.31,26391698,0.0
2020-06-01,11.35,11.625,11.255,11.48,15187668,0.0
2020-06-02,11.71,11.945,11.5528,11.71,19690172,0.0
2020-06-03,12.1,12.49,12,12.31,20794766,0.0
2020-06-04,12.14,12.93,11.965,12.93,24959724,0.0
2020-06-05,14,14.25,13.175,13.33,27205402,0.0
2020-06-08,13.78,13.98,13.49,13.84,15478382,0.0
2020-06-09,13.22,13.64,13.03,13.46,19389940,0.0
2020-06-10,13.26,13.32,12.62,12.66,21000124,0.0
2020-06-11,11.62,12.07,11.33,11.41,21109424,0.0
2020-06-12,12.15,12.15,11.5,11.525,5677416,0.0
2020-06-15,11.42,12.29,11.29,12.17,23109148,0.0
2020-06-16,12.89,12.95,12.23,12.59,20369487,0.0
2020-06-17,12.66,12.7,12.3102,12.36,17074533,0.0
2020-06-18,12.17,12.695,12.07,12.3508,17581828,0.0
2020-06-19,12.65,12.65,11.92,12.01,32551734,0.0
2020-06-22,11.92,12.29,11.83,12.09,6798255,0.0
2020-06-23,12.36,12.475,11.99,12,8064698,0.0
2020-06-24,11.8,11.85,11.27,11.29,8627787,0.0
2020-06-25,11.2,11.69,11.14,11.65,8741330,0.0
2020-06-26,11.3,11.37,10.6,10.64,10749333,0.0
2020-06-29,10.88,11.07,10.69,10.865,7876084,0.0
2020-06-30,10.75,11.22,10.72,11.12,12776988,0.0
2020-07-01,11.1,11.2,10.541,10.63,10773038,0.0
2020-07-02,10.92,11.15,10.53,10.6,12157196,0.0
2020-07-06,10.85,11.09,10.59,10.8,8009311,0.0
2020-07-07,10.64,10.68,10.31,10.33,8446177,0.0
2020-07-08,10.3,10.485,10.11,10.34,8873917,0.0
2020-07-09,10.29,10.36,9.79,9.83,9497635,0.0
2020-07-10,9.83,10.31,9.8,10.29,9616294,0.0
2020-07-13,10.51,10.625,10.15,10.48,9161025,0.0
2020-07-14,10.41,10.47,10.075,10.21,9138403,0.0
2020-07-15,10.56,10.77,10.41,10.73,8331216,0.0
2020-07-16,10.59,10.99,10.495,10.8,8166558,0.0
2020-07-17,10.65,10.69,10.27,10.31,16202150,0.0
2020-07-20,10.2,10.43,10.17,10.235,7761335,0.0
2020-07-21,10.34,10.87,10.34,10.805,10019484,0.0
2020-07-22,10.68,10.89,10.64,10.79,8730691,0.0
2020-07-23,10.73,11.12,10.715,11.04,6390168,0.0
2020-07-24,11.09,11.13,10.86,10.92,4854223,0.0
2020-07-27,10.81,10.82,10.56,10.61,8288024,0.0
2020-07-28,10.54,10.67,10.49,10.54,14148400,0.0
2020-07-29,10.53,11.04,10.445,11.04,18005308,0.0
2020-07-30,10.64,10.76,10.45,10.76,10466126,0.0
2020-07-31,10.7,10.86,10.5701,10.85,18135638,0.0
2020-08-03,10.87,10.935,10.69,10.75,10796738,0.0
2020-08-04,10.76,10.8361,10.66,10.71,11484867,0.0
2020-08-05,10.86,10.98,10.8034,10.93,9879682,0.0
2020-08-06,10.85,10.965,10.74,10.84,10989362,0.0
2020-08-07,10.71,11.27,10.6842,11.26,14179216,0.0
2020-08-10,11.28,11.67,11.27,11.51,11537564,0.0
2020-08-11,11.85,12.31,11.85,11.93,20526146,0.0
2020-08-12,12.18,12.31,11.5,11.915,21362027,0.0
2020-08-13,11.69,11.7353,11.545,11.62,5879352,0.0
2020-08-14,11.5,11.895,11.47,11.78,4667444,0.0
2020-08-17,11.62,11.755,11.5,11.68,12835936,0.0
2020-08-18,11.67,11.67,11.33,11.37,9066338,0.0
2020-08-19,11.35,11.58,11.265,11.41,7835484,0.0
2020-08-20,11.25,11.3,11.07,11.08,9724866,0.0
2020-08-21,11.03,11.15,10.9,10.97,9945488,0.0
2020-08-24,11.21,11.54,11.205,11.535,8663601,0.0
2020-08-25,11.74,11.9,11.5105,11.68,14585151,0.0
2020-08-26,11.63,11.68,11.365,11.38,9950270,0.0
2020-08-27,11.4,11.76,11.37,11.7,11095382,0.0
2020-08-28,11.75,11.79,11.625,11.72,8539466,0.0
2020-08-31,11.72,11.73,11.53,11.55,11319229,0.0
2020-09-01,11.45,11.72,11.37,11.64,10381498,0.0
2020-09-02,11.57,11.84,11.5,11.79,12273926,0.0
2020-09-03,11.77,12.11,11.47,11.53,13424470,0.0
2020-09-04,11.84,11.985,11.52,11.8,10252551,0.0
2020-09-08,11.58,11.64,11.28,11.38,13168460,0.0
2020-09-09,11.48,11.55,11.33,11.46,11208996,0.0
2020-09-10,11.735,11.77,11.23,11.245,10631062,0.0
2020-09-11,11.27,11.57,11.2,11.51,10356964,0.0
2020-09-14,11.64,12.08,11.59,12.055,10911607,0.0
2020-09-15,12.12,12.14,11.755,11.97,7117134,0.0
2020-09-16,11.985,12.32,11.9,12.095,6324676,0.0
2020-09-17,11.88,12.12,11.84,12.04,6086849,0.0
2020-09-18,11.92,12.055,11.81,11.91,7776902,0.0
2020-09-21,11.52,11.745,11.18,11.32,7172825,0.0
2020-09-22,11.26,11.47,10.98,11.04,7213628,0.0
2020-09-23,11.11,11.36,10.74,10.74,5601395,0.0
2020-09-24,10.8,11.035,10.61,10.76,4931123,0.0
2020-09-25,10.66,11.05,10.6,11,5370219,0.0
2020-09-28,11.27,11.53,11.2336,11.52,6635471,0.0
2020-09-29,11.41,11.57,11.19,11.36,13013102,0.0
2020-09-30,11.47,11.705,11.35,11.52,15322765,0.0
2020-10-01,11.54,11.655,11.38,11.53,12315122,0.0
2020-10-02,11.34,12.03,11.3,11.94,13928194,0.0
2020-10-05,12.12,12.58,12.1,12.56,13558218,0.0
2020-10-06,12.77,12.995,12.32,12.38,17349357,0.0
2020-10-07,12.61,12.93,12.54,12.7,13478957,0.0
2020-10-08,12.83,13.05,12.665,13.04,17747133,0.0
2020-10-09,13.06,13.13,12.7,12.7981,10990062,0.0
2020-10-12,12.78,12.98,12.715,12.95,9105835,0.0
2020-10-13,12.84,12.9,12.45,12.49,10567910,0.0
2020-10-14,12.49,12.585,12.245,12.25,12428662,0.0
2020-10-15,12.14,12.6,12.1,12.55,11806155,0.0
2020-10-16,12.54,12.62,12.265,12.48,11391201,0.0
2020-10-19,12.6,12.64,12.32,12.34,11265332,0.0
2020-10-20,12.75,13.37,12.68,12.93,30244154,0.0
2020-10-21,12.95,13.1299,12.73,12.8,13504760,0.0
2020-10-22,12.82,13.82,12.74,13.795,28508454,0.0
2020-10-23,13.93,14.04,13.61,13.785,16554319,0.0
2020-10-26,13.59,13.62,13.27,13.35,15941235,0.0
2020-10-27,13.31,13.3164,12.9,12.9,14082586,0.0
2020-10-28,12.63,12.94,12.59,12.73,14196154,0.0
2020-10-29,12.64,13.32,12.52,13.205,13529918,0.0
2020-10-30,13.15,13.35,13,13.3,10521601,0.0
2020-11-02,13.54,13.8,13.22,13.7657,11425779,0.0
2020-11-03,14.06,14.15,13.86,14.03,14632074,0.0
2020-11-04,13.62,13.62,12.885,13.13,18244777,0.0
2020-11-05,13.17,13.9775,13.17,13.67,18219888,0.0
2020-11-06,13.65,13.72,12.98,13.05,18676314,0.0
2020-11-09,14.24,15.6,14.23,15.23,40133651,0.0
2020-11-10,15.39,15.45,15,15.23,18685153,0.0
2020-11-11,15.26,15.288,14.64,14.88,15553358,0.0
2020-11-12,14.55,14.73,14.19,14.42,14755425,0.0
2020-11-13,14.6,14.95,14.57,14.84,7484449,0.0
2020-11-16,15.57,15.79,15.37,15.61,17604224,0.0
2020-11-17,15.32,15.645,15.18,15.62,14888336,0.0
2020-11-18,15.68,15.88,15.375,15.41,11663269,0.0
2020-11-19,15.27,15.48,15.03,15.46,9832273,0.0
2020-11-20,15.3,15.319,14.98,15.11,11039686,0.0
2020-11-23,15.36,15.535,15.28,15.4,10698365,0.0
2020-11-24,15.9,16.225,15.67,16.09,22332058,0.0
2020-11-25,15.88,15.89,15.61,15.76,9900342,0.0
2020-11-27,15.75,15.95,15.5,15.63,6402994,0.0
2020-11-30,15.95,15.96,15.24,15.27,8774656,0.0
2020-12-01,15.69,16.05,15.6,15.86,7671413,0.0
2020-12-02,15.73,16.21,15.605,16.17,8209810,0.0
2020-12-03,16.04,16.14,15.795,16.04,13405938,0.0
2020-12-04,16.18,16.35,16,16.17,14924691,0.0
2020-12-07,16.11,16.13,15.85,15.97,6520430,0.0
2020-12-08,15.87,16.095,15.77,15.95,7825415,0.0
2020-12-09,16.08,16.11,15.72,15.87,8654250,0.0
2020-12-10,15.73,15.885,15.6,15.85,7696214,0.0
2020-12-11,15.59,15.65,15.36,15.54,7607007,0.0
2020-12-14,15.82,15.82,15.07,15.14,7225724,0.0
2020-12-15,15.29,15.41,15.08,15.37,7266072,0.0
2020-12-16,15.4,15.63,15.33,15.6,7289287,0.0
2020-12-17,15.61,15.63,15.29,15.55,7468516,0.0
2020-12-18,15.54,15.615,15.095,15.25,7943862,0.0
2020-12-21,15.37,15.72,15.16,15.53,8947692,0.0
2020-12-22,15.61,15.66,15.42,15.425,4394180,0.0
2020-12-23,15.56,16.08,15.52,15.94,5301355,0.0
2020-12-24,16.01,16.025,15.69,15.95,2365208,0.0
2020-12-28,16.09,16.2,15.91,15.965,3948977,0.0
2020-12-29,16,16,15.7,15.76,3646059,0.0
2020-12-30,15.8,16,15.79,15.93,3186548,0.0
2020-12-31,15.9,16.14,15.77,16.11,3678027,0.0
2021-01-04,16.27,16.2901,15.72,15.96,6091230,0.0
2021-01-05,15.97,16.43,15.915,16.25,6592520,0.0
2021-01-06,16.7,17.49,16.7,17.25,12158261,0.0
2021-01-07,17.46,17.93,17.44,17.66,8035386,0.0
2021-01-08,17.73,17.735,17.21,17.57,6613452,0.0
2021-01-11,17.35,17.925,17.155,17.88,7066651,0.0
2021-01-12,18,18.33,17.78,18.26,14053894,0.0
2021-01-13,18.15,18.25,17.85,18.16,16106526,0.0
2021-01-14,18.33,18.71,18.185,18.64,6572027,0.0
2021-01-15,18.31,18.49,18.065,18.22,8741377,0.0
2021-01-19,18.32,18.445,18.04,18.43,7431618,0.0
2021-01-20,18.36,18.4,17.983,18.15,7219051,0.0
