Date,Estimate,Actual
2022-04-26,None,None
2022-01-25,None,None
2021-10-26,None,None
2021-07-27,2.39,None
2021-04-28,2.18,2.51
2021-01-27,1.72,2.24
2020-10-28,1.34,1.78
2020-07-29,0.97,1.23
2020-04-29,1.46,1.2
2020-01-22,1.93,1.89
2019-10-24,1.9,2
2019-07-24,1.82,1.8
2019-04-24,1.63,1.81
2019-01-23,1.73,1.79
2018-10-24,1.82,1.68
2018-07-25,1.72,1.55
2018-04-25,1.63,1.63
2018-01-24,1.25,1.61
2017-10-25,1.32,1.47
2017-07-26,1.27,1.26
2017-04-26,1.14,1.28
2017-01-25,1.01,1.07
2016-10-26,0.99,1.28
2016-07-20,0.9,0.93
2016-04-20,0.75,0.9
2016-01-20,0.84,0.73
2015-10-21,0.92,0.88
2015-07-22,0.89,0.91
2015-04-22,0.83,0.77
2015-01-21,0.86,0.87
2014-10-29,0.85,0.94
2014-07-23,0.76,0.85
2014-04-23,0.77,0.72
2014-01-22,0.73,0.81
2013-10-23,0.62,0.93
2013-07-24,0.66,0.65
2013-04-24,0.79,0.68
2013-01-23,0.68,0.69
2012-10-24,0.63,0.69
2012-07-26,0.66,0.64
2012-04-25,0.56,0.64
2012-01-25,0.53,0.53
2011-10-19,0.54,0.54
2011-07-20,0.33,0.37
2011-04-20,0.62,0.64
2011-01-19,0.53,0.65
2010-10-20,0.43,0.55
2010-07-21,0.48,0.48
2010-04-21,0.42,0.45
2010-01-20,0.37,0.39
2009-10-21,0.27,0.36
2009-07-22,0.22,0.36
2009-04-22,0.12,0.05
2009-01-21,0.35,0.52
2008-10-21,0.51,0.41
2008-07-22,0.55,0.59
2008-04-22,0.42,0.5
2008-01-23,0.57,0.47
2007-10-23,0.51,0.53
2007-07-24,0.53,0.57
2007-04-24,0.51,0.5
2007-01-23,0.47,0.5
2006-10-25,0.43,0.44
2006-07-26,0.46,0.44
2006-04-26,0.42,0.44
2006-01-25,0.37,0.4
2005-10-26,0.33,0.39
2005-07-18,0.31,0.29
2005-04-18,0.34,0.31
2005-01-19,0.32,0.35
2004-10-20,0.27,0.27
2004-07-13,0.32,0.27
2004-04-13,0.25,0.39
2004-01-14,0.22,0.22
2003-10-21,0.2,0.3
2003-07-16,0.17,0.21
2003-04-15,0.15,0.14
2002-10-22,0.14,0.2
2002-07-16,0.22,0.2
2002-04-16,0.18,0.17
2002-01-15,0.18,0.17
2001-10-23,0.18,0.12
2001-07-18,0.19,0.26
2001-04-17,0.27,0.2
2001-01-16,0.29,0.3
2000-10-25,0.27,0.35
2000-07-18,0.28,0.22
2000-04-18,0.24,0.36
2000-01-18,0.2,0.25
1999-10-19,0.2,0.2
1998-10-20,0.21,0.2
1998-07-14,0.23,0.21
1998-04-14,0.21,0.22
1998-01-13,0.21,0.21
1997-10-21,0.13,0.24
1997-07-15,0.14,0.16
1997-04-15,0.15,0.18
1997-01-14,0.14,0.16
1996-10-22,0.16,0.19
1995-04-25,0.08,0.1
