Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-08,92,93,88.43,90.27,2167530,0.0
2020-06-09,88.35,88.89,85.09,85.49,1940026,0.0
2020-06-10,85,85.5,80.49,80.63,2308814,0.0
2020-06-11,75.8,76.44,72.82,73.99,3415608,0.0
2020-06-12,76.81,77.48,73.1,73.59,832018,0.0
2020-06-15,71.02,74.74,70.54,73.77,2921870,0.0
2020-06-16,78.02,78.92,75.1,76.44,2027744,0.0
2020-06-17,76.35,77.26,74.405,74.48,1446438,0.0
2020-06-18,73.6,75.55,72.93,73.94,1096128,0.0
2020-06-19,75.46,75.85,71.06,71.37,2078518,0.0
2020-06-22,71.51,73.715,70.16,73.28,1093753,0.0
2020-06-23,74.71,75.28,72.495,73.46,1271557,0.0
2020-06-24,71.87,72.45,69.91,70.61,1154324,0.0
2020-06-25,69.94,70.54,67.95,70.36,1166733,0.0
2020-06-26,70.04,70.79,67.15,67.7,1083321,0.0
2020-06-29,68.74,72.74,68.23,72.58,997006,0.0
2020-06-30,72.06,75.92,71.56,72.5,994461,0.0
2020-07-01,72.75,75.08,70.55,70.69,864714,0.0
2020-07-02,72.67,73.67,70.61,70.804,633452,0.0
2020-07-06,72.45,73.015,69.6,71.4,594192,0.0
2020-07-07,70.23,70.47,68.67,68.87,622670,0.0
2020-07-08,68.72,69.57,67.91,69.56,899881,0.0
2020-07-09,69.18,69.18,66.82,67.48,906053,0.0
2020-07-10,67,69.03,66.66,68.98,487857,0.0
2020-07-13,68.86,70.785,66.55,69.68,988333,0.0
2020-07-14,69,70.64,67.82,69.96,539470,0.0
2020-07-15,72.35,74.62,71.74,74.25,1216748,0.0
2020-07-16,73.18,75.21,72.66,74.53,659400,0.0
2020-07-17,74.99,75,72.83,73.32,691298,0.0
2020-07-20,72.28,73.76,70.67,71.22,794577,0.0
2020-07-21,72,73.445,71.31,71.53,681803,0.0
2020-07-22,71,72.23,70.28,71.33,617393,0.0
2020-07-23,70.86,73.07,70.86,71.67,362832,0.0
2020-07-24,72,73.13,71.39,71.45,586055,0.0
2020-07-27,71.05,71.78,69.9,71.59,652425,0.0
2020-07-28,71.36,72.57,71.15,71.38,839395,0.0
2020-07-29,71.18,72.86,71.13,72.73,1069888,0.0
2020-07-30,71.23,71.54,69.38,71.09,1403401,0.0
2020-07-31,70.85,71.85,69.735,71.34,1794121,0.0
2020-08-03,71.3,71.3,69.05,69.63,1629390,0.0
2020-08-04,65.43,67.25,63.9,66.66,8397366,0.0
2020-08-05,67.28,69.625,66.72,68.5,3029252,0.0
2020-08-06,68.35,68.8497,64.7,64.85,5249370,0.0
2020-08-07,65.05,66.39,64.08,65.96,3638239,0.0
2020-08-10,67.52,69.41,67.2551,68.68,2644839,0.0
2020-08-11,70.47,72.22,70.08,70.21,2955898,0.0
2020-08-12,71.1,71.48,67.93,69.79,1984848,0.0
2020-08-13,69.99,70.37,69.09,70.12,844664,0.0
2020-08-14,69.44,71.27,68.05,70.68,979247,0.0
2020-08-17,70.54,70.96,68.53,70.89,1399244,0.0
2020-08-18,70.7,70.7,68.42,68.47,2020048,0.0
2020-08-19,67.82,69.52,67.42,67.55,1340500,0.0
2020-08-20,67.24,68,66.53,67.28,1395280,0.0
2020-08-21,67.44,67.79,66.26,67.04,1397444,0.0
2020-08-24,67.2,70.42,66.74,70.25,1514846,0.0
2020-08-25,70.87,70.9,68.75,69.12,1828225,0.0
2020-08-26,69.12,69.35,67.57,67.65,2111866,0.0
2020-08-27,68.1,69.75,67.7,68.26,1954870,0.0
2020-08-28,68.63,71.28,68.35,71.19,1773018,0.0
2020-08-31,70.79,70.875,68.4,68.83,1783540,0.0
2020-09-01,68.31,69.29,67.69,69.17,1719956,0.0
2020-09-02,69.99,71.75,69.61,71.59,2410129,0.0
2020-09-03,72.36,74.62,71.93,74.17,4088350,0.0
2020-09-04,74.51,75.08,72.6907,74.07,2807357,0.0
2020-09-08,73.22,76.075,72.61,75.09,2312285,0.0
2020-09-09,74.55,74.65,72.69,73.5,1918047,0.0
2020-09-10,74.745,76.5,74.42,75.5,1743573,0.0
2020-09-11,76.07,76.24,74.82,76.2,1747008,0.0
2020-09-14,76.87,80.88,76.63,80.59,3295398,0.0
2020-09-15,80.22,81.55,79.24,80.65,1221795,0.0
2020-09-16,81.275,82.83,81.24,81.27,773085,0.0
2020-09-17,80.37,81.39,77.92,78.76,884585,0.0
2020-09-18,78.4956,78.89,74.135,75.83,1502408,0.0
2020-09-21,73.99,74.02,70.92,71.2,1457028,0.0
2020-09-22,72.305,75.14,70.755,75.06,1739562,0.0
2020-09-23,76.36,77.12,71.8,72.01,1018417,0.0
2020-09-24,71.91,72.42,69.5,71.65,1280503,0.0
2020-09-25,71.62,72,70.53,71.07,1077624,0.0
2020-09-28,72.59,72.72,70.29,70.51,1192950,0.0
2020-09-29,70.06,70.06,67.3,67.33,2304389,0.0
2020-09-30,67.65,68.72,67.11,67.96,2962285,0.0
2020-10-01,68.75,69.8,67.76,69.11,2282844,0.0
2020-10-02,67,70.17,66.85,69.92,2556867,0.0
2020-10-05,70.88,72.58,70.85,71.8,2003205,0.0
2020-10-06,72.86,72.97,69.12,69.26,2423695,0.0
2020-10-07,70,72.19,70,71.78,2645590,0.0
2020-10-08,72.53,74.38,72,74.32,2379544,0.0
2020-10-09,75,75.18,71.535,73.94,2553270,0.0
2020-10-12,72.96,75.22,72.62,73.65,1753416,0.0
2020-10-13,73.21,74.1,71.32,72.24,1657184,0.0
2020-10-14,72.26,73.88,72.06,72.99,2007042,0.0
2020-10-15,71.85,75.76,71.13,75.75,2138393,0.0
2020-10-16,76,76.19,74.73,74.83,1570622,0.0
2020-10-19,74.99,75.99,74.09,74.35,1238628,0.0
2020-10-20,75.2,76.1,73.37,73.52,1404239,0.0
2020-10-21,73.24,75.2,72.65,75.01,1217011,0.0
2020-10-22,75.43,77.48,75.07,77.11,1929700,0.0
2020-10-23,77.26,78.01,76.66,77.41,2677473,0.0
2020-10-26,76.63,77.47,75.06,76.8,2239830,0.0
2020-10-27,76.04,77.34,74.09,74.52,1990992,0.0
2020-10-28,72.95,75.1,72.16,74.38,3445109,0.0
2020-10-29,73.98,73.98,67.5,70.59,7071329,0.0
2020-10-30,70.18,70.34,65.2,66.84,5165065,0.0
2020-11-02,67.43,69.34,66.7,67.43,2675211,0.0
