Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,38.27,39.13,37.855,39.07,2936483,11079,38.964419
2021-01-04,39.31,39.98,38.02,38.24,1628520,16179,38.546038
2021-01-05,38.07,38.94,38.02,38.87,1352240,14145,38.70015
2021-01-06,38.58,39.84,38.265,39.51,1378514,15422,39.32234
2021-01-07,39.65,40.26,39.4,40.17,1238081,13434,39.974256
2021-01-08,40.27,40.86,40.145,40.8,1179918,11098,40.712508
2021-01-11,40.5,41.23,40.5,40.91,797001,9189,40.921815
2021-01-12,41.0,41.76,40.895,41.51,981453,11355,41.528779
2021-01-13,41.78,41.83,39.81,39.86,1228241,13574,40.139988
2021-01-14,39.79,39.79,37.38,37.47,1741198,18076,37.961347
2021-01-15,37.47,37.9999,37.02,37.24,2153135,16974,37.327169
2021-01-19,37.47,37.65,36.47,36.86,1671523,14914,36.851246
2021-01-20,37.0,37.96,36.62,37.76,1295280,13822,37.583656
2021-01-21,37.61,37.86,37.05,37.2,1161399,12342,37.351466
2021-01-22,37.21,37.285,36.26,37.02,1605606,14914,36.905616
2021-01-25,36.94,37.19,36.38,37.15,1474827,15393,36.963589
2021-01-26,37.24,37.36,35.69,37.04,2122578,22141,36.852769
2021-01-27,36.41,36.69,34.09,34.95,3657519,30390,34.835748
2021-01-28,35.3,36.4,34.65,35.98,1899372,18284,35.927217
2021-01-29,35.88,36.51,35.735,36.02,2705200,20315,36.068385
2021-02-01,36.59,36.75,35.89,36.22,2225913,19883,36.128666
2021-02-02,36.43,37.35,36.32,37.0,1466880,13810,37.078011
2021-02-03,36.99,37.47,36.18,36.61,1492302,12599,36.640485
2021-02-04,36.67,37.29,36.575,37.18,1347785,11411,37.093479
2021-02-05,37.46,37.6,37.18,37.55,1846928,12230,37.449633
2021-02-08,37.78,37.95,36.925,37.23,1310066,13400,37.23614
2021-02-09,37.34,37.98,37.13,37.92,1282436,10847,37.782988
2021-02-10,38.1,38.24,37.58,37.93,1354102,13445,37.853542
2021-02-11,38.06,38.32,37.4511,37.65,1278449,11208,37.645579
2021-02-12,37.38,37.66,37.16,37.59,909474,11059,37.41358
2021-02-16,37.58,37.62,36.83,36.84,1384169,15040,37.005817
2021-02-17,36.66,36.7599,36.06,36.6,1024614,10427,36.543797
2021-02-18,36.4,36.92,36.32,36.56,991808,9863,36.614834
2021-02-19,36.68,36.68,35.76,35.81,1798432,14992,36.057204
2021-02-22,35.7,35.76,35.01,35.08,1737423,14445,35.22548
2021-02-23,35.0,35.54,34.6,35.39,1220889,13671,35.24046
2021-02-24,35.34,35.89,34.81,35.46,1353886,14124,35.497059
2021-02-25,35.3,35.75,33.86,34.0,1472955,15398,34.402903
2021-02-26,34.04,34.18,33.13,33.17,2042420,17126,33.423648
2021-03-01,33.26,34.43,33.26,34.07,1371658,13358,34.103796
2021-03-02,34.09,34.1641,33.42,33.5,1142425,10304,33.637262
2021-03-03,33.5,33.5,32.45,32.46,1341991,13388,32.772166
2021-03-04,32.45,32.78,31.58,31.9,1175586,14377,32.07754
2021-03-05,32.16,33.04,31.44,32.94,1169389,12336,32.539908
2021-03-08,33.02,33.27,32.465,32.49,1096074,12201,32.760702
2021-03-09,32.96,33.59,32.755,32.92,1395581,15145,33.2138
2021-03-10,33.01,33.57,32.98,33.27,915772,10191,33.300429
2021-03-11,33.6,33.86,33.22,33.25,998396,10206,33.372163
2021-03-12,33.2,33.43,32.63,33.04,1072466,11899,32.981238
2021-03-15,33.03,33.79,32.57,33.62,1207113,12841,33.32449
2021-03-16,33.41,33.65,32.83,32.98,1179838,11807,33.072149
2021-03-17,32.89,33.08,32.58,32.67,1289015,13316,32.766479
2021-03-18,32.53,33.36,32.2,33.01,1452581,14869,32.97695
2021-03-19,33.04,34.01,32.36,33.78,7450051,29415,33.68621
2021-03-22,33.96,34.485,33.54,34.37,2130466,16122,34.27224
2021-03-23,34.32,34.65,33.895,33.96,1499696,14719,34.165802
2021-03-24,33.74,34.05,33.47,33.81,1227238,12338,33.825847
2021-03-25,33.81,34.065,33.31,33.91,1287243,13484,33.762942
2021-03-26,33.95,34.3,33.64,34.19,1172204,11309,33.982372
2021-03-29,34.12,34.43,33.93,34.18,1362747,12833,34.208106
2021-03-30,34.15,34.2,33.8,33.92,876821,8274,33.950486
2021-03-31,33.96,34.96,33.93,34.42,1885879,14170,34.545419
2021-04-01,34.76,35.17,34.5,34.83,1079289,11836,34.906097
2021-04-05,34.85,35.52,34.85,35.39,1148162,11285,35.320834
2021-04-06,35.36,35.7,35.01,35.29,1025344,7877,35.349575
2021-04-07,35.32,35.32,34.47,34.48,854782,9515,34.616671
2021-04-08,34.74,35.06,34.52,34.96,1569483,12633,34.920956
2021-04-09,34.95,35.5,34.83,35.43,716946,7479,35.296678
2021-04-12,35.4,35.63,35.195,35.62,784004,10194,35.440092
2021-04-13,35.29,35.475,34.81,34.91,1831013,11375,35.2954
2021-04-14,34.96,35.235,34.555,34.7,1339269,12144,34.728591
2021-04-15,34.89,35.26,34.74,35.23,717579,9753,35.082931
2021-04-16,35.4,35.4,35.0,35.27,649147,7255,35.21841
2021-04-19,35.3,35.4,34.65,34.81,796863,9630,34.853045
2021-04-20,34.75,35.3,34.75,35.18,695182,9962,35.112764
2021-04-21,35.24,35.52,35.0988,35.18,862498,8750,35.251762
2021-04-22,35.3,35.69,35.25,35.29,1464990,12129,35.372951
2021-04-23,35.39,35.99,35.3,35.8,1319696,14570,35.754601
