Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-31,36.13,36.2,35.45,35.51,15044390,0.0
2020-09-01,35.16,36.255,34.96,35.81,11146299,0.0
2020-09-02,35.78,36.12,35.46,35.95,13657776,0.0
2020-09-03,36.3,36.875,35.2,35.41,22406196,0.0
2020-09-04,36.25,36.89,35.63,36.16,19961164,0.0
2020-09-08,35.47,35.7,34.61,34.67,15535042,0.0
2020-09-09,34.93,35.265,34.56,35.03,12357680,0.0
2020-09-10,35.28,35.375,34.52,34.66,8984234,0.0
2020-09-11,34.69,35.565,34.69,35.2417,10087966,0.0
2020-09-14,35.5,36.17,35.33,35.72,11537382,0.0
2020-09-15,34.75,35.115,33.79,34.75,11694038,0.0
2020-09-16,34.91,36.075,34.81,35.78,6456365,0.0
2020-09-17,35.14,36.07,35.06,35.8,5703817,0.0
2020-09-18,35.61,36.54,35.61,36.02,6879848,0.0
2020-09-21,35.2,35.92,34.5,35.24,9054002,0.0
2020-09-22,35.25,35.8,34.45,34.98,6217096,0.0
2020-09-23,35.19,35.81,34.77,34.78,6219186,0.0
2020-09-24,34.91,34.91,34.105,34.35,5575833,0.0
2020-09-25,34.1,35.07,33.96,34.95,4926960,0.0
2020-09-28,35.5,36.31,35.43,36.22,5064582,0.0
2020-09-29,36.15,36.26,35.49,35.8,12114412,0.0
2020-09-30,36.08,36.68,35.955,36.22,11007702,0.0
2020-10-01,36.91,37.76,36.6,37.74,35544182,0.0
2020-10-02,37.17,38.475,37.07,37.66,41269165,0.0
2020-10-05,38.17,38.71,36.75,36.92,61204550,0.0
2020-10-06,37.14,37.46,36.07,36.74,34895382,0.0
2020-10-07,37.42,38.16,36.9,37.77,20461504,0.0
2020-10-08,37.83,37.95,37.44,37.73,12806515,0.0
2020-10-09,38.2,38.46,37.565,38.23,16933504,0.0
2020-10-12,38.25,38.53,37.9,38.445,13357258,0.0
2020-10-13,38.33,38.51,37.41,37.6,10720659,0.0
2020-10-14,37.3,37.94,37.01,37.11,13664017,0.0
2020-10-15,37.31,39.04,37.235,39.04,23880600,0.0
2020-10-16,39.28,39.77,38.56,39.29,25175351,0.0
2020-10-19,39.41,39.55,38.73,38.88,13936159,0.0
2020-10-20,39.19,40.12,39.08,39.12,15868137,0.0
2020-10-21,39.13,39.42,38.735,38.93,9262438,0.0
2020-10-22,38.92,40.265,38.71,40.13,15619858,0.0
2020-10-23,40.72,40.93,39.925,40.35,12849194,0.0
2020-10-26,39.82,40,38.665,39.15,10719968,0.0
2020-10-27,39.05,39.22,38.305,38.46,11499845,0.0
2020-10-28,37.84,38.53,37.29,38.16,17479618,0.0
2020-10-29,37.83,40.785,37.33,40.305,25237150,0.0
2020-10-30,40.1,41.135,40,41.13,20611124,0.0
