Date,Estimate,Actual
2022-04-20,None,None
2022-01-20,None,None
2021-10-21,5.8,None
2021-07-22,6.5,9.09
2021-04-22,6.47,10.03
2021-01-21,3.84,7.4
2020-10-22,5.27,8.47
2020-07-23,3.11,4.42
2020-04-23,3.56,2.55
2020-01-23,4.65,5.06
2019-10-24,5.07,5.15
2019-07-25,5.06,6.08
2019-04-25,4.77,5.44
2019-01-24,4.71,4.96
2018-10-25,4.49,5.1
2018-07-26,3.9,4.42
2018-04-26,3.14,3.63
2018-01-25,2.57,2.97
2017-10-26,2.29,2.79
2017-07-27,2.04,2.32
2017-04-27,1.87,1.91
2017-01-26,1.79,1.89
2016-10-20,1.73,2.12
2016-07-21,1.7,1.78
2016-04-21,1.7,1.52
2016-01-21,1.53,1.68
2015-10-22,1.53,1.57
2015-07-23,1.46,1.66
2015-04-23,1.35,1.71
2015-01-22,1.29,1.37
2014-10-23,1.23,1.22
2014-07-24,0.88,1.04
2014-04-24,1.57,1.95
2014-01-23,1.1,1.27
2013-10-24,1.44,1.46
2013-07-25,0.94,1.06
2013-04-25,0.88,0.9
2013-01-24,0.88,1.12
2012-10-25,0.88,0.94
2012-07-26,0.85,1.06
2012-04-26,0.75,0.78
2012-01-27,0.78,0.81
2011-10-20,0.77,0.86
2011-07-21,0.7,0.95
2011-04-21,0.48,0.76
2011-01-20,0.52,0.41
2010-10-21,0.49,0.89
2010-07-22,0.41,0.5
2010-04-22,0.38,0.44
2010-01-21,0.36,0.47
2009-10-22,0.28,0.61
2009-07-23,-0.06,0.24
2009-04-23,-0.31,-0.2
2009-01-22,0.57,0.09
2008-10-23,0.74,0.8
2008-07-24,0.68,0.74
2008-04-24,0.78,0.81
2008-01-24,0.94,0.96
2007-10-25,0.85,1.03
2007-07-26,0.8,0.88
2007-04-26,0.72,0.76
2007-01-25,0.71,0.77
2006-10-26,0.69,0.68
2006-07-27,0.63,0.66
2006-04-27,0.61,0.62
2006-01-26,0.61,0.67
2005-04-21,0.6,0.62
2005-01-27,0.46,0.51
2004-10-25,0.4,0.43
2004-07-22,0.39,0.43
2004-04-22,0.34,0.38
2004-01-29,0.36,0.39
2003-10-16,0.47,0.49
2003-07-17,0.26,0.28
2003-04-17,0.22,0.26
2003-01-16,0.28,0.28
2002-10-17,0.28,0.29
2002-07-18,0.32,0.32
2002-04-18,0.28,0.29
2002-01-16,0.33,0.33
2001-10-18,0.37,0.38
2001-07-19,0.47,0.48
2001-04-20,0.65,0.65
2001-01-19,0.68,0.68
2000-10-20,0.63,0.69
2000-07-21,0.54,0.7
2000-04-21,0.4,0.52
2000-01-20,0.31,0.57
1999-10-15,0.22,0.25
1999-07-16,0.2,0.22
1999-04-16,0.2,0.19
1999-01-21,0.1,0.11
1998-10-16,0.19,0.21
1998-07-17,0.19,0.2
1998-06-02,0.18,0.18
1998-01-16,0.18,0.19
1997-10-17,0.18,0.18
1997-07-18,0.16,0.17
1997-05-02,0.16,0.16
1997-01-17,0.14,0.15
