Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,21.52,21.97,21.44,21.83,7861752,44644,21.77866
2021-01-04,22.08,22.38,21.59,21.95,8743350,48485,21.949945
2021-01-05,22.25,23.81,22.21,23.13,16256642,89051,23.277827
2021-01-06,23.96,25.03,23.71,24.41,19456393,106774,24.453516
2021-01-07,24.54,25.47,24.47,24.88,14502456,79518,24.961613
2021-01-08,25.0,25.369,24.475,24.84,11952134,71014,24.936826
2021-01-11,24.2,25.12,24.05,24.99,16878226,76828,24.835363
2021-01-12,25.5,26.73,25.165,26.14,20803227,94762,26.133753
2021-01-13,26.18,26.45,25.25,25.46,11277282,60320,25.601496
2021-01-14,25.58,26.38,25.45,25.96,10285841,69791,25.899983
2021-01-15,25.45,25.69,24.64,24.91,13448970,73956,25.004108
2021-01-19,25.2,25.9,25.11,25.42,21249436,96350,25.417256
2021-01-20,25.55,25.68,24.915,25.35,10571805,65735,25.315433
2021-01-21,25.12,25.33,23.95,24.19,21095966,84058,24.390116
2021-01-22,23.71,24.53,23.45,24.41,13559454,76674,24.158849
2021-01-25,24.37,24.37,23.21,23.74,15540995,98057,23.611374
2021-01-26,24.07,24.39,22.73,22.74,20225795,71236,23.365458
2021-01-27,22.45,22.615,21.23,21.81,17044016,111671,22.073691
2021-01-28,22.12,22.9501,21.97,22.64,12418506,77887,22.567828
2021-01-29,22.4,22.83,22.0,22.21,15573593,74356,22.301062
2021-02-01,22.5,22.58,21.795,22.16,10081526,61810,22.140574
2021-02-02,22.75,23.09,22.35,22.51,11067345,63203,22.641033
2021-02-03,22.7,24.25,22.64,24.18,15843669,85019,23.817997
2021-02-04,24.35,24.95,23.74,24.81,12894780,75218,24.5109
2021-02-05,25.23,25.65,24.855,25.01,11370171,64896,25.181274
2021-02-08,25.45,26.17,25.34,25.99,11496976,60419,25.943712
2021-02-09,25.75,26.3,25.43,26.0,10799789,63323,25.957849
2021-02-10,26.24,26.725,25.97,26.62,11593550,72140,26.467338
2021-02-11,26.39,26.78,25.94,26.37,9773253,60598,26.320328
2021-02-12,26.1,26.79,25.95,26.77,9063413,55187,26.556868
2021-02-16,27.0,27.55,26.8,26.81,14337930,77945,27.05409
2021-02-17,27.0,27.15,26.35,26.87,11560178,74900,26.752761
2021-02-18,26.6,26.74,25.55,25.58,11173052,74943,25.866038
2021-02-19,25.64,26.44,25.56,26.12,10063739,56371,26.130935
2021-02-22,26.0,28.1758,25.98,27.54,13964728,89932,27.592262
2021-02-23,27.76,27.9,26.39,27.74,13548973,85457,27.495096
2021-02-24,28.08,29.675,27.77,29.41,21674017,110152,29.138651
2021-02-25,29.4,29.87,28.2,28.51,20387367,132505,28.977535
2021-02-26,28.03,28.35,26.54,27.91,22478730,143912,27.768254
2021-03-01,28.76,29.1,28.37,28.72,17121632,108111,28.735037
2021-03-02,28.75,29.2,28.12,28.14,13582666,88015,28.53935
2021-03-03,28.34,29.02,28.32,28.37,20695599,119472,28.606735
2021-03-04,28.74,29.31,27.665,28.58,21587249,135481,28.561833
2021-03-05,29.7,29.71,27.91,29.07,26808986,162932,28.760941
2021-03-08,29.36,30.065,28.8,29.71,14971197,103289,29.56851
2021-03-09,29.73,29.98,28.955,29.35,20585202,121653,29.447891
2021-03-10,29.34,30.065,29.0,29.95,18685643,119212,29.498923
2021-03-11,30.08,30.41,29.33,29.4,13239468,80741,29.74102
2021-03-12,29.46,29.595,28.88,29.01,12829516,80599,29.125346
2021-03-15,29.21,29.49,28.655,29.12,7888332,59188,29.030816
2021-03-16,28.52,28.79,27.83,28.06,11347180,70435,28.151419
2021-03-17,27.78,28.415,27.57,28.31,11302829,79889,28.066938
2021-03-18,28.01,28.795,27.17,27.25,14585817,94895,27.937558
2021-03-19,27.26,27.6,26.83,27.05,22580552,96365,27.183651
2021-03-22,27.05,27.865,26.75,27.65,19700238,110930,27.459156
2021-03-23,27.14,27.79,26.48,26.67,14459049,99745,26.984466
2021-03-24,27.28,28.0,27.16,27.42,13642461,89293,27.579301
2021-03-25,26.77,27.53,26.19,27.4,14595825,102941,26.976773
2021-03-26,27.84,28.35,27.6,28.31,11722604,86541,28.038855
2021-03-29,28.23,28.517,27.49,27.7,11397250,78397,27.887003
2021-03-30,27.38,27.79,27.14,27.22,11439994,67784,27.359716
2021-03-31,27.22,27.38,26.91,27.19,11046720,70083,27.175378
2021-04-01,27.45,28.14,27.11,28.1,10455158,68547,27.742931
2021-04-05,28.28,28.3,27.35,27.55,9863316,61149,27.635627
2021-04-06,27.61,28.34,27.39,27.44,9300881,57112,27.679772
2021-04-07,27.51,27.7,27.15,27.35,7946845,56784,27.409173
2021-04-08,27.0,27.18,26.44,27.06,10526713,68362,26.895285
2021-04-09,27.11,27.2261,26.42,26.76,8605349,59309,26.718053
2021-04-12,26.87,27.1,26.32,26.54,7097432,52152,26.610854
2021-04-13,26.27,26.47,25.86,26.04,12323462,65533,26.10779
2021-04-14,26.3,27.78,26.26,27.31,14637021,80863,27.31687
2021-04-15,27.21,27.3565,26.57,26.66,8491639,59893,26.794528
2021-04-16,26.89,26.96,26.25,26.29,8035598,50034,26.445342
2021-04-19,26.39,26.775,26.25,26.53,7068930,46796,26.458382
2021-04-20,26.16,26.325,25.02,25.25,11723267,79636,25.346988
2021-04-21,24.7,25.79,24.52,25.73,13077735,73675,25.506049
2021-04-22,25.72,25.77,25.2,25.25,16055876,89929,25.400017
2021-04-23,24.81,25.98,24.57,25.71,12888858,85780,25.570326
2021-04-26,25.86,26.68,25.75,26.37,13913254,75891,26.411146
2021-04-27,26.4,26.61,25.65,26.18,12999393,70933,26.103865
2021-04-28,26.37,27.49,26.16,27.36,10616212,61588,27.221178
2021-04-29,27.8,28.09,27.27,27.82,13730876,73265,27.701024
2021-04-30,27.48,27.81,26.96,27.05,13190760,71536,27.239486
2021-05-03,27.53,28.5,27.48,28.22,12369143,76509,28.177223
2021-05-04,28.31,28.68,27.83,28.39,15114968,80632,28.37962
2021-05-05,28.77,30.35,28.57,30.34,22758883,126912,29.890988
2021-05-06,30.23,30.77,29.62,30.73,14908657,102337,30.383071
2021-05-07,30.19,32.0,30.19,31.89,16466113,100784,31.30832
2021-05-10,32.22,32.87,31.61,31.66,16120107,110742,32.134358
2021-05-11,30.93,31.57,30.635,31.26,18190013,99250,31.181773
2021-05-12,31.35,32.64,31.25,32.1,23270146,135071,32.184039
2021-05-13,31.68,32.47,31.32,31.76,15367028,114105,31.909044
2021-05-14,32.24,32.975,32.19,32.8,10691889,73290,32.698178
2021-05-17,32.53,34.105,32.4,34.05,14531349,88773,33.424656
2021-05-18,34.12,34.3297,33.01,33.07,12438645,88786,33.412997
2021-05-19,32.4,32.52,31.66,32.0,13633590,93300,32.06532
2021-05-20,31.99,32.0,31.195,31.77,12478343,78868,31.624557
2021-05-21,32.14,32.46,31.855,31.95,8574018,52972,32.060055
2021-05-24,32.0,32.13,31.56,31.7,9755934,57587,31.754773
2021-05-25,31.63,31.81,31.08,31.24,10064439,63884,31.411232
2021-05-26,31.13,31.84,30.97,31.55,9368110,68168,31.548143
