Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,235.28,240.12,234.57,236.96,793901,0.0
2020-12-07,238.38,241,236.825,239.16,503981,0.0
2020-12-08,241.3,241.3,236.64,238.74,595809,0.0
2020-12-09,238.65,238.65,231.255,232.78,598372,0.0
2020-12-10,231.62,235.08,229.21,234.13,574864,0.0
2020-12-11,234.01,236.58,232.3,236.52,581752,0.0
2020-12-14,236.91,242.73,235.88,238.97,531495,0.0
2020-12-15,241.11,243.14,239.49,242.74,415225,0.0
2020-12-16,244.38,249.101,243.51,248.06,711006,0.0
2020-12-17,249.79,253.1,246.385,250.29,698584,0.0
2020-12-18,250.83,255.72,248.2,255.06,778030,0.0
2020-12-21,251.83,255.8,247,254.27,777518,0.0
2020-12-22,255.08,258.48,254.51,258.06,578542,0.0
2020-12-23,259.03,260.26,254.59,254.67,466952,0.0
2020-12-24,255,257.4768,253.81,256.06,170961,0.0
2020-12-28,261.1347,261.1347,254.4226,256.16,361452,0.0
2020-12-29,257.77,258.34,252.78,253.87,375903,0.0
2020-12-30,255.37,258.34,254.855,256.86,304738,0.0
2020-12-31,257.95,259.52,256.5,259.24,248225,0.0
2021-01-04,260,263,251.35,254.7,764038,0.0
2021-01-05,254.76,259.51,253.79,258.69,564563,0.0
2021-01-06,253.29,255.0375,249.26,249.64,678082,0.0
2021-01-07,252.68,259.44,252.23,258.76,564751,0.0
2021-01-08,259.99,264.33,259.29,262.76,499261,0.0
2021-01-11,258.16,264.62,258.16,260.66,412666,0.0
2021-01-12,261.48,261.84,255.82,258.46,424779,0.0
2021-01-13,258.95,259.88,253.46,257.15,550140,0.0
2021-01-14,257.12,260.48,257,257.91,474450,0.0
2021-01-15,258.68,260.8575,255,258.95,473558,0.0
2021-01-19,261.66,268.64,261.1,268.22,667113,0.0
2021-01-20,270.83,280.11,270.83,273.21,820664,0.0
2021-01-21,276.2,276.2,271.265,272.945,493404,0.0
2021-01-22,273.23,277.22,269.75,270.14,474804,0.0
2021-01-25,273.25,274.49,265.035,269.7,377866,0.0
2021-01-26,269.83,270.17,265.31,265.9,424287,0.0
2021-01-27,262.59,266.51,252.1,254.53,686698,0.0
2021-01-28,257.5,264.18,256.025,259.16,715104,0.0
2021-01-29,257.075,260.61,253.72,255.44,606797,0.0
2021-02-01,259.9602,264.82,257.41,263.56,508087,0.0
2021-02-02,264.01,270.16,264.01,269.76,576794,0.0
2021-02-03,270,270.37,263.52,265.22,608263,0.0
2021-02-04,266.12,270.27,264.72,270.17,423053,0.0
2021-02-05,271.86,276.97,271.61,272.92,501942,0.0
2021-02-08,275.3,278.39,274.19,276.41,414845,0.0
2021-02-09,276.48,279.93,275.41,277.97,279889,0.0
2021-02-10,278.03,280.236,275.5,276.67,609390,0.0
2021-02-11,279.08,287.11,278.38,286.83,581535,0.0
2021-02-12,286.71,293.31,285.09,292.07,517351,0.0
2021-02-16,299.62,300.91,289.965,290.67,926227,0.0
2021-02-17,286.91,287.94,278.86,284.05,815827,0.0
2021-02-18,278.1,279.06,269.285,270.94,1052559,0.0
2021-02-19,272.61,274.8319,267.35,268.07,1018793,0.0
2021-02-22,265.83,266.8,253.87,254.85,1017047,0.0
2021-02-23,251.74,254.67,246.09,253.21,1437745,0.0
2021-02-24,248.89,260.89,247,260.68,1144417,0.0
2021-02-25,258.85,259.73,242.1276,244.09,1682435,0.0
2021-02-26,246.97,250.1236,243.09,245.21,1564856,0.0
2021-03-01,249.34,254.31,248.34,253.95,1104644,0.0
2021-03-02,256,257.23,246.2001,247.84,859995,0.0
2021-03-03,245.74,246.035,235.945,236.86,1333657,0.0
2021-03-04,235.61,238,225.55,229.92,1323217,0.0
2021-03-05,230.1,231.63,217.8154,227.8,1357041,0.0
2021-03-08,226.63,226.77,217.69,218.52,1186720,0.0
2021-03-09,226.29,232.9449,226.135,228.52,1133178,0.0
2021-03-10,231.38,237.9145,228.1,228.84,1086768,0.0
2021-03-11,234.5,237.93,233.18,234.26,932188,0.0
2021-03-12,230.77,230.84,226.8,229.31,1210781,0.0
2021-03-15,229.48,235,228.02,234.87,753384,0.0
2021-03-16,239.75,239.75,232.41,234.05,666520,0.0
2021-03-17,230.93,237.35,228.23,235.58,684165,0.0
2021-03-18,231.415,233.44,227.15,227.38,990333,0.0
2021-03-19,227.43,230.78,225.58,227.76,731076,0.0
2021-03-22,230.78,237.19,230.78,234.52,686486,0.0
2021-03-23,235.5,238.335,234.08,235.05,591094,0.0
2021-03-24,237.3,238.82,233.01,233.09,688046,0.0
2021-03-25,230.865,232.7,226.7,231.66,634970,0.0
2021-03-26,231.22,243.23,229.365,242.86,946685,0.0
2021-03-29,241.72,243.15,237.605,240.46,905644,0.0
2021-03-30,237.68,240.465,233.21,239.81,713529,0.0
2021-03-31,241.96,249.28,241.78,247.78,945135,0.0
2021-04-01,251.79,257.4354,250.08,254.23,839987,0.0
2021-04-05,255.18,260.43,255.18,259.98,858535,0.0
2021-04-06,260.54,261.5,256.68,257.49,602748,0.0
2021-04-07,257.62,257.66,254.6,257,478534,0.0
2021-04-08,261.2,263.33,258.84,261.14,744544,0.0
2021-04-09,259.85,262.58,258.34,261.94,446714,0.0
2021-04-12,259.66,260.325,257.03,257.97,688627,0.0
2021-04-13,261.1,263.7,259.55,261.93,552118,0.0
2021-04-14,263.44,264.31,257.63,258.45,549470,0.0
2021-04-15,262.32,263.85,260.09,262.12,745485,0.0
2021-04-16,261.89,262.02,257.71,260.84,502623,0.0
2021-04-19,258.62,258.855,247.4,250.82,961687,0.0
2021-04-20,249.77,252.29,247.67,250.17,502769,0.0
2021-04-21,250.14,253.46,250,252.6,605823,0.0
2021-04-22,250.72,251.865,246.42,248.23,487669,0.0
2021-04-23,248.54,252.31,248.44,251.35,507127,0.0
2021-04-26,252.44,256.94,249.915,256.835,572799,0.0
2021-04-27,254.73,256.86,249.03,251.71,890017,0.0
2021-04-28,251,252.5899,247.41,251.51,555534,0.0
2021-04-29,254.39,254.94,249.58,252.58,465781,0.0
2021-04-30,251.82,252.47,246,247.02,491753,0.0
2021-05-03,248.69,249.83,243.98,244.96,389038,0.0
2021-05-04,240.72,242.33,234.555,237.07,852911,0.0
2021-05-05,240.69,241.82,236.59,237.52,648825,0.0
2021-05-06,235.79,239.08,232.75,237.46,736048,0.0
2021-05-07,240.23,245.22,239.62,241.72,512814,0.0
2021-05-10,239.43,239.88,230.71,232.47,801639,0.0
2021-05-11,228.28,236.4,225.02,234.93,1203753,0.0
2021-05-12,231.52,235.19,227.8,228.42,1422683,0.0
2021-05-13,229.42,233.585,228.6,230.81,643945,0.0
2021-05-14,234.76,240.76,232.84,239.73,714657,0.0
2021-05-17,236.5,238.9,233.5,236.06,1138410,0.0
2021-05-18,237.33,239.97,234.63,234.99,844223,0.0
2021-05-19,229.73,237.74,229.04,237.25,800046,0.0
2021-05-20,238.5,246.38,238.5,244.71,1369561,0.0
2021-05-21,246.66,248.29,240.76,242.09,918302,0.0
2021-05-24,245,249.58,244,248.58,756876,0.0
2021-05-25,249.78,256.06,249.05,255.97,867433,0.0
