Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-01,57.1,58.12,56.52,57.7,5546972,0.0
2020-06-02,57.94,58.04,57.07,58.01,6910208,0.0
2020-06-03,58.34,59.315,58.1,58.7,6617699,0.0
2020-06-04,58.41,58.6598,57.09,57.95,5688892,0.0
2020-06-05,58.35,60.02,58.26,58.51,7758262,0.0
2020-06-08,58.3,60.47,58.13,60.18,8986410,0.0
2020-06-09,59.35,59.69,58.26,59.431,8321954,0.0
2020-06-10,59.26,60.275,58.92,59.2,9107722,0.0
2020-06-11,58,58.19,55.82,56.15,9368306,0.0
2020-06-12,57.32,57.45,56.45,56.55,1771880,0.0
2020-06-15,55.3,56.96,54.52,56.45,6930736,0.0
2020-06-16,57.66,58.03,55.87,56.27,8369120,0.0
2020-06-17,56.48,56.515,55.3,56.02,6902896,0.0
2020-06-18,55.71,56.2,55.21,56.11,6466396,0.0
2020-06-19,56.89,57.1,53.95,53.99,13111378,0.0
2020-06-22,53.95,54.82,53.34,54.68,4094314,0.0
2020-06-23,55.29,55.44,53.255,53.27,5249588,0.0
2020-06-24,52.88,53.05,51.71,52.38,5046207,0.0
2020-06-25,52.1,52.25,50.72,51.25,6358943,0.0
2020-06-26,51.17,51.8774,50.4,50.89,4593702,0.0
2020-06-29,51.37,51.559,50.62,51.559,3327866,0.0
2020-06-30,51.65,52.16,51.13,51.83,3241778,0.0
2020-07-01,51.86,53.06,51.66,52.88,3384715,0.0
2020-07-02,53.29,53.43,52.6747,52.78,3091514,0.0
2020-07-06,52.99,53.49,52.06,52.61,2839454,0.0
2020-07-07,52,52.875,51.65,52.72,2869172,0.0
2020-07-08,52.52,53.32,52.445,53.07,2664768,0.0
2020-07-09,52.73,52.77,51.42,51.94,3321347,0.0
2020-07-10,52,53.41,52,53.23,3366390,0.0
2020-07-13,53.31,53.88,52.87,53.19,2978347,0.0
2020-07-14,53.06,54.18,53.05,53.69,3458171,0.0
2020-07-15,54.42,54.575,52.91,53.03,3558863,0.0
2020-07-16,53.16,53.91,53.05,53.825,2619112,0.0
2020-07-17,54.1,54.75,53.93,54.58,3171603,0.0
2020-07-20,54.34,54.65,54.055,54.26,2552646,0.0
2020-07-21,54.23,55.39,54.22,54.865,3284320,0.0
2020-07-22,54.72,56.27,53.96,55.77,3271136,0.0
2020-07-23,55.59,56.05,55.17,55.56,2183398,0.0
2020-07-24,55.84,56.3,54.65,54.84,2468007,0.0
2020-07-27,54.77,54.84,53.945,54.26,2608079,0.0
2020-07-28,54.1,55.64,54.1,55.28,4197826,0.0
2020-07-29,55.5,55.6187,54.73,55.4,5719092,0.0
2020-07-30,55.31,55.525,54.27,55.26,7892289,0.0
2020-07-31,54.87,54.98,53.77,54.61,9058760,0.0
2020-08-03,54.57,54.61,53.885,54.02,4978307,0.0
2020-08-04,53.88,54.73,53.8,54.4401,4440643,0.0
2020-08-05,54.6,54.64,53.275,53.39,6527069,0.0
2020-08-06,53.3,54.07,53.07,53.9,4722188,0.0
2020-08-07,53.56,54.93,53.56,54.69,5396670,0.0
2020-08-10,54.76,55.3698,54.7,55.075,3383798,0.0
2020-08-11,55.27,55.38,54.03,54.2,7615340,0.0
2020-08-12,54.52,55.39,54.25,54.87,8521824,0.0
2020-08-13,54.62,55.05,54.45,55.01,3204634,0.0
2020-08-14,54.15,54.25,53.42,53.56,2833767,0.0
2020-08-17,53.56,54.025,53.25,53.59,3920888,0.0
2020-08-18,53.58,53.73,52.83,53.05,5832057,0.0
2020-08-19,53.37,53.48,52.94,53.19,4295942,0.0
2020-08-20,52.85,53.1226,52.08,52.25,5810482,0.0
2020-08-21,52.46,52.55,51.8633,52.38,5825874,0.0
2020-08-24,52.39,52.95,51.965,52.86,4916544,0.0
2020-08-25,53.03,53.06,52.19,52.42,3952420,0.0
2020-08-26,52.01,52.22,51.46,51.72,5275554,0.0
2020-08-27,51.75,52.36,51.6501,52.195,6155376,0.0
2020-08-28,52.3,52.505,51.8599,52.41,4676650,0.0
2020-08-31,52.11,52.65,52.04,52.17,4519823,0.0
2020-09-01,52.02,52.32,51.5891,51.81,5502720,0.0
2020-09-02,51.77,53.49,51.61,53.2,7324587,0.0
2020-09-03,53.41,53.94,52.19,52.58,7202117,0.0
2020-09-04,52.71,52.87,51.52,52.29,6040725,0.0
2020-09-08,52.43,53.3201,51.87,52.84,12311616,0.0
2020-09-09,53.16,53.81,52.67,52.85,7367139,0.0
2020-09-10,51.4171,52,51.4,51.55,9030403,0.0
2020-09-11,51.53,51.96,51.215,51.76,6027451,0.0
2020-09-14,51.99,53.185,51.99,52.87,5930459,0.0
2020-09-15,53.14,53.8,52.74,53.01,2383807,0.0
2020-09-16,52.826,53.82,52.82,53.3,2119335,0.0
2020-09-17,52.9,53.55,52.56,53.53,2952831,0.0
2020-09-18,53.15,53.49,52.711,52.82,4887217,0.0
2020-09-21,52.72,53.145,52.2084,53.03,3828692,0.0
2020-09-22,52.94,53.67,52.7032,53.12,2581654,0.0
2020-09-23,53.3,53.3,52.48,52.52,2063787,0.0
2020-09-24,52.53,53.19,52.01,53.03,2402208,0.0
2020-09-25,52.7,53.8548,52.53,53.82,2442227,0.0
2020-09-28,54.04,54.7,53.61,53.72,3552386,0.0
2020-09-29,53.95,54.18,53.22,53.7,4892546,0.0
2020-09-30,53.98,54.5,53.88,54.21,5652927,0.0
2020-10-01,54.3,54.735,53.975,54.61,6566417,0.0
2020-10-02,54.31,56.57,54.09,56.26,11754393,0.0
2020-10-05,56.32,57.3591,56.27,57.17,8661144,0.0
2020-10-06,57.04,58.83,56.92,57.82,8069145,0.0
2020-10-07,58.18,58.61,57.68,57.79,4970565,0.0
2020-10-08,58,58.955,57.9,58.72,4700134,0.0
2020-10-09,59,59.2,58.38,58.75,5977271,0.0
2020-10-12,58.69,59.1901,58.44,58.86,6422851,0.0
2020-10-13,58.45,58.7,57.45,58.34,6086570,0.0
2020-10-14,58.15,58.45,57.81,58.01,4186962,0.0
2020-10-15,57.61,58.21,57.38,58.02,4919716,0.0
2020-10-16,58.28,58.545,57.82,58.35,5583110,0.0
2020-10-19,58.43,59.05,58.01,58.05,4998395,0.0
2020-10-20,58.26,58.785,57.99,58.6,5802187,0.0
2020-10-21,58.22,59.17,58.16,58.865,5852915,0.0
2020-10-22,58.85,60.622,58.7,60.56,8202423,0.0
2020-10-23,60.76,61.26,60.49,60.86,7367340,0.0
2020-10-26,60.27,60.84,59.815,60.61,6534119,0.0
2020-10-27,60.77,61.1,60.21,60.23,5805396,0.0
2020-10-28,59.5,60.05,58.18,58.37,6574082,0.0
2020-10-29,57.93,59.22,57,58.19,5947799,0.0
2020-10-30,58.18,58.59,56.92,57.49,5475319,0.0
2020-11-02,58.02,59.25,57.7784,58.99,5323239,0.0
2020-11-03,59.63,60.62,59.52,59.87,5208962,0.0
2020-11-04,59.52,60.96,59.3,59.77,6748196,0.0
2020-11-05,59.93,61.38,59.93,60.17,4420613,0.0
2020-11-06,60.27,60.79,59.63,60.01,4940768,0.0
2020-11-09,62.19,64.485,61.5,62.34,8530387,0.0
2020-11-10,62.62,64.67,62.53,64.18,9241636,0.0
2020-11-11,64.24,64.58,63.73,63.93,5943492,0.0
2020-11-12,63.55,64.51,62.9731,63.53,7126313,0.0
2020-11-13,63,64.15,62.95,63.69,4748600,0.0
2020-11-16,64.8,64.93,63.79,63.93,3604601,0.0
2020-11-17,63.65,63.79,62.24,62.35,6474255,0.0
2020-11-18,62.72,63.08,61.715,61.77,6470393,0.0
2020-11-19,61.73,61.73,60.42,61.07,5265812,0.0
2020-11-20,60.98,61.47,60.64,60.88,6808093,0.0
2020-11-23,60.95,61.005,60.37,60.45,5359080,0.0
2020-11-24,60.99,61.47,60.5,61.18,5362215,0.0
2020-11-25,61.07,61.45,60.4,60.9,4318101,0.0
2020-11-27,60.79,60.8,60.22,60.65,2835268,0.0
2020-11-30,60.26,60.47,59.455,59.88,3552539,0.0
2020-12-01,60.58,61.85,60.04,60.57,3850074,0.0
2020-12-02,60.51,61.93,60.19,61.88,3429349,0.0
2020-12-03,61.66,62.21,61.375,61.88,3422641,0.0
2020-12-04,61.94,62.2,61.05,61.54,2508433,0.0
2020-12-07,61.29,62.14,61.17,61.78,3385873,0.0
2020-12-08,61.37,61.5,60.62,61,2511454,0.0
2020-12-09,61,61.2731,60.47,60.76,1744899,0.0
2020-12-10,60.93,61.1893,60.44,60.5,2184053,0.0
2020-12-11,60.27,60.62,60.185,60.42,1420994,0.0
2020-12-14,61.08,61.215,59.63,59.64,2064311,0.0
2020-12-15,60.37,61.23,59.79,60.88,2352060,0.0
2020-12-16,61.05,61.55,60.25,60.43,1854829,0.0
2020-12-17,60.81,61.44,60.75,61.06,2416889,0.0
2020-12-18,61.07,61.2553,59.81,60.14,4143993,0.0
2020-12-21,59.72,60.07,59.05,60,2662710,0.0
2020-12-22,59.93,60.05,59.62,59.72,2005239,0.0
2020-12-23,60.01,60.37,59.36,59.38,1513383,0.0
2020-12-24,59.58,59.85,59.3,59.8,745411,0.0
2020-12-28,60.02,60.52,59.705,59.97,1617240,0.0
2020-12-29,60.01,60.5,59.92,60.09,1412875,0.0
2020-12-30,60.07,60.87,60.027,60.64,1576672,0.0
2020-12-31,60.58,61.48,60.45,61.41,1620371,0.0
2021-01-04,61.38,61.49,58.95,59.38,3278200,0.0
2021-01-05,59.53,59.97,59.27,59.75,2671743,0.0
2021-01-06,60.06,61.6,59.845,61.23,3313237,0.0
2021-01-07,61.38,61.55,60.81,61.15,3873741,0.0
2021-01-08,61.07,61.705,60.77,61.57,2690319,0.0
2021-01-11,61.19,61.72,60.75,61.22,2426959,0.0
2021-01-12,61.05,61.15,58.5,58.82,12435807,0.0
2021-01-13,58.86,59.975,58.85,59.72,6394894,0.0
2021-01-14,59.58,59.69,58.98,59.04,3100068,0.0
2021-01-15,58.75,59.85,58.46,59.67,3591818,0.0
2021-01-19,60.31,61.14,59.89,61.05,4928103,0.0
2021-01-20,60.78,61.13,60.16,60.64,4621462,0.0
2021-01-21,60,60.59,59.61,59.88,2739673,0.0
2021-01-22,59.72,60.54,59.63,60.14,2503797,0.0
2021-01-25,59.87,61.04,59.58,61.02,2926764,0.0
2021-01-26,60.89,60.94,59.69,59.69,2614765,0.0
2021-01-27,59.5,59.68,58.13,58.555,4503128,0.0
2021-01-28,58.75,60.27,58.65,59.04,2286468,0.0
2021-01-29,58.76,59.27,58.21,58.9,2393862,0.0
2021-02-01,59.285,59.77,58.63,59.12,2822054,0.0
2021-02-02,59.3,60.7,58.94,59.64,3018384,0.0
2021-02-03,59.6,59.89,59.31,59.45,2775381,0.0
2021-02-04,59.55,60.47,59.45,60.35,2259257,0.0
2021-02-05,60.63,61.235,60.34,60.89,2117167,0.0
2021-02-08,60.94,61.28,60.63,60.73,2696590,0.0
2021-02-09,60.83,60.89,60.4127,60.63,1712598,0.0
2021-02-10,60.92,61.22,60.58,60.93,2271820,0.0
2021-02-11,60.98,61.52,60.6,61.3,3625574,0.0
2021-02-12,60.45,60.7,59.51,60.1,3422916,0.0
2021-02-16,60.01,60.1,59.29,59.3,2462824,0.0
2021-02-17,59.37,59.43,58.93,59.27,2574618,0.0
2021-02-18,59.32,60.3419,59.25,59.88,3930869,0.0
2021-02-19,59.76,59.87,59.08,59.31,2953255,0.0
2021-02-22,59.32,59.57,58.4402,59.28,3397769,0.0
2021-02-23,59.22,60.29,58.91,58.92,3593869,0.0
2021-02-24,58.77,58.93,58.14,58.38,4005346,0.0
2021-02-25,58.28,58.65,57.62,57.78,3636324,0.0
2021-02-26,58.05,58.34,56.69,56.7,5026175,0.0
2021-03-01,57.27,58.58,57.27,57.77,2768255,0.0
2021-03-02,57.81,58.325,57.11,57.83,2850033,0.0
2021-03-03,57.5,57.78,57.06,57.59,3436723,0.0
2021-03-04,57.81,58.6859,57.02,57.42,4286443,0.0
2021-03-05,57.57,58.64,57.06,58.36,3576914,0.0
2021-03-08,59.15,59.87,58.61,59.6,6655912,0.0
2021-03-09,59.7,59.96,59.24,59.39,3890381,0.0
2021-03-10,59.41,60.2,59.29,59.76,3234079,0.0
2021-03-11,59.57,60.145,59.25,59.28,2478371,0.0
2021-03-12,59.58,60.22,59.3272,59.84,2743209,0.0
2021-03-15,60,61.13,59.855,60.98,2656029,0.0
2021-03-16,60.78,61.45,60.62,61.25,3215006,0.0
2021-03-17,61.25,61.28,60.67,60.71,2976485,0.0
2021-03-18,60.71,60.91,59.82,60.4,3562453,0.0
2021-03-19,59.8,60.28,58.53,59.7,7237984,0.0
2021-03-22,59.5,59.89,59.28,59.69,2313384,0.0
2021-03-23,59.76,60.97,59.5188,60.63,3078009,0.0
2021-03-24,60.28,61.29,60.19,60.67,2837031,0.0
2021-03-25,61,61.81,60.72,61.39,3430807,0.0
2021-03-26,61.34,61.74,60.87,61.65,2177575,0.0
2021-03-29,61.66,62.6,61.58,62.33,3639148,0.0
2021-03-30,62.02,62.03,61.153,61.53,2418145,0.0
2021-03-31,61.37,62.28,61.5,62.17,2628514,0.0
2021-04-01,62.35,62.33,61.58,62.32,2749930,0.0
2021-04-05,62.2,62.97,62.2,62.65,2427816,0.0
2021-04-06,62.45,63.145,62.26,63.12,2374620,0.0
2021-04-07,63.14,63.3567,62.595,62.79,1740766,0.0
2021-04-08,62.94,63.33,62.68,62.85,2129281,0.0
2021-04-09,62.97,63.14,62.68,62.73,1878374,0.0
2021-04-12,62.82,63.22,62.63,62.9,2607964,0.0
2021-04-13,62.5,63.86,62.5,63.56,3666442,0.0
2021-04-14,63.38,63.925,63.26,63.895,2881073,0.0
2021-04-15,63.92,64.61,63.68,64.49,3863498,0.0
2021-04-16,65,65.26,64.57,65.02,4022748,0.0
2021-04-19,65.02,65.14,64.42,64.92,2542576,0.0
2021-04-20,64.91,66.395,64.82,66.09,4445676,0.0
2021-04-21,66.18,66.4,65.39,65.73,2728329,0.0
2021-04-22,65.63,65.94,65.05,65.11,3205482,0.0
2021-04-23,65.18,65.64,65.05,65.33,3123372,0.0
2021-04-26,65.46,65.46,64.5242,64.67,3111881,0.0
2021-04-27,64.58,64.65,64.18,64.32,2377657,0.0
2021-04-28,64.39,64.625,64.09,64.36,2957162,0.0
2021-04-29,64.19,65.34,64.1,65.19,4265373,0.0
2021-04-30,65.37,66.23,65.01,66.185,3922505,0.0
2021-05-03,66.18,66.7,65.825,66.04,3010660,0.0
2021-05-04,66.22,66.71,65.85,66.43,3040900,0.0
2021-05-05,66.21,66.3,64.87,65.45,3310417,0.0
2021-05-06,65.59,66.17,65.2343,66.05,2776094,0.0
2021-05-07,65.92,66.505,65.8,66.26,3060284,0.0
2021-05-10,66.45,66.93,66.29,66.31,3127266,0.0
2021-05-11,66.3,66.46,65.425,65.81,3621768,0.0
2021-05-12,65.85,65.73,64.31,64.355,3161112,0.0
2021-05-13,64.51,66.155,64.4,65.7101,3103969,0.0
2021-05-14,65.16,65.56,65.05,65.11,3450924,0.0
2021-05-17,65.11,65.67,64.4,64.45,3925788,0.0
2021-05-18,64.45,64.7757,64.1,64.15,4459603,0.0
2021-05-19,63.65,64,63.02,63.98,3789985,0.0
2021-05-20,64,64.565,63.79,64.07,2909190,0.0
2021-05-21,64.26,64.59,63.85,64.39,3379953,0.0
2021-05-24,64.63,64.78,64.22,64.42,1956117,0.0
2021-05-25,64.4,64.425,63.725,64.08,2609305,0.0
2021-05-26,63.99,64.06,63.6,63.71,2339041,0.0
2021-05-27,63.94,63.97,63.53,63.64,3271232,0.0
2021-05-28,64,64.135,63.725,63.93,2344380,0.0
2021-06-01,64.02,64.18,63.31,63.43,2790162,0.0
2021-06-02,63.67,64.38,63.31,63.91,2472695,0.0
2021-06-03,63.95,64.68,63.57,64.45,2501306,0.0
2021-06-04,64.62,64.77,64.31,64.36,2343384,0.0
2021-06-07,64.5,64.925,64.29,64.66,4076786,0.0
2021-06-08,64.8,64.8,63.4,63.44,4090809,0.0
2021-06-09,63.57,63.72,63.07,63.63,3668693,0.0
2021-06-10,63.71,63.94,63.48,63.88,2608623,0.0
2021-06-11,63.76,63.965,63.485,63.85,2196825,0.0
2021-06-14,63.77,64.135,63.54,63.8,2708484,0.0
2021-06-15,63.9,64.675,63.82,64.33,2612298,0.0
2021-06-16,64.35,64.58,62.96,62.98,3313025,0.0
2021-06-17,63.01,63.635,62.73,63.37,3683738,0.0
2021-06-18,63.04,63.09,61.38,61.46,4265681,0.0
2021-06-21,61.7,62.9181,61.535,62.49,3628526,0.0
2021-06-22,62.36,62.74,62.035,62.07,2677595,0.0
2021-06-23,62.01,62.055,61.23,61.46,3793118,0.0
2021-06-24,61.54,61.575,60.925,60.98,4243566,0.0
2021-06-25,60.97,61.6,60.59,61.535,3529016,0.0
2021-06-28,61.75,61.92,61.335,61.49,2020398,0.0
2021-06-29,61.22,61.67,60.275,60.46,3510446,0.0
2021-06-30,60.45,60.69,60.115,60.51,3164059,0.0
2021-07-01,60.8,61.65,60.6,61.48,3123072,0.0
2021-07-02,61.51,61.61,61.25,61.55,2107457,0.0
2021-07-06,61.52,61.665,60.76,61.64,2304128,0.0
2021-07-07,61.5,61.77,61.19,61.71,2540249,0.0
2021-07-08,61.4,61.84,61.29,61.5527,2835795,0.0
2021-07-09,61.66,61.78,61.055,61.46,3005440,0.0
2021-07-12,61.34,61.89,61.15,61.8128,2302598,0.0
2021-07-13,61.72,61.84,61.12,61.34,1955033,0.0
2021-07-14,61.32,62.14,61.055,61.91,2304659,0.0
2021-07-15,61.56,62.72,61.56,62.67,2968653,0.0
2021-07-16,62.74,63.44,62.57,63.11,3194944,0.0
2021-07-19,62.93,63.625,61.81,62.81,6146321,0.0
2021-07-20,63,63.95,62.8,62.95,3320465,0.0
2021-07-21,63.04,63.605,62.75,62.81,3136560,0.0
2021-07-22,62.89,63.395,62.82,62.99,3549685,0.0
2021-07-23,63.07,63.975,63,63.86,2355867,0.0
2021-07-26,63.9,64.13,63.495,63.72,3212032,0.0
2021-07-27,63.58,64.83,63.24,64.55,4220920,0.0
2021-07-28,64.71,64.71,63.55,63.99,4524194,0.0
2021-07-29,63.79,64.69,63.68,64.45,3431942,0.0
