Date,Open,High,Low,Close,Volume,OpenInterest
2020-08-31,69.81,69.83,67.44,67.85,6505967,0.0
2020-09-01,66.65,67.88,65.9,67.2,6626710,0.0
2020-09-02,66.64,68.0299,65.96,67.77,6102798,0.0
2020-09-03,68.5,70.98,66.87,68.02,9813846,0.0
2020-09-04,69.5,72.48,68.84,70.24,13018419,0.0
2020-09-08,69.46,70.75,68.79,70.05,7150357,0.0
2020-09-09,69.94,70.17,67.96,68.86,7599449,0.0
2020-09-10,68.73,68.74,66,66.18,7320697,0.0
2020-09-11,66.44,66.46,63.38,64.14,9216606,0.0
2020-09-14,65,67.925,64.5253,67.8,6470220,0.0
2020-09-15,68.03,71.825,67.69,71.12,5598725,0.0
2020-09-16,71,75.2,70.04,74.11,7359071,0.0
2020-09-17,71.47,74.24,70.875,71.81,3622798,0.0
2020-09-18,71.44,71.9,69.59,69.82,4037002,0.0
2020-09-21,67.07,67.22,64.3525,64.88,5882477,0.0
2020-09-22,65.02,67.07,64.75,65.11,4911920,0.0
2020-09-23,65.5,66.8,62.72,62.89,3814697,0.0
2020-09-24,62.05,64.16,59.6,62.79,4869200,0.0
2020-09-25,62,63.93,62,63.56,2334339,0.0
2020-09-28,65.8,66.535,64.8,65.83,3145075,0.0
2020-09-29,65.33,65.34,62.9,63.98,7035049,0.0
2020-09-30,64.15,66.12,63.7,64.64,6624009,0.0
2020-10-01,64.84,66.56,64.25,66.54,5656154,0.0
2020-10-02,64.11,68.5,64.05,68.2,7414881,0.0
2020-10-05,68.71,69.33,67.42,68.83,6598390,0.0
2020-10-06,69.75,72.63,69.01,69.98,11086070,0.0
2020-10-07,70.32,72.16,69.8,71.04,7064720,0.0
2020-10-08,70.83,71.23,69.4,70.1,6716805,0.0
2020-10-09,70.14,70.3457,67.51,67.75,6865580,0.0
2020-10-12,67.64,68.11,66.7,68.02,5203907,0.0
2020-10-13,66.97,67.33,65.47,65.82,6817999,0.0
2020-10-14,65.89,66.54,65.26,65.71,4774650,0.0
2020-10-15,64.71,66.52,64.59,65.13,5203852,0.0
2020-10-16,65.53,65.7012,64.15,64.81,7044800,0.0
2020-10-19,65,65.35,63.84,63.92,5628160,0.0
2020-10-20,64.89,66.08,64.43,64.46,5072601,0.0
2020-10-21,64.12,64.71,63.34,64.13,4644698,0.0
2020-10-22,64.01,66.54,63.9,66.36,5296004,0.0
2020-10-23,66.75,67.8,65.9221,66.9,5335166,0.0
2020-10-26,66.01,66.1,63.87,64.71,7108966,0.0
2020-10-27,64.11,64.58,61.95,61.97,6896284,0.0
2020-10-28,60.27,61.63,59.35,60.76,11694867,0.0
2020-10-29,60.69,64.11,60.17,63.41,10539205,0.0
2020-10-30,62.98,63.62,60.83,62.83,6363520,0.0
2020-11-02,62.96,64.88,62.59,64.71,5517053,0.0
2020-11-03,65.6,66,64.4,64.92,6304440,0.0
2020-11-04,64.9,64.91,62.12,62.27,7038390,0.0
2020-11-05,62.93,64.1,62.455,63.46,5780682,0.0
2020-11-06,63.5,64.83,61.64,61.86,8821662,0.0
2020-11-09,74.87,82.5,73.1,79.32,45286259,0.0
2020-11-10,76.7,84.49,75.31,78.83,27191255,0.0
2020-11-11,77.98,78.5,72.52,73.38,11954955,0.0
2020-11-12,71.6616,72.63,68.01,69.13,14697549,0.0
2020-11-13,71.63,75.1493,70.8,74.49,12247314,0.0
2020-11-16,79.95,82.42,79,79.19,19466493,0.0
2020-11-17,77.95,81.33,76.98,78.96,10800318,0.0
2020-11-18,77.87,81.0408,76.6,76.61,13682767,0.0
2020-11-19,75.99,81.33,75.49,80.64,27849994,0.0
2020-11-20,80.48,81.7898,79.26,81.11,12744779,0.0
2020-11-23,84.75,86.3,82.3,85.42,17086980,0.0
2020-11-24,88.74,91.37,88.4211,88.8,18193630,0.0
2020-11-25,88.41,88.88,86.3001,87.16,11425244,0.0
2020-11-27,87.96,88.6,85.53,85.54,4251522,0.0
2020-11-30,85.32,86.9,82.4,82.64,4620615,0.0
2020-12-01,84.65,86.29,83.89,84.95,4579918,0.0
2020-12-02,83.73,87.99,82.6,87.25,4139896,0.0
2020-12-03,87.89,91.7,87.29,89.73,5114550,0.0
2020-12-04,92.24,94.3596,90.7075,93.97,4860796,0.0
2020-12-07,93.7,93.8,89,89.36,4719429,0.0
2020-12-08,89.73,91.9488,88.5,90.07,4264675,0.0
2020-12-09,90.62,92.16,89.19,90.84,3880890,0.0
2020-12-10,89.12,90.96,89.08,90.43,2157224,0.0
2020-12-11,89.21,89.93,86.29,87.92,4543510,0.0
2020-12-14,90,90.18,86.7556,87.29,4146467,0.0
