Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-30,44.03,44.46,43.68,44.39,3529076,0.0
2020-07-31,44.65,45.4117,44.16,45.23,4583560,0.0
2020-08-03,45.42,45.58,44.66,44.76,3359589,0.0
2020-08-04,45.1,45.805,44.79,45.39,2943157,0.0
2020-08-05,45.662,45.7975,44.72,45.12,2990679,0.0
2020-08-06,44.5,45.01,44.171,44.96,2957965,0.0
2020-08-07,44.95,45.53,44.46,45.34,2509220,0.0
2020-08-10,45.4,46.56,45.4,46.07,2432239,0.0
2020-08-11,46.38,46.8,45.68,45.78,2314333,0.0
2020-08-12,45.71,45.91,45.254,45.63,2145433,0.0
2020-08-17,45.2,45.435,44.83,44.91,1601637,0.0
2020-08-18,45,45.21,44.54,45.06,1999522,0.0
2020-08-19,45.18,46,45.11,45.4,2258120,0.0
2020-08-20,45.19,45.26,44.66,45.03,1954660,0.0
2020-08-21,44.81,44.93,44.5,44.84,2156773,0.0
2020-08-24,45.23,45.62,45.02,45.61,1465572,0.0
2020-08-25,45.52,46.21,45.15,45.44,1576484,0.0
2020-08-26,45.43,45.7925,45.15,45.76,1586363,0.0
2020-08-27,46.05,46.16,45.305,45.56,1903719,0.0
2020-08-28,45.85,46.89,45.5,46.6,1982733,0.0
2020-08-31,47.24,48.2,46.64,47.99,4109870,0.0
2020-09-01,48.01,48.04,46.2683,47.08,2742161,0.0
2020-09-02,47.1,48.85,47.07,48.57,2715799,0.0
2020-09-03,48.31,48.5,46.76,47.09,2628833,0.0
2020-09-04,46.95,47.73,46.15,47,2726822,0.0
2020-09-08,45.71,46.205,45.25,45.69,3960758,0.0
2020-09-09,46.61,46.73,46.06,46.23,2294727,0.0
2020-09-10,46.78,46.88,45.79,45.94,1915564,0.0
2020-09-11,46.03,46.7,45.81,46.54,2464604,0.0
2020-09-14,46.96,47.83,46.87,47.65,2496965,0.0
2020-09-15,48.09,48.1923,47.1899,47.34,2337780,0.0
2020-09-16,47.8,49.27,47.63,48.66,2451510,0.0
2020-09-17,47.67,49.17,47.555,49.15,2284414,0.0
2020-09-18,49.317,49.52,48.25,48.83,3162863,0.0
2020-09-21,48,48.33,47.34,48.24,3024595,0.0
2020-09-22,47.73,47.86,47.13,47.7,2064081,0.0
2020-09-23,47.4,49.18,47.4,47.62,3235977,0.0
2020-09-24,47.11,47.87,46.89,47.42,1906634,0.0
2020-09-25,47.5589,48.275,47.06,48.22,1454006,0.0
2020-09-28,48.56,49.8,48.31,49.66,3056995,0.0
2020-09-29,49.61,50.7,49.48,50.07,3146105,0.0
2020-09-30,49.97,50.07,49.07,49.27,2319932,0.0
2020-10-01,49.82,49.82,48.83,49.05,1550282,0.0
2020-10-02,48.41,49.16,48.08,48.75,1514488,0.0
2020-10-05,49.18,49.48,48.74,49.11,1522073,0.0
2020-10-06,49.35,50.41,49.045,49.6,2144340,0.0
2020-10-07,49.7,50.7872,49.65,50.45,2177123,0.0
