Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,153.16,153.365,151.97,152.88,950084,15871,152.836138
2021-01-04,152.94,155.6895,148.02,150.72,2180315,38138,151.403279
2021-01-05,150.12,156.46,150.0,156.3,2053940,31139,154.85962
2021-01-06,154.49,162.35,153.0,158.49,2102996,33821,158.670189
2021-01-07,160.92,163.42,160.0101,162.68,1701507,25813,162.256824
2021-01-08,164.79,165.99,160.6,163.48,1598493,28320,163.400486
2021-01-11,160.12,163.35,159.28,162.05,1766676,27059,161.798957
2021-01-12,162.07,162.45,158.09,158.18,1807463,31209,159.537051
2021-01-13,158.0,159.17,155.79,157.89,1252890,22959,157.837643
2021-01-14,157.7,161.07,157.2,157.98,1521413,25233,158.668596
2021-01-15,155.07,156.5,150.13,152.0,2305901,39707,152.241163
2021-01-19,154.53,162.2,154.01,161.39,2439660,34336,159.433959
2021-01-20,163.53,168.95,162.715,162.94,2021205,32417,164.808143
2021-01-21,163.47,163.87,160.61,163.52,1434783,23048,162.573003
2021-01-22,161.85,162.48,160.2,161.27,1215048,19821,161.319415
2021-01-25,166.74,170.69,163.36,165.68,4702392,57228,166.764026
2021-01-26,166.0,166.39,162.22,163.13,1833824,29976,163.761782
2021-01-27,160.925,161.99,154.45,155.85,2711789,43490,157.271548
2021-01-28,159.99,162.91,157.61,159.79,3866812,52163,164.449012
2021-01-29,187.62,188.34,167.33,169.25,9055496,111941,174.843383
2021-02-01,174.3,186.5,174.3,185.79,5643316,77172,182.650719
2021-02-02,188.5,189.7,181.35,185.49,3755493,48304,184.428246
2021-02-03,186.47,186.7499,179.07,179.46,3185419,45742,181.069436
2021-02-04,178.19,181.0,172.89,179.1,5007301,72572,176.806932
2021-02-05,180.09,182.0,178.235,178.95,2509139,36546,179.660179
2021-02-08,180.32,182.5,178.53,181.57,2182793,31457,180.459324
2021-02-09,180.74,186.69,180.6168,182.91,2504567,37752,184.142397
2021-02-10,185.0,186.6,181.2,185.29,2018720,33901,184.682476
2021-02-11,187.77,189.49,184.23,188.76,2072891,34350,187.195664
2021-02-12,187.67,190.34,186.18,189.5,1903711,29597,188.677786
2021-02-16,191.21,195.82,191.06,194.14,2491696,38478,193.941896
2021-02-17,192.86,193.78,187.7,192.09,2128155,32121,191.405431
2021-02-18,189.1,190.71,185.53,187.91,2393173,37715,187.523773
2021-02-19,190.12,193.4099,189.42,192.17,2016567,26530,191.499723
2021-02-22,189.48,192.0,183.6413,183.93,2460097,34567,186.388484
2021-02-23,181.67,185.33,174.51,183.75,2556392,46746,180.672632
2021-02-24,181.71,190.58,180.04,190.36,2321755,34013,187.570148
2021-02-25,187.0,188.87,175.0,176.14,3717754,61078,179.530904
2021-02-26,179.36,180.72,173.91,177.82,2914559,44985,177.959854
2021-03-01,181.1,186.79,178.65,186.46,2116423,34553,184.29805
2021-03-02,187.31,187.31,179.83,179.89,1575391,29198,182.211505
2021-03-03,180.75,181.22,175.07,175.21,1827907,33020,177.341846
2021-03-04,174.14,175.29,163.69,167.21,2990607,56550,168.78446
2021-03-05,166.81,173.71,159.54,173.44,3579751,57202,168.434466
2021-03-08,170.11,172.64,161.0,161.2,3494551,51547,164.598629
2021-03-09,167.62,173.34,164.43,172.41,2589097,38503,170.307793
2021-03-10,171.83,174.395,166.27,167.66,2852017,46698,168.616249
2021-03-11,173.06,176.65,172.73,173.75,2372187,35240,174.460844
2021-03-12,169.58,172.69,167.91,172.31,1590356,28798,170.947921
2021-03-15,173.6,178.97,171.675,178.79,1894084,28519,176.770323
2021-03-16,181.0,184.3395,179.78,181.04,1954372,31148,181.875553
2021-03-17,179.46,184.03,176.68,182.81,1772883,28477,181.234695
2021-03-18,179.23,180.34,174.41,174.69,1744779,31680,176.710294
2021-03-19,175.35,177.38,172.01,175.79,2606967,29652,175.583744
2021-03-22,177.63,182.55,176.1,179.82,1498919,27533,179.829104
2021-03-23,180.4,181.833,174.37,175.38,1279323,23277,176.322804
2021-03-24,177.88,177.92,171.01,171.19,1820283,30140,173.550354
2021-03-25,167.38,172.9,166.05,172.13,1741416,32814,169.991734
2021-03-26,171.48,182.49,171.345,182.18,2185858,37536,178.941998
2021-03-29,180.06,180.48,176.5865,179.32,1898603,28631,178.812558
2021-03-30,177.95,179.18,176.11,178.51,1228275,24135,177.728005
2021-03-31,179.71,185.21,179.58,183.48,2325944,33569,183.378574
2021-04-01,186.0,188.52,184.78,187.7,2755543,41461,186.84777
2021-04-05,191.41,191.97,188.17,191.65,1812393,31855,190.7907
2021-04-06,190.0,191.11,186.45,188.88,1599289,27513,189.033539
2021-04-07,189.23,189.335,185.96,187.23,1137216,21188,187.375114
2021-04-08,189.81,190.5,187.6001,189.66,1752050,25582,189.229537
2021-04-09,188.0,188.98,186.55,188.73,1166599,20798,188.044181
2021-04-12,187.75,188.3,186.09,188.25,865723,21463,187.35966
2021-04-13,189.04,190.43,186.42,189.36,939855,18013,188.359232
2021-04-14,188.41,194.49,186.65,187.84,2028195,31463,189.86159
2021-04-15,190.12,191.81,188.22,190.67,1045258,21220,190.341273
2021-04-16,190.88,192.84,189.43,189.73,1211389,22166,190.774634
