Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-22,53.95,55.19,52.87,55,2831956,0.0
2020-06-23,56.68,59.74,56.68,58.29,6871658,0.0
2020-06-24,56.69,57.1,53.53,54.93,4991032,0.0
2020-06-25,54.14,55.58,53.76,54.99,2379168,0.0
2020-06-26,54.7,54.7,52.26,52.3,4463920,0.0
2020-06-29,52.95,54.95,52.16,54.42,2713038,0.0
2020-06-30,54,55.2,53.51,54.62,4015150,0.0
2020-07-01,54.4,55.24,52.75,53.7,3040852,0.0
2020-07-02,54.88,55.94,53.98,54.06,4435243,0.0
2020-07-06,55.15,55.54,53.48,53.76,2222329,0.0
2020-07-07,53.45,53.7,52.17,53.02,2577218,0.0
2020-07-08,52.96,54.05,52.57,53.11,3145267,0.0
2020-07-09,52.85,52.88,50.175,50.99,3505017,0.0
2020-07-10,51.03,52.39,50.03,52.31,2213277,0.0
2020-07-13,52.66,53.9,51.69,52.44,2626875,0.0
2020-07-14,52.05,53.22,51.47,52.96,2346529,0.0
2020-07-15,54.3,55.72,54.2101,55.43,2743932,0.0
2020-07-16,55.07,55.645,54.335,54.62,1741875,0.0
2020-07-17,55.02,55.07,53.82,54.15,1531618,0.0
2020-07-20,53.52,54.35,52.5,53.02,2525258,0.0
2020-07-21,53.62,55.25,53.54,54.73,2062897,0.0
2020-07-22,54.71,56.35,54.24,55.34,2048390,0.0
2020-07-23,55.16,55.45,54.37,54.94,2635913,0.0
2020-07-24,54.85,55.02,54.3265,54.95,1696744,0.0
2020-07-27,54.59,54.8,53.77,53.98,2002738,0.0
2020-07-28,53.84,54.26,53.3,53.5,3216893,0.0
2020-07-29,53.72,54.35,53.08,53.99,4690706,0.0
2020-07-30,53.05,53.6,52.325,53.6,3848667,0.0
2020-07-31,53.17,53.45,52.21,52.84,4510715,0.0
2020-08-03,52.73,52.79,50.895,52.15,5001314,0.0
2020-08-04,52.6,54.19,52.13,54.12,6313047,0.0
2020-08-05,54.58,55.1,54.02,55,8085468,0.0
2020-08-06,54.91,57.73,54.68,56.42,6300918,0.0
2020-08-07,55.8,58.72,55.69,57.81,8145823,0.0
2020-08-10,58.26,60.53,58.21,60.13,7469034,0.0
2020-08-11,58.6,62.52,58.26,60.84,13732706,0.0
2020-08-12,61.1,61.38,59.47,59.69,5917036,0.0
2020-08-13,59.1,60.11,58.44,58.59,2046729,0.0
2020-08-14,58.44,60,57.85,59.54,3453245,0.0
2020-08-17,59.84,60.115,59.08,59.7,4847597,0.0
2020-08-18,59.83,60.6,59.07,59.59,5228672,0.0
2020-08-19,59.26,59.37,57.88,58.08,3940050,0.0
2020-08-20,57.6,58.38,56.96,57.92,3937050,0.0
2020-08-21,57.94,57.96,57.21,57.46,4651146,0.0
2020-08-24,57.8,59.53,57.76,59.525,3861222,0.0
2020-08-25,59.76,59.79,57.28,58.22,7601328,0.0
2020-08-26,57.5,58.21,56.22,57.5,6106204,0.0
2020-08-27,57.84,60.92,57.795,60.03,5871136,0.0
2020-08-28,60.25,62,60.06,61.89,4595932,0.0
2020-08-31,61.52,62,60.11,60.13,3898998,0.0
2020-09-01,59.56,60.39,58.92,60.1,4380345,0.0
2020-09-02,60.33,61.12,59.62,60.82,3485842,0.0
2020-09-03,61.18,62.17,59.915,60.37,4540179,0.0
2020-09-04,60.98,61.6811,59.54,60.15,3793189,0.0
2020-09-08,59.51,60.58,59.24,59.54,4156950,0.0
2020-09-09,60,61.94,59.019,61.42,7173838,0.0
2020-09-10,62.905,63.039,61.39,61.78,5302578,0.0
2020-09-11,61.9,62.62,61.77,62.33,5275253,0.0
2020-09-14,62.75,64.87,62.44,64.58,3549608,0.0
2020-09-15,64.88,65.645,64.23,65.39,2840899,0.0
2020-09-16,65.61,68.86,65.45,68.26,4639502,0.0
2020-09-17,67.51,69.09,67.3613,68.4,3575045,0.0
2020-09-18,68.57,69.515,67.41,67.65,3449983,0.0
2020-09-21,65.05,66.1,63.41,64.04,3154413,0.0
2020-09-22,64.33,64.82,63.26,64.02,2480922,0.0
2020-09-23,64.12,64.99,60.255,60.5288,2589134,0.0
2020-09-24,60.34,62.3519,58.94,61.59,2606583,0.0
2020-09-25,60.94,62.21,60.53,62,1766068,0.0
2020-09-28,63.08,63.48,61.77,61.89,1841177,0.0
2020-09-29,61.65,61.99,60.81,61.19,3786084,0.0
2020-09-30,61.55,63.0838,61.55,62.19,3554972,0.0
2020-10-01,62.32,63.03,61.48,62.61,3364459,0.0
2020-10-02,61.38,63.41,60.95,63.21,2681933,0.0
2020-10-05,63.64,63.94,62.36,63.53,2578088,0.0
2020-10-06,64.07,65.73,63.83,64.66,5527882,0.0
2020-10-07,65.3,66.47,65.3,66.28,3305546,0.0
2020-10-08,66.64,67.87,66.44,67.83,3673397,0.0
2020-10-09,68,69.27,67.65,67.98,3976057,0.0
2020-10-12,67.87,68.04,67.11,67.47,3103059,0.0
2020-10-13,66.435,66.67,65.03,65.08,3520274,0.0
2020-10-14,65.21,67.75,65.21,66.9,3464229,0.0
2020-10-15,66,67.35,65.96,66.56,3219815,0.0
2020-10-16,66.9,67.05,65.75,65.77,4294730,0.0
2020-10-19,65.83,66.37,64.23,64.34,3665983,0.0
2020-10-20,65.2,65.69,64.345,64.57,2649887,0.0
2020-10-21,64.54,64.82,63.48,63.81,1986439,0.0
2020-10-22,64.08,65.24,63.32,65.21,2539812,0.0
2020-10-23,65.62,65.73,63.766,64.81,2681542,0.0
2020-10-26,63.83,63.9,60.33,60.81,5660218,0.0
2020-10-27,60.59,61.15,58.33,58.34,5991813,0.0
2020-10-28,56.8,57.5,54.73,54.8,7330211,0.0
2020-10-29,54.62,56.18,53.85,55.29,6827966,0.0
2020-10-30,54.97,55.42,53.93,55.31,6643925,0.0
2020-11-02,56.16,57.46,55.28,57.06,6262081,0.0
2020-11-03,59.67,61.16,58.7,60.24,7385977,0.0
2020-11-04,60.91,62.41,60.52,60.74,5340301,0.0
2020-11-05,60.94,61.72,60.05,60.83,4699383,0.0
2020-11-06,61.19,61.67,60.31,60.86,2514033,0.0
2020-11-09,67.1,76.73,67.06,71.08,14906354,0.0
2020-11-10,73.31,73.94,71.02,72.29,6291531,0.0
2020-11-11,71.84,72.5,67.78,68.49,6413005,0.0
2020-11-12,67.72,69.15,67.3,68.02,5065021,0.0
2020-11-13,68.74,71.76,68.74,71.32,4314408,0.0
2020-11-16,74.77,74.85,72.31,74.07,4038729,0.0
2020-11-17,73.72,75.11,73.0001,74.23,4983344,0.0
2020-11-18,74.12,74.78,71.65,71.68,6480484,0.0
2020-11-19,71.34,72.57,70.84,71.98,5882433,0.0
2020-11-20,71.42,71.45,69.58,70,4947327,0.0
2020-11-23,70.61,71.62,69.88,71.3,3068280,0.0
