Date,Estimate,Actual
2021-07-29,1.33,None
2021-04-29,-0.1,0.01
2021-02-11,0.77,0.4
2020-10-29,1.02,1.62
2020-07-30,0.68,1.55
2020-04-30,0.33,0.35
2020-02-12,0.78,1.02
2019-10-30,1.49,1.48
2019-07-31,1.65,1.52
2019-05-01,0.58,0.52
2019-02-12,0.79,0.84
2018-10-31,1.59,1.84
2018-08-01,1.83,1.88
2018-05-02,0.78,0.48
2018-02-14,0.56,0.62
2017-11-01,1.34,1.34
2017-08-02,2.13,1.66
2017-05-03,1.3,0.76
2017-02-14,0.86,0.46
2016-11-01,0.95,1.03
2016-08-02,1.36,1.11
2016-05-03,0.56,0.54
2016-02-11,0.49,0.49
2015-11-05,1.28,1.4
2015-08-06,1.32,1.41
2015-05-07,0.45,0.46
2015-02-10,0.69,0.55
2014-11-06,1.48,1.46
2014-08-06,1.47,1.57
2014-05-07,0.35,0.55
2014-02-13,0.72,0.68
2013-11-06,1.39,1.45
2013-08-06,1.38,1.51
2013-05-07,0.34,0.3
2013-02-14,0.64,0.69
2012-11-07,1.34,1.37
2012-08-07,1.19,1.38
2012-05-08,0.42,0.47
2012-02-16,0.71,0.97
2011-11-02,1.25,1.14
2011-08-02,1.3,1.23
2011-05-03,0.45,0.43
2011-02-10,0.69,0.66
2010-11-03,1.13,1.28
2010-08-03,1.2,1.25
2010-05-04,0.45,0.37
2010-02-09,1.1,1.02
2009-11-04,0.98,1.14
2009-08-03,0.97,1.11
2009-05-05,0.33,0.53
2009-02-10,0.71,0.57
2008-11-05,0.96,0.95
2008-08-05,1.16,0.93
2008-05-06,0.28,0.32
2008-02-12,0.65,0.73
2007-11-06,0.92,0.95
2007-08-07,0.86,0.97
2007-05-08,0.12,0.14
2007-02-15,0.47,0.62
2006-10-31,0.72,0.81
2006-08-01,0.75,0.71
2006-05-02,0.07,0
2006-02-09,0.44,0.32
2005-11-01,0.61,0.76
2005-08-02,0.8,0.56
2005-04-28,0.18,-0.04
2005-02-09,0.57,0.55
2004-10-28,0.87,0.79
2004-07-22,1,0.95
2004-04-22,0.08,0.07
2004-02-05,0.34,0.49
2003-10-23,0.74,0.81
2003-07-24,0.94,1.05
2003-04-29,0.12,0.01
2003-01-29,0.37,0.32
2002-10-24,0.63,0.64
2002-07-24,0.79,0.92
2002-04-25,0.23,0.4
2002-01-30,0.16,0.22
2001-10-25,0.33,0.48
2001-07-24,0.71,0.68
2001-04-26,0.23,0.25
2001-02-08,0.19,0.2
2000-10-19,0.37,0.42
2000-07-20,0.7,0.72
2000-04-20,0.18,0.2
2000-02-10,0.15,0.17
1999-10-21,0.33,0.34
1999-07-22,0.6,0.62
1999-04-22,0.15,0.17
1999-02-09,0.11,0.13
1998-10-22,0.26,0.28
1998-07-23,0.51,0.55
1998-04-23,0.12,0.13
1998-02-13,0.08,0.08
1997-10-23,0.24,0.24
1997-07-25,0.36,0.49
1997-04-24,0.01,0.11
1997-02-18,-0.01,0.05
1996-10-31,0.28,0.19
