Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,601,613.26,601,605.67,165852,0.0
2020-12-07,603.55,605.45,594.36,601.14,121775,0.0
2020-12-08,596.11,609.98,595.31,602.35,165405,0.0
2020-12-09,603.37,603.86,587.01,595.44,161856,0.0
2020-12-10,589.16,605.97,589.16,601.01,161730,0.0
2020-12-11,593.83,609.17,593.83,601.65,150200,0.0
2020-12-14,607.3,607.3,595.43,595.82,244991,0.0
2020-12-15,599.49,618.64,595.86,613.54,307812,0.0
2020-12-16,613.74,615.8325,601.2,602.94,157515,0.0
2020-12-17,604.75,606.59,594.99,598.41,189351,0.0
2020-12-18,598.33,611.01,594.79,608.33,293735,0.0
2020-12-21,591.52,602.485,586.67,600.71,209201,0.0
2020-12-22,599.18,603.545,595.74,596.23,74873,0.0
2020-12-23,598.8,616.49,598.8,611.91,111757,0.0
2020-12-24,609.07,610.7469,602.4,607.12,29193,0.0
2020-12-28,608.86,612.53,606.06,609.72,71533,0.0
2020-12-29,614,614,601.58,607.37,64424,0.0
2020-12-30,607.3,618.91,607.3,616.65,96690,0.0
2020-12-31,615,622.57,613.01,618.85,102323,0.0
2021-01-04,611.94,616.34,580.2156,587.66,264103,0.0
2021-01-05,592.87,609.46,590.17,599.28,111806,0.0
2021-01-06,600.9,613.45,595.66,598.91,137221,0.0
2021-01-07,604.72,618.74,599.9,604.85,147729,0.0
2021-01-08,604.13,614.73,604.13,612.3,139997,0.0
2021-01-11,607.18,614.71,607.18,612.92,83782,0.0
2021-01-12,612,619.76,612,618.49,181294,0.0
2021-01-13,616.15,617.1,604.37,611,256880,0.0
2021-01-14,610.21,616.815,604.03,605.96,206242,0.0
2021-01-15,605.56,605.56,584.5,584.98,189254,0.0
2021-01-19,594.27,594.51,572.365,573.88,275241,0.0
2021-01-20,573.41,585.15,571.774,577.49,229301,0.0
2021-01-21,574.28,577.41,566.73,573.99,177877,0.0
2021-01-22,571.89,578.775,569.79,576.4,105968,0.0
2021-01-25,573.64,573.64,555.91,560.16,333134,0.0
2021-01-26,563.63,568.89,543.49,543.87,232982,0.0
2021-01-27,532.9,546.66,517.37,519.37,508627,0.0
2021-01-28,527.44,560.22,525.39,556.1,416125,0.0
2021-01-29,555.14,560.8,537.84,553.66,405317,0.0
2021-02-01,559.46,573.09,555.5,570.45,291133,0.0
2021-02-02,579.45,595.765,577.13,589.85,342818,0.0
2021-02-03,585.75,601.06,585.75,599.31,331066,0.0
2021-02-04,603.54,610.6,600.06,609.81,296118,0.0
2021-02-05,616.82,617.4499,601.74,605,224645,0.0
2021-02-08,606.87,610,597.06,601.29,300266,0.0
2021-02-09,597.9,611.555,586.48,596.64,253972,0.0
2021-02-10,593.74,597.64,572.76,580.3,298910,0.0
2021-02-11,578.06,586.32,572.91,575.59,233816,0.0
2021-02-12,571.43,585.27,568.88,576.64,221808,0.0
2021-02-16,578.91,581.305,570.61,572.61,168090,0.0
2021-02-17,569.38,574.56,563.83,570.37,151776,0.0
2021-02-18,564,578.81,561.63,576.54,168967,0.0
2021-02-19,579.36,600.71,578.765,600.63,215611,0.0
2021-02-22,595.39,599.78,589.02,590.19,218907,0.0
2021-02-23,592.46,606.67,581.97,604.81,274097,0.0
2021-02-24,606.23,625.05,605.05,609.18,283342,0.0
2021-02-25,605.86,605.86,573.96,576.34,270175,0.0
2021-02-26,582.37,583.305,571.7,576.67,141427,0.0
2021-03-01,588.06,604.45,588.06,596.87,128538,0.0
2021-03-02,596.39,600.9785,591.83,597.04,145102,0.0
2021-03-03,594.91,604.15,589.49,590.37,159238,0.0
2021-03-04,587.23,592.7,564.46,572.27,285415,0.0
2021-03-05,578.61,598.17,562.75,596.34,374369,0.0
2021-03-08,602.29,611.83,596.58,606.31,239464,0.0
2021-03-09,610.19,610.2,589.47,589.48,288306,0.0
2021-03-10,591.44,603.9,585.2,598.53,108852,0.0
2021-03-11,597.68,606.28,594.95,596.61,161020,0.0
2021-03-12,600.01,620.02,600.01,619.76,214702,0.0
2021-03-15,621.05,626,612.38,616.68,192851,0.0
2021-03-16,616.63,616.63,602.47,606.79,159004,0.0
2021-03-17,609.16,615.59,604.35,611.13,128617,0.0
2021-03-18,608.13,613.66,595.81,597.15,129727,0.0
2021-03-19,594.02,608.77,587.86,601.825,191579,0.0
2021-03-22,601.53,602.1,590.755,597.37,101455,0.0
2021-03-23,591.02,594.86,580.01,583.09,154114,0.0
2021-03-24,585.95,602.595,585.95,593.6,213017,0.0
2021-03-25,590.31,590.35,575.78,586.52,242225,0.0
2021-03-26,590.63,590.63,575.475,586.44,207465,0.0
2021-03-29,586.47,592.7,575.36,579.26,176682,0.0
2021-03-30,580.51,587.05,576.67,585.68,123493,0.0
2021-03-31,590.75,594.78,583.01,588.99,316250,0.0
2021-04-01,590.36,605.3,588.375,603.7,245453,0.0
2021-04-05,609.16,615.75,600.06,604.15,187667,0.0
2021-04-06,597.89,619.05,597.89,614.76,164410,0.0
2021-04-07,613.07,613.07,601.18,606.51,97412,0.0
2021-04-08,603.44,616.89,600.69,616.06,119604,0.0
