Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,119.74,121.23,119.34,121.07,760013,8828,120.761714
2021-01-04,121.1,122.41,118.98,120.3,1386468,17622,120.463253
2021-01-05,120.67,122.8525,120.39,122.61,1191381,13487,122.236078
2021-01-06,125.0,127.89,124.45,126.13,2306146,24447,126.593934
2021-01-07,127.16,129.47,126.8,128.66,1885375,19542,128.595783
2021-01-08,130.28,131.75,128.24,130.47,2301341,22136,130.575328
2021-01-11,128.57,130.67,128.49,130.47,2445801,14205,130.212996
2021-01-12,130.89,131.035,128.38,129.53,1473486,19004,129.641612
2021-01-13,129.86,130.48,129.235,129.91,1431268,14671,129.934545
2021-01-14,130.56,131.9694,130.1,130.2,1970816,17713,130.694829
2021-01-15,129.38,129.38,127.04,127.95,1482536,15294,128.323991
2021-01-19,129.67,130.475,129.04,129.52,1612532,17205,129.56207
2021-01-20,130.67,131.34,129.01,130.38,1362462,15331,130.200519
2021-01-21,130.74,131.8,129.7277,130.31,1498081,14405,130.574143
2021-01-22,129.07,129.56,128.18,128.39,1540510,14274,128.613433
2021-01-25,127.71,128.91,126.42,127.7,1479423,17165,127.591228
2021-01-26,127.55,127.69,123.48,123.54,2722718,24495,125.230856
2021-01-27,122.5,125.0,116.87,119.93,2443956,28496,120.791031
2021-01-28,121.7,124.12,119.7,119.85,3148439,33248,121.396138
2021-01-29,119.06,125.84,117.86,120.4,3477059,30385,120.038144
2021-02-01,122.19,125.4,121.01,124.53,2544616,25170,123.611442
2021-02-02,126.76,126.82,123.795,124.2,2396899,20322,124.73477
2021-02-03,124.5,129.1,124.16,128.69,3415474,30519,127.76812
2021-02-04,128.75,130.735,127.55,128.89,2615803,25687,128.773093
2021-02-05,130.47,130.47,127.51,128.06,1866615,19870,128.369387
2021-02-08,128.5,130.0,127.58,129.99,1347276,14647,128.825039
2021-02-09,129.75,129.9,128.34,128.79,1761038,20551,129.112986
2021-02-10,130.0,130.0,126.32,126.49,1806382,21262,127.409414
2021-02-11,127.32,128.315,126.42,127.61,1323022,17916,127.57526
2021-02-12,126.86,129.89,126.86,129.77,1126151,17013,129.022887
2021-02-16,130.49,132.65,130.45,131.26,1174317,14799,131.41491
