Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,133.15,135.0,133.105,134.85,2080626,24354,134.326201
2021-01-04,134.76,134.98,130.46,132.43,3433164,41484,132.254056
2021-01-05,131.71,132.24,130.455,131.85,2544524,31881,131.539977
2021-01-06,130.72,131.98,129.61,131.53,4485962,51025,131.023419
2021-01-07,133.81,135.45,133.16,133.19,4928120,52310,134.070674
2021-01-08,133.27,135.2,132.23,135.06,2951158,35741,134.201448
2021-01-11,134.25,135.54,132.75,132.93,3084163,35711,133.567649
2021-01-12,132.88,133.4699,127.67,128.69,5374573,54291,129.268459
2021-01-13,129.14,129.9,128.45,128.5,2917272,32458,129.089714
2021-01-14,129.03,130.42,123.9,124.69,6359743,66053,126.423172
2021-01-15,125.09,127.9,124.75,127.28,4741035,48766,126.882511
2021-01-19,128.73,130.43,127.12,129.85,4033823,43759,129.295734
2021-01-20,130.12,132.42,129.5,132.3,4230427,36696,131.216225
2021-01-21,132.71,132.71,129.85,130.4,2688341,27206,130.687852
2021-01-22,130.44,131.32,129.12,130.36,2501591,27498,130.278863
2021-01-25,130.75,132.4,129.6708,131.1,2932007,36680,130.896054
2021-01-26,130.02,132.71,130.0,131.41,3218974,35532,131.466875
2021-01-27,129.69,130.0,122.45,123.27,7023139,79337,124.635846
2021-01-28,125.79,129.6,124.5,127.77,5000209,58758,127.958404
2021-01-29,126.56,129.23,125.37,126.08,4597364,48599,126.871848
2021-02-01,126.4,129.35,125.21,128.42,4070210,42205,128.31754
2021-02-02,128.63,132.41,128.065,131.89,3455993,39192,131.416432
2021-02-03,131.9,132.65,128.75,129.37,3918351,42540,129.610041
2021-02-04,130.31,130.85,129.3732,130.6,7395974,69121,129.998052
2021-02-05,129.02,129.59,124.55,125.28,10319059,98999,126.079301
2021-02-08,126.2,126.26,122.54,126.1,5742918,63680,124.649292
2021-02-09,125.92,125.99,124.045,124.45,3342891,35285,124.570193
2021-02-10,125.15,125.66,124.32,124.49,2879980,31204,124.845456
2021-02-11,125.43,125.45,123.46,124.4,3085307,33927,124.299375
2021-02-12,123.82,124.05,122.675,123.68,2713023,30511,123.406633
2021-02-16,122.71,123.3799,121.38,122.0,4247536,49625,122.160613
2021-02-17,121.89,122.95,120.83,121.3,6108997,59295,121.448754
2021-02-18,120.81,123.24,119.6,123.04,6126292,53590,121.929548
2021-02-19,123.14,123.7214,119.4,120.1,4961134,48740,120.87485
2021-02-22,119.15,119.85,117.4,117.91,5156407,56110,118.296603
2021-02-23,117.91,119.65,115.89,119.22,6391127,68297,117.852559
2021-02-24,117.72,119.51,116.77,119.38,4424972,48422,118.772194
2021-02-25,124.45,125.34,119.74,120.89,11337265,99067,121.683415
2021-02-26,118.89,121.66,118.88,119.97,5117952,57818,120.412143
2021-03-01,120.45,123.93,120.27,123.57,5813819,53642,122.985327
2021-03-02,123.9,124.56,122.42,122.45,4797734,42993,123.233544
