Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,66.51,67.27,65.93,66.77,699174,6659,66.76909
2021-01-04,67.58,67.75,65.28,66.29,924457,12037,66.130306
2021-01-05,65.95,68.15,65.95,66.85,1427158,15703,67.166381
2021-01-06,69.35,69.47,67.51,68.41,1703846,18853,68.365393
2021-01-07,68.77,71.96,68.49,71.84,1175062,15890,71.267431
2021-01-08,73.38,74.0,71.315,72.32,990067,14655,72.457881
2021-01-11,70.95,73.15,70.35,73.08,878044,10319,72.579257
2021-01-12,72.99,73.9,71.79,71.91,1234405,13271,72.655695
2021-01-13,71.69,71.91,69.72,70.02,1462443,16216,70.228191
2021-01-14,70.89,72.5564,69.74,69.87,2026263,22689,70.575704
2021-01-15,69.55,70.21,68.22,69.46,1007069,14151,69.360255
2021-01-19,68.89,71.99,68.87,69.19,4082370,43772,69.783512
2021-01-20,70.26,71.67,69.24,71.42,53093954,48479,71.354053
2021-01-21,72.48,72.8,69.7101,70.31,2860820,30183,70.447509
2021-01-22,69.79,70.88,69.12,70.76,1511025,17747,70.255349
2021-01-25,71.82,72.41,69.98,70.86,1569761,18280,71.066388
2021-01-26,71.01,71.225,69.42,69.67,1072817,13533,69.961155
2021-01-27,68.04,68.48,65.65,66.65,1500269,21810,67.016537
2021-01-28,67.9,68.84,67.5,67.63,1895849,20895,68.01429
2021-01-29,67.52,67.64,65.37,65.91,2094800,21721,66.282877
2021-02-01,67.11,68.01,66.09,67.72,1292739,17182,67.414149
2021-02-02,72.22,72.2225,69.8802,70.81,1710832,24527,70.804594
2021-02-03,71.68,71.82,70.125,70.6,1273861,18736,70.758878
2021-02-04,70.92,71.85,70.5,71.43,1078169,18703,71.420136
2021-02-05,71.65,72.65,71.43,72.27,1263117,16287,72.105208
2021-02-08,73.11,74.0,72.85,73.99,1331603,20092,73.664723
2021-02-09,74.28,74.79,73.445,74.72,1097413,16635,74.367876
2021-02-10,75.01,75.7,73.77,73.99,1212133,19500,74.353787
2021-02-11,73.79,74.9,71.71,73.04,1641564,23975,72.896043
2021-02-12,72.48,74.05,72.12,73.97,1154644,16174,73.467045
2021-02-16,74.82,76.5,74.76,75.17,1477049,19001,75.530681
2021-02-17,74.54,74.77,71.93,72.48,1308742,17265,72.919107
2021-02-18,71.95,72.81,71.56,72.495,1388982,18593,72.321056
2021-02-19,73.25,74.35,72.8,72.99,1270863,16257,73.331535
2021-02-22,72.69,73.1629,71.85,72.52,1100778,15227,72.572949
2021-02-23,71.13,73.87,69.08,73.63,2490636,29020,72.306982
2021-02-24,73.0,76.27,72.72,76.05,1590430,21873,75.400726
2021-02-25,75.68,75.96,73.15,73.64,1552389,23960,74.608534
2021-02-26,73.81,74.73,72.96,74.14,1543987,19424,74.024241
2021-03-01,75.22,77.63,74.885,77.56,1428386,16777,76.824891
2021-03-02,76.96,77.69,75.53,75.57,1429784,16202,76.342947
2021-03-03,75.16,75.49,73.23,74.08,1203869,16769,74.354875
2021-03-04,73.4,73.94,68.75,70.37,2227199,30147,70.674457
2021-03-05,71.25,71.48,66.95,70.67,2659629,35926,69.035305
2021-03-08,71.11,71.735,69.42,69.54,1880360,27866,70.236213
2021-03-09,70.81,71.99,69.86,70.37,1838351,20245,70.78867
2021-03-10,70.79,71.98,70.46,70.87,1721716,21617,71.167052
2021-03-11,72.11,74.55,72.11,74.23,1125407,15983,73.948248
2021-03-12,73.05,74.0,72.6,73.87,779927,11218,73.477874
2021-03-15,74.65,75.48,74.03,75.48,979931,11324,75.129823
2021-03-16,75.82,76.38,75.1215,75.7,1274326,16691,75.715586
2021-03-17,74.97,76.77,74.425,76.69,1100212,14060,76.06228
2021-03-18,75.34,76.75,74.595,74.62,1520711,16417,75.209785
2021-03-19,74.55,75.34,73.6,74.68,2810394,19159,74.647765
2021-03-22,74.87,75.81,74.11,75.18,2159645,21309,75.128912
2021-03-23,75.0,75.21,70.77,71.19,1420686,17051,71.949958
2021-03-24,71.6,71.975,70.74,70.93,1196888,16653,71.107209
2021-03-25,70.44,72.68,69.29,72.29,1447812,19687,71.415706
2021-03-26,72.79,74.74,72.43,74.7,998488,13662,73.827861
2021-03-29,74.03,75.85,73.45,75.28,1784581,25527,75.108305
2021-03-30,76.35,77.64,75.5,76.04,1908868,24564,76.346068
2021-03-31,77.17,78.6699,76.84,77.79,1989111,25900,77.893009
2021-04-01,79.31,81.09,78.0,80.735,2964157,31388,79.691729
2021-04-05,83.03,84.76,82.22,83.74,3194234,31413,83.887608
2021-04-06,84.19,84.865,82.29,82.92,2789271,28876,83.036084
2021-04-07,82.76,82.83,79.66,79.74,1874467,22493,80.57477
2021-04-08,81.2,81.26,80.0695,80.4,2400524,27100,80.449324
2021-04-09,80.01,80.7846,79.71,80.4,1156601,15248,80.383213
2021-04-12,79.89,81.34,79.85,81.27,864210,16710,80.756805
2021-04-13,81.36,82.5,80.91,81.65,1093242,17666,81.47133
2021-04-14,81.36,82.675,80.84,81.18,733105,15616,81.506506
2021-04-15,81.49,82.96,81.35,82.02,1312209,21993,82.101495
2021-04-16,82.62,83.07,81.67,81.96,1177329,18002,82.504023
2021-04-19,81.29,82.07,80.33,80.93,877247,14800,80.94175
2021-04-20,80.56,80.75,78.6,79.4,742028,14490,79.342609
2021-04-21,79.06,81.05,78.91,81.0,694817,12369,80.570276
2021-04-22,80.85,82.35,80.32,81.34,992046,13624,81.469132
2021-04-23,81.71,82.99,81.71,82.54,781660,10691,82.510572
2021-04-26,83.0,84.34,82.74,84.12,1253108,17392,83.873798
2021-04-27,84.6,84.705,83.33,84.06,852332,10627,83.990684
2021-04-28,83.44,83.89,82.7,83.46,560965,10476,83.446586
2021-04-29,84.16,84.27,83.06,83.66,1455268,16047,83.735729
2021-04-30,82.88,83.43,81.53,82.0,1223086,18051,82.015645
2021-05-03,82.58,82.76,80.45,81.2,1429699,18316,81.247588
2021-05-04,80.5,80.5,78.58,79.93,1330364,21400,79.605795
2021-05-05,80.76,81.91,79.91,81.11,1616772,21221,81.079047
2021-05-06,79.01,79.68,75.1,75.9,2848921,39532,76.683678
2021-05-07,76.41,79.44,76.41,79.33,1900170,24218,78.789322
2021-05-10,78.75,79.16,77.42,77.74,1336123,20072,78.08207
2021-05-11,75.46,77.11,75.16,76.47,1706004,25089,76.411129
2021-05-12,75.18,76.19,73.79,73.84,1576598,26679,74.506944
2021-05-13,73.98,75.27,73.42,74.23,1295246,23372,74.352124
2021-05-14,75.0,76.69,74.59,76.31,1482580,19017,75.915443
2021-05-17,76.0,76.96,75.6,76.23,1027154,17412,76.248993
2021-05-18,76.31,76.63,75.43,75.46,1388104,19224,75.887515
2021-05-19,73.92,74.98,73.54,74.77,1346855,20583,74.578818
2021-05-20,74.96,77.07,74.83,76.76,1072450,17609,76.37837
2021-05-21,77.17,78.13,76.53,76.72,1491834,16359,76.851903
2021-05-24,77.22,78.32,76.98,77.94,846248,14959,77.932389
2021-05-25,77.98,78.87,77.875,78.29,1366869,19813,78.40152
2021-05-26,78.28,79.09,78.015,78.16,1126592,16127,78.278295
2021-05-27,78.63,78.63,77.53,78.11,2536424,17523,78.086124
2021-05-28,78.78,78.85,77.31,77.79,1323059,20978,77.767723
2021-06-01,79.0,80.55,78.235,78.43,1413821,22256,78.900965
2021-06-02,78.42,79.035,77.75,78.43,1251059,19469,78.456821
2021-06-03,77.59,78.26,77.0,77.85,1167058,17794,77.793294
2021-06-04,78.13,80.07,78.06,79.82,1208715,16846,79.551012
2021-06-07,79.5,79.91,77.99,78.22,1291173,17970,78.385665
2021-06-08,78.89,79.07,77.81,78.38,1678193,24213,78.296043
2021-06-09,78.86,78.9,78.12,78.16,679358,14014,78.412008
2021-06-10,78.28,78.93,77.46,78.76,703261,12564,78.411472
2021-06-11,79.35,79.61,78.355,78.61,1069360,14880,78.713974
2021-06-14,78.94,79.32,77.94,78.79,1195612,14519,78.463118
2021-06-15,78.81,78.81,77.845,78.19,825584,12105,78.182304
2021-06-16,78.29,78.89,77.515,78.27,814313,17511,78.352443
2021-06-17,78.12,78.67,77.29,78.2,746928,15558,78.151799
2021-06-18,78.09,78.6,76.82,77.87,2843065,22980,77.835153
2021-06-21,78.05,79.47,77.29,78.96,1137602,22416,78.890386
2021-06-22,78.75,79.55,78.36,79.4,676774,14055,79.235307
2021-06-23,79.38,79.85,79.04,79.24,776782,14266,79.413811
2021-06-24,79.78,80.535,79.29,80.49,835150,13345,80.204956
2021-06-25,80.97,81.42,80.58,81.05,2541595,16855,81.044322
2021-06-28,81.35,81.67,80.91,81.66,783865,16180,81.447144
2021-06-29,81.75,83.0,81.7,82.73,965305,15901,82.600312
2021-06-30,82.7,82.88,81.53,81.83,951593,15615,82.003124
2021-07-01,81.8,82.47,81.615,82.45,666293,13516,82.237722
2021-07-02,82.99,82.99,82.1412,82.57,567651,10696,82.502815
2021-07-06,82.54,82.8,82.175,82.73,1003202,15264,82.57346
2021-07-07,82.61,83.39,81.68,82.91,608881,11688,82.761748
2021-07-08,81.38,82.42,80.35,81.49,698281,11667,81.53035
2021-07-09,82.2,83.58,81.72,83.26,997629,12458,83.235951
2021-07-12,83.56,84.22,83.32,84.05,741909,13263,83.951757
2021-07-13,84.05,84.22,82.55,82.66,643494,13227,83.017244
2021-07-14,83.32,83.825,81.95,82.4,513766,9942,82.624906
2021-07-15,81.96,82.24,80.34,80.94,644183,12793,81.040022
2021-07-16,81.34,81.59,79.1,79.22,870734,14052,79.640835
2021-07-19,77.94,79.07,77.77,78.71,942215,18074,78.426456
2021-07-20,79.06,81.43,78.69,80.69,931608,15923,80.792842
2021-07-21,81.12,82.45,80.96,82.44,654449,12019,82.071972
2021-07-22,82.81,82.88,81.95,82.33,482476,8310,82.381581
2021-07-23,82.87,83.75,82.34,83.45,640086,10662,83.184118
2021-07-26,83.58,83.8,82.54,83.23,476471,7876,83.156732
2021-07-27,82.7,83.09,81.1,82.49,667296,10973,82.08124
2021-07-28,82.46,84.54,82.22,84.12,726294,12351,83.799531
2021-07-29,84.7,86.14,84.5,85.49,753239,13007,85.645859
2021-07-30,84.82,85.72,84.5841,85.5,889047,13758,85.251621
2021-08-02,85.99,86.84,85.2,85.31,747976,16028,85.72038
2021-08-03,85.44,86.06,84.39,85.81,1085047,16259,85.621439
2021-08-04,86.54,87.08,85.35,86.73,1040501,16940,86.679753
2021-08-05,87.14,89.62,86.0701,89.42,1737443,24627,88.487599
2021-08-06,89.57,90.25,87.94,89.36,1087341,17108,89.185387
2021-08-09,89.17,89.83,88.44,89.18,905756,12993,89.321704
2021-08-10,89.26,89.88,88.534,88.99,905944,15104,89.110833
2021-08-11,89.0,89.46,88.39,89.09,937954,15725,89.044805
2021-08-12,88.98,89.19,88.1,88.61,891396,13338,88.665341
2021-08-13,88.69,89.1,88.09,88.9,830261,13138,88.681948
2021-08-16,88.89,90.25,88.27,90.08,1087199,14299,89.775866
2021-08-17,89.46,89.96,87.89,88.6,1222655,19197,88.60428
2021-08-18,88.5,89.95,88.21,88.79,1277457,16572,89.187218
2021-08-19,88.25,89.425,86.96,88.93,1884289,17579,88.725196
2021-08-20,89.0,90.76,88.69,90.59,1107356,17151,90.128743
2021-08-23,90.74,92.455,90.59,92.09,1027866,15208,92.019582
2021-08-24,92.15,93.07,91.96,92.66,1120623,13152,92.611007
