Date,Estimate,Actual
2022-07-18,None,None
2022-04-18,None,None
2022-01-19,None,None
2021-10-18,2.49,None
2021-07-20,2.39,3.45
2021-04-20,2.37,2.73
2021-01-21,3.18,4.91
2020-10-20,3.03,3.12
2020-07-23,-0.2,-0.2
2020-04-21,2.85,2.62
2020-01-23,3.29,3.32
2019-10-22,2.35,1.43
2019-07-23,2.28,2.02
2019-04-18,2.74,2.83
2019-01-22,2.06,2.13
2018-10-18,2.26,2.54
2018-07-19,2.42,1.81
2018-04-24,2.68,2.46
2018-01-23,1.51,2.28
2017-10-19,0.45,0.91
2017-07-20,2.1,1.92
2017-04-20,2.37,2.16
2017-01-24,2.73,3.2
2016-10-20,2.38,2.4
2016-07-21,2.07,2.2
2016-04-21,2.55,2.33
2016-01-21,2.65,2.9
2015-10-20,2.27,2.93
2015-07-21,2.12,2.52
2015-04-21,2.54,2.53
2015-01-22,2.54,3.07
2014-10-21,2.27,2.61
2014-07-22,2.07,1.93
2014-04-22,2.16,2.95
2014-01-21,2.16,2.68
2013-10-22,2.07,2.35
2013-07-23,1.6,2.13
2013-04-23,2.02,2.31
2013-01-22,0.14,0.72
2012-10-18,1.61,2.22
2012-07-19,1.34,1.26
2012-04-19,1.52,2.01
2012-01-24,1.53,1.48
2011-10-19,0.87,0.79
2011-07-21,-0.64,-0.91
2011-04-21,1.51,1.89
2011-01-25,1.67,1.89
2010-10-21,1.51,1.81
2010-07-22,1.49,1.39
2010-04-23,1.37,1.22
2010-01-26,1.49,2.12
2009-10-22,1.31,1.61
2009-07-30,1.28,1.25
2009-04-30,1.31,1.34
2009-01-27,1.46,1.58
2008-10-22,0.6,0.55
2008-07-23,1.45,1.5
2008-04-24,1.53,1.61
2008-01-29,1.61,1.63
2007-10-25,1.49,1.81
2007-07-26,1.48,1.73
2007-04-26,1.45,1.55
2007-02-01,1.42,1.69
2006-10-26,1.32,1.46
2006-07-27,1.29,1.34
2006-05-02,1.29,1.41
2006-02-02,0.94,0.22
2005-10-27,0.05,0.07
2005-07-28,1.14,1.38
2005-05-03,1.11,1.23
2005-01-31,1.07,0.45
2004-10-27,0.54,0.54
2004-08-04,1.01,-0.47
2004-04-28,1.14,1.41
2004-01-28,0.01,0.02
2003-10-29,0.92,0.96
2003-07-30,0.75,0.71
2003-04-30,0.89,0.86
2003-01-27,0.83,0.81
2002-10-23,0.81,0.52
2002-07-23,-0.95,-0.95
2002-04-25,0.76,0.76
2002-01-23,-2.18,-3.14
2001-10-23,-1.3,-2.62
2001-07-24,0.36,0.39
2001-04-24,0.75,0.75
2001-01-23,0.74,0.61
2000-11-06,0.75,0.73
2000-07-27,0.67,0.69
2000-04-27,0.67,0.63
2000-01-27,0.65,0.64
1999-10-27,0.63,0.64
1999-07-28,0.64,0.72
1999-04-30,0.63,0.62
1999-01-29,0.55,0.53
1998-11-03,0.21,0.19
1998-08-03,0.4,0.21
1998-04-27,0.74,0.68
1998-01-26,0.74,0.8
1997-10-24,0.71,0.72
