Date,Estimate,Actual
2021-08-04,1.9,None
2021-05-05,0.62,1.01
2021-02-05,0.92,1.03
2020-10-28,1.35,1.72
2020-07-29,0.74,1.27
2020-05-05,0.52,0.43
2020-01-29,1.42,1.4
2019-10-29,1.91,1.99
2019-07-30,2.05,2.09
2019-04-30,0.8,0.89
2019-01-30,1.29,1.32
2018-10-24,1.71,1.75
2018-07-25,1.73,1.85
2018-04-25,0.62,0.7
2018-01-31,1.03,1.02
2017-10-25,1.43,1.44
2017-07-26,1.46,1.49
2017-04-26,0.53,0.57
2017-02-01,0.92,0.84
2016-10-26,1.29,1.41
2016-07-27,1.3,1.38
2016-04-26,0.37,0.5
2016-02-09,0.93,0.94
2015-10-27,1.16,1.21
2015-07-28,1.23,1.2
2015-04-23,0.32,0.38
2015-01-30,0.7,0.82
2014-10-22,1.04,1.1
2014-07-22,1.11,1.13
2014-04-23,0.26,0.29
2014-02-11,0.61,0.61
2013-10-18,1.1,1.13
2013-07-19,1.08,1.14
2013-04-23,0.4,0.42
2013-02-01,0.7,0.76
2012-10-19,0.98,1.07
2012-07-20,0.91,1
2012-04-20,0.25,0.31
2012-02-08,0.66,0.76
2011-10-20,0.79,0.81
2011-07-21,0.93,0.88
2011-04-21,0.32,0.35
2011-02-09,0.65,0.62
2010-10-22,0.79,0.8
2010-07-23,0.72,0.76
2010-04-23,0.18,0.16
2010-02-12,0.53,0.48
2009-10-23,0.61,0.7
2009-07-24,0.39,0.5
2009-04-22,-0.12,-0.04
2009-02-11,0.28,0.53
2008-10-24,0.97,0.99
2008-08-01,0.89,1.03
2008-04-30,0.73,0.77
2008-02-14,0.97,0.97
2007-10-26,0.88,0.96
2007-07-27,0.95,0.95
2007-04-27,0.7,0.7
2007-01-31,0.73,0.72
2006-10-27,0.86,0.85
2006-07-28,0.95,0.95
2006-04-21,0.72,0.76
2006-01-26,0.77,0.87
2005-10-20,0.72,0.75
2005-07-21,0.81,0.84
2005-04-21,0.59,0.64
2005-02-01,0.61,0.66
2004-10-21,0.58,0.62
2004-07-22,0.65,0.71
2004-04-20,0.44,0.51
2004-01-27,0.54,0.56
2003-10-22,0.38,0.41
2003-07-17,0.36,0.41
2003-04-17,0.3,0.3
2003-01-23,0.47,0.6
2002-10-17,0.28,0.31
2002-07-18,0.35,0.36
2002-04-18,0.29,0.29
2002-01-24,0.26,0.28
2001-10-18,0.22,0.23
2001-07-19,0.28,0.28
2001-04-18,0.25,0.26
2001-01-24,0.46,0.5
2000-10-18,0.42,0.43
2000-07-19,0.55,0.56
2000-04-19,0.41,0.43
2000-01-26,0.48,0.44
1999-10-20,0.41,0.42
1999-07-22,0.49,0.5
1999-04-21,0.34,0.37
1999-01-28,0.44,0.46
1998-10-21,0.35,0.36
1998-07-23,0.4,0.43
1998-04-22,0.29,0.3
1998-01-29,0.36,0.38
1997-10-22,0.28,0.3
1997-07-23,0.32,0.34
1997-04-24,0.22,0.25
1997-01-27,0.31,0.34
1996-10-25,0.23,0.25
