Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,15.01,15.113,14.81,14.88,1981656,10232,14.943543
2021-01-04,15.19,15.23,14.805,15.06,4414569,25067,15.018495
2021-01-05,15.0,15.58,14.97,15.45,2106601,14184,15.417264
2021-01-06,15.5,15.87,15.38,15.51,3744988,17787,15.629001
2021-01-07,15.7,15.84,15.42,15.59,2340360,14112,15.618211
2021-01-08,15.65,15.75,15.25,15.25,3293503,16642,15.401177
2021-01-11,15.06,15.56,14.9199,15.52,3662490,22971,15.408924
2021-01-12,15.6,16.46,15.45,16.33,5047340,26838,16.164249
2021-01-13,16.28,16.38,15.8,15.91,2369614,15005,16.001964
2021-01-14,16.01,16.345,15.9144,15.95,2321234,14131,16.049484
2021-01-15,15.85,15.92,15.24,15.59,2967451,18252,15.608292
2021-01-19,15.65,15.78,15.46,15.56,2131371,14629,15.591875
2021-01-20,15.59,16.14,15.55,15.97,3571063,20409,15.971719
2021-01-21,16.58,16.79,16.08,16.11,3520802,19105,16.277042
2021-01-22,16.0,16.075,15.675,15.89,2726028,14645,15.829243
2021-01-25,15.82,16.31,15.57,15.94,3125170,18927,15.902852
2021-01-26,16.39,16.43,15.715,15.87,6600294,20264,15.862328
2021-01-27,15.42,15.68,14.62,14.77,7031819,50725,15.094529
2021-01-28,15.0,15.36,14.9,15.17,8471690,47096,15.189974
2021-01-29,15.04,15.27,14.77,14.97,3901862,25377,14.973756
2021-02-01,15.05,15.435,14.875,15.41,2799757,16233,15.176491
2021-02-02,15.66,16.101,15.58,16.0,3147686,18383,15.917769
2021-02-03,16.09,16.855,15.98,16.79,4542847,23671,16.580164
2021-02-04,16.83,17.37,16.795,17.36,3698626,23589,17.163005
2021-02-05,17.44,17.95,17.43,17.74,3903249,21627,17.733959
2021-02-08,17.81,17.9875,17.645,17.7,3903827,20865,17.793232
2021-02-09,17.66,17.97,17.43,17.54,6560751,34433,17.686612
2021-02-10,18.78,19.62,18.53,18.76,12205640,73775,18.926355
2021-02-11,18.97,19.62,18.91,19.21,6386796,35623,19.353942
2021-02-12,19.06,19.155,18.75,18.84,5766287,17472,18.884979
2021-02-16,18.85,18.99,18.36,18.62,3511665,26308,18.648734
2021-02-17,18.39,18.74,18.21,18.67,4474665,16769,18.550918
2021-02-18,18.61,18.7,18.32,18.51,3107216,19949,18.490208
2021-02-19,18.68,19.255,18.67,18.96,2863270,19675,18.923634
2021-02-22,18.61,19.04,18.49,18.54,5624731,15011,18.590456
2021-02-23,18.37,18.45,17.62,18.3,5287372,26779,18.217798
2021-02-24,18.36,18.59,18.13,18.3,2216368,18508,18.327599
2021-02-25,18.28,18.87,18.02,18.1,2355480,22348,18.389496
2021-02-26,18.11,18.57,17.87,18.2,2785238,23333,18.207402
