Date,Estimate,Actual
2022-05-02,None,None
2022-02-08,None,None
2021-08-03,0.05,None
2021-05-04,0.03,0.16
2021-02-10,-0.06,0.12
2020-10-30,0.03,0.26
2020-07-31,-0.41,-0.31
2020-05-11,-0.19,-0.34
2020-02-11,0.1,0.1
2019-11-04,0.18,0.23
2019-07-30,-0.05,-0.04
2019-05-02,0,0.05
2019-02-12,0.04,0.09
2018-10-30,0.12,0.25
2018-07-26,-0.08,-0.08
2018-05-01,-0.05,0
2018-02-13,0,0
2017-10-31,0.19,0.22
2017-08-01,-0.06,-0.03
2017-04-27,-0.04,-0.01
2017-01-31,0.25,0.23
2016-10-25,0.25,0.29
2016-07-26,0.01,0.01
2016-04-21,0.02,0.04
2016-01-28,0.23,0.24
2015-10-22,0.22,0.23
2015-07-23,0.02,0.04
2015-04-21,0.02,0.03
2015-02-04,0.2,0.2
2014-10-23,0.2,0.21
2014-07-24,0.04,0.04
2014-04-24,0.02,0.03
2014-01-30,0.13,0.15
2013-10-24,0.16,0.17
2013-07-25,0.03,0.04
2013-04-19,0.01,0.02
2013-01-31,0.11,0.12
2012-10-25,0.13,0.14
2012-07-24,0.01,0.02
2012-04-20,0.03,0.04
2012-01-26,0.08,0.08
2011-10-25,0.1,0.11
2011-07-26,0.01,0.02
2011-04-26,0.02,0.03
2011-01-27,0.05,0.06
2010-10-26,0.07,0.09
2010-07-27,0,0.01
2010-04-27,0.01,0.02
2010-01-28,0.03,0.04
2009-10-27,0.05,0.07
2009-07-28,0,0
2009-04-28,0,0.01
2009-01-29,0.02,0.02
2008-10-28,0.06,0.06
2008-07-29,0,0
2008-04-29,0,0.01
2008-01-31,0.04,0.04
2007-10-30,0.04,0.05
2007-07-31,0,0.01
2007-05-01,0.03,0.03
2007-02-01,0.03,0.03
2006-10-31,0.03,0.04
2006-07-26,0,0.01
2006-04-26,0.01,0.02
2006-02-07,0.01,0.01
