Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-15,19.67,20.9599,19.28,19.91,77167150,0.0
2020-05-18,21.79,24.26,21.46,24.13,69573753,0.0
2020-05-19,25.62,25.67,23.33,23.68,77358592,0.0
2020-05-20,24.38,25.39,24.3,24.91,106913650,0.0
2020-05-21,25.09,26.58,25,25.84,103452042,0.0
2020-05-22,26.38,26.58,24.67,25.39,86757874,0.0
2020-05-26,27.48,29.88,27.45,29.53,85259730,0.0
2020-05-27,32.25,32.75,28.535,30.6941,84304613,0.0
2020-05-28,30,30,28.53,28.89,54125189,0.0
2020-05-29,27.11,28.88,26.65,28.02,57975606,0.0
2020-06-01,28.19,30.29,27.9534,29.46,55260546,0.0
2020-06-02,30.12,30.92,29.31,29.9192,45449837,0.0
2020-06-03,30.75,33.9,30.39,33.6,165076463,0.0
2020-06-04,35.77,39.85,34.14,39.0702,137328905,0.0
2020-06-05,48.95,48.95,41.26,42.4,123519939,0.0
2020-06-08,45.86,48.85,44.57,48.7,166309998,0.0
2020-06-09,45,46.1,41.5,44.63,149079152,0.0
2020-06-10,42.04,42.6,38.3,39.705,100120620,0.0
2020-06-11,33.255,36.38,32.22,33.3101,195462784,0.0
2020-06-12,37.51,38.91,36.53,36.91,35593654,0.0
2020-06-15,36.04,39.87,35.51,38.995,96777677,0.0
2020-06-16,42.51,42.75,39.52,40.21,132628125,0.0
2020-06-17,39.09,39.7287,38.22,39.26,55355093,0.0
2020-06-18,37.65,40.2,37.5,39.3299,122044854,0.0
2020-06-19,39.94,40.26,35.7626,36.835,88468255,0.0
2020-06-22,35.18,37.1,35,36.5338,61716807,0.0
2020-06-23,36.56,36.88,34.37,36.07,61382342,0.0
2020-06-24,34.68,35.23,32.62,33.07,64001641,0.0
2020-06-25,31.35,34.7566,31.03,34.69,70032121,0.0
2020-06-26,34.5,34.61,32,32.93,55130556,0.0
2020-06-29,33.2,35.5,31.805,35.29,63278721,0.0
2020-06-30,34.6,35.36,33.23,34.61,53134290,0.0
2020-07-01,36.92,38.37,34.03,34.45,84050162,0.0
2020-07-02,35.88,36.08,33.95,34.145,51435599,0.0
2020-07-06,34.76,35.41,33.52,35.19,44799270,0.0
2020-07-07,34.07,34.12,32.38,32.58,45988530,0.0
2020-07-08,31.62,33.03,31.32,32.54,54125498,0.0
2020-07-09,32,32.49,29.96,30.16,51668005,0.0
2020-07-10,29.38,32.9,29.23,32.65,78735999,0.0
2020-07-13,33.2304,33.37,31.01,31.74,54785165,0.0
2020-07-14,30.7,32.32,30.42,31.75,41601067,0.0
2020-07-15,34.13,36.78,33.1602,36.37,81304424,0.0
2020-07-16,34.6,35.38,33.88,34.49,51211597,0.0
2020-07-17,34.27,34.98,33.48,33.93,36494705,0.0
2020-07-20,33.9,34.39,32.18,32.33,34511865,0.0
2020-07-21,32.64,33.785,32.46,33.04,42400925,0.0
2020-07-22,32.82,33.26,31.63,31.67,47453297,0.0
2020-07-23,31.35,35.13,30.95,33.22,61888091,0.0
2020-07-24,32.877,33.69,32.47,32.88,37906016,0.0
2020-07-27,32.89,33.66,32.05,32.41,32735792,0.0
2020-07-28,32.27,34.04,32.27,33.46,40506100,0.0
2020-07-29,33.61,34.15,32.215,32.58,30692320,0.0
2020-07-30,32.03,32.28,31.55,31.73,30967359,0.0
2020-07-31,31.69,31.77,30.69,31.38,29223229,0.0
2020-08-03,31.33,32.28,30.3185,31.87,22763976,0.0
2020-08-04,32.0135,33.7,32.01,32.29,29651736,0.0
2020-08-05,33.31,34.57,32.17,33.715,46931097,0.0
2020-08-06,34.25,35.03,33.23,34.4,50026887,0.0
2020-08-07,33.9,34.415,33.45,34.33,29782719,0.0
2020-08-10,35.82,37.55,35.64,37.535,42094606,0.0
2020-08-11,39.64,39.86,36.6604,36.84,54606753,0.0
2020-08-12,37.55,37.74,35.47,36.38,34381531,0.0
2020-08-13,35.745,37.52,35.52,35.8,34814541,0.0
2020-08-14,35.35,36.5713,35.2,36.19,27881921,0.0
2020-08-17,36.21,36.3,34.36,34.4,22124007,0.0
2020-08-18,34.39,34.88,33.58,33.98,18592294,0.0
2020-08-19,34.3611,36.56,34.13,34.43,40156059,0.0
2020-08-20,33.92,34.39,33.2,34.05,27729718,0.0
2020-08-21,33.8,34.44,32.98,33.04,22075346,0.0
2020-08-24,33.67,36.3869,33.2,36.32,49690182,0.0
2020-08-25,36.44,36.9399,34.48,35.2399,38618783,0.0
2020-08-26,35.26,35.51,34.11,34.25,22971094,0.0
2020-08-27,35.5,37.99,35.18,36.21,49689579,0.0
2020-08-28,37.1396,37.44,35.89,37.35,34046998,0.0
2020-08-31,37.25,37.44,35.73,36,26038670,0.0
2020-09-01,35.25,37.24,34.95,36.02,29261298,0.0
2020-09-02,36.1,37.1,35.21,36.88,26182363,0.0
2020-09-03,37.13,39.77,36.14,37.395,53269289,0.0
2020-09-04,38.15,38.7415,36.46,38.21,32225031,0.0
2020-09-08,37.3,38.48,36.48,37.29,32188835,0.0
2020-09-09,36.9,37.0803,35.59,36.03,24920276,0.0
2020-09-10,36.5713,37.33,36.18,36.44,19644084,0.0
2020-09-11,36.63,36.8,35.48,36.07,18791932,0.0
2020-09-14,36.3,36.88,35.84,36.74,18312003,0.0
2020-09-15,36.84,37.88,36.38,36.78,20069996,0.0
2020-09-16,36.9,38.9,36.3601,38.2999,32817063,0.0
2020-09-17,37.69,39.28,37.14,38.36,30395293,0.0
2020-09-18,38.16,38.34,36.68,36.99,25512120,0.0
2020-09-21,35.4,35.47,33.18,33.79,29211445,0.0
2020-09-22,34.15,34.65,33.56,34.09,16004094,0.0
