Date,Estimate,Actual
2022-07-18,None,None
2022-04-18,None,None
2022-01-18,None,None
2021-10-12,-0.23,None
2021-07-20,-3.91,-3.91
2021-04-19,-7.08,-7.5
2021-01-20,-6.64,-7
2020-10-14,-7.53,-8.16
2020-07-21,-9.02,-9.31
2020-04-30,-3.47,-2.57
2020-01-21,2.65,2.67
2019-10-15,3.97,4.07
2019-07-16,4.09,4.21
2019-04-16,0.95,1.15
2019-01-15,2.04,2.41
2018-10-16,3.07,3.06
2018-07-17,3.07,3.23
2018-04-17,0.44,0.5
2018-01-23,1.34,1.4
2017-10-18,2.16,2.22
2017-07-18,2.67,2.75
2017-04-17,0.38,0.41
2017-01-17,1.73,1.78
2016-10-17,3.06,3.11
2016-07-19,2.56,2.61
2016-04-20,1.18,1.23
2016-01-21,2.59,2.54
2015-10-22,4.55,4.53
2015-07-23,3.31,3.31
2015-04-23,1.44,1.52
2015-01-22,1.22,1.2
2014-10-23,2.68,2.75
2014-07-24,2.19,2.34
2014-04-24,-1.34,-1.33
2014-01-23,0.65,0.78
2013-10-24,1.54,1.51
2013-07-25,1.29,1.35
2013-04-25,-1.1,-0.98
2013-01-24,-0.61,-0.58
2012-10-25,1.47,1.35
2012-07-26,1.65,1.41
2012-04-26,-1.04,-0.87
2012-01-26,0.12,0.3
2011-10-27,2.08,2
2011-07-21,1.43,1.49
2011-04-21,-0.48,-0.41
2011-01-26,0.23,0.44
2010-10-21,2.16,2.26
2010-07-20,1.78,1.9
2010-04-27,-0.72,-0.58
2010-01-27,-1.47,-1.05
2009-10-20,-0.94,-0.43
2009-07-21,-2.61,-2.23
2009-04-21,-4.45,-4
2009-01-21,-4.42,-4.22
2008-10-21,-2.48,-1.99
2008-07-22,-2.05,-1.19
2008-04-22,-3.41,-4.45
2008-01-22,-0.89,-0.47
2007-10-23,1.88,1.96
2007-07-24,1.39,1.83
2007-04-25,-0.47,-1.31
2007-01-23,-0.35,-0.55
2006-10-31,1.43,1.3
2006-07-31,0.64,1.09
2006-05-08,-1.73,-2.66
2006-01-27,-2.14,-2.58
2005-10-31,-1.43,0.57
2005-07-28,-1.18,-0.26
2005-05-11,-3.86,-2.62
2005-01-27,-5.41,-4.77
2004-10-28,-1.72,-1.55
2004-07-29,-1.66,-0.95
2004-04-29,-3.55,-2.89
2004-01-27,-2.58,-2.38
2003-10-30,-1.52,-0.36
2003-08-01,-5.34,-4.79
2003-05-02,-12.08,-10.11
2003-01-31,-13.81,-9.65
2002-10-18,-7.29,-8.82
2002-07-19,-7.13,-6.99
2002-04-19,-10.24,-8.81
2002-02-01,-14.96,-11.74
2001-11-01,-10.27,-10.05
2001-07-18,-4.73,-5.5
2001-04-18,-4.18,-5.82
2001-01-18,-4.44,-2.41
2000-10-18,-0.44,-1.29
2000-07-19,3.24,3.47
2000-04-19,1.34,1.42
2000-01-19,1.74,1.91
1999-10-20,3.76,3.75
1999-07-21,2.67,2.86
1999-04-20,1.36,1.54
1999-01-21,1.45,1.52
1998-10-21,4.05,4.02
1998-07-22,3.18,3.24
1998-04-22,1.57,1.68
1998-01-28,1.61,1.74
1997-10-28,3.67,3.75
