Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-07,222.28,226.76,221.365,222.23,590601,0.0
2020-05-08,225.64,230.37,223.44,230,1147340,0.0
2020-05-11,227.47,234.6,226.6901,230.21,1387002,0.0
2020-05-12,228.65,228.65,211.58,211.87,1457442,0.0
2020-05-13,211.92,211.9999,195.06,197.81,1866446,0.0
2020-05-14,194,201.81,188.1,200.96,1498081,0.0
2020-05-15,199.77,205.45,197.51,200.44,1960098,0.0
2020-05-18,210.6,218.46,210.6,212.57,1099396,0.0
2020-05-19,213.01,213.01,204.33,210.22,912034,0.0
2020-05-20,213,215.26,210,213.56,1797232,0.0
2020-05-21,213.36,224.48,210.74,222.77,3481828,0.0
2020-05-22,223.29,223.64,216.29,220.71,1973254,0.0
2020-05-26,230.36,239.09,228.41,238.07,1578001,0.0
2020-05-27,244.43,252.38,239.26,251.72,1548881,0.0
2020-05-28,251.66,252.89,241,243.27,1420016,0.0
2020-05-29,240.61,246.41,231.51,244,2292044,0.0
2020-06-01,246.49,250.57,236.01,238.959,1366005,0.0
2020-06-02,242.16,242.95,237.05,241.22,1217288,0.0
2020-06-03,244.47,254.365,242,252.3,1948526,0.0
2020-06-04,250.5,255.8324,244.28,247.74,1412034,0.0
2020-06-05,256.86,258.18,249.74,252.08,1046286,0.0
2020-06-08,255.91,256.79,250.44,254.56,1686706,0.0
2020-06-09,248.44,249,244.1844,244.71,1313290,0.0
2020-06-10,245.67,246.84,236.47,238.41,966734,0.0
2020-06-11,225.28,230.78,223.0597,225.88,2588720,0.0
2020-06-12,232.4,236.31,227.335,227.335,275608,0.0
2020-06-15,218.71,225.8,214.5,225.57,1000067,0.0
2020-06-16,235,236.16,225,225.79,2275201,0.0
2020-06-17,226.87,229.84,222.4196,223.55,1114987,0.0
2020-06-18,221.57,224.09,217.51,219.17,1927256,0.0
2020-06-19,227.62,229.3,208.51,212.21,2005714,0.0
2020-06-22,214,214.11,205.08,205.51,1619741,0.0
2020-06-23,208.24,209.7728,205.69,206.72,1455050,0.0
2020-06-24,205,206.43,194.12,200.11,1929946,0.0
2020-06-25,198.33,198.8,191.66,194.28,2019902,0.0
2020-06-26,193.63,193.96,188.9,190,1711658,0.0
2020-06-29,191,200.33,186.01,198.75,1898927,0.0
2020-06-30,198.5,204.15,196.1,203.28,1337014,0.0
2020-07-01,202.62,209.8476,200.83,203.7,1176469,0.0
2020-07-02,207.84,208.43,202.1,203.81,725362,0.0
2020-07-06,207.15,209.43,204.33,208.83,836216,0.0
2020-07-07,205.61,206.83,201.1888,202.93,895533,0.0
2020-07-08,202.3,204.43,199.3,201.93,909412,0.0
2020-07-09,201.95,202.135,191.09,192.23,1174263,0.0
2020-07-10,193.13,196.53,191.84,195.96,1579384,0.0
2020-07-13,197.88,199.355,192.4601,192.6887,1080526,0.0
2020-07-14,191.8,193.335,186.975,191.87,1353332,0.0
2020-07-15,199.05,205.24,197.75,203.76,1271255,0.0
2020-07-16,200.38,203.83,200.37,203.18,754029,0.0
2020-07-17,203.07,206.5,201.9,203,679539,0.0
2020-07-20,202.13,202.395,196,199.96,690595,0.0
2020-07-21,198,207.85,196.25,202.13,1144248,0.0
2020-07-22,201.43,206.07,200.59,205.44,712854,0.0
2020-07-23,204.62,209.17,203.12,205.79,900893,0.0
2020-07-24,204.4356,206.32,202.452,203.84,526055,0.0
2020-07-27,202.25,202.54,195.77,198.84,1211101,0.0
2020-07-28,198.75,202.16,197.18,197.58,564091,0.0
2020-07-29,198.91,205.495,198.53,203.0019,666777,0.0
2020-07-30,200.26,200.7693,196.21,198.54,716569,0.0
2020-07-31,198.525,199.27,190.84,192.99,1212130,0.0
2020-08-03,193.14,193.685,188.1793,191.43,1161203,0.0
2020-08-04,191.58,199.11,191.29,198.6,984963,0.0
2020-08-05,199.88,203.3,198.11,201.96,874875,0.0
2020-08-06,200.85,206.595,200.85,203.97,741210,0.0
2020-08-07,204,204.37,201.41,203.87,514187,0.0
2020-08-10,205.36,220.45,205.02,219.12,1568976,0.0
2020-08-11,221.93,226.3574,214.67,216.23,1016638,0.0
2020-08-12,217.84,218.72,212.33,217.83,529416,0.0
2020-08-13,215.53,223.11,215.53,222.41,659585,0.0
2020-08-14,222.52,226.59,219.1301,225.52,680972,0.0
2020-08-17,226.43,229,220.44,224.06,633479,0.0
2020-08-18,222.87,223.582,215.79,216.24,864726,0.0
2020-08-19,215.24,218.37,212.165,213.36,776901,0.0
2020-08-20,208.5,210.01,203.9,205.46,1268077,0.0
2020-08-21,204.39,215.2,203.99,214,1373205,0.0
2020-08-24,217.255,222.5,216.695,222.41,831741,0.0
2020-08-25,223.27,224,217.5,219.75,805776,0.0
2020-08-26,219.02,223.49,216.06,220.68,938016,0.0
2020-08-27,222.49,226.14,219.61,223.95,1492183,0.0
2020-08-28,253.95,256.6,234.55,237.02,6362936,0.0
2020-08-31,235.2,237.7,230.8,232.03,1176398,0.0
2020-09-01,230.53,233.1,227.8201,232.92,1049911,0.0
2020-09-02,233.61,238.14,230,237.66,790458,0.0
2020-09-03,237.98,242.58,234.73,238.05,907391,0.0
2020-09-04,239.33,244,236.23,240.51,1038593,0.0
2020-09-08,234.17,239.7216,233.025,233.29,915123,0.0
2020-09-09,233.72,237.13,232.2,235.49,727744,0.0
2020-09-10,240.805,242.9,231.591,232.17,749361,0.0
2020-09-11,233.43,233.97,223.395,229.08,745828,0.0
2020-09-14,230.995,234.63,230.19,234.21,713697,0.0
2020-09-15,236.11,241.23,235.86,237.37,705986,0.0
2020-09-16,238.72,244,233.2499,239.86,945846,0.0
2020-09-17,235.92,238.895,232.51,234.75,685948,0.0
2020-09-18,236.74,238.63,230.07,231.74,835316,0.0
2020-09-21,226.79,227.08,220.53,225.79,754956,0.0
2020-09-22,227.2,230.5,222.1,223.95,626994,0.0
2020-09-23,224.15,228.14,216.18,217.0701,738593,0.0
2020-09-24,215.85,221.87,212.06,215.47,716882,0.0
2020-09-25,215,218.28,212.33,216.75,634891,0.0
2020-09-28,221.69,227.93,219.07,225.77,660284,0.0
2020-09-29,224.96,225.925,218.48,223.02,619681,0.0
2020-09-30,223.43,229.13,222.16,223.969,649281,0.0
2020-10-01,226.96,229.51,224.54,228.64,624659,0.0
2020-10-02,223.94,230.98,222.975,228.71,828632,0.0
2020-10-05,230.48,234.71,227.71,233.65,699265,0.0
