Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,202.1,206.42,202.1,206.05,1526176,0.0
2020-12-07,205.6,205.9346,203.8234,204.94,1316623,0.0
2020-12-08,203.65,206.7,203.21,205.2,1300244,0.0
2020-12-09,203.83,206.99,203.83,205.75,1490127,0.0
2020-12-10,204.97,205.74,201.39,202.5,1672988,0.0
2020-12-11,200.68,203.75,200.0019,203.01,1535497,0.0
2020-12-14,205.27,205.46,197.94,197.94,1754330,0.0
2020-12-15,198.81,201.42,197.46,200.29,1492943,0.0
2020-12-16,200.84,201,198.61,198.82,1524241,0.0
2020-12-17,200.03,202.81,199.01,202.24,2300745,0.0
2020-12-18,202.09,204.49,200.73,203.61,3109405,0.0
2020-12-21,199.61,203.795,199.61,202.43,1483213,0.0
2020-12-22,201.83,203.51,201.44,201.54,1234637,0.0
2020-12-23,202.83,203.51,201.05,201.12,1523904,0.0
2020-12-24,201.26,203.85,200.48,203.5,629532,0.0
2020-12-28,203.97,206.54,203.55,205.55,1231971,0.0
2020-12-29,206.3,206.825,203.38,204.43,1531424,0.0
2020-12-30,204.87,206.5,204.61,206.08,1017443,0.0
2020-12-31,206.35,208.65,205.66,208,1311809,0.0
2021-01-04,208.04,209.0265,201.375,203.01,2089631,0.0
2021-01-05,202.9,206.435,202.855,205.58,1488579,0.0
2021-01-06,205.55,211.61,205.13,209.89,2077331,0.0
2021-01-07,210.61,213.35,209.12,212.72,1635325,0.0
2021-01-08,218,221.28,216.99,218.8,3404654,0.0
2021-01-11,220.18,220.99,216.95,217.35,2731492,0.0
2021-01-12,217.06,220.44,213.86,218.6,5587442,0.0
2021-01-13,217.58,219,215.3601,216.52,2523169,0.0
2021-01-14,217.95,218.12,215.71,216.16,1374525,0.0
2021-01-15,214.51,217.52,213.2501,216.6,2064964,0.0
2021-01-19,218.21,218.82,215.13,215.25,2444842,0.0
2021-01-20,217.09,218.46,215.71,218.18,2889443,0.0
2021-01-21,210,216.9,207.89,208.02,5903043,0.0
2021-01-22,207.61,209,203.24,207.1,3496812,0.0
2021-01-25,205.16,207.15,201.12,206.47,4047871,0.0
2021-01-26,207.31,207.31,199.4,199.92,3405024,0.0
2021-01-27,196.0235,198.8,193.14,194.25,3410867,0.0
2021-01-28,197.38,204.9792,195.44,201.35,2932286,0.0
2021-01-29,199.29,200.8,196.77,197.36,2727287,0.0
2021-02-01,198.82,200.7084,198.27,198.6,1886435,0.0
2021-02-02,200.54,207.13,200.04,205.87,3380211,0.0
2021-02-03,205.14,205.915,203.855,204.29,1399865,0.0
2021-02-04,204.78,206.65,203.38,204.42,1971920,0.0
2021-02-05,206.55,207.68,203.855,204.2,1851223,0.0
2021-02-08,205.3,205.3,202.12,204.17,1729825,0.0
2021-02-09,204.44,205.6,202.53,204.65,1140838,0.0
2021-02-10,205.93,206.19,202.7,203.5,1420329,0.0
2021-02-11,205.11,207.87,204.35,207.18,2222968,0.0
2021-02-12,206.21,213.7,206.21,213.09,2974820,0.0
2021-02-16,213.37,215.42,210.46,213.99,2366709,0.0
2021-02-17,213.24,213.88,209.81,211.23,2350765,0.0
2021-02-18,209.22,209.785,204.16,207.05,3182714,0.0
2021-02-19,208.04,211.56,207.9,209.06,2377319,0.0
2021-02-22,207.14,210.365,206.68,206.84,2408575,0.0
2021-02-23,207.35,208.08,204.68,206.95,2166780,0.0
2021-02-24,206.35,212.95,205.47,211.14,2010109,0.0
2021-02-25,209.78,210.89,207.9,209.11,3161863,0.0
2021-02-26,210.21,210.21,205.85,205.85,2509946,0.0
2021-03-01,208.58,211.6,207.77,209.04,2576796,0.0
2021-03-02,209.55,210.64,207.33,209.24,1799191,0.0
2021-03-03,209.33,209.83,205.99,206.4,1892870,0.0
2021-03-04,205.98,206.695,198.59,201.06,2818562,0.0
2021-03-05,203,210.15,200.64,209.51,2778435,0.0
2021-03-08,210.57,215.68,210.17,210.88,2514656,0.0
2021-03-09,212.05,214.9653,211.23,211.62,2318920,0.0
2021-03-10,212.5,215.175,211.38,213.11,2332266,0.0
2021-03-11,214.82,216.54,213.17,214.52,2353676,0.0
2021-03-12,215.86,217.5,213.92,214.135,2081157,0.0
2021-03-15,214.25,214.89,209.96,212.65,2526604,0.0
2021-03-16,213.12,213.17,208.91,211.7,2494349,0.0
2021-03-17,211.43,214.2299,209.8243,212.44,2251578,0.0
2021-03-18,211.44,217.71,211.44,215.33,2532310,0.0
2021-03-19,215.43,215.53,209.21,210.8,3752872,0.0
2021-03-22,210.08,211,204.78,206.26,4975834,0.0
2021-03-23,207.26,210.528,206.5,207.97,3156895,0.0
2021-03-24,208.1,215.8,208,212.89,2533234,0.0
2021-03-25,212.53,216.53,211.82,216.14,2306059,0.0
2021-03-26,217.06,223.21,216.75,222.96,3081281,0.0
2021-03-29,222.8,223.95,220.24,223.07,1921723,0.0
2021-03-30,221.26,223.42,220.54,220.97,2063869,0.0
2021-03-31,221.12,222.57,219.175,220.56,2453326,0.0
2021-04-01,220.88,221.79,219.02,220.2,2146501,0.0
2021-04-05,222.24,224.62,222.07,223.47,1694319,0.0
2021-04-06,223.97,224.09,220.8,221.1,1306294,0.0
2021-04-07,220.9,221.94,219.97,221.34,1230141,0.0
2021-04-08,221.08,221.58,220.08,220.19,1396793,0.0
2021-04-09,220.51,223.36,220.47,223.25,1980863,0.0
2021-04-12,222.56,225.28,222.51,223.61,1532895,0.0
2021-04-13,222.98,223.39,220.2,221.93,1386017,0.0
2021-04-14,222.48,223.4,221.55,222.63,1229725,0.0
2021-04-15,223.39,224.5,222.37,223.04,1736628,0.0
2021-04-16,224.91,225.78,222.14,222.77,1863555,0.0
2021-04-19,223.23,223.51,221.45,223.51,1579294,0.0
2021-04-20,222.42,225.34,220.14,220.66,2428111,0.0
2021-04-21,220.08,226.21,219.69,223.33,3055491,0.0
2021-04-22,218.8,221.1118,216.06,218.01,4011171,0.0
2021-04-23,219.52,223.94,218.57,223.54,2571446,0.0
2021-04-26,223.98,226.96,223.73,224.46,2302323,0.0
2021-04-27,225.44,226.795,223.95,225.78,1838820,0.0
2021-04-28,225.68,228.32,225.52,226.2,1866399,0.0
2021-04-29,227.59,227.62,223.41,224.48,1941274,0.0
2021-04-30,223.65,224.35,220.26,222.09,2821145,0.0
2021-05-03,224.01,225.66,223.21,223.8,2054729,0.0
2021-05-04,223.17,225.91,222.63,225.68,1908607,0.0
2021-05-05,226.4,226.94,223.3,223.69,2239325,0.0
2021-05-06,224.48,227.35,224.11,227.25,1557841,0.0
2021-05-07,227.53,229.97,226.01,229.48,1719278,0.0
2021-05-10,230.13,231.26,228.24,228.44,1578330,0.0
2021-05-11,226.81,227.81,223.86,226.6,1849964,0.0
2021-05-12,225.88,226.34,221.9,221.94,1913431,0.0
2021-05-13,222,226.65,222,225.15,1589061,0.0
2021-05-14,226.76,229.37,225.83,227.8,1402564,0.0
2021-05-17,226.71,227.3068,224.09,224.82,1786399,0.0
2021-05-18,224.21,225.23,221.98,222.43,1849692,0.0
2021-05-19,220.2,222.34,218.02,222.34,2428215,0.0
2021-05-20,222.02,222.93,220.22,222.03,1710306,0.0
2021-05-21,223.01,224.38,221.23,221.46,2176808,0.0
2021-05-24,222.52,224.39,221.91,223.65,1696904,0.0
2021-05-25,224.45,225.39,221.78,222.03,2021605,0.0
2021-05-26,224.36,224.82,221.83,223.52,2524643,0.0
2021-05-27,223.74,225.44,223.12,224.09,2345772,0.0
2021-05-28,225.81,225.81,224.35,224.77,1335882,0.0
2021-06-01,226.35,227.38,224.94,225.14,1721756,0.0
2021-06-02,224.24,226.345,223.69,224.48,1808586,0.0
