Date,Estimate,Actual
2022-04-25,None,None
2022-01-31,None,None
2021-10-26,None,None
2021-07-27,2.82,None
2021-04-27,1.72,2.77
2021-02-02,2.14,2.66
2020-10-28,1.9,2.28
2020-07-30,1.07,2.13
2020-04-28,1.23,1.15
2020-01-30,2.11,2.11
2019-10-22,2.06,2.07
2019-07-24,1.93,1.96
2019-04-25,1.42,1.39
2019-01-31,1.9,1.94
2018-10-24,1.82,1.82
2018-07-25,1.93,1.94
2018-04-26,1.54,1.55
2018-02-01,1.66,1.67
2017-10-26,1.45,1.45
2017-07-27,1.47,1.58
2017-04-27,1.29,1.32
2017-01-31,1.69,1.63
2016-10-27,1.44,1.44
2016-07-29,1.43,1.43
2016-04-28,1.22,1.27
2016-02-02,1.42,1.57
2015-10-27,1.37,1.39
2015-07-28,1.26,1.35
2015-04-28,1.09,1.12
2015-02-03,1.25,1.25
2014-10-24,1.28,1.32
2014-07-29,1.25,1.21
2014-04-24,1.08,0.98
2014-01-30,1.25,1.25
2013-10-25,1.15,1.16
2013-07-23,1.13,1.13
2013-04-25,1.01,1.04
2013-01-31,1.38,1.32
2012-10-23,1.06,1.06
2012-07-24,1.17,1.15
2012-04-26,1.02,1
2012-01-31,1.26,1.28
2011-10-25,1.05,1.06
2011-07-26,1.04,1.05
2011-04-26,0.85,0.88
2011-02-01,1.05,1.08
2010-10-21,0.88,0.93
2010-07-22,0.77,0.84
2010-04-27,0.58,0.71
2010-02-02,0.74,0.75
2009-10-22,0.52,0.55
2009-07-23,0.49,0.49
2009-04-23,0.56,0.52
2009-02-03,0.85,0.83
2008-10-23,0.89,0.96
2008-07-22,0.85,0.85
2008-04-23,0.87,0.87
2008-01-30,1.13,1.13
2007-10-23,1.02,1.05
2007-07-24,1.03,1.04
2007-04-25,0.96,0.96
2007-01-30,1.04,1.04
2006-10-19,0.9,0.96
2006-07-25,1,0.97
2006-04-20,0.88,0.89
2006-01-26,0.96,0.95
2005-10-20,0.86,0.86
2005-07-21,0.86,0.88
2005-04-21,0.73,0.78
2005-01-27,0.76,0.76
2004-10-21,0.72,0.7
2004-07-22,0.71,0.72
2004-04-22,0.62,0.67
2004-01-29,0.69,0.7
2003-10-21,0.6,0.62
2003-07-22,0.59,0.61
2003-04-22,0.51,0.52
2003-01-28,0.57,0.59
2002-10-22,0.54,0.51
2002-07-12,0.54,0.54
2002-04-18,0.47,0.5
2002-01-29,0.5,0.57
2001-10-18,0.46,0.5
2001-07-19,0.54,0.55
2001-04-19,0.5,0.51
2001-01-30,0.61,0.63
2000-10-19,0.58,0.6
2000-07-20,0.6,0.6
2000-04-20,0.53,0.56
2000-01-31,0.55,0.56
