Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,239.3,245.81,238.605,245.8,699077,0.0
2020-12-07,243.45,246.59,241.04,246.52,567559,0.0
2020-12-08,244.64,249.59,241.28,242.84,659072,0.0
2020-12-09,249.6,249.6,243.98,246.59,779709,0.0
2020-12-10,243.76,244.94,239.36,241.9,651879,0.0
2020-12-11,240.18,243.58,239.15,240.68,514309,0.0
2020-12-14,245.09,245.09,238.52,238.9,395256,0.0
2020-12-15,231.73,239.67,231.01,238.89,676628,0.0
2020-12-16,240.42,240.42,230.27,232.5,732703,0.0
2020-12-17,229.68,232.5156,226.6,229.18,994697,0.0
2020-12-18,228.68,229.95,224.695,227.51,858211,0.0
2020-12-21,221.22,231.25,217.39,229.5,637338,0.0
2020-12-22,231.05,231.28,223.74,227.43,386025,0.0
2020-12-23,229.86,231.99,227.72,230.93,447418,0.0
2020-12-24,230.67,233.155,228.95,232.75,175230,0.0
2020-12-28,233.41,234.5078,226.57,226.98,362742,0.0
2020-12-29,227.59,229.37,223.72,226.37,424462,0.0
2020-12-30,227.86,231.18,227.5,230.06,278696,0.0
2020-12-31,229.73,233.83,228,231.91,455668,0.0
2021-01-04,234,236.3,224.52,229.63,784977,0.0
2021-01-05,229.2,239.4261,228.61,235.57,686089,0.0
2021-01-06,248.15,262.04,248.15,256.37,1821947,0.0
2021-01-07,261.33,267.59,259.05,264.69,947117,0.0
2021-01-08,264.5,266.545,253.475,260.14,641155,0.0
2021-01-11,255.15,261.4455,255,257.34,368104,0.0
2021-01-12,259.18,264.09,257.81,262.14,1265177,0.0
2021-01-13,260.8,261.45,253.64,254.45,1194714,0.0
2021-01-14,258.77,264.4,255.02,260.36,503735,0.0
2021-01-15,256.76,258.42,250.61,255.13,610075,0.0
2021-01-19,260,266.59,259.565,260.82,653669,0.0
2021-01-20,263.8,264.2,258.61,260.12,445429,0.0
2021-01-21,260.01,261.79,258,259.21,375054,0.0
2021-01-22,255.37,259.75,254.5,258.47,398431,0.0
2021-01-25,256.51,261.99,251.93,253.52,562916,0.0
2021-01-26,257.39,257.5861,247.41,248.35,444025,0.0
2021-01-27,240.12,241.8199,228.22,236.59,1209358,0.0
2021-01-28,245.7,257.565,243,253.48,1090256,0.0
2021-01-29,251.63,251.88,238.5515,243,989896,0.0
2021-02-01,247.92,254.21,245,253.15,632250,0.0
2021-02-02,257.72,261.94,249.75,250.66,693513,0.0
2021-02-03,252.34,255.39,248.07,250.8,430825,0.0
2021-02-04,252.79,260.45,251.25,259.83,618025,0.0
2021-02-05,261,266.67,261,265.63,516513,0.0
2021-02-08,267.47,274.12,266.73,272.14,639973,0.0
2021-02-09,270.04,278.86,267.27,277.25,606320,0.0
2021-02-10,279.72,285.03,275.53,276.94,772930,0.0
2021-02-11,277.85,282.96,274.58,279.87,535830,0.0
2021-02-12,279.8,287.23,279.12,286.39,439986,0.0
2021-02-16,290,293.47,288.26,288.43,679347,0.0
2021-02-17,286.01,287.32,274.28,277.81,626792,0.0
2021-02-18,273.73,275.596,267.42,274.79,498124,0.0
2021-02-19,278.08,291.33,278.07,290.01,557802,0.0
2021-02-22,288,302.7,287.31,298.67,907652,0.0
2021-02-23,296.95,308.86,286.42,306.37,1200396,0.0
2021-02-24,310,321.94,307.78,312.56,1129762,0.0
2021-02-25,311.73,312.215,292,295.11,1200614,0.0
2021-02-26,298.54,301.55,285,297.01,832944,0.0
2021-03-01,304.11,305.99,299.09,302.49,625027,0.0
2021-03-02,304.05,304.05,292.4151,293.14,609284,0.0
2021-03-03,294.62,302.695,293.075,294.93,568791,0.0
2021-03-04,294.55,303.095,282.7,288.66,1117465,0.0
2021-03-05,293.12,302.0975,282.2,300.83,644991,0.0
2021-03-08,303.91,308.14,300.4837,302.6,690026,0.0
2021-03-09,302.46,304.21,293.55,295.31,651080,0.0
2021-03-10,296.73,304.59,296.08,303.4,437961,0.0
2021-03-11,305.6,314.1,304.09,310.78,461580,0.0
2021-03-12,310.77,319.11,309.06,317.9,532459,0.0
2021-03-15,319.08,323.83,311.61,323.31,467161,0.0
2021-03-16,322.12,322.12,311.75,314.8,615421,0.0
2021-03-17,317.64,324.22,311,321.7,367101,0.0
2021-03-18,321.9,330.79,317.33,318.04,540967,0.0
2021-03-19,316.43,319.955,305.56,316,624073,0.0
2021-03-22,315,316.7205,308.53,311.6,502600,0.0
2021-03-23,308.11,310.305,297.5,299.87,678914,0.0
2021-03-24,308.99,313.1,304.89,305.65,544435,0.0
2021-03-25,304.14,315.65,299.82,314.1,578646,0.0
2021-03-26,318.27,330.17,315.5,329.85,699635,0.0
2021-03-29,329.5,335.59,322.72,324.19,802513,0.0
2021-03-30,324.72,336.32,324.72,333.56,1097548,0.0
2021-03-31,334,339.717,325.81,329.14,1221786,0.0
2021-04-01,331.51,334.29,324.27,331.71,686256,0.0
2021-04-05,337,338.49,330.94,331.52,536907,0.0
2021-04-06,331,341,323.775,325.22,730443,0.0
2021-04-07,326,326.5,319.12,321.99,643747,0.0
2021-04-08,320.96,324.24,313.52,321.34,504660,0.0
2021-04-09,321,325.12,317.46,324.72,521184,0.0
2021-04-12,326.61,328.96,323.32,327.9,411697,0.0
2021-04-13,324.21,326.58,316.67,325.61,408609,0.0
2021-04-14,325.28,331.625,324.15,325.06,456338,0.0
2021-04-15,328.33,328.22,319.56,325.09,482343,0.0
2021-04-16,327.49,332.41,325.32,328.41,521721,0.0
2021-04-19,325.39,326.47,318.8252,324.59,627963,0.0
2021-04-20,322,322.3,304.3,310.6616,825300,0.0
2021-04-21,308.15,316.97,304.66,316.91,637503,0.0
2021-04-22,318.8,320,309.73,309.89,667845,0.0
2021-04-23,313.77,320.55,311.45,318.92,624650,0.0
2021-04-26,320.43,326.51,320.395,324.79,443693,0.0
2021-04-27,322.72,325.09,318.01,324.96,489058,0.0
2021-04-28,323.55,327.89,322.48,324.85,476405,0.0
2021-04-29,324.85,331.31,315.93,327.52,739609,0.0
2021-04-30,323.24,326.42,319.49,319.53,429145,0.0
2021-05-03,324.58,328.51,319.505,321.79,392469,0.0
