Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,218.4,219.82,216.2,218.73,5922463,69412,218.13558
2021-01-04,220.25,220.25,214.24,217.76,10318358,116734,216.933182
2021-01-05,216.31,218.46,213.64,214.51,6869718,93568,215.142441
2021-01-06,213.8,216.17,212.07,212.62,7206251,110337,214.000573
2021-01-07,212.2,215.22,212.2,213.81,10967977,94865,214.011984
2021-01-08,214.17,216.12,212.75,215.45,6513279,77265,214.81481
2021-01-11,214.0,214.86,212.48,212.89,7354597,65965,213.433347
2021-01-12,212.34,212.79,207.47,208.86,9384531,109770,209.264094
2021-01-13,209.41,211.0,208.63,209.35,6688464,80021,209.7488
2021-01-14,210.57,211.21,201.73,201.86,12987494,171095,204.197675
2021-01-15,201.54,203.26,200.425,201.59,8755050,103675,201.707317
2021-01-19,203.05,204.165,200.07,201.66,9772120,119777,201.847064
2021-01-20,202.93,207.19,202.23,206.01,12675730,131781,205.761423
2021-01-21,206.05,207.1727,204.75,205.14,6517952,85663,205.749
2021-01-22,203.99,205.33,201.8,202.02,7316201,92936,203.185722
2021-01-25,200.02,201.64,195.75,200.98,19282384,201356,199.648477
2021-01-26,201.76,203.49,200.9701,202.01,9605271,114269,202.273572
2021-01-27,197.64,199.7,193.96,194.97,13772435,182951,196.174331
2021-01-28,200.0,202.0,198.17,198.22,11041253,132724,199.793107
2021-01-29,197.73,203.05,192.81,193.25,21503115,189036,195.12221
2021-02-01,195.14,199.21,195.02,198.36,12970700,141500,197.690531
2021-02-02,200.85,204.35,200.0,202.61,11305053,133727,203.188077
2021-02-03,203.07,203.51,200.98,201.36,13458769,103312,201.855594
2021-02-04,203.42,209.68,203.1,209.25,14534751,142263,208.179013
2021-02-05,210.0,210.13,208.66,208.77,10283954,116002,209.41523
2021-02-08,210.0,210.65,205.91,206.89,8637956,108828,207.705323
2021-02-09,205.76,207.63,203.7,206.52,7619469,97601,206.53118
2021-02-10,207.97,207.97,205.94,206.44,8467602,106062,206.726526
2021-02-11,207.33,211.59,207.19,210.66,8411093,99840,209.892776
2021-02-12,209.36,211.13,207.68,209.96,6911014,85221,209.746216
2021-02-16,211.01,211.05,207.35,207.9,9652749,89756,208.560215
2021-02-17,205.26,208.28,205.0627,207.51,8375014,84057,207.108459
2021-02-18,205.88,209.7,204.96,209.35,7329289,82483,208.236638
2021-02-19,209.38,209.53,203.76,204.73,15011520,138046,205.20052
2021-02-22,203.55,210.65,203.11,208.32,8337693,109211,207.620971
2021-02-23,207.4,213.91,206.55,212.11,10571717,142857,210.875784
2021-02-24,212.36,220.53,211.2888,219.43,12038951,153239,217.266204
2021-02-25,219.29,220.445,212.58,213.75,11404326,142732,215.04742
2021-02-26,214.05,215.21,210.74,212.39,11748882,110553,212.890358
2021-03-01,215.07,217.8,214.79,216.63,6982504,100645,216.608776
2021-03-02,216.96,217.93,214.82,215.77,6155185,80495,216.1895
2021-03-03,215.01,217.19,212.86,214.85,6484606,97849,215.118682
2021-03-04,215.97,217.02,208.67,211.5,10659130,145753,212.756875
2021-03-05,213.73,216.1,209.63,215.41,7582153,103934,213.831544
2021-03-08,216.98,226.13,215.81,220.27,14750387,160993,221.301778
2021-03-09,222.35,225.0,220.19,220.36,9228589,112216,222.113837
2021-03-10,220.84,224.185,219.4,223.17,7822898,102570,221.873887
2021-03-11,224.53,228.2298,223.81,226.15,10053421,110980,226.654176
2021-03-12,225.28,226.54,223.4201,224.36,8172397,86137,224.501302
2021-03-15,224.23,227.085,221.7407,223.27,9310433,84833,223.308981
2021-03-16,223.71,225.58,222.295,224.7,8949421,82642,224.338079
2021-03-17,225.05,226.24,221.76,223.02,8675616,102191,223.458516
2021-03-18,221.44,222.52,219.58,220.66,9323075,105115,220.851001
2021-03-19,219.12,220.1689,206.88,206.9,32215306,335738,210.203592
2021-03-22,206.23,212.29,206.23,208.0,11371704,147636,208.970459
2021-03-23,209.05,209.96,207.5,208.15,8820747,106004,208.539739
2021-03-24,208.75,211.14,207.93,208.07,10104172,109400,209.024467
2021-03-25,207.67,208.82,205.78,207.97,8390862,93589,207.802897
2021-03-26,208.25,213.7,207.7,213.53,7405827,95963,211.479658
2021-03-29,212.45,215.29,211.12,214.51,7792286,89470,214.041438
2021-03-30,213.01,214.15,211.41,211.9,5497997,72091,212.479446
2021-03-31,212.55,214.11,211.545,211.73,13187462,97992,212.161878
2021-04-01,213.87,217.74,212.3,216.86,6122804,96054,216.123119
2021-04-05,218.6,220.51,217.3088,219.04,10430657,82849,219.141871
2021-04-06,217.62,219.4,215.34,218.65,8799268,76852,218.521916
