Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,36.75,37.455,36.55,37.26,7669797,53056,37.20101
2021-01-04,37.3,37.76,36.31,36.6,12491900,81284,36.810934
2021-01-05,36.65,37.04,36.2066,36.99,13060547,71603,36.729342
2021-01-06,37.85,40.74,37.56,40.2,20360698,112650,39.686031
2021-01-07,39.93,40.38,39.35,40.12,13140239,67897,39.914076
2021-01-08,40.01,40.21,39.53,40.06,11159548,51157,39.977966
2021-01-11,39.6,41.17,39.44,41.06,7253457,44667,40.794143
2021-01-12,41.36,42.59,41.21,41.78,12470233,74760,42.006122
2021-01-13,41.62,43.43,41.41,43.12,14474992,67183,42.920341
2021-01-14,43.12,46.86,42.91,46.0,29731268,114782,45.639097
2021-01-15,45.59,46.315,44.85,45.3,11513532,72212,45.413944
2021-01-19,44.12,44.5,43.341,43.75,21068792,71772,43.769973
2021-01-20,43.94,44.24,42.89,43.36,13048785,55839,43.359511
2021-01-21,44.0,45.74,43.6233,45.11,24199708,78226,45.051254
2021-01-22,44.52,45.82,43.63,45.58,14450458,67733,44.957894
2021-01-25,45.42,51.29,45.33,47.71,24139021,146539,48.408457
2021-01-26,48.34,52.3,48.09,51.92,18865871,108402,50.302095
2021-01-27,52.13,60.73,52.1,56.0,45159404,221288,55.430636
2021-01-28,55.07,56.17,48.2185,50.605,29765810,162918,50.857669
2021-01-29,51.0,53.28,48.385,48.5,23340813,145035,50.119873
2021-02-01,48.76,52.54,48.46,52.33,18855047,109154,51.222767
2021-02-02,51.1,52.07,49.77,50.26,17683401,99446,50.443283
2021-02-03,50.15,52.37,49.01,52.06,13255545,61444,51.643316
2021-02-04,50.34,52.12,49.5,52.06,18810999,82834,51.070906
2021-02-05,51.83,54.88,50.93,54.04,15575297,62577,53.993407
2021-02-08,53.1,55.34,52.58,54.5,16656715,55305,54.428705
2021-02-09,54.15,55.42,52.5434,55.03,7948532,52670,54.749215
2021-02-10,54.89,57.2,54.49,56.57,13028428,56154,56.366415
2021-02-11,56.74,57.76,56.35,57.2,8545700,44182,57.175383
2021-02-12,57.48,58.95,56.78,58.31,11072463,62470,58.415351
2021-02-16,58.23,59.66,57.3552,59.14,14584497,60747,59.013734
2021-02-17,58.98,61.41,58.46,61.0,10105814,67883,60.561311
2021-02-18,62.0,63.06,61.43,62.15,14248900,82392,62.288985
2021-02-19,62.18,63.73,62.18,62.69,14426553,69585,62.749599
2021-02-22,63.71,67.2,63.4,66.14,21760632,87624,65.967841
2021-02-23,66.54,67.12,63.34,64.37,18355040,100742,64.360815
2021-02-24,63.68,66.19,63.57,65.6,17322484,72280,65.435451
2021-02-25,66.4,67.85,61.8,62.5,25151206,144703,64.151538
2021-02-26,62.0,64.875,61.0,64.49,16360349,102937,63.677894
2021-03-01,64.8,67.98,64.6,67.13,13426920,61327,66.994952
2021-03-02,67.31,69.37,66.79,68.72,14417517,67835,68.53187
2021-03-03,69.13,72.45,69.01,70.91,17460149,97261,70.922257
2021-03-04,70.54,72.59,70.01,71.88,21489348,126831,71.561524
2021-03-05,71.1,74.76,69.77,74.24,14159034,109628,73.226567
2021-03-08,74.76,84.94,74.11,83.66,21341109,142402,81.043991
2021-03-09,83.72,84.6,77.102,79.66,23611952,159841,79.946351
2021-03-10,79.99,83.47,78.81,82.89,22507039,108205,82.052598
2021-03-11,83.19,87.38,82.77,86.28,22370994,105716,86.110702
2021-03-12,85.88,95.27,85.88,94.94,38020772,195733,93.926289
2021-03-15,94.51,101.97,93.77,96.33,32037526,236708,97.671535
2021-03-16,97.26,99.16,94.21,96.24,29110160,169185,96.639593
2021-03-17,94.52,95.28,86.165,92.34,34706310,253430,90.215976
2021-03-18,90.58,98.13,90.1501,96.76,31802315,163239,95.899737
2021-03-19,95.63,98.6,95.41,97.35,33519341,122625,97.414804
2021-03-22,99.26,100.42,96.21,100.34,20400784,90289,99.808054
2021-03-23,92.71,96.34,90.3,91.25,37782599,273750,92.841076
2021-03-24,84.15,85.0,70.0,70.1,89863801,542934,75.777294
2021-03-25,66.26,70.19,64.52,66.35,44339723,319675,67.172064
2021-03-26,65.76,66.2733,39.81,48.23,217140945,1189023,49.291539
2021-03-29,47.0,48.0,43.0,45.01,214074475,953013,45.763263
2021-03-30,46.77,48.39,45.16,46.61,151076194,679897,46.771983
2021-03-31,46.9,46.98,43.77,45.1,92028578,520152,45.003286
2021-04-01,45.61,46.24,43.9314,44.64,59489979,331908,44.873147
2021-04-05,44.59,44.75,42.295,42.9,68073260,306467,43.109828
2021-04-06,42.04,45.355,41.95,44.35,125279031,520234,44.090849
2021-04-07,45.9,46.2,43.69,43.89,84563296,402191,44.630506
2021-04-08,43.86,44.36,42.115,42.29,58344407,285403,42.859133
2021-04-09,42.35,43.1,41.16,41.88,49496601,261291,41.913552
2021-04-12,42.15,42.68,39.655,39.74,50448186,271174,40.766363
2021-04-13,40.33,41.46,39.8,40.45,29765744,175302,40.722498
2021-04-14,40.94,41.98,40.18,40.22,35589028,200967,40.96322
2021-04-15,40.45,40.67,38.96,39.2,33881157,198505,39.633261
2021-04-16,39.33,39.95,38.8,39.32,31366721,157681,39.326956
2021-04-19,39.5,39.94,37.91,38.39,37639579,186382,38.526482
2021-04-20,38.64,39.24,37.325,37.91,39663602,194565,38.044832
2021-04-21,37.63,40.91,37.54,40.87,48616612,209412,39.830878
2021-04-22,42.37,42.57,40.43,40.73,60620061,236278,41.134825
2021-04-23,40.88,41.99,40.68,41.71,40944468,146109,41.4073
2021-04-26,42.44,42.52,41.01,41.82,30493509,122430,41.651431
2021-04-27,41.93,43.34,41.82,42.81,33712135,164743,42.816575
2021-04-28,42.93,42.96,41.38,41.43,27444885,152304,41.987012
2021-04-29,41.72,42.39,40.68,41.5,22356797,125492,41.492052
2021-04-30,41.35,41.79,40.712,41.02,20543983,90682,41.139217
2021-05-03,40.96,41.09,39.39,39.66,34051488,158289,39.896366
2021-05-04,39.34,39.98,38.58,39.965,20418206,114171,39.381739
2021-05-05,39.98,40.37,39.0,39.1,24738055,112925,39.389848
2021-05-06,40.22,40.48,37.57,38.14,42058252,223642,38.555885
2021-05-07,38.5,39.74,38.05,39.39,25495456,141959,39.254834
2021-05-10,39.55,40.09,38.86,39.27,18918166,119184,39.516626
2021-05-11,38.15,39.52,37.9501,39.48,21162061,112363,38.907097
2021-05-12,39.52,40.67,39.0,39.08,20627962,124024,39.66667
2021-05-13,39.15,40.27,38.1,38.5,19577141,125228,39.05282
2021-05-14,38.94,39.34,38.2,38.9,16545622,105176,38.827339
2021-05-17,40.24,40.72,38.22,38.41,33202192,193136,39.085548
2021-05-18,38.85,40.72,38.77,40.16,29181641,164316,40.056589
2021-05-19,39.43,39.93,38.92,39.69,19408880,129361,39.513412
2021-05-20,41.68,41.89,40.49,41.52,36243717,192498,41.199978
2021-05-21,41.71,42.5,41.24,42.15,27098112,142171,42.051491
2021-05-24,42.26,42.32,41.08,41.54,19468586,107258,41.601422
2021-05-25,41.95,42.215,40.655,40.9,15310674,94483,41.304806
2021-05-26,41.23,42.66,41.02,42.46,18655912,110692,42.085334
2021-05-27,42.8,43.55,42.2,43.15,22190966,122377,42.997232
2021-05-28,43.22,43.26,42.26,42.42,14555534,88968,42.578837
2021-06-01,42.85,43.24,42.43,42.6,11162133,73338,42.700057
2021-06-02,43.0,43.34,41.94,42.58,20985855,109693,42.482204
2021-06-03,42.22,42.42,41.16,41.58,18450712,107111,41.674907
2021-06-04,41.67,42.07,41.315,41.7,11104490,71039,41.628217
2021-06-07,41.99,42.1,41.38,41.74,8997671,61030,41.626494
2021-06-08,41.69,42.165,41.11,41.68,12402595,79535,41.625298
2021-06-09,41.59,42.985,41.37,42.25,15494367,93261,42.332929
2021-06-10,42.52,42.69,41.22,41.51,12067958,81857,41.726566
2021-06-11,41.74,42.41,41.29,42.35,11254416,76290,41.874511
2021-06-14,42.09,43.08,41.9586,42.63,13857916,89531,42.432221
2021-06-15,42.51,43.0,41.31,41.67,19306248,113065,41.788182
2021-06-16,41.6,42.175,41.31,41.81,12523015,89928,41.689847
2021-06-17,41.7,42.031,39.86,40.19,21876218,133446,40.489477
2021-06-18,39.97,40.26,39.435,40.03,24587292,118483,39.898197
2021-06-21,40.26,41.0,39.564,40.96,14003822,91054,40.517122
2021-06-22,40.92,41.07,40.34,40.75,8505660,55010,40.649309
2021-06-23,40.76,42.97,40.635,41.84,29013268,154946,41.906043
2021-06-24,41.73,43.23,41.68,42.87,16995576,101307,42.644875
2021-06-25,43.0,43.98,42.56,43.82,15495014,94752,43.508549
2021-06-28,44.35,47.455,44.31,46.0,43413072,239815,46.107145
2021-06-29,46.02,46.3,44.59,44.63,18650955,115040,45.239862
2021-06-30,44.5,45.34,43.92,45.2,12843051,78479,44.740335
2021-07-01,45.34,45.87,44.575,44.95,13597007,82745,45.127283
2021-07-02,44.95,45.13,43.8101,44.16,10026692,73249,44.259626
2021-07-06,44.0,44.03,42.1082,42.87,14019683,92296,42.759595
2021-07-07,43.0,43.18,42.06,42.8,9840530,64911,42.684848
2021-07-08,41.86,42.0799,40.69,41.46,15635351,102481,41.498823
2021-07-09,41.86,42.85,41.56,42.77,10039471,66537,42.377088
2021-07-12,42.49,44.23,41.843,43.44,17102517,107775,43.1214
2021-07-13,43.13,43.56,42.53,42.58,9424854,69171,43.016723
2021-07-14,42.99,43.04,41.69,41.89,11232497,64264,42.190154
2021-07-15,41.79,42.45,40.9341,41.29,9666883,67869,41.592921
2021-07-16,41.38,41.5218,40.07,40.29,10827277,73492,40.680631
2021-07-19,39.82,40.1352,39.173,39.87,12645196,100026,39.681286
2021-07-20,40.03,41.4,39.44,40.39,12763347,89666,40.082319
2021-07-21,40.54,41.74,40.5,41.3,8977591,65221,41.304166
2021-07-22,41.35,41.36,40.27,40.87,6259118,48117,40.690532
2021-07-23,40.98,41.13,40.4101,40.99,6549649,53062,40.86132
2021-07-26,41.03,42.22,40.92,42.16,12281610,95578,41.759821
2021-07-27,41.78,42.04,40.91,41.34,7618293,58584,41.312854
2021-07-28,41.4,42.17,40.72,41.65,9438619,75622,41.394606
2021-07-29,41.55,42.45,41.5,41.69,6826727,54712,41.938011
2021-07-30,41.43,41.885,40.76,40.93,8010936,59741,41.189628
2021-08-02,41.17,41.665,40.715,40.84,8854572,66996,41.066584
2021-08-03,40.89,40.99,38.04,38.47,34033447,214183,38.468763
2021-08-04,38.3,39.29,38.23,38.79,17034356,116136,38.771944
2021-08-05,38.77,41.6776,38.63,41.55,19422458,130788,40.882696
2021-08-06,41.77,42.11,41.3664,41.5,10606999,78180,41.757394
2021-08-09,41.32,41.35,40.18,40.29,12340746,80089,40.477408
2021-08-10,40.42,40.84,39.85,40.75,11872205,82728,40.412806
2021-08-11,40.8,41.04,40.18,40.82,8280981,59865,40.694126
2021-08-12,40.73,40.9313,39.755,39.96,8267987,55242,40.037236
2021-08-13,40.29,40.49,39.11,39.16,8985185,58441,39.639716
2021-08-16,39.07,39.07,38.15,38.52,9780009,65342,38.605503
2021-08-17,38.23,39.08,37.772,39.03,12924391,85973,38.55183
2021-08-18,39.96,41.63,39.44,40.47,20702794,135661,40.868156
2021-08-19,40.22,40.43,39.51,39.64,12374327,81246,39.872867
2021-08-20,39.6,40.02,39.22,39.71,10153308,64069,39.726301
2021-08-23,39.87,40.555,39.6,40.33,8197918,61249,40.172169
2021-08-24,40.41,40.99,40.315,40.7,8814455,54650,40.637555
2021-08-25,40.95,41.34,40.41,40.97,9382147,57098,40.852176
