Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-19,167.18,169.78,164.09,164.18,911032,0.0
2020-06-22,163.99,167.63,163.27,167.18,398097,0.0
2020-06-23,169.37,169.37,166.56,166.81,404622,0.0
2020-06-24,166.21,167.33,163.26,163.78,553274,0.0
2020-06-25,163.43,166.53,161.79,166.26,643686,0.0
2020-06-26,166.91,168.08,161.4,163,1014724,0.0
2020-06-29,163.27,164.53,161.1,164.34,410772,0.0
2020-06-30,164.08,171.1,162.92,170.23,854682,0.0
2020-07-01,169.23,173.19,168.48,172.38,658992,0.0
2020-07-02,173.51,174.29,171.75,173.1,785478,0.0
2020-07-06,175.57,176.48,172.0746,173.48,798994,0.0
2020-07-07,172.73,175.8,169.84,172.98,714198,0.0
2020-07-08,174.83,174.83,171.145,172.83,586701,0.0
2020-07-09,172.49,173.99,170.58,173.2,622012,0.0
2020-07-10,173.6,174.29,170.71,174.25,397552,0.0
2020-07-13,175.21,176.445,172.05,172.97,533750,0.0
2020-07-14,171.06,174.83,169.71,174.59,646664,0.0
2020-07-15,175.6,176.1,173.255,175.38,715454,0.0
2020-07-16,175.37,176.07,173.84,175.44,483493,0.0
2020-07-17,176.12,178.55,175.18,178.47,404525,0.0
2020-07-20,178,182.55,178,181.6,567925,0.0
2020-07-21,181.83,182.05,180.06,180.68,551296,0.0
2020-07-22,181.32,181.82,180.14,181.3,395795,0.0
2020-07-23,181.24,183.92,179.2374,180.53,613886,0.0
2020-07-24,180.94,181.32,179.35,179.9,332557,0.0
2020-07-27,181.14,183.45,181.095,183.26,566634,0.0
2020-07-28,183.35,184.76,181.39,182.51,679977,0.0
2020-07-29,182.8,188.39,182.8,187.65,666317,0.0
2020-07-30,185.74,187.46,184,187.13,388138,0.0
2020-07-31,187.9,188.75,184.845,188.61,368611,0.0
2020-08-03,188.85,189.995,186.7,186.95,584117,0.0
2020-08-04,187.25,188.61,185.89,187.44,907433,0.0
2020-08-05,188.26,188.84,184.48,186.71,535236,0.0
2020-08-06,187.49,189.94,186.835,189.51,545816,0.0
2020-08-07,188.91,191.205,188.44,191.07,496507,0.0
2020-08-10,190.2,190.73,188.93,189.75,437643,0.0
2020-08-11,190.77,190.77,187.2,187.91,379813,0.0
2020-08-12,188.46,192.4,187.89,190.37,449197,0.0
2020-08-14,190.74,191.97,188.47,189.14,235674,0.0
2020-08-17,189.59,191.2,188.119,189.09,526390,0.0
2020-08-18,189,189.535,188.25,189.13,393209,0.0
2020-08-19,189.63,189.9,186.71,187.21,341440,0.0
2020-08-20,186.23,187.26,185.74,186.02,490035,0.0
2020-08-21,185.24,186.06,184.28,185.63,548622,0.0
2020-08-24,186.06,186.24,184.52,185.02,465733,0.0
2020-08-25,186.32,186.32,184.2187,185.92,733493,0.0
2020-08-26,185.16,187.06,184.35,186.36,654982,0.0
2020-08-27,187.39,188.49,185.52,186.52,622270,0.0
2020-08-28,186.38,187.43,184.7,187.35,763461,0.0
2020-08-31,187.02,187.2,184.81,186.53,686065,0.0
2020-09-01,186.38,188.08,185.36,187.69,506752,0.0
2020-09-02,188.3,193.61,188.01,192.76,667549,0.0
2020-09-03,192.58,192.77,185.61,187.42,738306,0.0
2020-09-04,188.3,189.62,181.69,182.76,588418,0.0
2020-09-08,181.47,181.47,177.56,178.1,733752,0.0
2020-09-09,179.34,184.25,178.855,182.99,635666,0.0
2020-09-10,183.36,184.65,180.47,181.5,515372,0.0
2020-09-11,181.76,183.97,179.25,181.65,435654,0.0
2020-09-14,182.94,186.075,182.12,185.08,485357,0.0
2020-09-15,186.32,187.93,185.305,187.82,473390,0.0
2020-09-16,189.48,189.77,186.58,186.79,325978,0.0
2020-09-17,184.85,186.06,182.01,184.89,503889,0.0
2020-09-18,183.28,185.05,180.07,181.53,797244,0.0
2020-09-21,180.14,180.37,176.39,178.76,491291,0.0
2020-09-22,179.52,180.76,178.06,180.36,391335,0.0
2020-09-23,181.09,181.09,176.56,177.08,327657,0.0
2020-09-24,176.17,178.78,175.37,177.23,297249,0.0
2020-09-25,176.96,181.73,175.76,181.33,368379,0.0
2020-09-28,183.33,185.08,182.96,184.56,389881,0.0
2020-09-29,185.02,188.03,184.36,184.37,754512,0.0
2020-09-30,184.7,186.7,183.185,185.31,620539,0.0
2020-10-01,185.73,188.73,184.925,185.64,615008,0.0
2020-10-02,182.64,184.74,180.725,182.1,452610,0.0
2020-10-05,183.08,183.565,180.52,181.65,248820,0.0
2020-10-06,181.58,183.02,179.5,179.94,307210,0.0
2020-10-07,181.71,183.22,180.81,182.92,332154,0.0
2020-10-08,184.42,185.225,182.3,184.96,319825,0.0
2020-10-09,185.94,188.03,184.88,187.09,436327,0.0
2020-10-12,189.59,193.69,188.79,192.71,691898,0.0
2020-10-13,192.36,195.1,192.34,193.65,412415,0.0
2020-10-14,193.49,195.02,191.17,191.7,314438,0.0
2020-10-15,189.76,192.53,189.2,191.91,242165,0.0
2020-10-16,192.56,194.96,191.23,192.5,244906,0.0
2020-10-19,192.17,194.21,187.57,188.51,307476,0.0
2020-10-20,189.57,192.45,188.39,190.32,331453,0.0
2020-10-21,189.23,191.4,188.6608,189.28,330711,0.0
2020-10-22,189.82,190.18,188.045,188.87,254564,0.0
2020-10-23,189.24,190.925,187.33,189.25,294129,0.0
2020-10-26,187.49,188.26,184.095,185.5899,345131,0.0
2020-10-27,186.17,187.3,184.7,185.08,336238,0.0
2020-10-28,182.39,183.69,178.91,179.49,365792,0.0
2020-10-29,174.8166,181.43,174.8166,179.13,439452,0.0
2020-10-30,178.21,179.81,175.44,178.04,524610,0.0
2020-11-02,180.51,183.68,180.51,182.15,443231,0.0
2020-11-03,184.35,189.13,184.35,187.95,469355,0.0
2020-11-04,191.49,197.56,189.56,196.58,924045,0.0
2020-11-05,200.31,204.85,192.24,194.43,753258,0.0
2020-11-06,196.46,198.12,195.165,197.36,346062,0.0
2020-11-09,204.63,206.43,195.965,196.11,619162,0.0
2020-11-10,193.74,196.76,192.77,195.12,423438,0.0
2020-11-11,196.75,200.37,194.0879,199.69,386510,0.0
2020-11-12,199.42,200.96,197.6,199.06,248830,0.0
2020-11-13,200.36,203.9,200.36,203.85,463638,0.0
2020-11-16,204.35,205.79,203.49,205.48,352541,0.0
2020-11-17,204.08,206.26,203.305,205.29,376766,0.0
2020-11-18,205.58,206.05,203.67,203.88,291320,0.0
2020-11-19,203.9,206.83,201.71,205.74,331807,0.0
2020-11-20,204.02,206.34,203.43,204.26,402659,0.0
2020-11-23,203.92,204.3,197.82,198.04,702509,0.0
2020-11-24,197.88,199.43,194.47,194.47,759982,0.0
2020-11-25,195.64,197.76,194.3,195.59,653224,0.0
2020-11-27,197.99,198.76,195.01,198.16,286421,0.0
2020-11-30,197.77,201.15,196.34,198.25,839424,0.0
2020-12-01,202.05,202.995,199.38,200.151,870620,0.0
2020-12-02,199.68,201.08,195.31,195.99,822612,0.0
2020-12-03,195.5,198.04,193.5,193.85,490597,0.0
2020-12-04,194.65,196.2,194.11,195.67,384221,0.0
2020-12-07,195.22,196.08,194.03,194.44,297022,0.0
2020-12-08,194.25,195.89,193.71,194.83,370267,0.0
2020-12-09,194.83,196.52,191.47,193.39,386854,0.0
2020-12-10,193.24,193.64,191.465,192.15,385147,0.0
2020-12-11,192.21,194.21,191.33,194.08,260313,0.0
2020-12-14,194.14,197.73,194.03,194.77,328884,0.0
2020-12-15,196.02,198.68,194.45,196.15,417105,0.0
2020-12-16,197.26,198.03,195.26,195.91,415160,0.0
2020-12-17,197.61,201.26,197.39,201.23,547719,0.0
2020-12-18,201.77,204.97,201.03,204.61,617854,0.0
2020-12-21,201.69,203.34,198.27,202.77,407475,0.0
2020-12-22,201.53,202.7176,200.81,201.93,403195,0.0
2020-12-23,202.73,203.095,199.9,200.08,277084,0.0
2020-12-24,200.3,201.78,199.951,201.23,115860,0.0
2020-12-28,203.33,208.75,202.521,207.98,839836,0.0
2020-12-29,209.64,210.66,205.125,205.66,348706,0.0
2020-12-30,205.39,207.22,205.14,205.79,263977,0.0
2020-12-31,206.04,207.79,205.21,207.549,215796,0.0
2021-01-04,207.6,209.67,202.09,202.89,564648,0.0
2021-01-05,203.33,204.45,200.11,201.83,390621,0.0
2021-01-06,199.86,202.68,198.94,200.08,627107,0.0
2021-01-07,201.58,202.96,199.31,200.97,563605,0.0
2021-01-08,201.25,202.05,199.6,200.84,464919,0.0
2021-01-11,200.58,200.78,197.4,197.93,350531,0.0
2021-01-12,197.27,197.97,193.78,196.62,385993,0.0
2021-01-13,196.83,198.69,195.92,196.77,535598,0.0
2021-01-14,197.38,197.8,192.25,193.95,560986,0.0
2021-01-15,192.34,193.16,188.74,190.02,1041624,0.0
2021-01-19,189.39,192.6,189.39,191.34,489822,0.0
2021-01-20,192.23,195.82,191.22,194.71,544921,0.0
2021-01-21,193.14,196.1591,193.07,194.88,464521,0.0
2021-01-22,194.23,194.79,191.74,192.77,403664,0.0
2021-01-25,192.79,192.79,188.3401,188.67,1091961,0.0
2021-01-26,187.61,190.385,185.99,188.5,931371,0.0
2021-01-27,187.36,188.03,183.245,184.27,631992,0.0
2021-01-28,183.53,189.41,182.7,186.29,645254,0.0
2021-01-29,185.5,185.89,182.52,183.43,598111,0.0
2021-02-01,184.3,187.11,183.73,185.76,561592,0.0
2021-02-02,186.23,189.21,185.3,188.7,694694,0.0
2021-02-03,187.73,188.36,185.61,186.87,454390,0.0
2021-02-04,187.5,189.48,186.51,188.39,432704,0.0
2021-02-05,188.86,189.41,187.13,187.42,452985,0.0
2021-02-08,187.78,188.95,187.03,188.86,503438,0.0
2021-02-09,189.26,191.13,189.17,190.51,351032,0.0
2021-02-10,192.08,192.32,189.51,190.62,375483,0.0
2021-02-11,191.62,192,188.86,189.25,470004,0.0
2021-02-12,189.94,190.045,188.3,189.33,556297,0.0
2021-02-16,189,190.43,188.21,188.28,640725,0.0
2021-02-17,187.56,188.775,186.58,188.6,834656,0.0
2021-02-18,188.54,192.74,188.46,192,536821,0.0
2021-02-19,191.93,192.49,189.685,190.39,698475,0.0
