Date,Open,High,Low,Close,Volume,OpenInterest
2020-11-17,15.39,17.93,15.3,16.47,47802133,0.0
2020-11-18,16.46,16.99,15.95,16.2,29347437,0.0
2020-11-19,16,18.2,15.99,18.15,27909640,0.0
2020-11-20,18.4,18.42,17,17.14,34197488,0.0
2020-11-23,17.2355,17.25,16.5,16.77,18563403,0.0
2020-11-24,16.735,17,16.29,16.9,21292233,0.0
2020-11-25,16.68,17.31,16.55,17.07,14565440,0.0
2020-11-27,17.1,17.37,16.9,17.05,7259518,0.0
2020-11-30,17.03,17.16,16.8,16.82,13497710,0.0
2020-12-01,16.88,17.15,16.74,17.01,12707676,0.0
2020-12-02,16.9342,17.27,16.84,17.13,20853477,0.0
2020-12-03,17.1358,17.47,16.94,17.38,14725938,0.0
2020-12-04,17.33,17.7,17.25,17.6,15338579,0.0
2020-12-07,17.61,18,17.52,17.57,9180141,0.0
2020-12-08,17.41,17.93,17.405,17.84,8277182,0.0
2020-12-09,17.85,17.975,17.5,17.53,11025753,0.0
2020-12-10,17.32,17.85,17.3,17.69,8481321,0.0
2020-12-11,17.5,17.75,17.08,17.34,14230989,0.0
2020-12-14,17.34,17.53,17.08,17.33,15484710,0.0
2020-12-15,17.4,17.87,17.2,17.73,11581590,0.0
2020-12-16,17.62,18.27,17.56,17.86,12260632,0.0
2020-12-17,17.75,17.89,17.55,17.7,10303910,0.0
2020-12-18,17.7,17.8,17.515,17.74,9491791,0.0
2020-12-21,17.4,17.55,17.25,17.39,9841679,0.0
2020-12-22,17.43,17.84,17.27,17.77,7329242,0.0
2020-12-23,17.7467,18.04,17.66,17.88,5267370,0.0
2020-12-24,17.8,17.92,17.67,17.81,1756705,0.0
2020-12-28,17.8561,17.88,17.62,17.75,4510348,0.0
2020-12-29,17.6607,17.8,17.52,17.75,4399909,0.0
2020-12-30,17.61,18.18,17.58,18.13,9501349,0.0
2020-12-31,18.22,18.86,18.03,18.73,13204472,0.0
2021-01-04,18.66,18.77,18.21,18.56,11080491,0.0
2021-01-05,18.49,18.605,17.81,18.1,10959594,0.0
2021-01-06,18.17,18.675,18.1,18.5,7020755,0.0
2021-01-07,18.52,18.69,18.36,18.52,5688195,0.0
2021-01-08,18.42,18.6,18.03,18.31,5797571,0.0
2021-01-11,18.2,18.66,18.12,18.47,5405585,0.0
2021-01-12,18.45,18.67,18.2,18.24,6217716,0.0
2021-01-13,18.27,18.71,18.2,18.38,7081310,0.0
2021-01-14,18.3373,18.355,16.75,17.33,43564385,0.0
2021-01-15,17.11,17.2,16.7318,17.04,17757667,0.0
2021-01-19,17.26,17.56,17.08,17.435,9917627,0.0
2021-01-20,17.45,17.71,17.31,17.69,9143494,0.0
2021-01-21,17.36,17.62,16.8,17.31,13246928,0.0
2021-01-22,17.244,17.52,17.1,17.43,5095884,0.0
2021-01-25,17.26,17.4,17.125,17.23,7148061,0.0
2021-01-26,17.2,17.36,17.08,17.09,5477091,0.0
2021-01-27,17,17.17,16.61,16.86,13077466,0.0
2021-01-28,16.9,17.445,16.84,17.19,8175620,0.0
2021-01-29,17.25,17.58,16.9,16.99,6985147,0.0
2021-02-01,17.15,17.58,17.03,17.445,8044619,0.0
2021-02-02,17.57,17.75,17.36,17.38,8326347,0.0
2021-02-03,17.3,18.38,17.3,18.08,14424612,0.0
2021-02-04,18.11,18.28,17.71,17.99,6505204,0.0
2021-02-05,18.02,18.075,17.64,17.9,6574612,0.0
2021-02-08,17.99,18.04,17.715,17.99,6779354,0.0
2021-02-09,17.85,18.55,17.84,18.47,6178292,0.0
2021-02-10,18.53,18.67,18.21,18.4,6709016,0.0
2021-02-11,18.22,18.44,18.07,18.25,4977586,0.0
2021-02-12,18.1,18.4,18.03,18.23,3631618,0.0
2021-02-16,18.35,18.39,18.09,18.34,4365705,0.0
2021-02-17,18.2804,18.545,18.17,18.53,4153656,0.0
2021-02-18,18.61,18.68,18.25,18.26,6038805,0.0
2021-02-19,18.22,18.48,18.16,18.22,9864869,0.0
2021-02-22,16.547,16.8,15.49,15.495,37175751,0.0
2021-02-23,15.74,15.77,14.93,15.215,20889598,0.0
2021-02-24,15.33,15.47,14.94,15.29,13717756,0.0
2021-02-25,15.29,15.38,14.855,15.05,15118065,0.0
2021-02-26,14.93,15,14.56,14.84,13778007,0.0
2021-03-01,15.049,15.3,14.615,14.73,10409031,0.0
2021-03-02,14.55,14.7,14.135,14.28,15474975,0.0
2021-03-03,14.17,14.24,13.5308,13.89,22540495,0.0
2021-03-04,13.6707,13.8,13.31,13.6,17677993,0.0
2021-03-05,13.69,13.99,13.36,13.91,12379655,0.0
2021-03-08,13.76,14.05,13.68,13.83,10698290,0.0
2021-03-09,13.93,14.215,13.71,13.93,10005460,0.0
2021-03-10,14.05,14.23,13.83,14.07,7726459,0.0
2021-03-11,14.13,14.22,13.92,14.1,7573230,0.0
2021-03-12,14.07,14.385,13.9882,14.35,6787772,0.0
2021-03-15,14.27,14.685,14.23,14.67,8946972,0.0
2021-03-16,14.67,14.73,14.4435,14.52,7811713,0.0
2021-03-17,14.43,15.1,14.42,15.08,9572371,0.0
2021-03-18,14.97,15.03,14.5,14.59,8841105,0.0
2021-03-19,14.66,14.88,14.5273,14.78,6535384,0.0
2021-03-22,14.91,14.935,14.6301,14.8,6096930,0.0
2021-03-23,14.75,14.75,14.115,14.18,7911941,0.0
2021-03-24,14.12,14.22,13.9413,14.01,8708618,0.0
2021-03-25,14.15,14.15,13.9232,14.03,8500929,0.0
2021-03-26,14.12,14.44,14.02,14.36,5079643,0.0
2021-03-29,14.28,14.42,14.17,14.33,4994638,0.0
2021-03-30,14.28,14.32,13.945,14.16,8033219,0.0
2021-03-31,14.095,14.28,13.89,13.98,11013329,0.0
2021-04-01,13.95,14.08,13.86,13.895,6114436,0.0
2021-04-05,13.92,14.16,13.86,14.06,6706646,0.0
2021-04-06,13.95,14.1,13.79,13.83,6501021,0.0
2021-04-07,13.87,13.88,13.36,13.4,16074432,0.0
2021-04-08,13.41,13.49,13.11,13.3,10293956,0.0
2021-04-09,13.3,13.405,13.21,13.4,8118919,0.0
2021-04-12,13.43,13.44,13.2,13.27,6913363,0.0
2021-04-13,13.25,13.295,12.94,12.98,10667123,0.0
2021-04-14,13.02,13.36,13.01,13.22,7442865,0.0
2021-04-15,13.21,13.43,13.1529,13.28,6578209,0.0
2021-04-16,13.39,13.47,13.13,13.41,7038882,0.0
2021-04-19,13.41,13.53,13.22,13.255,7683981,0.0
2021-04-20,13.16,13.21,12.97,13.11,6523758,0.0
2021-04-21,13.09,13.31,12.99,13.3,6884080,0.0
2021-04-22,13.31,13.6,13.289,13.36,7088644,0.0
2021-04-23,13.39,13.455,13.215,13.36,4122542,0.0
2021-04-26,13.4,13.68,13.39,13.55,5078164,0.0
2021-04-27,13.53,13.59,13.19,13.29,16820338,0.0
2021-04-28,13.3,13.52,13.28,13.47,5756293,0.0
2021-04-29,13.53,13.66,13.23,13.36,7108802,0.0
2021-04-30,13.38,13.52,13.26,13.3,5072754,0.0
2021-05-03,13.25,13.55,13.19,13.5,5579139,0.0
2021-05-04,13.48,13.64,13.26,13.41,9313877,0.0
2021-05-05,13.42,13.7,13.3,13.63,9963823,0.0
2021-05-06,13.62,13.94,13.435,13.93,10428475,0.0
2021-05-07,13.85,14.1,13.78,14.06,9484829,0.0
2021-05-10,14.89,15.475,14.8,15.04,27135797,0.0
2021-05-11,14.92,15.5,14.85,15.14,10078327,0.0
2021-05-12,15.2,15.855,15.17,15.71,18029176,0.0
2021-05-13,15.59,16.05,15.55,15.94,9986338,0.0
2021-05-14,16,16.1,15.75,16,7800950,0.0
2021-05-17,15.98,16.29,15.95,16.17,10163221,0.0
2021-05-18,16.1,16.15,15.8,16.05,7572291,0.0
2021-05-19,15.94,15.95,15.45,15.5,9631237,0.0
2021-05-20,15.54,15.71,15.37,15.59,10008422,0.0
2021-05-21,15.5,15.6544,15.29,15.31,9552264,0.0
2021-05-24,15.3744,15.535,15.29,15.35,7437182,0.0
2021-05-25,15.33,15.34,14.93,14.98,6367697,0.0
