Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,116.57,118.06,116.48,117.93,898834,12488,117.516258
2021-01-04,118.0,118.07,114.2562,114.83,1731113,24960,115.180696
2021-01-05,114.51,115.42,114.05,115.21,1336495,20140,114.842551
2021-01-06,115.64,118.44,115.21,117.76,1617851,22543,117.277556
2021-01-07,117.5,118.3899,116.875,118.05,1827592,25018,117.821479
2021-01-08,118.39,118.9488,117.23,118.6,1372742,20858,118.207497
2021-01-11,117.6,118.12,116.6608,117.04,1541741,25498,117.304727
2021-01-12,117.2,117.64,115.524,116.4,1477582,21846,116.257031
2021-01-13,116.13,116.84,115.61,116.21,1444831,21645,116.260204
2021-01-14,116.63,116.76,114.43,114.64,1605682,21614,115.285504
2021-01-15,114.25,115.5,114.1,114.72,3799177,30088,114.738451
2021-01-19,115.35,116.3252,114.78,115.01,1636884,20793,115.361156
2021-01-20,115.07,115.85,114.83,115.05,1916328,23048,115.297439
2021-01-21,114.92,115.2,112.97,114.58,2268544,25212,114.417219
2021-01-22,114.44,115.8,113.82,115.36,1978234,21651,115.096407
2021-01-25,115.36,116.02,113.95,114.19,1542526,23833,114.531002
2021-01-26,114.51,114.535,113.6565,113.95,1695466,27135,114.083081
2021-01-27,113.0,113.23,110.15,110.96,2505098,32275,111.075554
2021-01-28,111.5,114.46,111.3,112.11,1952863,28875,113.091783
2021-01-29,111.71,112.64,110.45,111.32,1891855,25542,111.479203
2021-02-01,111.89,112.59,111.155,112.09,1229643,19645,112.001325
2021-02-02,112.91,113.91,112.59,113.0,1579507,25904,113.217487
2021-02-03,112.89,113.29,112.05,112.22,1343157,19500,112.360492
2021-02-04,112.18,113.5,111.88,113.08,1206562,16943,112.873125
2021-02-05,113.59,114.6,113.32,113.73,1423234,18902,113.902212
2021-02-08,114.08,114.75,113.65,114.38,1618545,21082,114.273241
2021-02-09,114.66,114.77,113.46,113.55,1155765,21484,113.818875
2021-02-10,114.25,114.4156,112.44,113.69,1734014,26442,113.325683
2021-02-11,114.0,114.15,112.89,113.22,1289834,17225,113.302034
2021-02-12,112.84,113.34,112.37,113.25,1123226,17203,112.939849
2021-02-16,112.23,113.79,112.12,112.6,2078120,24773,112.817451
2021-02-17,112.16,112.82,111.93,112.21,2090292,26922,112.340384
2021-02-18,111.12,113.64,111.09,113.43,3645603,40671,112.546563
2021-02-19,113.55,113.55,110.86,111.63,2934536,32441,111.589067
2021-02-22,111.15,111.24,109.24,110.56,3271803,34478,110.162392
2021-02-23,111.27,112.51,109.11,109.92,2892483,39215,110.261375
2021-02-24,110.33,111.97,110.0,111.87,3076452,31485,111.470118
2021-02-25,111.6,113.49,111.6,112.27,2567340,37423,112.741801
