Date,Open,High,Low,Close,Volume,OpenInterest
2020-06-08,119.58,121.16,119.46,121.07,8462878,0.0
2020-06-09,121.6,122,120.56,121.4,6188553,0.0
2020-06-10,121.56,122.5,121.1701,121.2,8572037,0.0
2020-06-11,120.99,122.58,119.48,120.16,9953448,0.0
2020-06-12,120.51,120.75,119.36,119.485,2718309,0.0
2020-06-15,118.4,118.68,117.01,118.09,10265114,0.0
2020-06-16,119.8,120.2299,118.54,119.71,7309787,0.0
2020-06-17,119.86,120.13,118.4,119.01,5889442,0.0
2020-06-18,118.54,119.06,117.66,117.99,6176351,0.0
2020-06-19,118.89,120.3,117.75,119.75,10821598,0.0
2020-06-22,120.97,122.09,120.4,121.68,8124144,0.0
2020-06-23,122.75,122.85,120.9606,121.07,6072862,0.0
2020-06-24,120.74,121.1153,119.58,120.35,6032080,0.0
2020-06-25,119.76,120.16,118.38,119.63,5735935,0.0
2020-06-26,119.6,120.84,118.02,118.31,5909472,0.0
2020-06-29,118.5,119.68,118.215,119.09,4637226,0.0
2020-06-30,119.22,120.13,118.54,119.66,5555898,0.0
2020-07-01,119.45,119.92,118.66,119.69,5718034,0.0
2020-07-02,120.09,120.88,118.86,119.21,5195854,0.0
2020-07-06,119.8,119.87,118.22,118.88,6617241,0.0
2020-07-07,118.45,127.55,118.22,126.97,28229924,0.0
2020-07-08,128,128.13,124.4,124.41,16521036,0.0
2020-07-09,125.61,128.18,124.95,127.76,12339865,0.0
2020-07-10,128.735,131.37,127.26,130.66,14065343,0.0
2020-07-13,131.33,133.63,128.89,129.55,13012634,0.0
2020-07-14,129.28,132.5,129.026,132.02,8020496,0.0
2020-07-15,132.27,134.13,130.8,132,9075371,0.0
2020-07-16,132.05,132.73,131.24,132.06,5099836,0.0
2020-07-17,133.37,133.37,131.47,131.75,5306664,0.0
2020-07-20,131.96,132.74,131.14,131.45,5186309,0.0
2020-07-21,131.56,133.99,131.45,132.33,6721073,0.0
2020-07-22,132.57,133.03,131.19,132.66,4860580,0.0
2020-07-23,133,133.15,131.45,131.65,3489573,0.0
2020-07-24,130.95,132.4,130.51,131.24,4039894,0.0
2020-07-27,130.86,131.98,130.86,131.23,4026524,0.0
2020-07-28,131.5,132.38,130.92,131.79,6522967,0.0
2020-07-29,131.56,131.86,129.85,130.72,8741476,0.0
2020-07-30,129.42,130.42,128.72,130.11,8392139,0.0
2020-07-31,129.65,130.09,127.62,129.43,11376858,0.0
2020-08-03,129.91,130.115,128.2713,129.3,7181839,0.0
2020-08-04,129.65,131.71,128.94,131.62,11032656,0.0
2020-08-05,130.45,130.75,128.83,129.8,15735392,0.0
2020-08-06,129.13,130.23,129.0299,129.35,8746232,0.0
2020-08-07,129.58,130.46,129.11,129.99,8863996,0.0
2020-08-10,130.715,132.34,130.5497,131.91,9074866,0.0
2020-08-11,132.59,132.87,129.7303,130.2,15002102,0.0
2020-08-12,130.47,132.23,129.08,131.87,11500379,0.0
2020-08-13,131.21,131.96,130.73,131.84,11631147,0.0
2020-08-14,132.34,132.97,131.63,132.54,11811578,0.0
2020-08-17,134.35,136.13,133.85,135.77,23778210,0.0
2020-08-18,136.17,137.6323,133.17,134.66,41807862,0.0
2020-08-19,134.21,134.66,131.855,132.41,23112994,0.0
2020-08-20,131.21,132.07,130.05,130.57,16856826,0.0
2020-08-21,130.55,132.67,130.1,131.64,15348532,0.0
2020-08-24,132.25,132.48,130.33,131.33,12053894,0.0
2020-08-25,130.8,131.2367,129.67,130.62,12637071,0.0
2020-08-26,130.21,130.88,129.7,130.68,11502770,0.0
2020-08-27,131.08,139.35,130.9,136.65,76797408,0.0
2020-08-28,141,141.07,137.84,140.31,39799614,0.0
2020-08-31,137.48,138.89,135.53,138.85,26754562,0.0
2020-09-01,141.2,149.59,140.05,147.6,68103189,0.0
2020-09-02,151.25,151.33,145.61,147.6301,32303619,0.0
2020-09-03,146.7,149.6,141.81,144.57,29875798,0.0
2020-09-04,144.02,145.0382,140.1,142.84,20501827,0.0
2020-09-08,141.41,141.9,138.26,138.45,19976524,0.0
2020-09-09,140.09,142.61,139.45,139.94,20630592,0.0
2020-09-10,139.62,140.18,136.5857,136.79,17936424,0.0
2020-09-11,137.05,138.44,135.55,136.68,17638603,0.0
2020-09-14,136.14,141.1,135.88,137.27,28801806,0.0
2020-09-15,138.23,139.0799,136.68,137.26,9215965,0.0
2020-09-16,138.41,138.6825,136.05,136.27,7843683,0.0
2020-09-17,135.75,137.57,135.02,136.71,10695481,0.0
2020-09-18,136.44,137.53,134.75,135.29,12033706,0.0
2020-09-21,136.5,137.24,135.29,137.08,13868451,0.0
2020-09-22,137.07,138.99,136.57,138.32,10079122,0.0
2020-09-23,139,139.24,135.8193,136.01,6184609,0.0
2020-09-24,135.73,137.795,135.07,136.7,7349895,0.0
2020-09-25,136.52,137.535,135.961,137.27,5970578,0.0
2020-09-28,137.16,138.05,136.72,137.3,5947625,0.0
2020-09-29,137.25,138.14,136.39,137.13,14955845,0.0
2020-09-30,137.39,141.74,137.2014,139.87,19157637,0.0
2020-10-01,140.8,144.3799,140.26,143.07,26183178,0.0
2020-10-02,142.34,143.1,140.1297,140.51,14739913,0.0
2020-10-05,141.29,142.1899,141.065,141.8,8286559,0.0
2020-10-06,141.87,142.9399,140.25,140.59,12382752,0.0
2020-10-07,141.26,141.55,140.25,140.88,9674735,0.0
2020-10-08,141.51,142.09,141.12,141.36,7695756,0.0
2020-10-09,141.66,143.34,141.56,142.8,8533076,0.0
2020-10-12,143.02,145.39,143.02,144.24,10788064,0.0
2020-10-13,144.68,146.605,144.36,146.24,13918809,0.0
2020-10-14,146.4,146.525,143.7601,143.95,11728842,0.0
2020-10-15,143.09,144.96,142.8374,144.535,7980162,0.0
2020-10-16,145.4,146.15,144.47,144.69,9139124,0.0
2020-10-19,145.1,145.37,142.751,143.06,7365017,0.0
2020-10-20,144.11,145.53,143.62,143.87,8696100,0.0
2020-10-21,143.84,145.435,143.84,144.42,6819208,0.0
2020-10-22,144.19,144.56,142.69,143.55,7841008,0.0
