Date,Estimate,Actual
2021-08-17,1.54,None
2021-05-18,1.21,1.69
2021-02-18,1.51,1.39
2020-11-17,1.18,1.34
2020-08-18,1.25,1.56
2020-05-19,1.12,1.18
2020-02-18,1.44,1.38
2019-11-14,1.09,1.16
2019-08-15,1.22,1.27
2019-05-16,1.02,1.13
2019-02-19,1.33,1.41
2018-11-15,1.01,1.08
2018-08-16,1.22,1.29
2018-05-17,1.12,1.14
2018-02-20,1.37,1.33
2017-11-16,0.97,1
2017-08-17,1.07,1.08
2017-05-18,0.96,1
2017-02-21,1.29,1.3
2016-11-17,0.96,0.98
2016-08-18,1.02,1.07
2016-05-19,0.88,0.98
2016-02-18,1.46,1.49
2015-11-17,0.98,0.99
2015-08-18,1.12,1.08
2015-05-19,1.04,1.03
2015-02-19,1.54,1.61
2014-11-13,1.12,1.15
2014-08-14,1.21,1.21
2014-05-15,1.15,1.1
2014-02-20,1.59,1.6
2013-11-14,1.13,1.14
2013-08-15,1.25,1.25
2013-05-16,1.15,1.14
2013-02-21,1.57,1.67
2012-11-15,1.07,1.08
2012-08-16,1.17,1.18
2012-05-17,1.04,1.09
2012-02-21,1.45,1.44
2011-11-15,0.98,0.97
2011-08-16,1.08,1.09
2011-05-17,0.95,0.98
2011-02-22,1.31,1.34
2010-11-16,0.9,0.9
2010-08-17,0.96,0.97
2010-05-18,0.85,0.88
2010-02-18,1.12,1.17
2009-11-12,0.81,0.84
2009-08-13,0.85,0.88
2009-05-14,0.77,0.77
2009-02-17,0.99,1.03
2008-11-13,0.76,0.77
2008-08-14,0.84,0.86
2008-05-13,0.75,0.76
2008-02-19,1.02,1.04
2007-11-13,0.67,0.69
2007-08-14,0.76,0.72
2007-05-15,0.68,0.68
2007-02-20,0.9,0.92
2006-11-14,0.59,0.62
2006-08-15,0.72,0.72
2006-05-16,0.61,0.63
2006-02-21,0.83,0.84
2005-11-14,0.57,0.57
2005-08-16,0.65,0.67
2005-05-12,0.56,0.55
2005-02-17,0.74,0.75
2004-11-16,0.54,0.54
2004-08-12,0.61,0.62
2004-05-13,0.49,0.5
2004-02-19,0.63,0.63
2003-11-13,0.47,0.46
2003-08-13,0.52,0.52
2003-05-13,0.42,0.41
2003-02-18,0.56,0.57
2002-11-13,0.4,0.41
2002-08-13,0.45,0.46
2002-05-14,0.36,0.37
2002-02-19,0.49,0.49
2001-11-13,0.33,0.33
2001-09-14,0.37,0.37
2001-06-15,0.31,0.31
2001-03-15,0.45,0.45
2000-11-14,0.31,0.31
2000-08-09,0.36,0.36
2000-05-09,0.28,0.3
2000-02-15,0.42,0.43
1999-11-09,0.28,0.29
1999-08-10,0.28,0.31
1999-05-11,0.22,0.25
1999-02-16,0.33,0.35
1998-11-10,0.22,0.23
1998-08-11,0.22,0.23
1998-05-12,0.17,0.19
1998-02-24,0.28,0.28
1997-11-11,0.17,0.18
1997-08-12,0.18,0.18
1997-05-12,0.14,0.14
1997-02-25,0.24,0.24
1996-11-12,0.15,0.15
