Date,Open,High,Low,Close,Volume,OpenInterest
2020-07-08,56.58,57.4145,56.11,56.79,516007,0.0
2020-07-09,56.52,56.66,55.14,55.81,642461,0.0
2020-07-10,55.54,58.07,55.54,57.81,592794,0.0
2020-07-13,58.22,59.49,57.92,58.56,798292,0.0
2020-07-14,58.57,60.06,58.325,59.91,573716,0.0
2020-07-15,61.13,62.025,60.55,61.64,890976,0.0
2020-07-16,61.62,63.95,61.485,63.51,827199,0.0
2020-07-17,63.47,63.8,62.72,63.56,599926,0.0
2020-07-20,63.32,63.735,62.765,63.4,710937,0.0
2020-07-21,63.6,64.755,63.6,64.12,719623,0.0
2020-07-22,64.43,65.535,63.61,63.94,1452772,0.0
2020-07-23,63.84,64.87,63.36,64.48,425386,0.0
2020-07-24,64.75,64.815,63.74,63.96,597962,0.0
2020-07-27,63.68,63.995,62.5,62.92,574107,0.0
2020-07-28,62.62,63.01,62.03,62.21,919322,0.0
2020-07-29,62.1,63.41,61.99,63.38,858706,0.0
2020-07-30,62.12,62.8,61.51,62.31,782060,0.0
2020-07-31,61.98,62.18,60.76,61.74,886925,0.0
2020-08-03,61.89,62.34,61.42,62.15,578004,0.0
2020-08-04,61.99,62.06,61.01,61.2,909732,0.0
2020-08-05,61.79,62.48,61.66,61.94,846000,0.0
2020-08-06,61.73,62.34,61.61,62.2,1147908,0.0
2020-08-07,61.82,63.95,61.76,63.89,879241,0.0
2020-08-10,63.62,64.905,63.43,64.39,825336,0.0
2020-08-11,65.92,65.96,63.39,63.61,1528639,0.0
2020-08-12,64.5,64.5,63.08,63.09,817675,0.0
2020-08-13,62.44,63.13,61.88,62.87,796705,0.0
2020-08-14,62.45,63.09,62.07,62.27,845694,0.0
2020-08-17,61.96,62.04,60.49,60.89,1051002,0.0
2020-08-18,61.16,61.805,61.12,61.27,936580,0.0
2020-08-19,61.43,61.665,60.43,60.63,704364,0.0
2020-08-20,59.95,60.77,59.79,60.15,876051,0.0
