Date,Estimate,Actual
2022-04-18,None,None
2022-01-24,None,None
2021-10-18,0.9,None
2021-07-22,1,1.17
2021-04-20,0.81,1.08
2021-01-26,0.79,0.92
2020-10-20,0.68,0.65
2020-07-21,0.26,0.06
2020-04-21,0.74,0.69
2020-01-28,0.71,0.71
2019-10-22,0.67,0.85
2019-07-23,0.64,0.82
2019-04-23,0.66,0.66
2019-01-29,0.53,0.63
2018-10-23,0.56,0.75
2018-07-24,0.56,0.65
2018-04-24,0.6,0.67
2018-01-30,0.49,0.49
2017-10-24,0.19,0.22
2017-07-25,0.51,0.43
2017-04-24,0.46,0.47
2017-01-31,0.78,0.82
2016-10-25,0.85,0.88
2016-07-25,0.77,0.82
2016-04-26,0.85,0.89
2016-02-02,0.81,0.89
2015-10-26,0.83,0.91
2015-07-27,0.81,0.81
2015-04-27,0.73,0.8
2015-02-03,0.82,0.73
2014-10-23,0.9,1.06
2014-07-28,0.51,0.55
2014-04-22,0.53,0.67
2014-01-28,0.51,0.57
2013-10-21,0.49,0.51
2013-07-22,0.45,0.47
2013-04-23,0.5,0.49
2013-01-28,0.33,0.43
2012-10-22,0.37,0.41
2012-07-24,0.41,0.43
2012-04-23,0.44,0.49
2012-01-31,0.33,0.35
2011-10-26,0.26,0.29
2011-07-25,0.29,0.31
2011-04-25,0.43,0.44
2011-02-02,0.45,0.45
2010-10-25,0.43,0.45
2010-07-26,0.42,0.43
2010-04-26,0.43,0.47
2010-02-08,0.45,0.47
2009-10-26,0.44,0.45
2009-07-27,0.41,0.4
2009-04-27,0.25,0.17
2009-02-09,0.52,0.41
2008-10-28,0.49,0.49
2008-07-23,0.56,0.51
2008-04-24,0.62,0.55
2008-02-11,0.63,0.65
2007-10-22,0.61,0.62
2007-07-23,0.61,0.61
2007-04-23,0.6,0.61
2007-02-08,0.59,0.64
2006-10-25,0.56,0.57
2006-07-25,0.53,0.55
2006-04-24,0.5,0.53
2006-02-13,0.46,0.55
2005-10-24,0.35,0.39
2005-07-25,0.42,0.44
2005-04-26,0.4,0.4
2005-02-14,0.37,0.38
2004-10-26,0.3,0.31
2004-07-26,0.34,0.35
2004-04-27,0.31,0.33
2004-02-11,0.26,0.27
2003-10-27,0.24,0.25
2003-07-23,0.22,0.23
2003-04-25,0.2,0.22
2003-02-10,0.18,0.19
2002-10-29,0.15,0.16
2002-07-24,0.13,0.13
2002-04-29,0.1,0.12
2002-02-14,-0.21,-0.27
2001-10-25,0.04,-0.06
2001-07-26,0.04,0.03
2001-04-26,0.05,0.05
2001-02-05,0.07,0.07
2000-10-31,0.04,0.04
2000-07-31,0.04,0.03
2000-04-26,0.03,0.03
2000-03-13,-0.18,0.2
1999-10-22,0.03,0
1999-07-29,0.06,0.03
1999-04-29,0.06,0.04
1999-02-25,0.06,-0.06
1998-10-29,0.07,0.04
1998-08-03,0.08,0.07
1998-04-27,0.1,0.09
1998-02-25,0.1,0.09
1997-10-27,0.09,0.09
1997-07-29,0.09,0.08
