Date,Open,High,Low,Close,Volume,OpenInterest
2020-09-21,22.36,22.48,21.71,21.94,2731739,0.0
2020-09-22,22.06,22.125,21.75,22.04,1509283,0.0
2020-09-23,22,22.06,21.14,21.38,2809825,0.0
2020-09-24,21.21,21.99,21.065,21.52,2498313,0.0
2020-09-25,21.38,21.705,21.265,21.56,1590415,0.0
2020-09-28,21.84,22.08,21.7,21.98,2513549,0.0
2020-09-29,22,22.17,21.725,21.77,4095739,0.0
2020-09-30,21.8,22.02,21.29,21.4,6713795,0.0
2020-10-01,21.48,21.75,21.12,21.49,6969542,0.0
2020-10-02,21.2,21.64,21.05,21.4,4721577,0.0
2020-10-05,21.28,21.69,21.22,21.47,5212089,0.0
2020-10-06,21.59,22.13,21.48,21.73,7323419,0.0
2020-10-07,21.89,22.24,21.77,22.02,5714695,0.0
2020-10-08,22.14,22.5,22.115,22.33,3925275,0.0
2020-10-09,22.5,22.65,22.18,22.23,4470427,0.0
2020-10-12,22.29,22.38,21.99,22.26,3352050,0.0
2020-10-13,22.18,22.26,21.6,21.64,4815142,0.0
2020-10-14,21.71,22.075,21.71,21.86,6655334,0.0
2020-10-15,21.53,22.17,21.51,22.16,4882493,0.0
2020-10-16,22.19,22.325,21.98,22.07,4176753,0.0
2020-10-19,22.1,22.135,21.685,21.71,3180545,0.0
2020-10-20,21.84,22.07,21.635,21.67,4146865,0.0
2020-10-21,21.68,21.99,21.51,21.71,4069012,0.0
2020-10-22,21.74,22.31,21.55,22.22,4932084,0.0
2020-10-23,22.37,22.505,21.95,21.97,5183811,0.0
2020-10-26,21.73,21.755,21.04,21.39,6978551,0.0
2020-10-27,21.29,21.375,20.85,20.85,6796368,0.0
2020-10-28,20.5,20.79,20.16,20.26,9401101,0.0
2020-10-29,20.33,21.03,20.25,20.9,18409497,0.0
2020-10-30,20.63,20.68,19.065,19.42,13551150,0.0
2020-11-02,19.73,20.51,19.63,20.34,9936591,0.0
2020-11-03,20.53,20.735,20.46,20.6,6844635,0.0
2020-11-04,20.51,20.595,20.13,20.22,9213000,0.0
2020-11-05,20.48,21.16,20.48,20.89,7182454,0.0
2020-11-06,20.92,20.92,20.425,20.6,6905877,0.0
2020-11-09,21.41,22.25,21.41,21.45,9254575,0.0
2020-11-10,21.63,21.7,21.425,21.66,7701243,0.0
2020-11-11,21.77,21.89,20.77,21.03,10890416,0.0
2020-11-12,20.94,21.11,20.635,20.85,6389555,0.0
2020-11-13,20.99,21.34,20.915,21.26,3225596,0.0
2020-11-16,21.35,21.875,21.185,21.81,7627453,0.0
2020-11-17,21.67,21.865,21.495,21.83,4551122,0.0
2020-11-18,21.8,21.895,21.6,21.61,5962083,0.0
2020-11-19,21.58,21.745,21.405,21.53,5815444,0.0
2020-11-20,21.44,21.455,20.785,20.9,6266254,0.0
2020-11-23,21.04,21.5281,20.93,21.35,5004615,0.0
2020-11-24,21.55,22.51,21.44,22.44,9604744,0.0
2020-11-25,22.46,22.84,22.21,22.58,8309510,0.0
2020-11-27,22.57,22.61,22.425,22.53,3104414,0.0
2020-11-30,22.44,22.62,22.225,22.55,3667034,0.0
2020-12-01,22.72,23.07,22.58,22.6,3381988,0.0
2020-12-02,22.5,22.685,22.29,22.33,3812493,0.0
2020-12-03,22.34,22.43,21.885,21.93,3419558,0.0
2020-12-04,21.91,22.05,21.66,21.69,6243650,0.0
2020-12-07,21.66,22.1,21.6,21.74,3694223,0.0
2020-12-08,21.61,21.83,21.52,21.79,3318891,0.0
2020-12-09,21.94,22.315,21.75,22.29,4850300,0.0
2020-12-10,22.07,22.16,21.63,21.89,2846821,0.0
2020-12-11,21.7,22.27,21.7,22.13,3129631,0.0
2020-12-14,22.38,22.69,22.06,22.06,3809021,0.0
2020-12-15,22.13,22.57,22.115,22.49,2990644,0.0
2020-12-16,22.67,22.82,22.59,22.66,2970664,0.0
2020-12-17,22.69,23.36,22.69,23.08,4417401,0.0
2020-12-18,22.92,23.165,22.76,22.77,5816594,0.0
2020-12-21,22.51,22.6,21.7,22.05,3888628,0.0
2020-12-22,22.1,22.1,21.71,21.81,2775793,0.0
2020-12-23,21.86,21.93,21.69,21.73,2062453,0.0
2020-12-24,21.78,21.87,21.66,21.87,694716,0.0
2020-12-28,22,22.145,21.7,21.72,2120927,0.0
2020-12-29,21.78,21.91,21.49,21.58,1995683,0.0
2020-12-30,21.6,21.9,21.55,21.79,1281330,0.0
2020-12-31,21.87,21.95,21.64,21.93,1467658,0.0
2021-01-04,22,22.24,21.635,21.77,3644670,0.0
2021-01-05,21.75,22.22,21.75,22.105,3397523,0.0
2021-01-06,22.22,23.19,22.06,23.12,4122544,0.0
2021-01-07,23.18,23.31,22.765,22.85,3076282,0.0
2021-01-08,23.55,23.7,23.035,23.26,3852110,0.0
2021-01-11,23,23.22,22.54,22.59,2975480,0.0
2021-01-12,22.61,22.84,22.31,22.4,5047877,0.0
2021-01-13,22.49,22.64,22.27,22.38,5518047,0.0
2021-01-14,22.54,22.6,21.615,21.67,4820101,0.0
2021-01-15,21.62,21.93,21.57,21.93,3365944,0.0
2021-01-19,22.28,22.835,22.08,22.37,5599874,0.0
2021-01-20,22.41,22.46,21.765,21.9425,3707687,0.0
2021-01-21,21.93,22.19,21.83,22.04,3161213,0.0
2021-01-22,21.92,22.175,21.72,22.05,1974545,0.0
2021-01-25,22.04,22.75,21.735,22.71,5628849,0.0
2021-01-26,22.83,23.03,22.2737,22.825,5343504,0.0
2021-01-27,22.74,23.83,22.74,23.15,13496026,0.0
2021-01-28,23.43,23.83,22.92,22.94,7135313,0.0
2021-01-29,22.78,23.14,22.24,22.26,3150780,0.0
2021-02-01,22.42,22.745,22.32,22.6,2861800,0.0
2021-02-02,22.78,23,22.57,22.85,3420495,0.0
2021-02-03,22.8,22.84,22.43,22.72,2509233,0.0
2021-02-04,22.93,23.25,22.802,22.99,2965293,0.0
2021-02-05,23.07,23.2,22.84,22.965,2187856,0.0
2021-02-08,23.07,23.44,23.07,23.24,2733098,0.0
2021-02-09,23.22,23.47,22.98,23.36,2645742,0.0
2021-02-10,23.5,23.66,23.31,23.49,3661005,0.0
2021-02-11,24.08,24.66,23.41,23.56,7365290,0.0
2021-02-12,23.5,24.01,23.5,23.99,3463568,0.0
2021-02-16,24.07,24.26,23.805,23.9,4177963,0.0
2021-02-17,23.87,24.04,23.72,23.87,3597149,0.0
2021-02-18,23.74,23.902,23.4,23.5,2978332,0.0
2021-02-19,23.63,24.18,23.532,23.91,3808740,0.0
2021-02-22,23.8,24.02,23.66,23.9,3551335,0.0
2021-02-23,23.64,23.75,23.075,23.33,3873789,0.0
2021-02-24,23.38,23.88,23.28,23.79,3321886,0.0
2021-02-25,23.74,23.84,23.39,23.52,3111029,0.0
2021-02-26,23.53,23.66,23.185,23.21,3187155,0.0
2021-03-01,23.46,23.86,23.33,23.69,2507932,0.0
2021-03-02,23.7,23.908,23.56,23.68,2522763,0.0
2021-03-03,23.77,24.22,23.68,23.88,3087219,0.0
2021-03-04,23.86,23.96,23.24,23.48,4498358,0.0
2021-03-05,23.72,24.13,23.48,24.09,3073995,0.0
2021-03-08,24.26,25.465,24.15,25.12,6763163,0.0
2021-03-09,24.88,25.73,24.855,24.98,6625646,0.0
2021-03-10,24.99,25.08,24.505,24.6,5905831,0.0
2021-03-11,24.67,24.71,24.4,24.4,6347725,0.0
2021-03-12,24.47,24.795,24.45,24.7,3944178,0.0
2021-03-15,24.77,25.215,24.76,25.16,5187873,0.0
2021-03-16,24.8,25.01,24.67,24.79,3292037,0.0
2021-03-17,24.9,25.15,24.84,24.87,3382786,0.0
2021-03-18,24.85,25.38,24.795,25,4750535,0.0
2021-03-19,24.98,25.05,24.4,24.45,6184582,0.0
2021-03-22,24.23,24.87,24.125,24.77,4754945,0.0
2021-03-23,24.78,25.08,24.46,24.625,5517877,0.0
2021-03-24,24.63,24.72,24.23,24.23,3518380,0.0
2021-03-25,24.25,24.89,24.24,24.71,4662907,0.0
2021-03-26,24.76,25.38,24.65,25.38,3707387,0.0
2021-03-29,25.46,25.26,24.75,24.78,4024769,0.0
2021-03-30,24.68,24.93,24.61,24.84,3230126,0.0
2021-03-31,24.88,24.97,24.425,24.67,3002415,0.0
2021-04-01,24.75,25.26,24.53,25.15,3719523,0.0
2021-04-05,25.32,25.365,24.995,25.06,2738235,0.0
2021-04-06,24.97,25.16,24.75,25.12,3760554,0.0
2021-04-07,25.2,25.35,25.152,25.27,2335217,0.0
2021-04-08,25.2,25.33,24.95,25.05,4340909,0.0
2021-04-09,24.97,25.2,24.97,25.19,3097959,0.0
2021-04-12,25.13,25.29,25.04,25.1,2773239,0.0
2021-04-13,25.14,25.42,25.07,25.41,4231590,0.0
2021-04-14,25.42,25.745,25.39,25.57,3430963,0.0
2021-04-15,25.75,26.155,25.7,25.76,4444554,0.0
2021-04-16,25.79,25.995,25.745,25.9,2576256,0.0
2021-04-19,26,26.24,25.88,26.16,2730850,0.0
2021-04-20,26.08,26.215,25.82,25.97,2953284,0.0
2021-04-21,25.99,26.315,25.869,26.21,2225045,0.0
2021-04-22,26.24,26.335,25.94,26.04,3047906,0.0
2021-04-23,26.05,26.55,25.945,26.33,2577581,0.0
2021-04-26,26.42,26.61,26.27,26.35,1446462,0.0
2021-04-27,26.31,26.39,26.15,26.2,2049676,0.0
2021-04-28,26.27,26.425,26.14,26.22,2111977,0.0
2021-04-29,26.27,26.49,26.165,26.4,3558171,0.0
2021-04-30,26.35,26.39,25.71,25.76,2971739,0.0
2021-05-03,25.82,26.02,25.66,25.66,3484678,0.0
2021-05-04,25.57,25.91,25.215,25.87,6157951,0.0
2021-05-05,25.82,25.99,24.87,24.97,5726747,0.0
2021-05-06,25,25.35,24.81,25.28,3714005,0.0
2021-05-07,25.33,25.37,24.98,25.12,4600694,0.0
2021-05-10,25.35,25.98,25.14,25.8,9192333,0.0
2021-05-11,25.8,25.94,25.33,25.49,4424132,0.0
2021-05-12,25.45,25.49,24.56,24.56,3977019,0.0
2021-05-13,24.52,24.93,24.46,24.6965,4246192,0.0
2021-05-14,24.87,25.085,24.73,24.87,3791908,0.0
2021-05-17,24.76,25.04,24.71,24.88,2665751,0.0
2021-05-18,24.9,25.095,24.8,24.87,2150890,0.0
2021-05-19,24.62,24.81,24.165,24.795,3244255,0.0
2021-05-20,24.79,24.84,24.385,24.47,4835626,0.0
2021-05-21,24.53,24.8,24.265,24.57,5335423,0.0
2021-05-24,24.84,24.81,24.48,24.71,4294555,0.0
2021-05-25,24.75,24.84,24.28,24.29,3279489,0.0
2021-05-26,24.22,24.51,24.17,24.49,3919132,0.0
2021-05-27,24.55,24.79,24.53,24.64,3493784,0.0
2021-05-28,24.7,24.77,24.41,24.46,1893288,0.0
2021-06-01,24.6,24.92,24.545,24.58,2398551,0.0
2021-06-02,24.65,25.18,24.56,25,3300212,0.0
2021-06-03,24.94,25.32,24.85,25.12,3152059,0.0
2021-06-04,25.15,25.275,24.76,25.03,2958667,0.0
2021-06-07,25.08,25.13,24.5206,24.63,3340253,0.0
2021-06-08,24.64,24.96,24.49,24.92,2766081,0.0
2021-06-09,24.94,25.3369,24.86,25.18,3042079,0.0
2021-06-10,25.24,25.25,24.71,24.76,2812972,0.0
2021-06-11,24.92,24.99,24.8,24.94,1772958,0.0
2021-06-14,24.98,25.05,24.43,24.75,2859772,0.0
2021-06-15,24.405,24.62,24.4,24.48,3082586,0.0
2021-06-16,24.52,24.53,23.985,24.19,2315966,0.0
2021-06-17,24.3,24.3,23.335,23.43,5115452,0.0
2021-06-18,23.21,23.45,23.11,23.25,4090923,0.0
2021-06-21,23.39,23.73,23.33,23.63,2187996,0.0
2021-06-22,23.62,23.62,23.17,23.28,3362228,0.0
2021-06-23,23.3,23.35,23.02,23.04,2495705,0.0
2021-06-24,23.13,23.35,22.99,23.28,2754277,0.0
2021-06-25,23.28,23.55,23.23,23.52,2261542,0.0
2021-06-28,23.66,23.535,22.7938,22.92,3010513,0.0
2021-06-29,23.03,23.41,22.97,23.08,3176325,0.0
2021-06-30,22.99,23.05,22.81,22.96,2434010,0.0
2021-07-01,22.96,23.14,22.92,23.04,2185196,0.0
2021-07-02,23.09,23.28,23.06,23.26,1866244,0.0
2021-07-06,23.26,23.38,22.82,22.96,2821365,0.0
2021-07-07,22.82,23.43,22.75,23.22,3367753,0.0
2021-07-08,23,23.08,22.81,22.95,2194540,0.0
2021-07-09,23.17,23.33,22.95,23.31,3365573,0.0
2021-07-12,23.3,23.41,23.13,23.21,2338541,0.0
2021-07-13,23.17,23.64,23.17,23.47,5217965,0.0
