Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,65.75,66.82,65.39,66.67,1743397,15993,66.302597
2021-01-04,66.54,66.88,65.12,65.655,3197205,33318,65.73175
2021-01-05,65.6,65.925,64.5,65.02,1976788,24769,64.946056
2021-01-06,64.78,67.005,64.58,66.46,2666962,32621,66.205956
2021-01-07,66.8,66.81,64.93,65.16,2630432,30551,65.412786
2021-01-08,65.06,65.93,64.89,65.76,2221705,22382,65.511057
2021-01-11,65.68,65.8633,63.92,64.4,2100593,23862,64.53083
2021-01-12,64.39,64.4618,63.18,63.4,2765168,31061,63.595254
2021-01-13,63.55,65.115,63.19,65.01,2656331,25836,64.447883
2021-01-14,64.83,64.96,63.41,63.56,1750100,21329,63.70958
2021-01-15,63.41,65.05,63.04,64.96,3811848,35277,64.438102
2021-01-19,65.24,65.33,64.27,64.71,2518568,23258,64.820766
2021-01-20,64.71,65.64,64.31,65.43,2668228,30398,65.119651
2021-01-21,64.98,65.48,64.68,65.11,1805520,21494,65.152049
2021-01-22,65.02,65.1763,64.41,64.76,1719687,18699,64.824524
2021-01-25,64.6,66.54,64.25,66.5,2481644,25334,66.193393
2021-01-26,66.2,66.255,65.01,65.81,2263461,24957,65.552269
2021-01-27,65.37,66.18,63.75,63.82,3344249,35982,64.557662
2021-01-28,63.18,65.44,61.99,63.64,2995630,28492,64.23062
2021-01-29,63.18,64.6,62.92,63.99,2540543,26274,63.954302
2021-02-01,64.16,64.925,63.35,63.94,2718283,25508,64.191532
2021-02-02,63.88,65.16,63.605,64.2,2002612,23185,64.557094
2021-02-03,64.09,64.1895,63.105,63.18,1982622,21210,63.362747
2021-02-04,63.16,63.8,62.725,63.59,2543566,24743,63.467308
2021-02-05,63.79,63.94,63.295,63.44,1567726,17642,63.541916
2021-02-08,63.42,63.55,62.16,62.25,1745943,19256,62.505631
2021-02-09,62.61,62.73,61.4916,62.12,1576937,17525,62.033892
2021-02-10,62.42,62.6,61.565,62.28,1688349,20431,62.221058
2021-02-11,62.09,62.5,61.49,61.57,1642838,16726,61.723774
2021-02-12,61.49,61.76,61.0,61.54,2574056,21443,61.426875
2021-02-16,61.33,61.64,60.49,60.51,2154425,21236,60.685327
2021-02-17,60.45,61.2484,60.38,60.9,2477210,26686,60.914232
2021-02-18,60.82,62.43,60.8,62.3,3364567,30040,61.997144
2021-02-19,62.62,62.7,61.97,62.07,4121687,35735,62.242432
2021-02-22,61.88,62.65,59.64,60.425,3200067,33653,60.348943
2021-02-23,60.96,62.145,60.44,61.93,3310237,35504,61.546867
2021-02-24,61.63,61.66,60.11,60.21,2545532,29588,60.502545
2021-02-25,59.82,60.525,59.43,59.84,2761500,34540,59.829682
2021-02-26,59.98,60.655,58.5,58.59,3744145,36961,59.317331
2021-03-01,59.17,60.3,59.04,59.15,4751804,40327,59.494783
2021-03-02,59.04,59.42,58.2,58.98,3241306,34519,58.96724
2021-03-03,58.7,58.9,57.23,58.03,2798865,31156,57.883693
2021-03-04,57.87,59.69,57.79,58.92,5175810,54770,58.891838
2021-03-05,59.09,61.51,59.03,61.35,4728089,54376,60.782921
2021-03-08,61.36,62.64,61.03,61.96,5027440,49385,62.06052
2021-03-09,62.5,62.605,61.81,62.15,4960740,44672,62.116708
2021-03-10,62.24,62.74,61.86,62.18,3531079,36160,62.206938
2021-03-11,61.92,62.89,61.821,61.86,2833685,30447,62.268104
2021-03-12,61.54,62.601,61.14,62.08,3190185,34842,62.018438
2021-03-15,62.32,63.4694,62.32,63.07,5298087,45927,63.097129
2021-03-16,62.98,63.63,62.86,63.41,3053305,30125,63.385232
2021-03-17,63.34,63.4,62.545,62.69,3416646,34732,62.89902
