Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,41.49,41.68,40.97,41.22,22786478,127122,41.254367
2021-01-04,41.5,42.245,41.0,41.5,27765240,150562,41.468958
2021-01-05,41.87,44.8,41.83,43.5,44035135,243699,43.649765
2021-01-06,44.5,45.1,43.7,44.61,36484795,222600,44.584395
2021-01-07,45.0,45.57,44.53,44.96,29528439,167478,45.01749
2021-01-08,45.23,45.82,44.95,45.46,28628824,155314,45.439812
2021-01-11,45.04,47.135,44.75,46.84,38291728,196698,46.46955
2021-01-12,47.5,48.17,46.91,47.88,36915543,197704,47.687999
2021-01-13,48.5,48.71,47.69,48.42,29017843,165287,48.336703
2021-01-14,48.5,51.08,48.5,50.31,35474756,211052,50.097757
2021-01-15,48.91,49.08,47.29,47.89,42411257,241588,48.167395
2021-01-19,48.47,49.44,48.35,48.84,24932592,133982,48.928607
2021-01-20,49.11,49.74,48.9907,49.53,22342400,125292,49.428472
2021-01-21,49.33,49.39,47.68,48.11,29059015,166573,48.227903
2021-01-22,47.01,47.64,46.64,47.43,23265157,148508,47.293253
2021-01-25,46.84,47.05,46.16,46.9,26396038,179662,46.573195
2021-01-26,47.4,47.86,45.85,45.87,24035288,150732,46.473767
2021-01-27,45.02,46.66,44.53,45.35,32410531,231017,45.549846
2021-01-28,45.99,46.59,45.69,46.06,24967506,165295,46.081399
2021-01-29,45.69,46.04,44.51,44.84,38961578,185209,45.113022
2021-02-01,45.43,45.58,44.29,44.92,24412394,161487,44.784376
2021-02-02,45.65,46.9861,45.2805,45.63,31987480,193278,45.97648
2021-02-03,45.65,47.67,45.42,47.42,28459278,156600,47.042685
2021-02-04,47.76,48.38,47.25,48.33,25306082,148458,47.955826
2021-02-05,49.44,50.12,49.04,49.95,34985139,195627,49.81476
2021-02-08,50.87,52.36,50.71,52.1,37001017,215145,51.850454
2021-02-09,50.6,50.96,49.77,50.63,28976969,158303,50.483073
2021-02-10,50.63,51.42,50.391,51.12,25723947,147683,51.005582
2021-02-11,50.9,50.93,48.78,49.84,26992059,168368,49.670098
2021-02-12,49.49,50.7116,49.41,50.52,19756699,112697,50.312782
2021-02-16,52.0,52.53,51.62,52.04,28060142,168023,52.044915
2021-02-17,52.21,53.2695,51.8,52.85,25552342,150194,52.538237
2021-02-18,52.8,52.935,51.86,52.02,20627962,128513,52.21556
2021-02-19,52.08,52.56,51.915,52.37,22607545,120683,52.282965
2021-02-22,52.6,54.81,52.59,54.3,36890312,185440,54.268135
2021-02-23,54.95,55.255,53.74,55.05,33529945,234644,54.74947
2021-02-24,55.19,57.0,54.8733,56.7,28743242,194796,56.426894
2021-02-25,57.0,57.245,55.3516,55.76,29670886,228862,56.173559
2021-02-26,54.5,55.055,53.12,54.37,35291767,240071,54.292149
2021-03-01,56.45,57.61,56.13,56.4,36998309,240755,56.837422
2021-03-02,56.45,56.96,56.02,56.07,30302647,180735,56.392778
2021-03-03,56.5,57.96,55.88,56.52,35358948,232102,56.846147
2021-03-04,57.4,59.4684,57.1,58.71,52137666,384935,58.365727
2021-03-05,59.75,61.05,59.11,60.93,51431297,386578,60.296234
2021-03-08,61.6,61.61,59.82,60.87,38154583,270661,60.838302
2021-03-09,60.5,61.39,59.47,59.93,35645897,241152,60.416843
2021-03-10,60.56,61.915,60.03,61.77,31579096,210466,61.270601
2021-03-11,61.78,62.55,61.26,61.31,24802645,170078,61.867736
2021-03-12,61.62,62.37,61.5,61.97,20422690,148876,61.985585
2021-03-15,61.55,61.855,59.87,60.39,31329556,218325,60.389574
2021-03-16,59.5,59.66,58.44,59.11,30624777,205363,59.148824
2021-03-17,59.0,59.73,58.62,59.37,25575478,183383,59.229012
2021-03-18,58.81,58.965,56.52,56.81,38623325,268745,57.599506
2021-03-19,56.8,57.465,55.8101,56.49,84443703,263701,56.600165
2021-03-22,56.47,56.86,55.9,55.91,29315788,164807,56.221156
2021-03-23,54.77,56.29,54.45,55.22,34237907,240741,55.492921
2021-03-24,56.36,57.28,56.08,56.34,29790684,199684,56.693435
2021-03-25,55.49,56.5,54.5,56.18,31495919,200557,55.646156
2021-03-26,57.33,57.78,56.5239,57.71,34226459,188848,57.276298
