Date,Open,High,Low,Close,volume,trade_count,vwap
2020-12-31,100.78,101.87,100.51,101.79,504241,7881,101.487942
2021-01-04,102.03,102.28,98.2,99.69,814728,11976,99.890609
2021-01-05,99.74,101.43,99.29,99.57,1005240,12736,99.719201
2021-01-06,100.82,104.66,100.81,103.77,1015259,15302,103.205942
2021-01-07,105.62,108.68,104.5,108.48,1539324,16615,107.701685
2021-01-08,105.87,108.84,104.5203,107.38,1632213,21269,106.677197
2021-01-11,106.55,107.4,105.11,106.02,1285147,15241,105.991935
2021-01-12,106.24,107.62,105.07,105.83,1292256,16975,106.017525
2021-01-13,106.21,106.21,104.265,105.21,1132833,15490,105.271777
2021-01-14,105.9,106.39,104.61,105.53,916496,11664,105.528719
2021-01-15,104.78,104.94,102.2,103.5,1060174,15881,103.29526
2021-01-19,104.61,105.42,103.34,104.26,1247483,16415,104.164782
2021-01-20,104.94,105.29,103.42,104.0,759174,11255,104.145464
2021-01-21,104.0,104.61,102.42,103.14,1182336,14140,103.323788
2021-01-22,102.73,103.25,102.165,102.6,1248402,15238,102.745627
2021-01-25,102.44,104.07,100.37,101.0,1247803,17866,101.317378
2021-01-26,101.45,101.77,99.22,99.23,1138014,15649,99.852022
2021-01-27,97.99,99.2,96.595,97.95,1233137,17295,97.823068
2021-01-28,99.26,100.32,98.975,99.09,1357932,16334,99.526278
2021-01-29,98.39,98.85,96.04,96.59,996291,14435,96.976037
2021-02-01,97.78,97.92,95.71,97.14,1135444,16191,96.78534
2021-02-02,98.39,99.15,96.69,97.18,1273422,18944,97.313969
2021-02-03,97.0,97.39,94.82,95.12,2544419,21817,95.436586
2021-02-04,97.69,99.57,95.05,97.17,2677935,31356,97.804465
2021-02-05,96.94,98.65,96.22,98.19,1225987,15381,97.828379
2021-02-08,98.42,101.33,98.41,100.96,1228697,16176,100.464216
2021-02-09,101.06,101.5,99.55,101.19,1125172,13348,100.858182
2021-02-10,102.19,102.22,100.11,101.14,1014991,15658,101.163003
2021-02-11,101.62,101.97,98.06,98.94,1573734,19835,98.948061
2021-02-12,98.0,99.39,96.58,99.12,1508766,17027,98.558445
2021-02-16,99.35,100.86,98.83,98.98,1468300,15932,99.448876
2021-02-17,98.39,98.99,97.445,98.19,867599,11621,98.132201
2021-02-18,97.85,98.0,94.63,96.8,1143619,15059,96.363177
2021-02-19,97.52,99.95,97.1,99.74,981162,12238,99.201694
2021-02-22,99.09,100.2,98.91,99.48,932738,11764,99.670591
2021-02-23,99.91,99.91,97.46,98.85,833527,14517,98.565061
2021-02-24,99.17,101.73,97.92,101.09,793899,12151,100.608867
2021-02-25,100.97,102.405,99.6,100.0,1022113,15471,100.852371
2021-02-26,99.95,100.96,99.525,99.56,1392393,16643,100.008285
2021-03-01,100.61,103.44,100.61,102.23,855465,13867,102.42855
2021-03-02,102.18,102.73,101.37,101.96,873083,12575,102.091708
2021-03-03,102.18,102.91,101.09,101.14,928049,15355,101.929664
2021-03-04,100.9,101.24,97.06,98.5,899702,13149,99.222623
2021-03-05,99.53,100.57,96.69,100.24,1044377,17029,99.236301
2021-03-08,100.45,102.82,100.15,100.92,689831,11356,101.430042
2021-03-09,101.06,102.45,99.95,100.01,906681,12520,100.855201
2021-03-10,100.47,101.16,99.47,101.0,1011812,13828,100.737
2021-03-11,100.99,102.29,100.55,101.06,707348,9673,101.320559
2021-03-12,101.61,102.0,100.75,101.87,573812,8600,101.614118
2021-03-15,101.72,104.17,101.33,104.06,859138,12475,103.033449
2021-03-16,103.76,104.29,101.975,102.56,763190,11975,102.689973
2021-03-17,103.24,104.77,102.43,104.37,878908,11232,103.902406
2021-03-18,103.85,106.4,103.85,104.17,1271866,17310,105.119003
2021-03-19,103.8,104.85,103.185,104.01,2014047,15789,104.042834
2021-03-22,103.56,103.85,101.145,102.43,1131032,16355,102.193939
2021-03-23,101.39,102.24,99.85,100.4,1037032,15328,100.863521
2021-03-24,101.23,103.2,101.02,101.11,1091762,14950,101.642749
2021-03-25,101.14,102.41,99.16,101.93,1070689,15800,101.289459
2021-03-26,102.8,104.85,102.17,104.76,790988,11758,103.722392
2021-03-29,104.4,105.05,103.365,104.27,808893,12420,104.259622
2021-03-30,104.46,105.07,103.53,104.88,773822,11041,104.492276
2021-03-31,105.5,106.015,103.53,105.18,1060999,13227,105.190376
2021-04-01,106.13,106.61,104.12,104.64,752257,11475,104.826766
2021-04-05,105.2,106.59,105.16,106.42,826833,10913,106.184266
2021-04-06,106.64,107.98,106.05,106.51,752127,10440,106.885636
2021-04-07,106.03,106.49,105.21,105.94,648530,10411,105.683183
2021-04-08,105.57,106.25,104.94,105.73,551020,10061,105.640523
2021-04-09,106.41,108.0,106.14,108.0,775447,10155,107.231229
2021-04-12,108.0,108.49,107.56,108.41,482508,9423,108.131665
2021-04-13,108.23,108.23,106.67,107.11,482637,8066,107.242769
2021-04-14,107.0,108.17,106.97,107.8,437746,7576,107.773253
2021-04-15,107.93,108.296,107.02,108.04,677560,10967,107.721619
2021-04-16,109.22,109.665,108.01,108.61,743656,9382,108.66964
2021-04-19,108.97,108.98,107.76,108.21,526182,9111,108.205238
2021-04-20,108.2,108.77,106.5,107.59,540734,10323,107.391143
2021-04-21,107.63,109.48,107.59,109.48,590912,10394,108.931238
2021-04-22,110.0,110.72,109.03,109.08,507304,9628,109.621699
2021-04-23,109.65,110.88,109.25,110.48,468869,8750,110.292067
2021-04-26,111.0,111.99,110.28,110.44,508134,8952,110.808835
2021-04-27,110.35,111.48,109.9,111.36,537675,7549,110.85138
2021-04-28,111.57,112.1192,111.06,111.26,461667,8425,111.496844
2021-04-29,112.0,112.64,111.13,112.27,539368,9952,112.030577
2021-04-30,111.49,111.93,110.305,110.65,766437,12807,110.836638
2021-05-03,111.51,112.14,110.42,111.6,876715,16523,111.561286
2021-05-04,112.67,116.31,111.41,115.95,1291515,19993,115.313988
2021-05-05,117.14,117.68,114.91,117.36,882456,13419,116.930371
2021-05-06,117.59,118.88,116.85,118.75,798170,12920,118.103882
2021-05-07,118.57,119.6,117.74,119.34,764123,12649,118.951784
2021-05-10,120.12,121.0,119.52,119.8,637275,10240,120.17099
2021-05-11,118.65,118.95,116.75,117.63,850070,15660,117.715548
2021-05-12,117.1,117.5,112.6,112.98,891079,16857,114.052993
2021-05-13,113.11,116.44,113.0775,115.85,562072,10866,114.950425
2021-05-14,116.77,118.815,116.36,118.4,507333,9949,118.203326
2021-05-17,117.66,118.45,116.58,117.54,424147,9702,117.51539
2021-05-18,117.34,117.6368,115.0,115.14,589930,10857,115.665882
2021-05-19,113.61,113.625,112.02,113.18,1164701,18043,112.787662
2021-05-20,113.76,114.1,113.04,113.81,901056,13595,113.717911
2021-05-21,114.44,115.83,114.44,115.47,696397,10070,115.261223
2021-05-24,116.35,116.37,114.96,115.9,600650,10441,115.783273
2021-05-25,116.24,117.745,115.96,116.77,763377,12880,116.833822
2021-05-26,116.52,116.95,116.05,116.86,543381,10874,116.667981
2021-05-27,118.36,118.61,117.18,117.6,833434,11822,117.711292
2021-05-28,117.47,118.4,117.36,118.12,515425,9187,118.008143
2021-06-01,119.36,119.865,118.91,119.28,666021,11830,119.297401
2021-06-02,119.23,119.395,118.28,118.77,537009,9891,118.761671
2021-06-03,118.11,118.54,117.37,118.5,759290,10832,118.107055
2021-06-04,119.0,119.54,118.65,119.24,598950,9293,119.035001
2021-06-07,119.33,119.5328,118.37,119.0,633358,11182,118.833317
2021-06-08,118.83,120.04,117.77,119.76,527464,9779,119.390842
2021-06-09,119.45,119.45,118.27,118.45,670813,9377,118.612297
2021-06-10,119.22,119.43,118.05,118.23,729310,11521,118.408253
2021-06-11,118.83,119.08,117.14,118.16,757524,12291,117.869133
2021-06-14,117.89,118.11,115.96,117.27,648249,11929,116.764138
2021-06-15,117.35,118.205,116.48,118.09,745484,13362,117.686215
2021-06-16,117.75,118.1,115.32,115.49,1006674,16465,116.363081
2021-06-17,115.6,116.06,112.46,113.94,1068105,18312,113.876791
2021-06-18,112.55,114.23,112.1742,113.42,2228525,17387,113.486619
2021-06-21,114.74,116.9,114.74,116.33,720322,14119,116.221916
2021-06-22,116.3,116.95,115.56,116.38,727444,10999,116.46054
2021-06-23,117.0,117.26,115.85,116.07,664722,11822,116.457777
2021-06-24,116.6,117.48,115.62,116.92,646631,11916,116.711282
2021-06-25,117.43,117.89,116.43,116.85,3218574,13996,116.922553
2021-06-28,117.12,119.525,116.25,119.2,915492,15917,118.661909
2021-06-29,119.63,120.34,119.04,119.24,712021,12558,119.467332
2021-06-30,118.82,120.22,118.59,119.96,732775,10822,119.821872
2021-07-01,121.0,121.53,119.7501,120.14,496564,9939,120.203895
2021-07-02,120.41,121.5,119.95,120.89,492441,9693,120.98524
2021-07-06,121.1,121.22,118.92,120.46,961796,14417,120.16655
2021-07-07,120.54,121.3,119.84,120.67,1636062,20107,120.420634
2021-07-08,119.13,119.6,117.9,119.19,854915,15231,118.966539
2021-07-09,121.12,121.35,120.26,121.05,646503,10801,120.919557
2021-07-12,120.32,121.72,120.04,121.64,640902,12088,121.237202
2021-07-13,121.74,121.97,120.37,120.77,804187,15238,120.829922
2021-07-14,121.0,121.86,120.05,121.01,748604,11401,120.728284
2021-07-15,120.15,121.66,118.85,120.01,837723,14445,120.121006
2021-07-16,120.79,121.63,118.76,119.36,840466,13445,119.583906
2021-07-19,117.9,118.215,115.95,117.23,908637,15859,116.935836
2021-07-20,117.92,121.78,117.755,121.53,1105979,16270,120.953977
2021-07-21,121.96,122.86,121.68,122.43,599500,10220,122.253837
2021-07-22,122.66,122.66,121.65,122.0,413073,8569,122.099052
2021-07-23,123.1,123.535,122.34,123.26,546321,10941,123.17878
2021-07-26,123.25,124.24,122.93,124.08,708265,13004,123.79815
2021-07-27,123.48,124.78,122.63,123.95,580037,9807,123.70028
2021-07-28,124.03,124.3499,121.835,122.93,852201,11060,122.913846
2021-07-29,124.18,125.37,123.71,125.06,476659,8286,124.911546
2021-07-30,124.93,126.03,124.44,125.85,676288,10321,125.523256
2021-08-02,126.67,127.84,125.47,125.64,640845,13056,126.122514
