Date,Open,High,Low,Close,Volume,OpenInterest
2020-12-04,105.09,106.15,104.77,105.88,748567,0.0
2020-12-07,105.53,105.69,104.67,105.24,1012598,0.0
2020-12-08,104.6,105.63,104.48,105.16,1101845,0.0
2020-12-09,105.6,106.91,105.1,106.56,1073918,0.0
2020-12-10,106.16,107.08,105.9,106.46,1165876,0.0
2020-12-11,105.88,106.5,105.35,105.99,1087089,0.0
2020-12-14,106.89,106.89,105.33,105.5,1310610,0.0
2020-12-15,106.38,107.65,105.965,107.35,1221976,0.0
2020-12-16,107.51,108.64,107.17,107.41,999115,0.0
2020-12-17,108.73,108.88,107.85,108.78,1122125,0.0
2020-12-18,108.82,110.17,108.795,109.8,2138069,0.0
2020-12-21,108.12,109.45,106.67,108.66,973719,0.0
2020-12-22,108.06,108.315,107.02,107.4,1019072,0.0
2020-12-23,107.16,107.93,106.79,106.82,747174,0.0
2020-12-24,107.22,107.69,106.94,107.55,305330,0.0
2020-12-28,108.49,109.85,107.38,109.77,1629840,0.0
2020-12-29,109.63,110.56,109.4,109.45,1151062,0.0
2020-12-30,109.35,110.66,109.33,109.57,1160708,0.0
2020-12-31,108.74,109.175,107.38,108.53,1127049,0.0
2021-01-04,109.02,109.02,104.86,105.86,1636363,0.0
2021-01-05,105.64,106.35,105.2,105.83,946451,0.0
2021-01-06,105.63,106.7,105.39,106.41,1093400,0.0
2021-01-07,106.5,106.99,105.28,105.65,1495917,0.0
2021-01-08,105.81,107.45,105.6199,107.14,974189,0.0
2021-01-11,106.8,108.04,106.585,107.7,936057,0.0
2021-01-12,107.49,108.451,106.475,107.65,2022490,0.0
2021-01-13,107.12,107.73,106.28,107.17,1920012,0.0
2021-01-14,107.78,109.66,107.31,107.79,1143366,0.0
2021-01-15,107.52,107.52,106,106.61,957316,0.0
2021-01-19,106.96,108,106.75,107.39,1309656,0.0
2021-01-20,107.65,109.63,107.42,109.4,1086595,0.0
2021-01-21,109.5,109.5,107.87,107.88,879651,0.0
2021-01-22,107.36,107.61,106.07,107.12,736895,0.0
2021-01-25,106.29,106.38,104.26,105.25,1261163,0.0
2021-01-26,105.65,107.2299,103.93,106.34,1611679,0.0
2021-01-27,105.54,105.66,101.79,101.95,1694168,0.0
2021-01-28,102.25,104.2,102.08,102.53,1630972,0.0
