Date,Estimate,Actual
2021-07-29,0.95,None
2021-04-28,0.87,1.07
2021-02-04,1.01,1.15
2020-10-29,0.8,1.01
2020-07-30,0.53,0.82
2020-04-29,0.66,0.64
2020-02-06,1.13,1
2019-10-30,0.94,0.8
2019-08-01,0.87,0.93
2019-05-01,0.81,0.82
2019-02-07,0.95,0.4
2018-10-31,0.83,1.04
2018-08-02,0.74,0.82
2018-05-02,0.68,0.9
2018-02-08,0.8,0.96
2017-11-02,0.67,0.68
2017-08-03,0.61,0.68
2017-05-03,0.6,0.65
2017-02-09,0.74,0.79
2016-10-05,1.1,1.09
2016-07-13,0.74,0.75
2016-04-20,0.83,0.95
2016-02-03,0.66,0.68
2015-10-06,1.07,1
2015-07-14,0.62,0.69
2015-04-21,0.72,0.8
2015-02-04,0.66,0.61
2014-10-07,0.88,0.87
2014-07-16,0.74,0.73
2014-04-22,0.85,0.87
2014-02-03,0.8,0.86
2013-10-08,0.93,0.85
2013-07-10,0.54,0.56
2013-04-23,0.6,0.7
2013-02-04,0.82,0.83
2012-10-09,0.97,0.99
2012-07-18,0.7,0.67
2012-04-18,0.73,0.76
2012-02-06,0.74,0.75
2011-10-04,0.83,0.83
2011-07-13,0.61,0.66
2011-04-20,0.64,0.63
2011-02-02,0.6,0.63
2010-10-05,0.72,0.73
2010-07-13,0.55,0.58
2010-04-14,0.53,0.59
2010-02-03,0.48,0.5
2009-10-06,0.58,0.7
2009-07-14,0.43,0.5
2009-04-22,0.4,0.48
2009-02-03,0.45,0.46
2008-10-07,0.54,0.58
2008-07-16,0.42,0.45
2008-04-22,0.4,0.42
2008-02-04,0.42,0.44
2007-10-08,0.45,0.5
2007-07-11,0.36,0.39
2007-05-01,0.32,0.35
2007-02-12,0.39,0.42
2006-10-11,0.38,0.42
2006-07-19,0.31,0.34
2006-04-24,0.29,0.3
2006-02-06,0.39,0.39
2005-10-05,0.35,0.36
2005-07-13,0.28,0.31
2005-04-20,0.26,0.27
2005-02-01,0.36,0.37
2004-10-05,0.3,0.31
2004-07-13,0.26,0.28
2004-04-21,0.22,0.24
2004-02-11,0.31,0.33
2003-10-07,0.26,0.27
2003-07-15,0.23,0.24
2003-04-23,0.19,0.2
2003-02-10,0.28,0.28
2002-10-09,0.24,0.25
2002-07-23,0.22,0.23
2002-04-29,0.19,0.2
2002-02-11,0.26,0.27
2001-10-16,0.2,0.2
2001-07-26,0.18,0.18
2001-05-01,0.16,0.15
2001-02-14,0.2,0.2
2000-10-11,0.21,0.19
2000-07-18,0.18,0.19
2000-04-26,0.14,0.16
2000-02-09,0.17,0.2
1999-10-12,0.22,0.18
1999-07-20,0.22,0.15
1999-04-28,0.12,0.13
1999-02-11,0.17,0.14
1998-10-15,0.19,0.21
1998-07-27,0.12,0.11
1998-04-27,0.07,0.09
1998-02-13,0.1,0.08
1997-10-21,0.1,0.14
