Date,Estimate,Actual
2021-08-03,1.87,None
2021-05-04,1.53,1.71
2021-02-05,2.06,2.11
2020-11-06,1.07,1.81
2020-08-04,-0.73,0.05
2020-05-11,1.38,1.7
2020-02-04,2.27,2.3
2019-11-05,1.75,1.77
2019-07-26,1.91,1.93
2019-04-26,1.86,1.87
2019-02-01,2.17,2.18
2018-10-26,1.61,1.63
2018-07-27,1.88,1.92
2018-04-26,1.89,1.91
2018-01-30,2.1,2.1
2017-11-01,1.74,1.72
2017-07-27,2.1,2.08
2017-04-27,2.11,2.13
2017-01-31,2.11,2.14
2016-10-31,1.79,1.79
2016-07-28,1.97,2.02
2016-04-28,1.93,2
2016-01-28,2.04,2.09
2015-10-29,1.56,1.64
2015-07-30,1.55,1.59
2015-04-30,1.51,1.58
2015-01-29,1.71,1.71
2014-10-23,1.3,1.35
2014-07-24,1.49,1.49
2014-04-24,1.47,1.5
2014-01-30,1.62,1.66
2013-10-24,1.24,1.25
2013-07-25,1.44,1.43
2013-04-25,1.4,1.41
2013-01-31,1.49,1.51
2012-10-25,1.13,1.15
2012-07-26,1.32,1.34
2012-04-26,1.3,1.3
2012-01-26,1.34,1.36
2011-10-27,1.03,1.04
2011-07-27,1.19,1.21
2011-04-28,1.12,1.19
2011-01-27,1.19,1.27
2010-10-28,0.95,0.96
2010-07-22,1.05,1.09
2010-04-22,1.01,1.02
2010-01-28,1.08,1.12
2009-10-22,0.86,0.88
2009-07-23,0.96,1
2009-04-23,0.94,0.95
2009-01-29,1,1
2008-10-23,0.89,0.97
2008-07-22,1.03,1.03
2008-04-24,1.04,1.04
2008-01-29,1.04,1.18
2007-10-24,0.91,0.91
2007-07-25,0.98,0.98
2007-04-25,0.93,0.98
2007-01-29,0.99,1.02
2006-10-25,0.75,0.77
2006-07-26,0.82,0.83
2006-04-26,0.81,0.82
2006-01-30,0.83,0.86
2005-10-26,0.67,0.7
2005-07-27,0.75,0.8
2005-04-25,0.67,0.75
2005-01-31,0.64,0.71
2004-10-25,0.53,0.56
2004-07-28,0.55,0.58
2004-04-26,0.51,0.56
2004-02-09,0.48,0.51
2003-10-22,0.41,0.43
2003-07-23,0.42,0.45
2003-04-23,0.38,0.41
2003-01-29,0.34,0.37
2002-10-21,0.3,0.33
2002-07-24,0.3,0.34
2002-04-24,0.25,0.28
2002-02-05,0.27,0.27
2001-10-30,0.23,0.25
