Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-19,236.11,243.93,235.775,240.54,440225,0.0
2020-05-20,242,243.17,239.99,241.35,652584,0.0
2020-05-21,242.09,246.3489,241.01,244.16,503252,0.0
2020-05-22,243.75,245.545,240.46,243.71,488608,0.0
2020-05-26,250,259.35,246.69,255.79,497064,0.0
2020-05-27,257.29,261.24,254.12,258.59,454171,0.0
2020-05-28,258.24,263.69,256.915,257.44,282788,0.0
2020-05-29,257.86,261.99,254.1,260.92,280060,0.0
2020-06-01,259.33,266.22,258.02,264.82,230305,0.0
2020-06-02,265.9375,267.075,261.66,264.33,218584,0.0
2020-06-03,267.48,272,265.04,269.02,596048,0.0
2020-06-04,266.97,267.36,259.26,261.28,300723,0.0
2020-06-05,265.17,278.02,263.89,278.02,377019,0.0
2020-06-08,273.59,278.6,271.99,276.88,485430,0.0
2020-06-09,273.28,275.546,269.97,270.47,534362,0.0
2020-06-10,270.46,271.1769,266.835,267.37,184855,0.0
2020-06-11,259.83,260.7954,249.62,250.45,584350,0.0
2020-06-12,258.99,260.075,255.65,256.08,61214,0.0
2020-06-15,251.63,259.48,249.1,259.08,248755,0.0
2020-06-16,267.09,269.67,261.21,266.45,396896,0.0
2020-06-17,266.09,267.5159,260.26,260.74,160247,0.0
2020-06-18,260.29,263.335,257.81,262.04,246764,0.0
2020-06-19,268.08,268.08,253.46,262.93,558190,0.0
2020-06-22,262.44,265.14,259.14,262.06,240626,0.0
2020-06-23,266.15,266.15,260.29,260.77,236334,0.0
2020-06-24,259.84,260.21,246.6,250.5,326414,0.0
2020-06-25,248.99,253.93,247.62,253.87,184037,0.0
2020-06-26,253.5,256.78,244.6,246.31,435842,0.0
2020-06-29,246.96,253.32,244.32,252.05,199567,0.0
2020-06-30,252.75,258.06,251.65,255.71,206952,0.0
2020-07-01,256.47,256.93,250.95,251.23,183017,0.0
2020-07-02,256.49,259.73,254.355,255.03,183676,0.0
2020-07-06,260,263.85,258.015,261.85,235387,0.0
2020-07-07,260.84,261.9,253.82,254.105,234671,0.0
2020-07-08,254.04,257.23,253.561,257.21,199410,0.0
2020-07-09,260.9,264.445,258.03,261.76,281993,0.0
2020-07-10,264.11,264.11,255.32,260.8,226620,0.0
2020-07-13,264.91,265.3,255.07,255.65,178330,0.0
2020-07-14,257.08,266.79,256.69,266.63,277752,0.0
2020-07-15,272.22,273.23,264.07,268.17,222699,0.0
2020-07-16,267.47,269.12,264.68,267.71,166480,0.0
2020-07-17,269.1,274.54,269.1,273.44,222929,0.0
2020-07-20,274.52,276.72,271.09,276.17,186403,0.0
2020-07-21,277.19,279.99,272.33,273.27,198368,0.0
2020-07-22,272.75,278.795,272.75,276.82,203174,0.0
2020-07-23,275.51,277.64,274.2,275.82,151361,0.0
2020-07-24,272,273.27,267.3,269.91,382070,0.0
2020-07-27,270.96,275.315,270.125,273.83,316900,0.0
2020-07-28,287.83,287.83,270.53,270.97,412518,0.0
2020-07-29,274.31,278.7,272.61,273.86,314578,0.0
2020-07-30,271.59,275.71,269.79,275,184785,0.0
2020-07-31,275.75,281.23,274.385,280.75,401440,0.0
2020-08-03,283.42,283.42,279.09,280.58,148023,0.0
2020-08-04,280.9,285.11,279.56,284.68,254965,0.0
2020-08-05,286.32,289.1,284.03,288.85,192625,0.0
2020-08-06,285.18,288.2425,284,286.72,206238,0.0
2020-08-07,284.73,285.02,281.26,283.06,154811,0.0
2020-08-10,281.64,282.98,277.615,280.25,174370,0.0
2020-08-11,282.02,284.04,279.675,280.41,154423,0.0
2020-08-12,281.97,284.63,280.32,284.01,177113,0.0
2020-08-13,283.22,285.95,282.37,285.73,111463,0.0
2020-08-14,284.78,286.22,282.9,286.07,125078,0.0
2020-08-17,288.49,291.3,286,286.62,183904,0.0
2020-08-18,278.61,285.29,278.61,282.14,207463,0.0
2020-08-19,282.92,285.25,281.4003,283.14,209826,0.0
2020-08-20,282.56,282.7,275.29,276.66,157703,0.0
2020-08-21,277.41,277.41,273.67,274.99,203043,0.0
2020-08-24,279.37,284.5537,274.36,275.35,218696,0.0
2020-08-25,276.22,281.185,274.45,277.78,292165,0.0
2020-08-26,278.21,286.17,278.01,284.73,276976,0.0
2020-08-27,287.23,287.71,275.53,276.97,235377,0.0
2020-08-28,278.3,280.5,277.7,280.07,151722,0.0
2020-08-31,281.29,287.15,281.05,286.38,185653,0.0
2020-09-01,287.3,287.471,283.91,287.12,190548,0.0
2020-09-02,289.16,295.525,286.1,294.3,250447,0.0
2020-09-03,291.16,291.16,267.24,269.42,357614,0.0
2020-09-04,268.85,271.29,257.3108,260.675,310591,0.0
2020-09-08,254.55,255.61,247.7,249.26,502431,0.0
2020-09-09,260.28,262.5537,253.74,255.12,478389,0.0
2020-09-10,254.8937,257.9,248.72,249.46,265334,0.0
2020-09-11,252.58,253.22,249.51,249.96,174621,0.0
2020-09-14,253.43,255.58,249.025,251.19,236481,0.0
2020-09-15,254.18,259.37,253.12,257.49,224188,0.0
2020-09-16,260.1,260.2,253.35,253.75,194990,0.0
2020-09-17,250.73,256.38,249.4,256.33,198991,0.0
2020-09-18,255.95,260.69,253.82,256,297654,0.0
2020-09-21,251.02,255.96,247.47,248.69,311493,0.0
2020-09-22,251,252.86,246.83,252,327762,0.0
2020-09-23,253.86,254.99,249.4,249.57,204079,0.0
2020-09-24,247.31,252.72,247.31,250.49,165966,0.0
2020-09-25,251.91,258.7,250.045,257.46,191912,0.0
2020-09-28,261.06,264.025,259.05,260.54,219604,0.0
2020-09-29,262.21,263.09,257.63,258.82,154130,0.0
2020-09-30,258.07,259.385,250.45,252.34,479629,0.0
2020-10-01,256.81,259.15,254.34,258.4,397268,0.0
2020-10-02,252.52,259.21,252.52,258.84,290082,0.0
2020-10-05,261.09,268.47,260.4,268.13,248311,0.0
2020-10-06,267.14,273.49,267.14,270.04,297962,0.0
2020-10-07,274.01,278.305,272.83,276.5,207996,0.0
