Date,Open,High,Low,Close,Volume,OpenInterest
2020-05-04,30.52,30.855,30.18,30.67,5656758,0.0
2020-05-05,31.1148,31.39,30.15,30.18,2701370,0.0
2020-05-06,30.51,30.6,29.49,29.87,5417602,0.0
2020-05-07,29.91,30.71,29.46,29.58,2386977,0.0
2020-05-08,30.28,30.84,29.95,30.72,4858294,0.0
2020-05-11,30.37,30.43,29.2,29.21,3930324,0.0
2020-05-12,29.35,29.44,27.77,27.82,2240980,0.0
2020-05-13,27.54,27.65,25.84,26.32,2550316,0.0
2020-05-14,25.61,27.685,25.07,27.53,3514816,0.0
2020-05-15,27.42,27.62,26.81,27.02,3800544,0.0
2020-05-18,28.08,30.38,28.08,30.23,2544693,0.0
2020-05-19,29.93,30.08,29.02,29.2,2090037,0.0
2020-05-20,30.52,31.49,30.2,31.12,6383546,0.0
2020-05-21,30.84,31.675,30.62,30.74,5100784,0.0
2020-05-22,30.89,31.095,29.9,30.19,3668950,0.0
2020-05-26,31.56,33.5,31.5263,32.93,2834667,0.0
2020-05-27,34.66,35.19,33.49,35.08,2870817,0.0
2020-05-28,35.31,35.31,33.7,34.02,3015629,0.0
2020-05-29,33.21,33.9,32.87,32.9,3010946,0.0
2020-06-01,33.16,33.92,32.77,33.41,1398459,0.0
2020-06-02,34,34.34,33.15,33.46,1550968,0.0
2020-06-03,34.33,35.72,34.11,35.49,3944870,0.0
2020-06-04,35.41,37.23,34.93,37.2,1833443,0.0
2020-06-05,40.41,40.97,38.32,38.67,2901561,0.0
2020-06-08,39.92,40.7,39.24,40.54,4352882,0.0
2020-06-09,39.17,39.6,38.32,39.365,5110511,0.0
2020-06-10,38.76,38.97,36.75,36.77,2953535,0.0
2020-06-11,34.74,35.04,33.56,33.68,7194250,0.0
2020-06-12,34.99,35.34,33.83,33.835,658117,0.0
2020-06-15,33.39,36.305,33.25,36.1,2625140,0.0
2020-06-16,37.7,37.94,35.97,36.97,4788891,0.0
2020-06-17,37.06,37.18,35.89,35.93,1632159,0.0
2020-06-18,35.21,36.66,35.02,36.13,3826961,0.0
2020-06-19,36.89,36.89,35.09,36.07,2779700,0.0
2020-06-22,35.92,36.29,35.26,35.75,1419098,0.0
2020-06-23,36.39,36.74,35.46,35.48,1318480,0.0
2020-06-24,35,35,33.18,33.22,2458569,0.0
2020-06-25,32.91,34.4,32.91,34.26,1480663,0.0
2020-06-26,33.55,33.61,32.21,32.28,1722864,0.0
2020-06-29,32.93,33.51,32.52,33.05,1314521,0.0
2020-06-30,33.01,34.25,32.805,34,1298054,0.0
2020-07-01,33.93,34.06,32.475,32.55,1245407,0.0
2020-07-02,33.32,33.81,32.26,32.41,1495832,0.0
2020-07-06,33.22,33.78,32.46,32.9,1051466,0.0
2020-07-07,32.38,32.89,31.42,31.55,1616713,0.0
2020-07-08,31.38,32.02,30.94,31.69,1824555,0.0
2020-07-09,31.29,31.6,30.12,30.44,1571155,0.0
2020-07-10,30.37,32.23,30.33,32.21,1481766,0.0
2020-07-13,32.76,33.26,31.75,32.88,2047003,0.0
2020-07-14,32.86,32.93,31.67,32.02,1807664,0.0
2020-07-15,32.73,33.695,32.46,33.54,1468407,0.0
2020-07-16,33.14,34.14,32.91,33.43,969349,0.0
2020-07-17,33.24,33.65,32.46,32.57,2047182,0.0
2020-07-20,32.34,32.53,31.63,31.99,2124444,0.0
2020-07-21,31.9,33.88,31.71,33.75,3030876,0.0
2020-07-22,33.29,33.78,32.985,33.29,1729031,0.0
2020-07-23,33.4,34.29,33.28,34.03,1035968,0.0
2020-07-24,34.25,34.49,33.615,33.63,1125698,0.0
2020-07-27,33.39,33.5,32.37,32.42,1269795,0.0
2020-07-28,32.32,32.75,32.19,32.27,1100285,0.0
2020-07-29,32.13,33.415,31.855,33.36,1653384,0.0
2020-07-30,32.71,32.81,31.67,32.775,1152996,0.0
2020-07-31,32.6,32.69,31.94,32.48,1292880,0.0
2020-08-03,32.6,32.745,32.04,32.43,1032911,0.0
2020-08-04,32.27,32.48,31.92,32.23,992958,0.0
2020-08-05,32.61,33.13,32.4,33.07,1229743,0.0
2020-08-06,32.75,33.05,32.335,32.57,1019752,0.0
2020-08-07,32.32,33.79,32.02,33.79,946763,0.0
2020-08-10,34.5,35.08,34.38,34.7,1292451,0.0
2020-08-11,35.52,36.51,35.19,35.38,1603886,0.0
2020-08-12,35.61,35.76,33.92,34.69,1105712,0.0
2020-08-13,34.23,35,33.99,34.27,652366,0.0
2020-08-14,33.82,34.94,33.78,34.49,696015,0.0
2020-08-17,34.21,34.38,33.66,33.87,1006832,0.0
2020-08-18,33.88,34.2422,32.68,32.74,1039765,0.0
2020-08-19,32.94,33.47,32.61,32.91,1034131,0.0
2020-08-20,32.45,32.6,31.88,32.13,1262174,0.0
2020-08-21,32.08,32.33,31.33,31.59,1843558,0.0
2020-08-24,31.71,33.06,31.54,33.04,1257354,0.0
2020-08-25,33.44,33.82,32.54,33.06,1107876,0.0
2020-08-26,33.17,33.17,32.265,32.28,912209,0.0
2020-08-27,32.33,33.575,32.31,33.29,1720934,0.0
2020-08-28,33.34,33.5,32.76,33.02,1328996,0.0
2020-08-31,33.06,33.06,32.12,32.14,1329187,0.0
2020-09-01,31.86,32.78,31.6,32.18,1186227,0.0
2020-09-02,32.13,32.605,31.71,32.39,1368852,0.0
2020-09-03,32.69,33.94,32.31,32.49,1833834,0.0
2020-09-04,33.55,33.97,32.81,33.685,1721863,0.0
2020-09-08,33.15,33.44,31.81,32.22,1629673,0.0
2020-09-09,32.66,32.66,31.81,32.11,1132063,0.0
2020-09-10,32.5,32.55,31.06,31.11,1120123,0.0
2020-09-11,31.08,31.55,30.85,31.49,1071617,0.0
2020-09-14,31.57,32.67,31.57,32.25,792227,0.0
2020-09-15,32.24,32.24,31.1,31.15,1460710,0.0
2020-09-16,31.13,32.37,30.8,31.81,1477356,0.0
2020-09-17,31.37,31.83,31.24,31.52,865522,0.0
2020-09-18,31.28,31.75,31.03,31.42,1217139,0.0
2020-09-21,30.69,30.95,29.49,29.82,1152025,0.0
2020-09-22,29.66,30.11,28.51,28.62,1503237,0.0
2020-09-23,28.78,29.39,28.185,28.255,1313622,0.0
2020-09-24,28.27,28.8829,27.68,28.22,1189143,0.0
2020-09-25,27.82,28.54,27.55,28.45,1355799,0.0
2020-09-28,28.99,29.64,28.83,29.38,1265450,0.0
2020-09-29,29.2202,29.56,28.54,28.98,1210344,0.0
2020-09-30,29.08,29.57,28.87,29.21,1493642,0.0
2020-10-01,29.22,29.57,28.79,29.11,1315160,0.0
2020-10-02,28.76,29.96,28.57,29.86,2793190,0.0
2020-10-05,30.39,31.49,30.39,31.27,1248036,0.0
2020-10-06,31.66,32.34,30.81,30.88,1235591,0.0
2020-10-07,31.27,32.26,31.27,32.14,902863,0.0
2020-10-08,32.23,32.33,31.63,32.14,860487,0.0
2020-10-09,32.32,32.5,31.47,31.58,711620,0.0
2020-10-12,31.54,31.9,31.42,31.83,838760,0.0
2020-10-13,31.6,31.67,30.51,30.52,891703,0.0
2020-10-14,30.66,31,30.21,30.22,1024889,0.0
2020-10-15,29.83,31.18,29.83,31.18,1660541,0.0
2020-10-16,31.1,31.32,30.46,31.14,1625316,0.0
2020-10-19,31.36,31.5208,30.22,30.22,1173667,0.0
2020-10-20,31.58,31.58,30.01,30.49,2365682,0.0
2020-10-21,30.33,31.11,30.04,30.05,1453498,0.0
2020-10-22,30.25,32.35,30.06,32.25,2194753,0.0
2020-10-23,32.61,33.32,32.03,33.2,2842310,0.0
2020-10-26,32.89,32.89,31.995,32.47,1937115,0.0
2020-10-27,32.12,32.63,31.08,31.08,1506520,0.0
2020-10-28,30.29,31.14,30.27,30.61,1563127,0.0
2020-10-29,30.34,31.715,29.83,31.56,1570110,0.0
2020-10-30,31.33,32.31,31.24,32.29,1418072,0.0
2020-11-02,32.72,33.345,31.91,33.21,943585,0.0
2020-11-03,33.62,34.7,33.53,34.47,1629512,0.0
2020-11-04,32.34,32.84,30.605,30.93,3902231,0.0
2020-11-05,31.15,32.81,31.1,32.56,1810199,0.0
2020-11-06,32.92,33.21,31.72,31.95,1427687,0.0
2020-11-09,35,40.895,34.96,39.58,4848903,0.0
2020-11-10,39.63,39.88,38.46,38.99,2158377,0.0
