Date,Estimate,Actual
2022-05-03,None,None
2022-02-15,None,None
2021-10-25,None,None
2021-07-29,-0.13,-0.11
2021-05-05,-0.09,0.05
2021-02-17,-0.07,0.04
2020-10-26,-0.03,0.04
2020-08-04,-0.09,0.09
2020-05-06,-0.11,0.06
2020-02-05,0.02,0.04
2019-10-30,0.01,0.03
2019-07-31,0.03,0.03
2019-04-30,0.01,0.05
2019-02-12,0.04,0.04
2018-11-06,0.02,0.07
2018-08-06,-0.05,0.03
2018-05-08,-0.07,-0.04
2018-02-13,-0.06,-0.03
2017-11-08,-0.08,-0.08
2017-08-07,-0.11,-0.05
2017-05-02,-0.06,-0.04
2017-02-07,-0.05,0
2016-11-03,-0.08,-0.04
2016-08-08,-0.14,-0.08
2016-06-22,None,None
