Date,Estimate,Actual
2022-04-26,None,None
2022-01-25,None,None
2021-10-26,1.49,None
2021-07-28,1.14,1.2
2021-04-28,1.82,1.89
2021-01-27,1.29,1.52
2020-10-28,0.98,1.41
2020-07-29,0.96,1.14
2020-04-29,1.89,1.92
2020-01-29,1.45,1.52
2019-10-30,1.33,1.34
2019-07-31,1.13,1.14
2019-05-01,1.69,1.77
2019-01-30,1.18,1.34
2018-10-31,1.11,1.2
2018-08-01,0.9,0.92
2018-05-02,1.44,1.52
2018-01-31,0.9,0.99
2017-11-02,0.85,0.91
2017-07-27,0.67,0.66
2017-05-03,1.23,1.31
2017-02-01,0.81,0.87
2016-11-02,0.76,0.86
2016-07-28,0.67,0.69
2016-04-28,1.18,1.17
2016-02-03,0.72,0.72
2015-10-28,0.65,0.68
2015-07-30,0.59,0.55
2015-04-30,1.02,1.04
2015-02-04,0.68,0.7
2014-10-29,0.6,0.62
2014-07-31,0.63,0.63
2014-04-30,1.08,1.06
2014-02-05,0.77,0.8
2013-10-30,0.66,0.68
2013-08-01,0.57,0.55
2013-05-03,0.98,0.99
2013-02-05,0.71,0.72
2012-11-01,0.62,0.62
2012-08-01,0.53,0.53
2012-05-01,0.91,0.92
2012-01-25,0.68,0.68
2011-10-26,0.61,0.61
2011-07-28,0.49,0.48
2011-05-02,0.85,0.85
2011-01-26,0.61,0.62
2010-10-27,0.53,0.56
2010-07-29,0.42,0.42
2010-04-27,0.78,0.79
2010-02-02,0.57,0.6
2009-11-04,0.5,0.56
2009-07-30,0.45,0.45
2009-05-05,0.8,0.8
2009-02-03,0.56,0.59
2008-11-03,0.5,0.54
2008-07-31,0.41,0.42
2008-05-01,0.75,0.77
2008-02-01,0.53,0.55
2007-10-30,0.43,0.45
2007-07-31,0.36,0.35
2007-05-01,0.63,0.65
2007-02-06,0.51,0.51
2006-10-31,0.43,0.43
2006-08-02,0.46,0.44
2006-04-28,0.62,0.61
2006-01-25,0.45,0.44
2005-10-26,0.35,0.35
2005-07-26,0.44,0.44
2005-04-21,0.57,0.57
2005-01-21,0.42,0.42
2004-10-25,0.33,0.35
2004-07-27,0.35,0.36
2004-04-22,0.5,0.5
2004-01-22,0.37,0.38
2003-10-17,0.29,0.32
2003-07-29,0.38,0.36
2003-04-17,0.52,0.54
2003-01-15,0.43,0.43
2002-10-17,0.34,0.34
2002-07-17,0.47,0.46
2002-04-15,0.55,0.56
2002-01-17,0.41,0.42
2001-10-17,0.32,0.31
2001-08-13,0.41,0.4
2001-04-16,0.48,0.49
2001-01-17,0.36,0.36
2000-10-13,0.27,0.27
2000-08-14,0.35,0.35
2000-04-18,0.41,0.42
2000-01-18,0.32,0.31
1999-10-14,0.23,0.23
1999-08-10,0.33,0.3
1999-04-15,0.35,0.37
1999-01-14,0.28,0.27
1998-10-13,0.2,0.2
1998-08-13,0.27,0.27
1998-04-15,0.32,0.31
1998-01-16,0.25,0.25
1997-10-14,0.19,0.18
1997-08-20,0.24,0.24
