Date,Estimate,Actual
2022-04-28,None,None
2022-02-03,None,None
2021-10-29,1.7,None
2021-07-30,1.86,2.29
2021-04-30,4.05,4.28
2021-02-05,2.46,2.62
2020-10-30,1.49,1.53
2020-07-31,1.93,1.96
2020-05-01,3.66,3.68
2020-01-31,2.47,2.53
2019-10-25,1.43,1.45
2019-07-26,1.87,1.87
2019-04-26,3.31,3.31
2019-02-01,2.13,2.16
2018-10-26,1.22,1.3
2018-07-27,1.64,1.71
2018-05-04,2.81,2.97
2018-02-02,2.35,2.35
2017-10-27,1.28,1.29
2017-08-04,1.45,1.45
2017-05-09,1.29,1.45
2017-02-10,2.49,2.56
2016-10-28,1.27,1.29
2016-07-29,1.39,1.39
2016-04-29,1.33,1.35
2016-02-05,2.09,2.27
2015-10-30,1.24,1.24
2015-07-31,1.29,1.31
2015-05-01,1.28,1.37
2015-02-06,1.86,1.89
2014-10-31,1.12,1.29
2014-07-25,1.2,1.25
2014-04-25,1.18,1.28
2014-01-31,1.51,1.54
2013-10-25,1.08,1.13
2013-07-26,1.11,1.11
2013-04-26,1.1,1.11
2013-02-01,1.26,1.27
2012-10-26,0.89,0.95
2012-07-27,1.01,1.02
2012-05-04,1.06,0.98
2012-02-03,0.96,0.97
2011-10-28,0.73,0.69
2011-07-29,0.82,0.83
2011-04-29,0.8,0.8
2011-02-04,0.82,0.84
2010-10-29,0.66,0.61
2010-07-30,0.75,0.81
2010-04-30,0.81,0.83
2010-02-05,0.81,0.96
2009-10-30,0.66,0.65
2009-07-30,0.74,0.76
2009-05-01,0.88,0.76
2009-02-06,0.78,0.81
2008-10-31,0.63,0.69
2008-07-31,0.69,0.71
2008-05-01,0.62,0.71
2008-02-07,0.66,0.69
2007-10-31,0.59,0.7
2007-07-31,0.67,0.74
2007-05-03,0.66,0.7
2007-02-08,0.63,0.67
2006-11-01,0.48,0.43
2006-08-03,0.6,0.61
2006-05-04,0.63,0.59
2006-02-09,0.57,0.67
2005-11-03,0.45,0.43
2005-08-02,0.48,0.58
2005-05-03,0.46,0.59
2005-02-08,0.45,0.57
2004-10-28,0.49,0.36
2004-08-04,0.52,0.54
2004-05-03,0.56,0.6
2004-02-10,0.55,0.67
2003-11-04,0.45,0.36
2003-08-06,0.45,0.46
2003-05-05,0.47,0.48
2003-02-12,0.54,0.57
2002-10-31,0.44,0.42
2002-08-07,0.5,0.13
2002-04-30,0.46,0.47
2002-02-12,0.31,0.33
2001-11-07,0.38,0.38
2001-08-02,0.44,0.44
2001-05-03,0.23,0.23
2001-02-08,0.54,0.52
2000-11-02,0.62,0.53
2000-08-02,0.49,0.49
2000-05-04,0.48,0.47
2000-02-08,0.44,0.4
1999-11-02,0.53,0.52
1999-08-03,0.57,0.57
1999-05-04,0.57,0.58
1999-02-09,0.53,0.53
1998-11-03,0.52,0.47
1998-08-05,0.53,0.54
1998-05-05,0.53,0.53
1998-02-10,0.4,0.43
1997-11-04,0.39,0.37
1997-08-05,0.36,0.39
