Date,Estimate,Actual
2022-05-09,None,None
2022-02-02,None,None
2021-11-04,2.5,None
2021-08-09,2.37,2.31
2021-05-10,2.12,2.08
2021-02-04,2.19,2.12
2020-11-11,2.21,2.19
2020-07-23,1.99,2.01
2020-04-23,2.06,2.04
2020-01-24,2.08,2.14
2019-11-07,2.29,2.27
2019-07-25,2.15,2.17
2019-04-24,1.87,1.92
2019-01-25,1.87,1.86
2018-11-06,1.99,2
2018-07-26,1.84,1.95
2018-04-26,1.68,1.71
2018-01-26,1.65,1.79
2017-10-26,1.68,1.76
2017-08-01,1.59,1.65
2017-04-27,1.38,1.43
2017-01-27,1.48,1.47
2016-10-27,1.98,2.01
2016-07-28,1.91,1.92
2016-04-28,1.81,1.82
2016-01-29,1.71,1.78
2015-10-29,1.8,1.82
2015-07-30,1.58,1.65
2015-04-30,1.55,1.55
2015-01-29,1.49,1.55
2014-10-30,1.61,1.66
2014-07-23,1.45,1.46
2014-04-23,1.35,1.32
2014-01-28,1.33,1.34
2013-10-29,1.47,1.47
2013-07-23,1.36,1.36
2013-04-23,1.37,1.37
2013-01-23,1.29,1.3
2012-10-19,1.43,1.42
2012-07-24,1.41,1.41
2012-04-24,1.32,1.31
2012-01-24,1.36,1.36
2011-10-21,1.51,1.51
2011-07-22,1.46,1.46
2011-04-21,1.39,1.41
2011-01-21,1.34,1.35
2010-10-21,1.32,1.35
2010-07-22,1.26,1.28
2010-04-22,1.2,1.23
2010-01-22,1.14,1.16
2009-10-21,1.12,1.15
2009-07-22,0.98,1.05
2009-04-22,0.82,0.89
2009-01-21,0.97,0.97
2008-10-22,1.25,1.26
2008-07-23,1.31,1.32
2008-04-23,1.2,1.23
2008-01-23,1.13,1.16
2007-10-24,1.14,1.17
2007-07-25,1.06,1.16
2007-04-25,1.01,1.02
2007-01-24,0.93,1.03
2006-10-25,0.92,0.94
2006-07-26,0.91,0.92
2006-04-26,0.87,0.89
2006-01-25,0.78,0.8
2005-10-26,0.77,0.79
2005-07-27,0.81,0.82
2005-04-27,0.76,0.75
2005-01-26,0.68,0.72
2004-10-27,0.73,0.73
2004-07-28,0.67,0.71
2004-04-28,0.61,0.62
2004-01-21,0.56,0.58
2003-10-28,0.59,0.58
2003-07-28,0.55,0.55
2003-04-24,0.53,0.51
2003-01-22,0.59,0.58
2002-10-24,0.64,0.65
2002-07-23,0.6,0.63
2002-04-23,0.54,0.56
2002-01-22,0.54,0.52
2001-10-22,0.53,0.6
2001-07-20,0.6,0.6
2001-04-23,0.52,0.54
2001-01-22,0.61,0.62
2000-10-19,0.49,0.64
2000-07-20,0.61,0.64
2000-04-24,0.56,0.62
2000-01-21,0.52,0.56
1999-10-19,0.52,0.54
1999-07-23,0.49,0.48
1999-04-22,0.53,0.54
1999-01-22,0.56,0.55
1998-10-22,0.53,0.59
1998-07-23,0.55,0.57
1998-04-22,0.53,0.55
1998-01-22,0.52,0.53
1997-10-23,0.49,0.49
1997-07-24,0.5,0.53
