Date,Estimate,Actual
2022-01-27,None,None
2021-10-29,None,None
2021-07-30,0.8,0.8
2021-04-30,0.79,0.8
2021-01-29,0.76,0.77
2020-10-30,0.7,0.79
2020-07-31,0.7,0.74
2020-05-01,0.74,0.75
2020-01-31,0.73,0.73
2019-11-01,0.7,0.71
2019-07-26,0.73,0.72
2019-04-26,0.66,0.67
2019-01-25,0.73,0.74
2018-10-26,0.72,0.72
2018-07-27,0.77,0.77
2018-04-27,0.73,0.74
2018-01-26,0.75,0.75
2017-10-27,0.73,0.73
2017-07-21,0.72,0.72
2017-04-28,0.66,0.67
2017-01-27,0.75,0.75
2016-10-27,0.73,0.73
2016-07-28,0.69,0.7
2016-04-28,0.63,0.63
2016-01-29,0.72,0.73
2015-10-30,0.72,0.72
2015-07-30,0.7,0.7
2015-04-30,0.66,0.66
2015-01-29,0.74,0.76
2014-10-24,0.76,0.76
2014-07-31,0.73,0.73
2014-04-25,0.68,0.68
2014-01-30,0.74,0.75
2013-10-24,0.73,0.73
2013-07-25,0.7,0.7
2013-04-25,0.66,0.66
2013-01-31,0.7,0.71
2012-10-25,0.69,0.69
2012-07-26,0.67,0.67
2012-04-26,0.62,0.62
2012-01-26,0.65,0.65
2011-10-27,0.65,0.66
2011-07-28,0.62,0.63
2011-04-28,0.58,0.58
2011-01-27,0.62,0.62
2010-10-28,0.59,0.61
2010-07-29,0.58,0.59
2010-04-29,0.59,0.61
2010-01-28,0.59,0.61
2009-10-29,0.56,0.56
2009-07-30,0.52,0.54
2009-04-30,0.48,0.49
2009-01-29,0.49,0.5
2008-10-30,0.49,0.5
2008-07-29,0.47,0.49
2008-04-30,0.44,0.45
2008-01-31,0.45,0.46
2007-10-30,0.42,0.43
2007-07-25,0.42,0.42
2007-04-25,0.39,0.39
2007-01-30,0.38,0.39
2006-10-25,0.36,0.37
2006-07-25,0.36,0.36
2006-04-26,0.33,0.34
2006-01-25,0.34,0.35
2005-11-01,0.33,0.34
2005-07-27,0.33,0.34
2005-04-27,0.31,0.31
2005-01-27,0.29,0.3
2004-10-20,0.29,0.29
2004-07-21,0.33,0.33
2004-04-21,0.29,0.3
2004-02-03,0.32,0.33
2003-10-23,0.32,0.32
2003-07-22,0.31,0.31
2003-04-17,0.27,0.28
2003-02-04,0.29,0.3
2002-10-17,0.28,0.28
2002-07-23,0.27,0.28
2002-04-18,0.25,0.25
2002-02-05,0.26,0.26
2001-10-18,0.25,0.25
2001-07-23,0.24,0.24
2001-04-19,0.22,0.22
2001-02-01,0.23,0.23
2000-10-24,0.21,0.22
2000-07-20,0.2,0.21
2000-04-19,0.19,0.19
2000-02-03,0.2,0.21
1999-10-21,0.19,0.19
1999-07-21,0.17,0.18
1999-04-21,0.16,0.18
1999-02-04,0.18,0.18
1998-10-15,0.17,0.17
1998-07-23,0.16,0.17
1998-04-22,0.15,0.15
1998-02-03,0.17,0.16
1997-10-16,0.15,0.16
1997-07-24,0.14,0.14
1997-04-16,0.14,0.14
