Date,Estimate,Actual
2022-01-26,None,None
2021-10-27,None,None
2021-07-29,0.67,0.84
2021-04-29,0.59,0.76
2021-01-28,0.48,0.56
2020-10-29,0.52,0.65
2020-07-30,0.55,0.69
2020-04-30,0.68,0.71
2020-01-23,0.76,0.79
2019-10-24,0.75,0.79
2019-07-25,0.75,0.78
2019-04-25,0.68,0.76
2019-01-23,0.62,0.64
2018-10-25,0.61,0.65
2018-07-26,0.6,0.65
2018-04-25,0.59,0.62
2018-01-24,0.47,0.49
2017-10-26,0.5,0.52
2017-07-27,0.48,0.52
2017-04-27,0.45,0.53
2017-01-26,0.43,0.45
2016-10-26,0.46,0.46
2016-07-27,0.4,0.42
2016-04-27,0.4,0.44
2016-02-03,0.41,0.4
2015-10-27,0.4,0.4
2015-07-23,0.42,0.42
2015-05-04,0.37,0.41
2015-02-24,0.78,0.74
2014-10-23,0.71,0.99
2014-07-22,0.36,0.38
2014-04-22,0.32,0.34
2014-01-28,0.34,0.33
2013-10-30,0.31,0.33
2013-07-31,0.32,0.33
2013-05-01,0.25,0.26
2013-02-12,0.27,0.26
2012-10-26,0.23,0.23
2012-08-01,0.24,0.25
2012-05-02,0.21,0.23
2012-02-15,0.21,0.24
2011-11-02,0.2,0.17
2011-08-03,0.21,0.21
2011-05-03,0.17,0.17
2011-02-16,0.16,0.17
2010-10-27,0.15,0.16
2010-07-28,0.16,0.17
2010-04-28,0.15,0.16
2010-02-03,0.14,0.17
2009-11-04,0.13,0.17
2009-08-06,0.13,0.17
2009-04-30,0.12,0.14
2009-02-18,0.11,0.14
2008-10-29,0.11,0.13
2008-07-30,0.11,0.11
2008-05-01,0.09,0.1
2008-02-14,0.09,0.1
2007-10-25,0.09,0.09
2007-07-26,0.09,0.1
2007-04-26,0.08,0.09
2007-02-01,0.08,0.07
2006-10-26,0.06,0.09
2006-07-27,0.07,0.07
2006-04-27,0.05,0.07
2006-02-02,0.05,0.02
2005-11-03,0.05,0.03
2005-08-02,0.05,0.06
2005-04-28,0.04,0.05
2005-02-03,0.04,0.06
2004-10-25,0.04,0.03
2004-07-28,0.03,0.04
2004-04-28,0.02,0.01
2004-02-11,0.01,0.06
2003-10-30,0,-0.02
2003-07-31,-0.01,0
2003-05-08,-0.03,-0.04
2003-02-27,-0.04,-0.01
2002-10-28,0.05,0.09
2002-08-01,0.06,0.1
2002-05-01,0.03,0.08
2002-02-06,-0.1,-0.18
2001-10-31,-0.11,-0.13
2001-08-01,-0.1,-0.11
2001-05-08,-0.12,-0.1
2001-02-26,-0.05,-0.1
2000-12-06,-0.05,0.43
2000-08-09,0.02,0.07
2000-05-02,0.01,-0.08
2000-02-28,0.01,-0.08
1999-11-09,0.01,0.02
1999-08-09,-0.07,-0.06
1999-05-10,-0.02,0.04
1999-02-22,-0.02,-0.04
1998-11-10,-0.02,0
1998-08-13,-0.02,-0.02
1998-05-12,-0.02,-0.02
1998-02-23,-0.02,-0.02
1997-11-11,-0.02,-0.01
1997-08-11,-0.01,0
1997-05-12,-0.01,-0.02
