Date,Estimate,Actual
2022-06-01,None,None
2022-03-02,None,None
2021-09-02,3.29,None
2021-06-03,3.09,3.38
2021-03-04,2.78,3.17
2020-12-03,3.09,3.16
2020-09-03,1.52,2.28
2020-06-04,2.36,1.51
2020-03-05,2.71,2.69
2019-12-05,3.27,3.3
2019-08-29,3.18,3.23
2019-05-30,2.76,2.94
2019-03-05,2.5,2.88
2018-12-06,2.96,2.87
2018-08-30,3.07,3
2018-06-07,2.84,2.86
2018-03-08,2.51,2.79
2017-12-07,2.64,2.65
2017-08-31,2.58,2.64
2017-06-01,2.25,2.5
2017-03-02,1.87,1.93
2016-12-08,2.25,2.28
2016-09-01,2.29,2.3
2016-06-02,1.91,2.05
2016-03-03,1.58,1.83
2015-12-03,2.11,2
2015-09-03,1.95,1.97
2015-06-04,1.76,1.72
2015-03-05,1.54,1.75
2014-12-04,2.03,1.95
2014-09-04,1.9,2
2014-06-05,1.6,1.64
2014-03-06,1.46,1.47
2013-12-05,1.8,1.48
2013-09-05,1.71,1.74
2013-06-06,1.39,1.5
2013-03-07,1.19,1.23
2012-12-06,1.55,1.47
2012-09-06,1.29,1.45
2012-06-07,1.2,1.12
2012-03-08,1.04,1.12
2011-12-08,1.21,1.46
2011-08-31,1.08,1.15
2011-06-02,0.93,1.02
2011-03-03,0.67,0.85
2010-12-07,0.87,1.09
2010-09-02,0.71,0.91
2010-06-03,0.61,0.61
2010-03-04,0.52,0.49
2009-12-08,0.67,0.67
2009-09-03,0.61,0.54
2009-06-04,0.49,0.54
2009-03-05,0.39,0.53
2008-12-09,0.57,0.65
2008-09-04,0.65,0.67
2008-06-05,0.49,0.49
2008-03-06,0.45,0.45
2007-12-11,0.68,0.54
2007-09-06,0.7,0.69
2007-06-05,0.6,0.41
2007-03-08,0.52,0.48
2006-12-12,0.79,0.61
2006-09-07,0.74,0.74
2006-06-06,0.7,0.61
2006-03-07,0.64,0.49
2005-12-12,0.85,0.83
2005-09-07,0.85,0.87
2005-06-07,0.74,0.81
2005-03-09,0.54,0.58
2004-12-13,0.72,0.79
2004-08-31,0.68,0.7
2004-06-03,0.59,0.64
2004-03-02,0.53,0.55
2003-12-11,0.62,0.64
2003-09-03,0.54,0.58
2003-06-04,0.48,0.48
2003-02-26,0.42,0.44
2002-12-12,0.51,0.52
2002-09-04,0.41,0.43
2002-06-04,0.3,0.32
2002-02-27,0.28,0.31
2001-12-11,0.37,0.38
2001-08-29,0.33,0.34
2001-05-24,0.28,0.29
2001-02-28,0.21,0.22
2000-12-12,0.31,0.32
2000-08-30,0.28,0.28
2000-05-25,0.23,0.24
2000-02-23,0.17,0.17
1999-12-13,0.26,0.27
1999-08-26,0.22,0.23
1999-05-27,0.17,0.19
1999-02-23,0.09,0.09
1998-12-14,0.34,0.35
1998-08-26,0.3,0.33
1998-05-27,0.25,0.28
1998-02-25,0.18,0.18
1997-12-11,0.24,0.26
1997-08-28,0.2,0.2
1995-05-31,0.33,0.03
