Date,Estimate,Actual
2022-07-25,None,None
2022-04-25,None,None
2022-02-07,None,None
2021-07-27,0.43,0.53
2021-04-27,0.45,0.56
2021-02-09,0.41,0.51
2020-10-27,0.24,0.3
2020-08-04,0.14,0.17
2020-05-05,0.32,0.38
2020-02-18,0.33,0.39
2019-10-29,0.25,0.3
2019-07-30,0.13,0.18
2019-04-30,0.05,0.08
2019-02-26,0.06,0.04
2018-11-06,0.04,0.04
2018-07-31,0.01,0.02
2018-05-01,-0.03,-0.01
2018-02-27,-0.01,0.01
2017-11-07,-0.05,-0.01
2017-08-08,-0.07,-0.08
2017-05-09,-0.14,-0.18
2017-02-28,-0.12,-0.15
2016-11-01,-0.24,-0.28
2016-08-02,-0.27,-0.3
2016-05-03,-0.31,-0.34
2016-02-23,-0.22,-0.25
2015-11-03,0.03,0.08
2015-08-04,0.02,0.06
2015-05-05,-0.08,-0.07
2015-02-17,0.03,0.07
2014-11-04,0.07,0.08
2014-08-05,-0.02,-0.01
2014-05-06,-0.13,-0.1
2014-02-18,-0.03,-0.02
2013-11-05,-0.09,-0.09
2013-08-06,-0.13,-0.12
2013-05-07,-0.23,-0.21
2013-02-26,-0.19,-0.12
2012-11-07,-0.2,-0.18
2012-08-07,-0.32,-0.19
